Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1,Features_1,_1_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,Models,NFC
acer,Acer Chromebook Tab 10,https://fdn2.gsmarena.com/vv/bigpic/acer-chromebook-tab-10.jpg,No cellular connectivity,N/A,No,No,"2018, March","Available. Released 2018, July",238.3 x 172.2 x 9.9 mm (9.38 x 6.78 x 0.39 in),544.3 g (1.20 lb),No,Stylus,"IPS LCD capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm2 (~71.0% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",Chrome OS,Rockchip RK3399,Hexa-core (4x Cortex-A53 & 2x Cortex-A72),microSDXC (dedicated slot),32GB 4GB RAM,5 MP,720p,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct","4.1, A2DP, LE",,No,"3.1, Type-C 1.0 reversible connector",Accelerometer,"Li-Po 4500 mAh, non-removable (34 Wh)",Up to 9 h (multimedia),"Black, Blue",About 330 EUR,,,,,,,,,,,,,,,,,,,
acer,Acer Iconia Talk S,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-talk-s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2016, August","Available. Released 2016, October",191.7 x 101 x 9.4 mm (7.55 x 3.98 x 0.37 in),260 g (9.17 oz),Dual SIM (Micro-SIM/Nano-SIM),"3, 7, 8, 28","IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 135.1 cm2 (~69.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~210 ppi density)",Android 6.0 (Marshmallow),Mediatek MT8735,Quad-core 1.3 GHz Cortex-A53,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM","13 MP, AF",1080p@30fps,2 MP,720p,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 3400 mAh, non-removable (12.92 Wh)",Up to 9 h (multimedia),Black,About 170 EUR,HSDPA 850 / 1900 / 2100,"1, 3, 7, 8, 20","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP2,"HDR, panorama",,,,,,,,,,,,,,
acer,Acer Liquid Z6 Plus,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z6-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2016, August","Available. Released 2016, December",153.8 x 75.6 x 8.5 mm (6.06 x 2.98 x 0.33 in),169 g (5.96 oz),"Single SIM (Micro-SIM) or Hybrid Dual SIM (Micro-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,microSDXC (uses shared SIM slot),32GB 3GB RAM,"13 MP, AF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity","Li-Po 4080 mAh, non-removable",,"Black, White",About 250 EUR,HSDPA,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP3,"LED flash, HDR, panorama",,,,,,,,,,,,,,
acer,Acer Liquid Z6,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z6.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2016, August","Available. Released 2016, December",145.5 x 72.5 x 8.5 mm (5.73 x 2.85 x 0.33 in),126 g (4.44 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",eMMC 5.0,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),Quad-core 1.25 GHz Cortex-A53,microSDXC,8GB 1GB RAM,"8 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable",,"Black, White",About 120 EUR,HSDPA,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE",Mali-T720MP2,"LED flash, HDR, panorama",,,,,,,,,,,,,,
acer,Acer Iconia Tab 10 A3-A40,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a40.jpg,No cellular connectivity,N/A,No,No,"2016, April","Available. Released 2016, June",259 x 167 x 8.9 mm (10.20 x 6.57 x 0.35 in),-,No,HDMI,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~68.4% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 6.0 (Marshmallow),Mediatek MT8163A,Quad-core 1.3 GHz Cortex-A53,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM",5 MP,1080p@30fps,2 MP,,"Yes, with stereo speakers (4 speakers)",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP",,No,microUSB 2.0,Accelerometer,"Li-Ion 6100 mAh, non-removable",,Black,About 230 EUR,,,,Mali-T720 MP2,,,,,,,,,,,,,,,
acer,Acer Liquid X2,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-x2-1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2015, April","Available. Released 2016, February",153.3 x 78.8 x 8.5 mm (6.04 x 3.10 x 0.33 in),166 g (5.86 oz),Triple SIM (Micro-SIM),HSDPA 850 / 1700(AWS) / 1900 - PA,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~69.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,microSDHC (dedicated slot),32GB 3GB RAM,"13 MP, f/1.8, AF",1080p@30fps,"13 MP, f/1.8, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Po 4020 mAh, removable",Up to 23 h (3G),"Black, Gold",About 230 EUR,"HSDPA 900 / 1900 / 2100 - Europe, Taiwan",LTE 800 / 1800 / 2100 / 2600 - Europe,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP4,LED flash,LTE 700 / 900 / 1800 - Taiwan,LED flash,24-bit/192kHz audio,Up to 820 h (3G),Basemark OS II 2.0: 825Basemark X: 4300,"Contrast ratio: 950 (nominal), 2.084 (sunlight)",Photo / Video,Voice 61dB / Noise 62dB / Ring 67dB,Noise -86.1dB / Crosstalk -88.1dB,Endurance rating 85h,,,,
acer,Acer Liquid Jade 2,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2016, February",Available,156.6 x 75.9 x 8.4 mm (6.17 x 2.99 x 0.33 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)",eMMC 5.0,"Super AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 6.0 (Marshmallow),Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),microSDXC,32GB 3GB RAM,"21 MP, AF","4K@30fps, 1080p@30fps",8 MP,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Po 3000 mAh, non-removable",,Black,,HSDPA 900 / 2100,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 418,"Dual-LED flash, HDR, panorama",,,,,,,,,,,Corning Gorilla Glass 4,,,
acer,Acer Liquid Zest Plus,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-zest-plus-z628.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2016, April","Available. Released 2016, July",154 x 77 x 10 mm (6.06 x 3.03 x 0.39 in),-,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,microSDXC (dedicated slot),16GB 2GB RAM,"13 MP, PDAF, Laser AF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 5000 mAh, non-removable",,"Blue, White",About 200 EUR,HSDPA,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE",Mali-T720MP2,"LED flash, HDR, panorama",,,,,,,,,,,,Charging 10W,,
acer,Acer Liquid Zest,https://fdn2.gsmarena.com/vv/bigpic/acer-zest.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"2016, February","Available. Released 2016, April",145.7 x 71.2 x 8.4 mm (5.74 x 2.80 x 0.33 in),125 g (4.41 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6580 - Z525Mediatek MT6735 - Z525,Quad-core 1.3 GHz - Z525Quad-core 1.0 GHz - Z528,microSDHC (dedicated slot),8GB 1GB RAM,"8 MP, f/2.0, AF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 2000 mAh, removable",,"Black, White",About 110 EUR,HSDPA 850 / 900 / 1900 / 2100,LTE (unspecified),"HSPA, LTE Cat4 150/50 Mbps",Mali-400MP2 - Z525Mali-T720MP2 - Z528,"LED flash, HDR, panorama",,,,,,,,,,,,,,
acer,Acer Predator 8,https://fdn2.gsmarena.com/vv/bigpic/acer-predator-8.jpg,No cellular connectivity,N/A,No,No,"2015, September. Released 2015, November",Discontinued,217.9 x 127 x 8.6 mm (8.58 x 5.0 x 0.34 in),353.8 g (12.49 oz),No,,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~67.1% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~283 ppi density)",Android 5.0 (Lollipop),Intel Atom x7-Z8700,Quad-core 1.6 GHz,microSDXC (dedicated slot),"32GB 2GB RAM, 64GB 2GB RAM",5 MP,1080p@30fps,2 MP,,"Yes, with stereo speakers (4 speakers)",Yes,Wi-Fi 802.11 a/b/g/n,"4.0, A2DP, LE",,No,microUSB 2.0,Yes,"Li-Po 4420 mAh, non-removable",Up to 8 h 30 min,Black/Silver,About 350 EUR,,,,,,,,,,,,,,,,,,GT-810-15NC,
