Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages
alcatel,alcatel 3L (2020),https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, January","Available. Released 2020, May",158.7 x 74.6 x 8.5 mm (6.25 x 2.94 x 0.33 in),165 g (5.82 oz),"Glass front, plastic back, plastic frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm2 (~81.6% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",Android 10,Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),64GB 4GB RAM,eMMC 5.1,"48 MP, f/1.8, (wide), 1/2.25"", 0.8µm, PDAF 5 MP, f/2.4, (ultrawide/depth sensor), 1/5.0"", 1.12µm 2 MP, f/2.4, (macro)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide), 1/4"", 1.12µm",HDR,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable",Charging 10W,"Chameleon Blue, Dark Chrome, Agate Green","5029Y, 5029",€ 132.99 / £ 124.50,€ 132.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcatel,alcatel 1S (2020),https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, January","Available. Released 2020, May",158.7 x 74.6 x 8.5 mm (6.25 x 2.94 x 0.33 in),165 g (5.82 oz),"Glass front, plastic back, plastic frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm2 (~81.6% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",Android 10,Mediatek MT6762D Helio P22 (12 nm),Octa-core 1.8 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),32GB 3GB RAM,eMMC 5.1,"13 MP, f/1.8, (wide), 1/3.1"", 1.12µm, AF 5 MP, f/2.2, (ultrawide/depth sensor), 1/5.0"", 1.12µm 2 MP, f/2.4, (macro)","LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.2, (wide), 1/5"", 1.12µm",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable",,"Agate Green, Power Grey","5028Y, 5028D",$ 103.96 / € 100.93 / £ 90.00,,$ 103.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcatel,alcatel 1V (2020),https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 - 5007U,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - 5007U","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, January","Available. Released 2020, May",158.7 x 74.8 x 8.9 mm (6.25 x 2.94 x 0.35 in),160 g (5.64 oz),"Glass front, plastic back, plastic frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm2 (~81.3% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",Android 10,Mediatek MT6762D Helio P22 (12 nm),Octa-core 1.8 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),32GB 2GB RAM,"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5007G, 5007A",,"LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.2, (wide), 1/5"", 1.12µm",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 4000 mAh, non-removable",,"Prime Black, Pine Green, Metallic Black, Agate Green","5007U, 5007G, 5007A",$ 97.50 / € 77.89 / £ 81.75,,,"2, 3, 4, 5, 7, 8, 13, 17, 28, 66 - 5007G, 5007A",eMMC 5.1,"13 MP, f/1.8, (wide), 1/3.1"", 1.12µm, AF 5 MP, f/2.4, (depth)",$ 97.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcatel,alcatel 1B (2020),https://fdn2.gsmarena.com/vv/bigpic/alcatel-1b-2020.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, January","Available. Released 2020, May",146.1 x 71.6 x 9.9 mm (5.75 x 2.82 x 0.39 in),168 g (5.93 oz),"Glass front, plastic back, plastic frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2 (~74.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",Android 10 (Go edition),Qualcomm QM215 (28 nm),Quad-core 1.3 GHz Cortex-A53,Adreno 308,microSDHC (dedicated slot),16GB 2GB RAM,,,"LED flash, HDR",1080p@30fps,"13 MP, f/2.0, (wide), 1/4.0"", 1.12µm, AF",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",Li-Ion 3000 mAh battery,,"Prime Black, Pine Green","5002A, 5002D, 5002F, 5002I, 5002M, 5002X",$ 79.99 / € 81.10 / £ 68.98,,,,,,,"5 MP, f/2.2, (wide), 1/5"", 1.12µm",$ 79.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcatel,alcatel 3v (2019),https://fdn2.gsmarena.com/vv/bigpic/alcatel-3v-2019.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 12, 13, 17, 20, 25, 26, 41, 66, 71","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2019, Q2","Available. Released 2019, Q4",174.5 x 83.3 x 8.4 mm (6.87 x 3.28 x 0.33 in),197.9 g (6.98 oz),"Glass front (DragonTrail Pro glass), plastic back, plastic frame",Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","6.7 inches, 115.8 cm2 (~79.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~240 ppi density)",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),32GB 3GB RAM,eMMC 5.1,,"LED flash, HDR, panorama",1080p@30fps,8 MP,,720p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable",Fast charging Pump Express+,Elegant Black,5032W,About 170 EUR,,,,,"16 MP, PDAF 5 MP, f/2.4, (depth)",,,,DragonTrail Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcatel,alcatel 3x (2019),https://fdn2.gsmarena.com/vv/bigpic/alcatel-3x-2019.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 - 5048Y,"1, 3, 5, 7, 8, 20, 28, 38, 40 - 5048Y","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2019, September","Available. Released 2019, Q4",164.9 x 75.8 x 8.4 mm (6.49 x 2.98 x 0.33 in),178 g (6.28 oz),"Glass front, plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.52 inches, 102.6 cm2 (~82.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Android 9.0 (Pie),Mediatek MT6763V Helio P23 (16 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Mali-G71 MP2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5048A,"16 MP, f/1.8, 27mm (wide), 1/2.8"", 1.12µm, PDAF 8 MP, f/2.2, 17mm (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.4, (depth)","Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 25mm (wide), 1/4"", 1.12µm",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 4000 mAh, non-removable",Charging 10W,"Jewelry Black, Jewelry Green, Jewelry Rose","5048Y, 5048A, 5048Y_EEA, 5048I",About 150 EUR,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28, 66 - 5048A",eMMC 5.1,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
alcatel,alcatel 1v (2019),https://fdn2.gsmarena.com/vv/bigpic/alcatel-1v-2019.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 800 / 850 / 900 / 1900 / 2100 - 5001D/5001U/5001T,"1, 3, 7, 8, 20, 28 - 5001D","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, September","Available. Released 2019, Q4",149.1 x 72.2 x 8.9 mm (5.87 x 2.84 x 0.35 in),153.2 g (5.40 oz),,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2 (~72.5% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~195 ppi density)",Android 9.0 Pie (Go edition),Unisoc SC9863A (28nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC,"16GB 1GB RAM, 16GB 2GB RAM, 16GB 3GB RAM",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5001A/5001J,,"LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.2, 28mm (wide), 1/5.0"", 1.12µm or 8 MP, f/2.2, 28mm (wide), 1/4.0"", 1.12µm",LED flash,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (under display, optical) - market dependant, accelerometer, proximity","Li-Ion 2460 mAh, removable",,"Anthracite Black, Metallic Blue, Metallic Gold, Metallic Rose","5001D, 5001A, 5001U, 5001T, 5001J",About 80 EUR,,,"1, 2, 3, 4, 5, 7, 8, 13, 28, 66 - 5001A/5001J","1, 3, 5, 7, 8, 20, 28, 38, 40 - 5001T",,,"5 MP, f/2.2, 28mm (wide), 1/5"", 1.12µm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcatel,alcatel 3T 8,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3t-8.jpg,LTE,N/A,N/A,"2, 4, 5, 12, 66, 71",LTE,"2018, October 08","Available. Released 2018, October 08",209.5 x 125 x 8.3 mm (8.25 x 4.92 x 0.33 in),279 g (9.84 oz),"Glass front, plastic back, plastic frame",Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~70.9% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Android 8.1 (Oreo),Mediatek MT8765,Quad-core 1.28 GHz,,microSDXC (dedicated slot),"16GB 1GB RAM, 32GB 2GB RAM, 32GB 3GB RAM",,,,1080p@30fps,"5 MP, f/2.4, (wide), 1/5.0"", 1.12µm",,720p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE",No,FM radio,microUSB 2.0,Accelerometer,"Li-Po 4080 mAh, non-removable",,"Black, Blue",,About 140 EUR,,,,,,,"2 MP, f/2.8, (wide), 1/5.0"", 1.65µm",,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,
alcatel,alcatel Smart Tab 7,https://fdn2.gsmarena.com/vv/bigpic/alcatel-smart-tab-7-2019.jpg,No cellular connectivity,N/A,N/A,N/A,No,"2019, September","Available. Released 2019, Q4",176 x 126 x 12 mm (6.93 x 4.96 x 0.47 in),268 g (9.45 oz),,No,"TN TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~62.2% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 9.0 (Pie),Mediatek MT8167D,Quad-core 1.3 GHz Cortex-A53,IMG GE8300,microSDXC (dedicated slot),16GB 1.5GB RAM,Built-in kickstand,,,,"0.3 MP, f/2.4, 1/5.0""",,,"Yes, with dual speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE",No,FM radio,microUSB 2.0,Accelerometer,"Li-Ion 2580 mAh, non-removable",,Black,,About 80 EUR,,,,,,,"2 MP, f/2.4, 1/5"", 1.65µm",,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,
alcatel,alcatel 3T 10,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3t-10-2019.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 20, 28","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2019, February","Available. Released 2019, Q1",260 x 156.6 x 9 mm (10.24 x 6.17 x 0.35 in),440 g (15.52 oz),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.0 inches, 290.0 cm2 (~71.2% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~151 ppi density)",Android 8.1 (Oreo),,,,microSDXC (dedicated slot),16GB 2GB RAM,,,,720p@30fps,"2 MP, f/2.8, 1/5.0"", 1.65µm",,720p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE",No,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 4080 mAh, non-removable",,"Prime Black, Midnight Blue","8088L, 8088Q, 8088X",,,,,,,,"2 MP, f/2.8, 1/5"", 1.65µm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
