Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad
allview,Allview Soul X7 Pro,https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x7-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 5, 8, 20, 38, 40, 41","HSPA 42.2/11.5 Mbps, LTE Cat7 300/100 Mbps","2020, May 26","Available. Released 2020, May 26",161.9 x 76.8 x 8.3 mm (6.37 x 3.02 x 0.33 in),193 g (6.81 oz),,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 104.7 cm2 (~84.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",Android 9.0 (Pie),Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),Adreno 508,microSDXC (uses shared SIM slot),64GB 4GB RAM,eMMC 5.1,,"LED flash, HDR, panorama","4K@30fps, 1080p@30fps","16 MP, (wide), 1/3.06"" 1.0µm",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"3.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable",Fast charging 18W,Black Desire,,About 230 EUR,,,,,,,,,Corning Gorilla Glass,,,,,,,,,,,,,,,1.12 W/kg (head),,,,,,,,,,,,,"13 MP, f/1.8, (wide), 1/3.1"", 1.12µm, PDAF 8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)"
allview,Allview Soul X7 Style,https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x7-style.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 5, 7, 8, 20, 38, 40","HSPA 42.2/11.5 Mbps, LTE","2020, May 26","Available. Released 2020, May 26",157.6 x 75.2 x 8.3 mm (6.20 x 2.96 x 0.33 in),184.7 g (6.53 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.21 inches, 96.3 cm2 (~81.2% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",Android 9.0 (Pie),Mediatek MT6763 Helio P23 (16 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Mali-G71 MP2,microSDXC (uses shared SIM slot),64GB 4GB RAM,eMMC 5.1,,"LED flash, HDR",1080p@30fps,5 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity, compass",Li-Po 3400 mAh battery,,Turcoise,,About 130 EUR,,,,,"13 MP, f/2.2, AF 0.3 MP, (depth)",,,,,,,,,,,,,,,,,,,0.87 W/kg (head),,,,,,,,,,,,,
allview,Allview Viva 803G,https://fdn2.gsmarena.com/vv/bigpic/allview-viva-803g.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2020, April","Available. Released 2020, April",208 x 124 x 9.5 mm (8.19 x 4.88 x 0.37 in),330 g (11.64 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~72.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Android 9.0 Pie (Go edition),Mediatek MT8321 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDHC,16GB 1GB RAM,,,LED flash,720p,VGA,,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,"Li-Po 3600 mAh, non-removable",,Black,,About 90 EUR,,,,,,,2 MP,,,,,,,,,,,,,,,,,1.59 W/kg (body),,,,,,,,,,,,,
allview,Allview V4 Viper Pro,https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 20, 38","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, January","Available. Released 2020, January",171 x 82 x 8.8 mm (6.73 x 3.23 x 0.35 in),191.6 g (6.77 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.8 inches, 115.4 cm2 (~82.3% screen-to-body ratio)","640 x 1352 pixels, 19:9 ratio (~220 ppi density)",Android 9.0 (Pie),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,PowerVR GE8100,microSDXC (uses shared SIM slot),32GB 2GB RAM,eMMC 5.1,,LED flash,1080p@30fps,8 MP,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 3500 mAh, non-removable",Charging 10W,Dark Grey,,About 170 EUR,,,,,"13 MP, AF 0.3 MP, (depth)",,,,,,,,,,,,,,,,,,,1.20 W/kg (head),,,,,,,,,,,,,
allview,Allview Viva C703,https://fdn2.gsmarena.com/vv/bigpic/allview-vivac703.jpg,No cellular connectivity,N/A,N/A,N/A,No,"2019, October","Available. Released 2019, October",188.5 x 108.3 x 9.7 mm (7.42 x 4.26 x 0.38 in),242 g (8.54 oz),,No,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~67.5% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 8.1 Oreo (Go edition),,Quad-core 1.5 GHz Cortex-A7,Mali-400MP2,microSDHC,8GB 1GB RAM,No,,,480p,0.3 MP,,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",No,No,microUSB 2.0,Accelerometer,"Li-Po 2000 mAh, non-removable",,Black,,About 50 EUR,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
allview,Allview Viva Home,https://fdn2.gsmarena.com/vv/bigpic/allview-vivahome.jpg,No cellular connectivity,N/A,N/A,N/A,,"2019, July","Available. Released 2019, July",418.5 x 266.3 x 19.5 mm (16.48 x 10.48 x 0.77 in),2018.3 g (4.45 lb),,No,"IPS LCD capacitive touchscreen, 16M colors","17.3 inches, 825.1 cm2 (~74.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~127 ppi density)",Android 9.0 (Pie),Mediatek MT8163,Quad-core 1.5 GHz Cortex-A53,,microSDXC (dedicated slot),32GB 2GB RAM,No,,,1080p,2 MP,,,Yes,Yes,Wi-Fi 802.11 a/b/g/n,"4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB",Accelerometer,"Li-Po 5000 mAh, non-removable",,Black,,About 250 EUR,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
allview,Allview Viva 1003G,https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,"2019, August","Available. Released 2019, August",246.2 x 171.7 x 10.7 mm (9.69 x 6.76 x 0.42 in),479.4 g (1.06 lb),,Mini-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~70.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Android 9.0 (Pie),Mediatek MT8321A (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDXC (dedicated slot),16GB 2GB RAM,,,LED flash,720p@30fps,2 MP,,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,"Li-Po 4000 mAh, non-removable",Charging 10W,Black,,,,,,,,,2 MP,,,,,,,,,Up to 400 h,Up to 11 h,,,,,,,1.05 W/kg (body),,,,,,,,,,,,,
allview,Allview Viva 1003G Lite,https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g-lite.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,"2019, September","Available. Released 2019, September",246.2 x 171.7 x 10.7 mm (9.69 x 6.76 x 0.42 in),505.2 g (1.11 lb),,Mini-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~70.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Android 8.1 Oreo (Go edition),Mediatek MT8321A (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDXC (dedicated slot),16GB 1GB RAM,,,LED flash,720p@30fps,0.3 MP,,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,"Li-Po 4000 mAh, non-removable",Charging 10W,Black,,About 100 EUR,,,,,,,2 MP,,,,,,,,,Up to 400 h,Up to 8 h 20 min,,,,,,,1.05 W/kg (body),,,,,,,,,,,,,
allview,Allview V4 Viper,https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 8, 20, 38","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2019, September","Available. Released 2019, September",145.8 x 70.9 x 8.5 mm (5.74 x 2.79 x 0.33 in),138 g (4.87 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 81.1 cm2 (~78.4% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",Android 9.0 (Pie),Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),16GB 2GB RAM,eMMC 5.1,,LED flash,1080p@30fps,5 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 2700 mAh, non-removable",,"Blue, Red",,About 100 EUR,,,,,"8 MP, AF 0.3 MP, (depth)",,,,,,,,,,,,,,,,,,,1.13 W/kg (head),,,,,,,,,,,,,
allview,Allview Soul X6 Mini,https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x6-mini.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 8, 20, 38","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2019, May","Available. Released 2019, May",158.3 x 76.4 x 8.3 mm (6.23 x 3.01 x 0.33 in),175.7 g (6.21 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm2 (~79.3% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),16GB 2GB RAM,eMMC 5.1,,"Dual-LED dual-tone flash, panorama, HDR",1080p@30fps,13 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 4000 mAh, non-removable",Charging 10W,Indigo Blue,,,,,,,"13 MP, AF 2 MP, (depth)",,,,,,,,,,,,,,,,,,,0.98 W/kg (head),,,,,,,,,,,,,
