Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad
amazon,Amazon Fire HD 8 Plus (2020),https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd8-2020.jpg,No cellular connectivity,N/A,,,,"2020, March 13","Available. Released 2020, June 03",202 x 137 x 9.7 mm (7.95 x 5.39 x 0.38 in),355 g (12.52 oz),,No,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~67.1% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)","Android 9.0 (Pie), Fire OS 7",MediaTek MT8168 (12 nm),Quad-core 2.0 GHz Cortex-A53,Mali-G52 MC1,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 3GB RAM",Alexa natural language commands Text-to-Speech English-language content reader,,,Yes,2 MP,,Yes,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",No,No,Type-C 1.0 reversible connector,Accelerometer,,Wireless charging,"White, Black, Twilight Blue, Plum",,About 100 EUR,,,,,,,2 MP,,,,No,No,,,,,Up to 12 h,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire HD 8 (2020),https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd8-2020.jpg,No cellular connectivity,N/A,,,,"2020, March 13","Available. Released 2020, June 03",202 x 137 x 9.7 mm (7.95 x 5.39 x 0.38 in),355 g (12.52 oz),,No,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~67.1% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)","Android 9.0 (Pie), Fire OS 7",MediaTek MT8168 (12 nm),Quad-core 2.0 GHz Cortex-A53,Mali-G52 MC1,microSDXC (dedicated slot),"32GB 2GB RAM, 64GB 2GB RAM",Alexa natural language commands Text-to-Speech English-language content reader,,,Yes,2 MP,,Yes,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",No,No,Type-C 1.0 reversible connector,Accelerometer,,,"White, Black, Twilight Blue, Plum",,About 80 EUR,,,,,,,2 MP,,,,No,No,,,,,Up to 12 h,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire HD 10 (2017),https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2017.jpg,No cellular connectivity,N/A,,,,"2017, September","Available. Released 2017, October",262 x 159 x 9.8 mm (10.31 x 6.26 x 0.39 in),500 g (1.10 lb),,No,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~71.0% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)","Customized Android 5.1 (Lollipop), Fire 5.3",Mediatek MT8173,Quad-core (2x1.8 GHz Cortex-A72 & 2x1.4 GHz Cortex-A53),PowerVR G6250,microSDXC (dedicated slot),"32GB 2GB RAM, 64GB 2GB RAM",Text-to-Speech English-language content reader,,,720p,2 MP,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4.1, A2DP, LE",No,No,microUSB 2.0,Accelerometer,"Li-Po 3830 mAh, non-removable (14.2 Wh)",,"Black, Marine Blue, Punch Red",,About 170 EUR,,,,,,,VGA,,,,No,No,,,,,Up to 10 h,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire HD 8 (2017),https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8-2017.jpg,No cellular connectivity,N/A,,,,"2017, May","Available. Released 2017, June",214 x 128 x 9.7 mm (8.43 x 5.04 x 0.38 in),369 g (13.02 oz),,No,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~67.7% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)","Customized Android 5.1 (Lollipop), Fire 5.4",Mediatek MT8163 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T730MP3,microSDXC (dedicated slot),"16GB 1.5GB RAM, 32GB 1.5GB RAM",Alexa natural language commands Text-to-Speech English-language content reader,,,720p,2 MP,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","4.0, A2DP, LE",No,No,microUSB 2.0,Accelerometer,"Li-Po 3210 mAh, non-removable (11.87 Wh)",,"Black, Canary Yellow, Marine Blue, Punch Red",,About 110 EUR,,,,,,,VGA,,,,No,No,,,,,Up to 12 h,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire 7 (2017),https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-7-2017.jpg,No cellular connectivity,N/A,,,,"2017, May","Available. Released 2017, June",192 x 115 x 9.6 mm (7.56 x 4.53 x 0.38 in),295 g (10.41 oz),,No,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~62.5% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Customized Android 5.1 (Lollipop), Fire 5.4",Mediatek MT8127 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-450MP4,microSDXC (dedicated slot),"8GB 1GB RAM, 16GB 1GB RAM",Alexa natural language commands Text-to-Speech English-language content reader,,,720p,2 MP,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","4.0, A2DP, LE",No,No,"microUSB 2.0, USB On-The-Go",Accelerometer,"Li-Ion 2980 mAh, non-removable",,"Black, Canary Yellow, Marine Blue, Punch Red",,About 70 EUR,,,,,,,VGA,,,,No,No,,,,,Up to 8 h,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire HD 10,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10.jpg,No cellular connectivity,N/A,,,,"2015, September. Released 2015, September",Discontinued,262 x 159 x 7.7 mm (10.31 x 6.26 x 0.30 in),432 g (15.24 oz),,No,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~71.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)","Android OS (customized), Fire 5",,Quad-core 1.5 GHz,,microSDXC (dedicated slot),"16GB 1GB RAM, 32GB 1GB RAM",Text-to-Speech English-language content reader,,,1080p@30fps,5 MP,,720p,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4.0, A2DP, LE",No,No,microUSB 2.0,"Accelerometer, gyro","Li-Ion, non-removable",,"Black, White",,About 210 EUR,,,,,,,,,,,No,No,,,,,Up to 8 h,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire HD 8,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8.jpg,No cellular connectivity,N/A,,,,"2015, September. Released 2015, September",Discontinued,214 x 128 x 7.7 mm (8.43 x 5.04 x 0.30 in),311 g (10.97 oz),,No,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~67.7% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)","Customized Android 5.1 (Lollipop), Fire 5",Mediatek MT8135,Quad-core 1.5 GHz Cortex-A7,PowerVR G6200,microSDXC (dedicated slot),"8GB 1GB RAM, 16GB 1GB RAM",Text-to-Speech English-language content reader,,,1080p@30fps,5 MP,,720p,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4.0, A2DP, LE",No,No,"microUSB 2.0, USB On-The-Go","Accelerometer, gyro","Li-Ion, non-removable",,"Black, Magenta, Blue, Tangerine",,About 130 EUR,,,,,,,,,,,No,No,,,,,Up to 8 h,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire 7,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-7.jpg,No cellular connectivity,N/A,,,,"2015, September. Released 2015, November",Discontinued,191 x 115 x 10.6 mm (7.52 x 4.53 x 0.42 in),313 g (11.04 oz),,No,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~62.8% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Customized Android 5.1 (Lollipop), Fire 5 UI",Mediatek MT8127 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-450MP4,microSDXC (dedicated slot),8GB 1GB RAM,Free cloud storage for all Amazon content Text-to-Speech English-language content reader,,,720p,2 MP,,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP, LE",No,No,microUSB 2.0,Accelerometer,"Li-Ion 2980 mAh, non-removable",,Black,,About 50 EUR,,,,,,,VGA,,,,No,No,,,,,Up to 7 h,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire HDX 8.9 (2014),https://fdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX-89-2014.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA,LTE (unspecified),"HSPA, LTE","2014, September. Released 2014, October",Discontinued,231 x 158 x 7.8 mm (9.09 x 6.22 x 0.31 in),375 g (Wi-Fi)/ 389 g (4G) (13.23 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","8.9 inches, 229.7 cm2 (~62.9% screen-to-body ratio)","2560 x 1600 pixels, 16:10 ratio (~339 ppi density)","Android 4.4 (KitKat - customized), Fire 4",Qualcomm APQ8084 Snapdragon 805 (28 nm),Quad-core 2.5 GHz Krait 450,Adreno 420,No,"16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM",eMMC 5.0,,LED flash,Yes,"8 MP, AF",,720p,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4.0, A2DP","Yes, with A-GPS (4G model)",No,microUSB 2.0 (SlimPort),"Accelerometer, gyro","Li-Ion, non-removable",,Black,,About 310 EUR,,,Text-to-Speech English-language content reader,,,,,,,,Yes,Yes,,,,,Up to 12 h,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire HD 7,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd7.jpg,No cellular connectivity,N/A,,,,"2014, September. Released 2014, October",Discontinued,191 x 128 x 10.6 mm (7.52 x 5.04 x 0.42 in),337 g (11.89 oz),,No,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~58.1% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)","Android 4.4 (KitKat - customized), Fire 4",,Quad-core (2x1.5 GHz & 2x1.2 GHz),,No,"8GB 1GB RAM, 16GB 1GB RAM",Text-to-Speech English-language content reader,,,1080p@30fps,2 MP,,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",No,No,microUSB 2.0 (SlimPort),"Accelerometer, gyro","Li-Ion, non-removable",,"Black, White, Cobalt, Magenta, Citron",,About 120 EUR,,,,,,,VGA,,Corning Gorilla Glass,,No,No,,,,,Up to 8 h,,,,,,,,,,,,,,,,,,,,
