Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad,Performance,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,256GB 4GB RAM,512GB 4GB RAM,Dual_1,128GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,128GB 2GB RAM
apple,Apple iPad Air (2020),https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-air4-2020-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 29, 30, 34, 38, 39, 40, 41, 46, 48, 66, 71 - A2324","HSPA 42.2/5.76 Mbps, LTE-A (CA)","2020, September 15","Coming soon. Exp. release 2020, October",247.6 x 178.5 x 6.1 mm (9.75 x 7.03 x 0.24 in),458 g (Wi-Fi) / 460 g (3G/LTE) (1.01 lb),"Glass front, aluminum back, aluminum frame","Nano-SIM, eSIM","Liquid Retina IPS LCD capacitive touchscreen, 16M colors","10.9 inches, 359.2 cm2 (~81.3% screen-to-body ratio)",1640 x 2360 pixels (~264 ppi density),iPadOS 14,Apple A14 Bionic (5 nm),Hexa-core,Apple GPU (4-core graphics),No,"64GB, 256GB","1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66 - A2072",,HDR,"4K@24/30/60fps, 1080p@30/60/120/240fps; gyro-EIS","12 MP, f/1.8, (wide), 1/3"", 1.22µm, dual pixel PDAF",HDR,1080p@30/60fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, EDR","Yes, with A-GPS, GLONASS (LTE model only)",No,Type-C 1.0 reversible connector; magnetic connector,"Fingerprint (top-mounted), accelerometer, gyro, compass, barometer","Li-Po, non-removable (28.6 Wh)",,"Space Gray, Silver, Rose Gold, Green, Sky Blue","A2324, A2072",About 640 EUR,,,Stylus support,Siri natural language commands and dictation,,,"7 MP, f/2.0, 31mm (standard)",,"Scratch-resistant glass, oleophobic coating",,,,,,,,Up to 10 h (multimedia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,Apple iPad 10.2 (2020),https://fdn2.gsmarena.com/vv/bigpic/apple-ipad8-102-inches-2020-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 29, 30, 34, 38, 39, 40, 41, 66, 71 - A2428","HSPA 42.2/5.76 Mbps, LTE-A (CA)","2020, September 15","Available. Released 2020, September 18",250.6 x 174.1 x 7.5 mm (9.87 x 6.85 x 0.30 in),490 g (Wi-Fi) / 495 g (LTE) (1.08 lb),"Glass front, aluminum back, aluminum frame","Nano-SIM, eSIM","Retina IPS LCD capacitive touchscreen, 16M colors","10.2 inches, 324.6 cm2 (~74.4% screen-to-body ratio)","1620 x 2160 pixels, 4:3 ratio (~264 ppi density)",iPadOS 14,Apple A12 Bionic (7 nm),Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest),Apple GPU (4-core graphics),No,"32GB 3GB RAM, 128GB 3GB RAM","1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 66 - A2429",,"HDR, panorama","1080p@30fps, 720p@120fps, HDR","8 MP, f/2.4, 31mm (standard), 1.12µm, AF",HDR,720p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS (Wi‑Fi + Cellular model only)",No,Type-C 1.0 reversible connector; magnetic connector,"Fingerprint (front-mounted), accelerometer, gyro, compass, barometer","Li-Po, non-removable (32.4 Wh)",,"Silver, Gold, Space Gray","A2428, A2429, A2270, A2430",About 370 EUR,,,Stylus support (1st gen only),Siri natural language commands and dictation,,,"1.2 MP, f/2.2, 31mm (standard)",,"Scratch-resistant glass, oleophobic coating",,,,,,,,Up to 10 h (multimedia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,Apple Watch SE,https://fdn2.gsmarena.com/vv/bigpic/apple-watch-se.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,"HSDPA 850 / 1700(AWS) / 1900 / 2100 - USA, LATAM, Canada","1, 2, 3, 4, 5, 7, 12, 13, 17, 18, 19, 25, 26, 39, 40, 41, 66 - USA, LATAM, Canada","HSPA 42.2/5.76 Mbps, LTE","2020, September 15","Available. Released 2020, September 18",44 x 38 x 10.4 mm (1.73 x 1.50 x 0.41 in),36.4 g (1.27 oz),"Glass front, ceramic/sapphire crystal back, aluminum frame",eSIM,"Retina LTPO OLED capacitive touchscreen, 16M colors","1.78 inches, 10.0 cm2 (~60.0% screen-to-body ratio)",448 x 368 pixels (~326 ppi density),watchOS 7.0,Apple S5,Dual-core,PowerVR,No,32GB 1GB RAM,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Global,,,,,,,Yes,No,Wi-Fi 802.11 b/g/n,"5.0, A2DP, LE","Yes, with A-GPS, GLONASS",No,No,"Accelerometer, gyro, heart rate (2nd gen), barometer, always-on altimeter, compass","Li-Ion, non-removable",Wireless charging,"Silver, Gold, Space Gray","A2353, A2354, A2355, A2356, A2351, A2352",About 290 EUR,,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 25, 26, 28, 39, 40, 41, 66 - Global",Natural language commands and dictation (talking mode),,,,,Ion-X strengthened glass,Yes,,,,,,Up to 18 h (mixed usage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,Apple Watch Series 6 Aluminum,https://fdn2.gsmarena.com/vv/bigpic/apple-watch-s6.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,"HSDPA 850 / 1700(AWS) / 1900 / 2100 - USA, LATAM, Canada","1, 2, 3, 4, 5, 7, 12, 13, 17, 18, 19, 25, 26, 39, 40, 41, 66 - USA, LATAM, Canada","HSPA 42.2/5.76 Mbps, LTE","2020, September 15","Available. Released 2020, September 18",44 x 38 x 10.4 mm (1.73 x 1.50 x 0.41 in),36.5 g (1.31 oz),"Glass front, ceramic/sapphire crystal back, aluminum frame",eSIM,"Retina LTPO OLED capacitive touchscreen, 16M colors","1.78 inches, 10.0 cm2 (~60.0% screen-to-body ratio)",448 x 368 pixels (~326 ppi density),watchOS 7.0,Apple S6,Dual-core,PowerVR,No,32GB 1GB RAM,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Global,,,,,,,Yes,No,"Wi-Fi 802.11 b/g/n, dual-band","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",No,No,"Accelerometer, gyro, heart rate (2nd gen), barometer, always-on altimeter, compass, SpO2, VO2max","Li-Ion 303.8 mAh (1.17 Wh), non-removable",Wireless charging,"Silver, Gold, Space Gray, Blue, Red","A2293, A2294, A2375, A2376, A2291, A2292",About 420 EUR,,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 25, 26, 28, 39, 40, 41, 66 - Global",Natural language commands and dictation (talking mode),,,,,Ion-X strengthened glass,Yes,,,,,,Up to 18 h (mixed usage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,Apple Watch Series 6,https://fdn2.gsmarena.com/vv/bigpic/apple-watch-s6-steel.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,"HSDPA 850 / 1700(AWS) / 1900 / 2100 - USA, LATAM, Canada","1, 2, 3, 4, 5, 7, 12, 13, 17, 18, 19, 25, 26, 39, 40, 41, 66 - USA, LATAM, Canada","HSPA 42.2/5.76 Mbps, LTE","2020, September 15","Available. Released 2020, September 18",44 x 38 x 10.4 mm (1.73 x 1.50 x 0.41 in),47.1 g (1.66 oz),"Glass front (Sapphire crystal), ceramic/sapphire crystal back, stainless steel frame",eSIM,"Retina LTPO OLED capacitive touchscreen, 16M colors","1.78 inches, 10.0 cm2 (~60.0% screen-to-body ratio)",448 x 368 pixels (~326 ppi density),watchOS 7.0,Apple S6,Dual-core,PowerVR,No,32GB 1GB RAM,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Global,,,,,,,Yes,No,"Wi-Fi 802.11 b/g/n, dual-band","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",No,No,"Accelerometer, gyro, heart rate (2nd gen), barometer, always-on altimeter, compass, SpO2, VO2max","Li-Ion 303.8 mAh (1.17 Wh), non-removable",Wireless charging,"Silver, Graphite (DLC), Gold (PVD)","A2293, A2294, A2375, A2376",About 710 EUR,,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 25, 26, 28, 39, 40, 41, 66 - Global",Natural language commands and dictation (talking mode),,,,,Sapphire crystal glass,Yes,,,,,,Up to 18 h (mixed usage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,Apple Watch Edition Series 6,https://fdn2.gsmarena.com/vv/bigpic/apple-watch-s6-titanium.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,"HSDPA 850 / 1700(AWS) / 1900 / 2100 - USA, LATAM, Canada","1, 2, 3, 4, 5, 7, 12, 13, 17, 18, 19, 25, 26, 39, 40, 41, 66 - USA, LATAM, Canada","HSPA 42.2/5.76 Mbps, LTE","2020, September 15","Available. Released 2020, September 18",44 x 38 x 10.4 mm (1.73 x 1.50 x 0.41 in),41.3 g (1.45 oz),"Glass front (Sapphire crystal), ceramic/sapphire crystal back, titanium frame",eSIM,"Retina LTPO OLED capacitive touchscreen, 16M colors","1.78 inches, 10.0 cm2 (~60.0% screen-to-body ratio)",448 x 368 pixels (~326 ppi density),watchOS 7.0,Apple S6,Dual-core,PowerVR,No,32GB 1GB RAM,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Global,,,,,,,Yes,No,"Wi-Fi 802.11 b/g/n, dual-band","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",No,No,"Accelerometer, gyro, heart rate (2nd gen), barometer, always-on altimeter, compass, SpO2, VO2max","Li-Ion 303.8 mAh (1.17 Wh), non-removable",Wireless charging,"Titanium, Space Black","A2293, A2294, A2375, A2376",About 810 EUR,,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 25, 26, 28, 39, 40, 41, 66 - Global",Natural language commands and dictation (talking mode),,,,,Sapphire crystal glass,Yes,,,,,,Up to 18 h (mixed usage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,Apple iPhone SE (2020),https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-se-2020.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66 - A2296","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat16 1024/150 Mbps, EV-DO Rev.A 3.1 Mbps","2020, April 15","Available. Released 2020, April 24",138.4 x 67.3 x 7.3 mm (5.45 x 2.65 x 0.29 in),148 g (5.22 oz),"Glass front, glass back, aluminum frame",Nano-SIM and/or eSIM,"Retina IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~65.4% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)",iOS 13,Apple A13 Bionic (7 nm+),Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder),Apple GPU (4-core graphics),No,"64GB 3GB RAM, 128GB 3GB RAM, 256GB 3GB RAM",CDMA 800 / 1900,,"Quad-LED dual-tone flash, HDR, panorama","4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, OIS, stereo sound rec.","12 MP, f/1.8 (wide), PDAF, OIS","Face detection, HDR, panorama",1080p@30fps; gyro-EIS,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",No,"2.0, proprietary reversible connector","Fingerprint (front-mounted), accelerometer, proximity, gyro, compass, barometer","Li-Ion 1821 mAh, non-removable (6.96 Wh)","Fast charging 18W, 50% in 30 min (advertised) Qi wireless charging","Black, White, Red","A2275, A2296, A2298",$ 349.00 / € 436.42 / £ 379.99,,,CDMA2000 1xEV-DO,Siri natural language commands and dictation,,,"7 MP, f/2.2",,"Ion-strengthened glass, oleophobic coating",Yes,,,,,,,,,,,,,,0.98 W/kg (head)     0.99 W/kg (body),Contrast ratio: 1544:1 (nominal),Photo / Video,-24.1 LUFS (Very good),,Endurance rating 59h,1.17 W/kg (head)     1.16 W/kg (body),,,,,,,,AnTuTu: 462253 (v8) GeekBench: 3237 (v5.1),$ 349.00,$ 449.00,$ 522.22,,,,,,,
apple,Apple iPad Pro 12.9 (2020),https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-12-2020.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 29, 30, 34, 38, 39, 40, 41, 46, 48, 66, 71","HSPA 42.2/5.76 Mbps, LTE-A, EV-DO Rev.A 3.1 Mbps","2020, March 18","Available. Released 2020, March 19",280.6 x 214.9 x 5.9 mm (11.05 x 8.46 x 0.23 in),"641 g (Wi-Fi), 643 g (LTE) (1.41 lb)","Glass front, aluminum back, aluminum frame","Nano-SIM, eSIM","IPS LCD capacitive touchscreen, 16M colors","12.9 inches, 515.3 cm2 (~85.4% screen-to-body ratio)","2048 x 2732 pixels, 4:3 ratio (~265 ppi density)","iPadOS 13.4, upgradable to iPadOS 14",Apple A12Z Bionic,Octa-core (4x2.5 GHz Vortex + 4x1.6 GHz Tempest),Apple GPU (8-core graphics),No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM, 1TB 6GB RAM",CDMA 800 / 1900,"12 MP, f/1.8, (wide), 1/3"", 1.22µm,  dual pixel PDAF 10 MP, f/2.4, 11mm (ultrawide) TOF 3D LiDAR scanner (depth)","Quad-LED dual-tone flash, HDR","4K@24/30/60fps, 1080p@30/60/120/240fps; gyro-EIS","7 MP, f/2.2","Face detection, HDR, panorama",1080p@30/60fps,"Yes, with stereo speakers (4 speakers)",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE, EDR","Yes, with A-GPS, GLONASS, GALILEO, QZSS (Wi‑Fi + Cellular model only)",No,"3.1, Type-C 1.0 reversible connector; magnetic connector","Face ID, accelerometer, gyro, proximity, barometer","Li-Po 9720 mAh, non-removable (36.71 Wh)",Reverse charging Fast charging 18W,"Silver, Space Gray","A2069, A2232, A2233, A2229",About 1000 EUR,,,CDMA2000 1xEV-DO,Siri natural language commands and dictation,,,,,"Scratch-resistant glass, oleophobic coating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,Apple iPad Pro 11 (2020),https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-11-2020.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 29, 30, 34, 38, 39, 40, 41, 46, 48, 66, 71","HSPA 42.2/5.76 Mbps, LTE-A, EV-DO Rev.A 3.1 Mbps","2020, March 18","Available. Released 2020, March 19",247.6 x 178.5 x 5.9 mm (9.75 x 7.03 x 0.23 in),"471 g (Wi-Fi), 473 g (LTE) (1.04 lb)","Glass front, aluminum back, aluminum frame","Nano-SIM, eSIM","IPS LCD capacitive touchscreen, 16M colors","11.0 inches, 366.5 cm2 (~82.9% screen-to-body ratio)",1668 x 2388 pixels (~265 ppi density),"iPadOS 13.4, upgradable to iPadOS 14",Apple A12Z Bionic,Octa-core (4x2.5 GHz Vortex + 4x1.6 GHz Tempest),Apple GPU (8-core graphics),No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM, 1TB 6GB RAM",CDMA 800 / 1900,"12 MP, f/1.8, (wide), 1/3"", 1.22µm,  dual pixel PDAF 10 MP, f/2.4, 11mm (ultrawide) TOF 3D LiDAR scanner (depth)","Quad-LED dual-tone flash, HDR","4K@24/30/60fps, 1080p@30/60/120/240fps; gyro-EIS","7 MP, f/2.2","Face detection, HDR, panorama",1080p@30/60fps,"Yes, with stereo speakers (4 speakers)",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE, EDR","Yes, with A-GPS, GLONASS, GALILEO, QZSS (Wi‑Fi + Cellular model only)",No,"3.1, Type-C 1.0 reversible connector; magnetic connector","Face ID, accelerometer, gyro, proximity, barometer",Li-Po (28.65 Wh),Reverse charging Fast charging 18W,"Silver, Space Gray","A2068, A2230, A2228, A2231",About 800 EUR,,,CDMA2000 1xEV-DO,Siri natural language commands and dictation,,,,,"Scratch-resistant glass, oleophobic coating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,Apple iPhone 11 Pro Max,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-11-pro.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM) - for China,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66 - A2218","HSPA 42.2/5.76 Mbps, LTE-A 1.6 Gbps DL, EV-DO Rev.A 3.1 Mbps","2019, September 10","Available. Released 2019, September 20",158 x 77.8 x 8.1 mm (6.22 x 3.06 x 0.32 in),226 g (7.97 oz),"Glass front (Gorilla Glass), glass back (Gorilla Glass), stainless steel frame","Single SIM (Nano-SIM and/or eSIM) or Dual SIM (Nano-SIM, dual stand-by) - for China","Super Retina XDR OLED capacitive touchscreen, 16M colors","6.5 inches, 102.9 cm2 (~83.7% screen-to-body ratio)","1242 x 2688 pixels, 19.5:9 ratio (~458 ppi density)","iOS 13, upgradable to iOS 14",Apple A13 Bionic (7 nm+),Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder),Apple GPU (4-core graphics),No,"64GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM",CDMA 800 / 1900,"12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 13mm (ultrawide), 1/3.6""","Quad-LED dual-tone flash, HDR (photo/panorama)","4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.",,HDR,"4K@24/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",No,"2.0, proprietary reversible connector","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 3969 mAh, non-removable (15.04 Wh)","Fast charging 18W, 50% in 30 min (advertised) USB Power Delivery 2.0 Qi wireless charging","Matte Space Gray, Matte Silver, Matte Gold, Matte Midnight Green","A2218, A2161, A2220","$ 939.99 / € 903.21 / £ 833.95 / ₹ 99,990",$ 939.99,,CDMA2000 1xEV-DO,Siri natural language commands and dictation,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",,,,"Scratch-resistant glass, oleophobic coating",Yes,,,,,,,Up to 20 h (multimedia),Up to 80 h,,,,,,0.95 W/kg (head)     0.99 W/kg (body),Contrast ratio: Infinite (nominal),Photo / Video,Voice 71dB / Noise 74dB / Ring 79dB,Noise -94.3dB / Crosstalk -81.5dB,Endurance rating 102h,1.16 W/kg (head)     1.17 W/kg (body),,,,,,,,"AnTuTu: 459713 (v7), 536883 (v8) GeekBench: 13870 (v4.4), 3503 (v5.1) GFXBench: 57fps (ES 3.1 onscreen)",,,,"$ 1,029.99","$ 1,449.00",,,,,
