Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad,Performance,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,256GB 4GB RAM,512GB 4GB RAM,Dual_1,128GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,128GB 2GB RAM
archos,Archos Diamond,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-2019.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 7, 20, 28","HSPA 42.2/5.76 Mbps, LTE-A","2019, February",Cancelled,158.7 x 74.1 x 8.6 mm (6.25 x 2.92 x 0.34 in),166 g (5.86 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm2 (~85.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",Android 9.0 (Pie),Mediatek MT6771 Helio P70 (12nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,microSDXC (uses shared SIM slot),128GB 4GB RAM,eMMC 5.1,,"Dual-LED flash, HDR, panorama",1080p@30fps,"Motorized pop-up 8 MP, f/2.0, 1/4"", 1.12µm",HDR,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 3400 mAh, non-removable",Fast charging 18W Wireless charging,Dark Blue,,About 300 EUR,,,,,"16 MP, f/1.8, 1/2.8"", 1.12µm, PDAF 5 MP, f/2.2, (depth)",,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archos,Archos Oxygen 68XL,https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-68xl.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 20","HSPA 42.2/5.76 Mbps, LTE-A","2019, February","Available. Released 2019, May",173.5 x 81.6 x 9 mm (6.83 x 3.21 x 0.35 in),214 g (7.55 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.85 inches, 117.1 cm2 (~82.7% screen-to-body ratio)","640 x 1352 pixels, 19:9 ratio (~218 ppi density)",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),32GB 3GB RAM,eMMC 5.1,,LED flash,1080p@30fps,5 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 5000 mAh, non-removable",,Dark Blue,,About 150 EUR,,,,,"8 MP, AF 0.3 MP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archos,Archos Oxygen 63,https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-63.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 20","HSPA 42.2/5.76 Mbps, LTE","2019, February","Available. Released 2019, May",159.2 x 75.8 x 9.3 mm (6.27 x 2.98 x 0.37 in),162 g (5.71 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm2 (~81.1% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~269 ppi density)",Android 9.0 (Pie),Unisoc SC9863 (28nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSD,64GB 4GB RAM,,,LED flash,1080p@30fps,5 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 3000 mAh, removable",,Dark Blue,,About 130 EUR,,,,,"8 MP, AF 0.3 MP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archos,Archos Oxygen 57,https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-57.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 20","HSPA 42.2/5.76 Mbps, LTE","2019, February","Available. Released 2019, May",147.8 x 70.7 x 9.3 mm (5.82 x 2.78 x 0.37 in),150 g (5.29 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.71 inches, 81.4 cm2 (~77.9% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",Android 9.0 (Pie),Unisoc SC9863 (28nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSD,32GB 3GB RAM,,,LED flash,1080p@30fps,5 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 2800 mAh, removable",,Dark Violet,,About 100 EUR,,,,,"8 MP, AF 0.3 MP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archos,Archos Saphir 50X,https://fdn2.gsmarena.com/vv/bigpic/archos-saphir-50x.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 7, 20","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2018, April","Available. Released 2018, April",146.6 x 76 x 13 mm (5.77 x 2.99 x 0.51 in),210 g (7.41 oz),,"Dual SIM (Nano-SIM, dual stand-by)","S-IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~61.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 7.0 (Nougat),Mediatek MT6737VWT,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSDXC,16GB 2GB RAM,IP68 dust/water resistant (up to 1m for 30 mins),,LED flash,1080p@30fps,"8 MP, AF",,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","Li-Ion 4000 mAh, non-removable",,Black,,About 150 EUR,,,eMMC 5.0,,,,2 MP,,Corning Gorilla Glass 4,,,,,,,,,,,,,,,0.55 W/kg (head)     0.80 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,
archos,Archos Diamond Omega,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-omega.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps","2017, October","Available. Released 2017, November",147.5 x 72.7 x 8.5 mm (5.81 x 2.86 x 0.33 in),170 g (6.00 oz),"Glass front (Gorilla Glass), glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.73 inches, 87.6 cm2 (~81.7% screen-to-body ratio)","1080 x 2040 pixels, 17:9 ratio (~403 ppi density)","Android 7.1 (Nougat), nubia UI 5",Qualcomm MSM8998 Snapdragon 835 (10 nm),Octa-core (4x2.45 GHz Kryo & 4x1.9 GHz Kryo),Adreno 540,No,128GB 8GB RAM,32-bit/384kHz audio,,"Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps","5 MP, f/2.2 5 MP",,1080p@30fps,Yes,No,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,"Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 3100 mAh, non-removable",Fast charging 18W Quick Charge 3.0,Dark Blue,,About 300 EUR,,,,,"12 MP, f/1.8, 1/2.55"", 1.4µm, dual pixel PDAF 23 MP, f/2.0, PDAF, 2x lossless zoom",,,,Corning Gorilla Glass (unspecified version),Yes,,,,,,,,,,,,,,,,Photo / Video,Voice 76dB / Noise 73dB / Ring 87dB,,Endurance rating 74h,,,,,,,,,GeekBench: 6689 (v4.4)GFXBench: 23fps (ES 3.1 onscreen),,,,,,,,,,
archos,Archos Diamond Alpha +,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-alpha-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,LTE (unspecified),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2017, August","Available. Released 2017, October",146.7 x 72.5 x 7.5 mm (5.78 x 2.85 x 0.30 in),155 g (5.47 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~70.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Android 6.0 (Marshmallow),Qualcomm MSM8976 Pro Snapdragon 653 (28 nm),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Adreno 510,microSDXC (uses shared SIM slot),128GB 6GB RAM,eMMC 5.1,,"LED flash, HDR, panorama","4K@30fps, 1080p@30fps","13 MP, 1/2.9"", 1.25µm, AF 13 MP B/W",,"4K@30fps, 1080p@30fps",Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",No,"Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3000 mAh, non-removable",,"Black, Gold",,About 400 EUR,,,,,,,"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",,Corning Gorilla Glass (unspecified version),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archos,Archos Diamond Tab,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-tab-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE","2017, August","Available. Released 2017, October",255 x 163 x 8 mm (10.04 x 6.42 x 0.31 in),510 g (1.12 lb),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~71.2% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~299 ppi density)",Android 7.0 (Nougat),Rockchip RK3399,Dual-core Cortex-A72 & quad-core Cortex-A53,Mali-T860MP4,microSDXC (dedicated slot),64GB 4GB RAM,,,LED flash,1080p@30fps,"13 MP, AF",,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, EDR","Yes, with A-GPS",No,microUSB 2.0,Accelerometer,"Li-Po 6600 mAh, non-removable",,Black,,About 300 EUR,,,,,,,5 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archos,Archos Diamond Alpha,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-alpha.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 20","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2017, June","Available. Released 2017, July",146.7 x 72.5 x 7.5 mm (5.78 x 2.85 x 0.30 in),155 g (5.47 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~70.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Android 6.0 (Marshmallow),Qualcomm MSM8976 Snapdragon 652 (28 nm),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Adreno 510,microSDXC (uses shared SIM slot),64GB 4GB RAM,eMMC 5.1,,"LED flash, HDR, panorama","4K@30fps, 1080p@30fps","13 MP, 1/2.9"", 1.25µm, AF 13 MP B/W",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",No,"Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 2950 mAh, non-removable",,Black,,About 350 EUR,,,,,,,"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",,,,,,,,,Up to 320 h (3G),Up to 11 h (3G),,,,,,,1.02 W/kg (head)     0.76 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,
archos,Archos Sense 55s,https://fdn2.gsmarena.com/vv/bigpic/archos-sense-55s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 20","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, June","Available. Released 2017, July",142.5 x 74.2 x 8 mm (5.61 x 2.92 x 0.31 in),130 g (4.59 oz),,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~70.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Android 7.0 (Nougat),,,,microSDXC,16GB 2GB RAM,Yes,,Dual-LED dual-tone flash,1080p@30fps,"8 MP, AF",,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",No,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity","Li-Ion 3000 mAh, non-removable",,Black,,About 250 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
