Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad,Performance,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,256GB 4GB RAM,512GB 4GB RAM,Dual_1,128GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,128GB 2GB RAM,5G bands,Triple_1,256GB 8GB RAM,128GB 8GB RAM,128GB 12GB RAM,256GB 12GB RAM,512GB 12GB RAM,64GB 6GB RAM,128GB 6GB RAM,512GB 8GB RAM
asus,Asus Zenfone 7 Pro ZS671KS,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone7-pro-zs670ks-zs671ks-b.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 29, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat19 1800/150 Mbps, 5G 3.6 Gbps DL","2020, August 26","Available. Released 2020, September 01",165.1 x 77.3 x 9.6 mm (6.5 x 3.04 x 0.38 in),230 g (8.11 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm2 (~84.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Android 10,  ZenUI 7",Qualcomm SM8250 Snapdragon 865+ (7 nm+),Octa-core (1x3.1 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,microSDXC (dedicated slot),256GB 8GB RAM,HDR10+ 90Hz refresh rate 700 nits typ. brightness (advertised),"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF, OIS 8 MP, f/2.4, 80mm (telephoto), PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 113˚, 17mm (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF","Dual-LED flash, HDR, auto panorama (motorized rotation)","8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS, HDR",,"Dual-LED flash, HDR, auto panorama (motorized rotation)","8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS, HDR","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX Adaptive","Yes, with dual-band A-GPS, GLONASS, GALILEO, BDS, QZSS, NavIC",No,Type-C 1.0 reversible connector,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","Fast charging 30W, 60% in 34 min, 100% in 93 min (advertised) USB Power Delivery 3.0 Reverse charging","Aurora Black, Pastel White","ZS671KS, ASUS_I002DD",$ 749.00 / € 799.00 / £ 729.12,,,UFS 3.1,24-bit/192kHz audio,,,,,Corning Gorilla Glass 6,Yes,,,,,,,,,,,,,,,Contrast ratio: Infinite (nominal),Photo / Video,-26.6 LUFS (Good),,Endurance rating 99h,,,,,,,,,AnTuTu: 602934 (v8) GeekBench: 3302 (v5.1) GFXBench: 46fps (ES 3.1 onscreen),,,,,,,,,,,"1, 2, 3, 5, 7, 8, 12, 20, 28, 38, 77, 78 SA/NSA",Motorized flip-up main camera module,$ 974.49,,,,,,,
asus,Asus Zenfone 7 ZS670KS,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone7-pro-zs670ks-zs671ks.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 29, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat19 1800/150 Mbps, 5G 3.6 Gbps DL","2020, August 26","Available. Released 2020, September 01",165.1 x 77.3 x 9.6 mm (6.5 x 3.04 x 0.38 in),230 g (8.11 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm2 (~84.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Android 10,  ZenUI 7",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),Adreno 650,microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM",HDR10+ 90Hz refresh rate 700 nits typ. brightness (advertised),"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.4, 80mm (telephoto), PDAF, 3x optical zoom 12 MP, f/2.2, 113˚, 17mm (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF","Dual-LED flash, HDR, auto panorama (motorized rotation)","8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS, HDR",,"Dual-LED flash, HDR, auto panorama (motorized rotation)","8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS, HDR","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX Adaptive","Yes, with dual-band A-GPS, GLONASS, GALILEO, BDS, QZSS, NavIC",No,Type-C 1.0 reversible connector,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","Fast charging 30W, 60% in 34 min, 100% in 93 min (advertised) USB Power Delivery 3.0 Reverse charging","Aurora Black, Pastel White","ZS670KS, ASUS_I002D",$ 798.99,,,UFS 3.1,24-bit/192kHz audio,,,,,Corning Gorilla Glass 6,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1, 2, 3, 5, 7, 8, 12, 20, 28, 38, 77, 78 SA/NSA",Motorized flip-up main camera module,,$ 798.99,,,,,,
asus,Asus ROG Phone 3 ZS661KS,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-3-zs661ks.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 - A version,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 48, 66, 71 - A version","HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat20 2000/150 Mbps, 5G 4.4 Gbps DL","2020, July 22","Available. Released 2020, July 23",171 x 78 x 9.9 mm (6.73 x 3.07 x 0.39 in),240 g (8.47 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 1B colors","6.59 inches, 106.6 cm2 (~79.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)","Android 10, ROG UI",Qualcomm SM8250 Snapdragon 865+ (7 nm+),Octa-core (1x3.1 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,No,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",CDMA 800 & TD-SCDMA,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 13 MP, f/2.4, 125˚, 11mm (ultrawide) 5 MP, f/2.0, (macro)","LED flash, HDR, panorama","8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS","24 MP, f/2.0, 27mm (wide), 0.9µm","Panorama, HDR",1080p@30fps,"Yes, with DTS:X stereo speakers (2 dedicated amplifiers)",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD, aptX Adaptive","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, GNSS",No,"Two (side 3.1, bottom 2.0) Type-C 1.0 reversible connector; accessory connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 6000 mAh, non-removable","Fast charging 30W Power Delivery 3.0 Quick Charge 4.0, 3.0 Reverse charging 10W",Black Glare,"ASUS_I003D, ZS661KS",$ 638.99 / € 799.00 / £ 520.70,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - B version,24-bit/192kHz audio,,,,,Corning Gorilla Glass 6,Yes,,,,,,,,,,,,,,,Contrast ratio: Infinite (nominal),Photo / Video,-23.1 LUFS (Very good),,Endurance rating 120h,0.74 W/kg (head)     1.50 W/kg (body),,,,,,,,"AnTuTu: 621932 (v8) GeekBench: 13306 (v4.4), 3386 (v5.1) GFXBench: 48fps (ES 3.1 onscreen)",,,,,,,,,,,"1, 2, 3, 5, 28, 41, 66, 71, 77, 78, 79 SA/NSA - A version",,,,$ 680.99,$ 775.99,"$ 1,099.99",,,
asus,Asus ROG Phone 3 Strix,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone3-strix.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat18 1200/150 Mbps, 5G 4.0 Gbps DL","2020, July 22","Available. Released 2020, July 23",171 x 78 x 9.9 mm (6.73 x 3.07 x 0.39 in),240 g (8.47 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 1B colors","6.59 inches, 106.6 cm2 (~79.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)","Android 10, ROG UI",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,No,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 8GB RAM",CDMA 800 & TD-SCDMA,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 13 MP, f/2.4, 125˚, 11mm (ultrawide) 5 MP, f/2.0, (macro)","LED flash, HDR, panorama","8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS","24 MP, f/2.0, 27mm (wide), 0.9µm","Panorama, HDR",1080p@30fps,"Yes, with DTS:X stereo speakers (2 dedicated amplifiers)",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD, aptX Adaptive","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, GNSS",No,"Two (side 3.1, bottom 2.0) Type-C 1.0 reversible connector; accessory connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 6000 mAh, non-removable","Fast charging 30W Power Delivery 3.0 Quick Charge 4.0, 3.0 Reverse charging 10W",Black Glare,ASUS_I003DD,$ 583.08 / £ 520.99,,,RGB light panel (on the back) Pressure sensitive zones (Gaming triggers),24-bit/192kHz audio,,,,,Corning Gorilla Glass 6,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41, 77, 78, 79 SA/NSA",,$ 799.99,£ 520.99,$ 669.00,,,,,
asus,Asus ROG Phone II ZS660KL,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 28, 29, 32, 34, 38, 39, 40, 41, 46","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 (Cat20 Ultimate edition) 1200/150 Mbps","2019, July 22","Available. Released 2019, September",171 x 77.6 x 9.5 mm (6.73 x 3.06 x 0.37 in),240 g (8.47 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 1B colors","6.59 inches, 106.6 cm2 (~80.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)","Android 9.0 (Pie), ROG UI",Qualcomm SM8150 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),No,"128GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM",RGB light panel (on the back),,"LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS (except @240/480fps)","24MP, f/2.2, 0.9µm","Panorama, HDR",1080p@30fps,"Yes, with DTS:X stereo speakers (2 dedicated amplifiers)",Yes,"Wi-Fi 802.11 a/b/g/n/ac/ad, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",FM radio,"3.1, Type-C 1.0 reversible connector; accessory connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 6000 mAh, non-removable",Fast charging 30W Quick Charge 4.0 Reverse charging 10W,"Matte Black, Glossy Black","ASUS_I001D, I001DA, I001DE, I001DC, I001DB, I001D","£ 1,369.00",,,HDR10 120Hz refresh rate,24-bit/192kHz audio,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, Laser AF 13 MP, f/2.4, 11mm (ultrawide)",,,,Corning Gorilla Glass 6,Yes,,,,,,,,,,,,,,,Contrast ratio: Infinite (nominal),Photo / Video,-19.5 LUFS (Excellent),,Endurance rating 114h,,,,,,,,,"AnTuTu: 398935 (v7), 483239 (v8) GeekBench: 10923 (v4.4) GFXBench: 40fps (ES 3.1 onscreen)",,,,,,,,,,,,,,"£ 1,369.00",,,,,,
asus,Asus Zenfone 6 ZS630KL,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-6-zs630kl.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 - A version,"1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41 - A version","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps","2019, May 16","Available. Released 2019, May",159.1 x 75.4 x 9.2 mm (6.26 x 2.97 x 0.36 in),190 g (6.70 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~83.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Android 9.0 (Pie), ZenUI 6",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,microSDXC (dedicated slot),"64GB 6GB RAM, 128GB 6GB RAM, 256GB 8GB RAM","HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 - B version, C version",,"Dual-LED flash, HDR, auto panorama (motorized rotation)","4K@30/60fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS (except @240/480fps)",,"Dual-LED flash, HDR, auto panorama (motorized rotation)","4K@30/60fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS (except @240/480fps)","Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable",Fast charging 18W Quick Charge 4.0 Reverse charging 10W,"Midnight Black, Twilight Silver","ASUS_I01WD, ZS630KL, I01WD",$ 660.00 / € 486.42,,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 38, 39, 41, 46 - B version",24-bit/192kHz audio,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, Laser AF 13 MP, f/2.4, 11mm (ultrawide)",,,,Corning Gorilla Glass 6,Yes,,,,,,Up to 624 h (3G),Up to 33 h (3G),,,,,,,,Contrast ratio: 1201:1 (nominal),Photo / Video,-25.7 LUFS (Very good),Noise -85.8dB / Crosstalk -76.2dB,Endurance rating 112h,,,,,,,,,"AnTuTu: 361679 (v7), 447774 (v8) GeekBench: 10721 (v4.4), 2609 (v5.1) GFXBench: 36fps (ES 3.1 onscreen)",,,,,,Motorized flip-up main camera module,,,,,,,$ 690.00,,,,,$ 690.00,$ 660.00,
asus,Asus ZenFone Live (L2),https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-live-l2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 - A version,"1, 2, 3, 5, 7, 8, 20, 40 - A version","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, April","Available. Released 2019, May",147.3 x 71.8 x 8.2 mm (5.80 x 2.83 x 0.32 in),140 g (4.94 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2 (~73.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)","Android 8.0 Oreo (Go edition), ZenUI 5",Qualcomm MSM8917 Snapdragon 425 (28 nm)Qualcomm MSM8937 Snapdragon 430 (28 nm),Quad-core 1.4 GHz Cortex-A53Octa-core 1.4 GHz Cortex-A53,Adreno 308Adreno 505,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM",HSDPA 850 / 900 / 2100 - B version,,"LED flash, HDR, panorama",1080p@30fps,"8 MP or 13 MP, f/2.0, PDAF","LED flash, HDR",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Ion 3000 mAh, non-removable",,"Rocket Red, Cosmic Blue",,,,,HSDPA 850 / 900 / 2100 / 800 - C version,eMMC 5.1,,,"5 MP, f/2.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asus,Asus Zenfone Max Plus (M2) ZB634KL,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-plus-m2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 28","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/50 Mbps","2019, March","Available. Released 2019, March",159.2 x 76.2 x 8.4 mm (6.27 x 3.00 x 0.33 in),165 g (5.82 oz),,"Dual SIM (Nano-SIM, dual stand-by)","S-IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 98.7 cm2 (~81.4% screen-to-body ratio)","1080 x 2246 pixels, 18.7:9 ratio (~398 ppi density)",Android 8.0 (Oreo),Qualcomm Snapdragon SiP 1,Octa-core 1.8 GHz,Adreno 506,microSDXC (dedicated slot),32GB 3GB RAM,,,"LED flash, HDR, panorama",1080p@30fps,8 MP,LED flash,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity","Li-Po 4000 mAh, non-removable",Charging 10W,"Red, Silver, Blue, Black",,About 200 EUR,,,,,"12 MP, f/1.8, 1/2.9"", 1.25μm, PDAF 5 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asus,Asus Zenfone Max Shot ZB634KL,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-shot.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 28","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/50 Mbps","2019, March","Available. Released 2019, March",159.2 x 76.2 x 8.4 mm (6.27 x 3.00 x 0.33 in),165 g (5.82 oz),,"Dual SIM (Nano-SIM, dual stand-by)","S-IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 98.7 cm2 (~81.4% screen-to-body ratio)","1080 x 2246 pixels, 18.7:9 ratio (~398 ppi density)",Android 8.0 (Oreo),Qualcomm Snapdragon SiP 1,Octa-core 1.8 GHz,Adreno 506,microSDXC (dedicated slot),64GB 4GB RAM,,"12 MP, f/1.8, 1/2.9"", 1.25μm, PDAF 8 MP, 13mm (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,8 MP,LED flash,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity","Li-Po 4000 mAh, non-removable",Charging 10W,"Red, Silver, Blue, Black",A001D,About 310 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asus,Asus Zenfone Max Pro (M2) ZB631KL,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-pro-m2r1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 40","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps","2018, December","Available. Released 2018, December",157.9 x 75.5 x 8.5 mm (6.22 x 2.97 x 0.33 in),175 g (6.17 oz),"Glass front (Gorilla Glass 6), plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm2 (~82.0% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~403 ppi density)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)",Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 4GB RAM, 64GB 6GB RAM",eMMC 5.1,,"LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps, gyro-EIS","13 MP, f/2.0, (wide), 1/3.1"", 1.12µm","LED flash, HDR",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable",Charging 10W,"Blue, Titanium","X01BDA, Zenfone Max Pro M2, ZB631KL",About 370 EUR,,,,,"12 MP, f/1.8, 1/2.9"", 1.25μm, PDAF 5 MP, f/2.4, (depth)",,,,Corning Gorilla Glass 6,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnTuTu: 124039 (v7)GeekBench: 5169 (v4.4)GFXBench: 7.6fps (ES 3.1 onscreen),,,,,,,,,,,,,,,,,,,,
