Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad,Performance,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,256GB 4GB RAM,512GB 4GB RAM,Dual_1,128GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,128GB 2GB RAM,5G bands,Triple_1,256GB 8GB RAM,128GB 8GB RAM,128GB 12GB RAM,256GB 12GB RAM,512GB 12GB RAM,64GB 6GB RAM,128GB 6GB RAM,512GB 8GB RAM
benq,BenQ F52,https://fdn2.gsmarena.com/vv/bigpic/benq-f52.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE 700 / 900 / 1800,"HSPA, LTE Cat4 150/50 Mbps","2015, May. Released 2015, May",Discontinued,147 x 74.5 x 9.3 mm (5.79 x 2.93 x 0.37 in),142 g (5.01 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~68.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Android 5.0 (Lollipop),Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDXC (dedicated slot),16GB 2GB RAM,eMMC 4.5,,"LED flash, HDR, panorama",Yes,"13 MP, AF",LED flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 2500 mAh, removable",,"Glam Pink, Chic Gray",,,,,,,,,8 MP,,,Yes,,,,,,Up to 580 h (3G),Up to 24 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ B502,https://fdn2.gsmarena.com/vv/bigpic/benq-b502.jpg,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,"2014, October. Released 2014, October",Discontinued,144 x 69.7 x 7 mm (5.67 x 2.74 x 0.28 in),125 g (4.41 oz),,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,16GB 2GB RAM,,,LED flash,Yes,"13 MP, AF",,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1800 mAh, non-removable",,"Black, White",,,,,,,,,5 MP,,,,,,,,,Up to 430 h (3G),Up to 11 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ T3,https://fdn2.gsmarena.com/vv/bigpic/benq-t3.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"3, 7","HSPA, LTE Cat4 150/50 Mbps","2014, September. Released 2014, September",Discontinued,131.9 x 66.7 x 8.5 mm (5.19 x 2.63 x 0.33 in),128 g (4.52 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~63.5% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Android 4.4.2 (KitKat),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),4GB 1GB RAM,eMMC 4.5,,"LED flash, HDR, panorama",Yes,"8 MP, AF",,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Ion 1840 mAh, non-removable",,"Black, White, Green",,About 80 EUR,,,,,,,VGA,,,,,,,,,Up to 450 h (3G),Up to 15 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ F5,https://fdn2.gsmarena.com/vv/bigpic/benq-f5.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"3, 7","HSPA, LTE Cat4 150/50 Mbps","2014, September. Released 2014, September",Discontinued,143 x 72.8 x 8.5 mm (5.63 x 2.87 x 0.33 in),135 g (4.76 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),16GB 2GB RAM,eMMC 4.5,,"LED flash, HDR, panorama",Yes,"13 MP, AF",,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Ion 2520 mAh, non-removable",,"Black, White",,About 100 EUR,,,,,,,2 MP,,,Yes,,,,,,Up to 550 h (3G),Up to 24 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ F3,https://fdn2.gsmarena.com/vv/bigpic/benq-f3.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,HSPA 42.2/11.5 Mbps,"2013, November. Released 2013, November",Discontinued,131.6 x 66.9 x 8.9 mm (5.18 x 2.63 x 0.35 in),119 g (4.20 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~63.4% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Android 4.2.2 (Jelly Bean),Mediatek MT6589 (28 nm),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,microSDHC (dedicated slot),4GB 1GB RAM,,,"LED flash, HDR, panorama",Yes,"13 MP, AF",,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",Yes,"Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Ion 2100 mAh, removable",,"White, Red",,About 200 EUR,,,,,,,2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ A3,https://fdn2.gsmarena.com/vv/bigpic/benq-a3.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,HSPA 7.2/5.76 Mbps,"2013, November. Released 2013, November",Discontinued,133.9 x 66 x 10 mm (5.27 x 2.60 x 0.39 in),135 g (4.76 oz),,Mini-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~63.2% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Android 4.1.2 (Jelly Bean),Qualcomm MSM8225Q Snapdragon S4 Play,Quad-core 1.2 GHz Cortex-A5,Adreno 203,microSDHC (dedicated slot),4GB 1GB RAM,,,LED flash,Yes,"8 MP, AF",,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",Yes,"Yes, with A-GPS",Stereo FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 2000 mAh, removable",,"Black, White",,About 150 EUR,,,,,,,2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ E55,https://fdn2.gsmarena.com/vv/bigpic/benq-e55.jpg,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,,"Yes, 384 kbps","2008, July. Released 2008, July",Discontinued,94 x 48 x 19 mm (3.70 x 1.89 x 0.75 in),95 g (3.35 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~27.9% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSD (dedicated slot),45MB,"Wallpapers Second external 1-inch 65K CSTN display, 96 x 64 pixels",,,Yes,2 MP,,,Yes,No,No,"1.2, A2DP",No,No,1.2,,Removable Li-Ion 900 mAh battery,,"Red, Brown",,,,,MP3/MP4 player Organizer Voice memo,,,,VGA videocall camera,,,,,,,,,Up to 180 h,Up to 2 h 40 min,,Yes,Yes,"SMS, EMS, MMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ C36,https://fdn2.gsmarena.com/vv/bigpic/benq-c36.jpg,GSM,GSM 900 / 1800,,,,"2008, April. Released 2008",Discontinued,108 x 47.2 x 14.2 mm (4.25 x 1.86 x 0.56 in),78 g (2.75 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~24.7% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSD (dedicated slot),,No,,,Yes,1.3 MP,,,Yes,No,No,No,No,FM radio; scheduled recording,1.1,,Removable Li-Ion 640 mAh battery,,Lustrous Blue,,,,,Dedicated music keys,Dual loud speakers MP3 player Voice memo Health management E-book reader  Webcam Chat Photo editor,,,,,,,Class 12,No,,,,Up to 180 h,Up to 2 h 40 min,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3, AAC, WAV, AMR, MIDI ringtones, composer",,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ E53,https://fdn2.gsmarena.com/vv/bigpic/benq-e53.jpg,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,,"Yes, 384 kbps","2008, March. Released 2008",Discontinued,93 x 47 x 17 mm (3.66 x 1.85 x 0.67 in),90 g (3.17 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~28.8% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSD (dedicated slot),45MB,Wallpapers Second external 1-inch OLED display,,,Yes,1.3 MP,,,Yes,No,No,2.0,No,No,1.2,,Removable Li-Ion 900 mAh battery,,Black,,,,,MP3/MP4 player Voice memo Photo editor,,,,Yes,,,,,,,,,,,,Yes,Yes,"SMS, EMS, MMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ T60,https://fdn2.gsmarena.com/vv/bigpic/benq-t60.jpg,GSM,GSM 900 / 1800,,,,"2008, March. Released 2008",Discontinued,109 x 46 x 8.9 mm (4.29 x 1.81 x 0.35 in),80 g (2.82 oz),,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2 (~29.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,,microSD (dedicated slot),24MB,No,,,Yes,3.15 MP,,,Yes,No,No,"1.1, A2DP",No,FM radio; scheduled recording,1.2,,Removable Li-Ion 750 mAh battery,,Sleek black,,,,,MP3/MP4/3GP player Caller Blacklist Photo Artist Voice memo,,,,,,,,Class 12,No,,,,Up to 180 h,Up to 2 h 30 min,,Yes,Yes,"SMS, MMS, EMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MIDI, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
