Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad,Performance,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,256GB 4GB RAM,512GB 4GB RAM,Dual_1,128GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,128GB 2GB RAM,5G bands,Triple_1,256GB 8GB RAM,128GB 8GB RAM,128GB 12GB RAM,256GB 12GB RAM,512GB 12GB RAM,64GB 6GB RAM,128GB 6GB RAM,512GB 8GB RAM
bird,Bird M32,https://fdn2.gsmarena.com/vv/bigpic/bird-m32.gif,GSM,GSM 900 / 1800,,,,2007,Cancelled,94 x 46 x 16.5 mm (3.70 x 1.81 x 0.65 in),84 g (2.96 oz),,Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~23.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,microSD,,Second External LCD Neon Color,,,No,VGA,,,Yes,No,No,No,No,FM radio (optional),Proprietary,,Removable Li-Ion 600 mAh battery,,Light Blue,,,,,No,"MP3 player, MP4 player Audio Recorder Data/Fax Modem Languages: Chinese, English, French, Arabic, Hindi, Spanish, Portuguese FR,HR,EFR,AMR Voice Codecs",,,,,,,Class 10,No,,,,Up to 150 h,Up to 3 h 20 min,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird D636,https://fdn2.gsmarena.com/vv/bigpic/bird-d636.gif,GSM,GSM 900 / 1800,,,,2007,Cancelled,105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in),98.4 g (3.46 oz),,Mini-SIM,"TFT, 260K colors","1.9 inches, 11.4 cm2 (~23.7% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),,,,,microSD,60MB,No,,,Yes,1.3 MP,,,Yes,No,No,No,No,No,Proprietary,,Removable Li-Ion 600 mAh battery,,Black,,,,,"MP3 player, MP4 player Audio Recorder Data/Fax Modem Languages: Chinese, English, French, Spanish, Portuguese, Hindi FR,HR,EFR,AMR Voice Codecs",,,,,,,,Class 12,No,,,,Up to 120 h,Up to 3 h 20 min,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird D706,https://fdn2.gsmarena.com/vv/bigpic/bird-d706.gif,GSM,GSM 900 / 1800,,,,2007,Cancelled,105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in),84 g (2.96 oz),,Mini-SIM,"TFT, 260K colors","1.9 inches, 11.4 cm2 (~23.7% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),,,,,microSD,60MB,No,,,Yes,1.3 MP,,,Yes,No,No,No,No,No,Proprietary,,Removable Li-Ion 600 mAh battery,,Golden Black,,,,,"MP3 player, MP4 player Audio Recorder Data/Fax Modem Languages: Chinese, English, French, Spanish, Portuguese, Hind FR,HR,EFR,AMR Voice Codecs",,,,,,,,Class 12,No,,,,Up to 120 h,Up to 3 h 20 min,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird D615,https://fdn2.gsmarena.com/vv/bigpic/bird-d615.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in),82 g (2.89 oz),,Mini-SIM,"TFT, 65K colors","1.8 inches, 10.2 cm2 (~21.3% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,microSD (dedicated slot),60MB,No,,,Yes,1.3 MP,,,Yes,No,No,Yes,No,FM radio,Proprietary,,Removable Li-Ion 650 mAh battery,,"Soft-touch Grey, Shining Blue",,,,,"MP3 player, MP4 player Voice memo Data/Fax Modem",,,,,,,,Class 12,No,,,,Up to 140 h,Up to 4 h,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,"Chinese, English, French, Spanish, Portuguese, Hin",,,,,,,,,,,,,,,,,,,,,,
bird,Bird S768,https://fdn2.gsmarena.com/vv/bigpic/bird-s768.gif,GSM,GSM 900 / 1800,,,,2007,Cancelled,105 x 46 x 10 mm (4.13 x 1.81 x 0.39 in),75 g (2.65 oz),,Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~21.1% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,microSD,,No,,,,,,,Yes,No,No,No,No,FM radio,Proprietary,,Removable Li-Ion 700 mAh battery,,"Pink, Blue",,,,,MP3 player X-Slim design,,,,,,,,No,No,,,,Up to 150 h,Up to 4 h,,Yes,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird S758,https://fdn2.gsmarena.com/vv/bigpic/bird-s758.gif,GSM,GSM 900 / 1800,,,,2007,Cancelled,105 x 46 x 10 mm (4.13 x 1.81 x 0.39 in),73 g (2.57 oz),,Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~21.1% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,No,,No,,,,,,,Yes,No,No,No,No,FM radio (optional),No,,Removable Li-Ion 700 mAh battery,,"Pink, Black",,,,,X-Slim design,,,,,,,,No,No,,,,Up to 150 h,Up to 4 h,,Yes,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird S618,https://fdn2.gsmarena.com/vv/bigpic/bird-s618.gif,GSM,GSM 900 / 1800,,,,2007,Cancelled,103 x 46 x 11 mm (4.06 x 1.81 x 0.43 in),73 g (2.57 oz),,Mini-SIM,Monochrome graphic,"1.7 inches, 9.1 cm2 (~19.2% screen-to-body ratio)",128 x 160 pixels (~121 ppi density),,,,,No,,No,,,,,,,Yes,No,No,No,No,FM radio (optional),No,,Removable Li-Ion 700 mAh battery,,Black,,,,,"FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Arabic, Hindi, Spanish, Portuguese",,,,,,,,No,No,,,,Up to 150 h,Up to 4 h,,Yes,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird D736,https://fdn2.gsmarena.com/vv/bigpic/bird-d736.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,95 x 47 x 18.2 mm (3.74 x 1.85 x 0.72 in),96 g (3.39 oz),,Mini-SIM,"TFT, 260K colors","1.9 inches, 11.4 cm2 (~25.4% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),,,,,microSD (dedicated slot),60MB,No,,,Yes,2 MP,,,Yes,No,No,No,No,FM radio,Proprietary,,Removable Li-Ion 600 mAh battery,,"UV Black, Soft-touch Black",,,,,"MP3/ MP4 player Voice memo Data/ Fax Modem FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi",,,,,,,,Class 12,No,,,,Up to 120 h,Up to 3 h 30 min,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird D716,https://fdn2.gsmarena.com/vv/bigpic/bird-d716.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,105.8 x 46 x 12.8 mm (4.17 x 1.81 x 0.50 in),81 g (2.86 oz),,Mini-SIM,"TFT, 260K colors","1.9 inches, 11.4 cm2 (~23.3% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),,,,,microSD (dedicated slot),60MB,No,,,Yes,"2 MP, AF",,,Yes,No,No,No,No,No,Proprietary,,Removable Li-Ion 600 mAh battery,,Mirror  Silver,,,,,"MP3/ MP4 player Audio Recorder Data/ Fax Modem FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi",,,,,,,,Class 12,No,,,,Up to 120 h,Up to 3.30 h,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird D720,https://fdn2.gsmarena.com/vv/bigpic/bird-d720.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,100 x 46 x 15.9 mm (3.94 x 1.81 x 0.63 in),93 g (3.28 oz),,Mini-SIM,"TFT, 260K colors","1.9 inches, 11.4 cm2 (~24.7% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),,,,,miniSD,60MB,No,,,Yes,2 MP,,,Yes,No,No,No,No,FM radio,Proprietary,,Removable Li-Ion 700 mAh battery,,"Silver, Green, Blue",,,,,"MP3/ MP4 player Voice memo Data/ Fax Modem FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi",,,,,,,,Class 12,No,,,,Up to 120 h,Up to 4 h,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird D611,https://fdn2.gsmarena.com/vv/bigpic/bird-d611.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,105.5 x 44 x 12.2 mm (4.15 x 1.73 x 0.48 in),71.4 g (2.50 oz),,Mini-SIM,"TFT, 65K colors","1.8 inches, 10.2 cm2 (~22.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,microSD (dedicated slot),60MB,No,,,Yes,1.3 MP,,,Yes,No,No,Yes,No,FM radio,Proprietary,,Removable Li-Ion 650 mAh battery,,Black,,,,,"MP3/ MP4 player Audio Recorder Data/ Fax Modem FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi",,,,,,,,Class 12,No,,,,Up to 140 h,Up to 4 h,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird D515,https://fdn2.gsmarena.com/vv/bigpic/bird-d515.gif,GSM,GSM 900 / 1800,,,,2007,Cancelled,106.7 x 46.3 x 10.3 mm (4.20 x 1.82 x 0.41 in),75 g (2.65 oz),,Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~20.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,microSD,,No,,,Yes,VGA,,,Yes,No,No,Optional,No,FM radio (optional),Proprietary,,Removable Li-Ion 650 mAh battery,,Black,,,,,"MP3/ MP4 player Audio Recorder Data/ Fax Modem FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi",,,,,,,,Class 12,No,,,,Up to 120 h,Up to 3 h 20 min,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird D612,https://fdn2.gsmarena.com/vv/bigpic/bird-d612.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,105.5 x 44 x 12.2 mm (4.15 x 1.73 x 0.48 in),71.4 g (2.50 oz),,Mini-SIM,"TFT, 65K colors","1.8 inches, 10.2 cm2 (~22.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,microSD (dedicated slot),,No,,,Yes,VGA,,,Yes,No,No,No,No,No,Proprietary,,Removable Li-Ion 650 mAh battery,,"Blue, Silver",,,,,"Data/ Fax Modem MP3/ MP4 player Audio Recorder FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi",,,,,,,,Class 12,No,,,,Up to 140 h,Up to 4 h,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
