Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad,Performance,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,256GB 4GB RAM,512GB 4GB RAM,Dual_1,128GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,128GB 2GB RAM,5G bands,Triple_1,256GB 8GB RAM,128GB 8GB RAM,128GB 12GB RAM,256GB 12GB RAM,512GB 12GB RAM,64GB 6GB RAM,128GB 6GB RAM,512GB 8GB RAM,32GB 4GB RAM
blu,BLU G50 Plus,https://fdn2.gsmarena.com/vv/bigpic/blu-g50-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 12, 17, 28","HSPA 42.2/5.76 Mbps, LTE","2020, September 22","Available. Released 2020, September 22",158.7 x 76 x 9.1 mm (6.25 x 2.99 x 0.36 in),180 g (6.35 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm2 (~79.5% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",Android 10,,Octa-core 1.6 GHz Cortex-A55,IMG8322,microSDXC,32GB 2GB RAM,,,"LED flash, HDR, panorama",1080p@30fps,"13 MP, AF",,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 4000 mAh, non-removable",Charging 10W,"Black, Blue, Red, Green",,About 109 USD,,,,,,,8 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU G50,https://fdn2.gsmarena.com/vv/bigpic/blu-g50.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 12, 17, 28","HSPA 42.2/5.76 Mbps, LTE","2020, September 18","Available. Released 2020, September 18",147.8 x 70.9 x 10.1 mm (5.82 x 2.79 x 0.40 in),190 g (6.70 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2 (~74.5% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",Android 10,,Octa-core 1.6 GHz Cortex-A55,IMG8322,microSDXC,32GB 2GB RAM,,,"LED flash, HDR, panorama",1080p@30fps,"13 MP, AF",,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 4000 mAh, non-removable",Charging 10W,"Black, Blue, Red, Green",,About 80 USD,,,,,,,8 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU G90 Pro,https://fdn2.gsmarena.com/vv/bigpic/blu-g90-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2020, August 25","Available. Released 2020, August 25",162 x 77 x 10.1 mm (6.38 x 3.03 x 0.40 in),215 g (7.58 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 103.7 cm2 (~83.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)",Android 10,Mediatek MT6785 Helio G90T (12 nm),Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G76 MC4,microSDXC,128GB 4GB RAM,eMMC 5.1,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.2, (macro) 2 MP, f/2.2, (depth)","LED flash, panorama, HDR",4K@30fps,"32 MP, f/2.0, (wide), 1/2.8"", 0.8µm",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 5100 mAh, non-removable",Fast charging 18W Fast wireless charging 10W (Qi),Purple Haze,,About 200 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Studio X10,https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x10.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2020, August 05","Available. Released 2020, August 05",146 x 73.5 x 9.3 mm (5.75 x 2.89 x 0.37 in),169 g (5.96 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 10 (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,16GB 1GB RAM,,,LED flash,720p@30fps,8 MP,,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,Li-Ion 2100 mAh battery,,"Green, Red, Black, Blue",,About 50 USD,,,,,,,5 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU G90,https://fdn2.gsmarena.com/vv/bigpic/blu-g90.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2020, June 24","Available. Released 2020, June 24",164.6 x 76.5 x 8.8 mm (6.48 x 3.01 x 0.35 in),185 g (6.53 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~81.0% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Android 10,MediaTek Helio A25 (12 nm),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),PowerVR GE8320,microSDXC,64GB 4GB RAM,,"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm, PDAF 8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.8, (depth)","LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.0",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 4000 mAh, removable",Charging 10W,"Black, White, Magenta, Blue",,About 130 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU G80,https://fdn2.gsmarena.com/vv/bigpic/blu-g80.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 12, 17, 28","HSPA 42.2/5.76 Mbps, LTE","2020, June 24","Available. Released 2020, June 24",163.9 x 75.5 x 8.4 mm (6.45 x 2.97 x 0.33 in),185 g (6.53 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~82.4% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Android 10,Mediatek MT6763 Helio P23 (16 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Mali-G71 MP2,microSDXC,64GB 3GB RAM,,"13 MP, f/1.8, (wide), 1/3.06"", 1.12µm, PDAF 8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.9",,720p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 4000 mAh, removable",Charging 10W,"Black, Green",,About 100 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Studio X9 HD,https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x9-hd.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2020, March 25","Available. Released 2020, March 25",143 x 73 x 10.1 mm (5.63 x 2.87 x 0.40 in),144 g (5.08 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,8GB 1GB RAM,,,LED flash,1080p@30fps,8 MP,,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,Li-Ion 2000 mAh battery,,"Black, White, Blue",,About 50 USD,,,,,,,5 MP,,,,,,,,,Up to 500 h (3G),Up to 15 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU J6,https://fdn2.gsmarena.com/vv/bigpic/blu-j6.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2019, December","Available. Released 2019, December",159.6 x 76.6 x 9.1 mm (6.28 x 3.02 x 0.36 in),185 g (6.53 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~76.0% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,32GB 1GB RAM,eMMC 5.1,,LED flash,720p@30fps,"8 MP, (wide), 1/5.0"", 1.12µm, AF",LED flash,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 2800 mAh, removable",,"Blue, Black, Brown",,About 80 EUR,,,,,,,8 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU J4,https://fdn2.gsmarena.com/vv/bigpic/blu-j4.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2019, October","Available. Released 2019, October",151 x 72.3 x 10 mm (5.94 x 2.85 x 0.39 in),158 g (5.57 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2 (~71.5% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",Android 8.1 Oreo (Go edition),,Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,32GB 1GB RAM,eMMC 5.1,,LED flash,720p@30fps,"8 MP, AF",,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,"Li-Po 2200 mAh, removable",,"Blue, Black, Brown",,About 70 EUR,,,,,,,8 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU J2,https://fdn2.gsmarena.com/vv/bigpic/blu-j2.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2019, December","Available. Released 2019, December",144 x 73.1 x 10.3 mm (5.67 x 2.88 x 0.41 in),146 g (5.15 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 8.1 Oreo (Go edition),,Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,32GB 1GB RAM,eMMC 5.1,,LED flash,720p@30fps,5 MP,,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,Li-Po 2000 mAh battery,,"Blue, Black, Brown",,About 50 EUR,,,,,,,5 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
