Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad,Performance,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,256GB 4GB RAM,512GB 4GB RAM,Dual_1,128GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,128GB 2GB RAM,5G bands,Triple_1,256GB 8GB RAM,128GB 8GB RAM,128GB 12GB RAM,256GB 12GB RAM,512GB 12GB RAM,64GB 6GB RAM,128GB 6GB RAM,512GB 8GB RAM,32GB 4GB RAM
bosch,Bosch 909 Dual S,https://fdn2.gsmarena.com/vv/bigpic/boc909sb.gif,GSM,GSM 900 / 1800,,,,1999,Discontinued,122 x 50 x 17 mm (4.80 x 1.97 x 0.67 in),109 g (3.84 oz),,Mini-SIM,Monochrome graphic,,"96 x 32 pixels, 4 x 16 chars",,,,,No,,Dynamic font size Soft keys Blue LCD,,,,,,,No,No,No,No,No,No,,,Removable Li-Ion battery,,3,,,,,No,Calculator Integrated PCMCIA,,,,,,,No,No,,,,180 h,5 h,,100,"10 dialed, 10 received, 10 missed calls",SMS,No,No,,,,,,,,,,Monophonic ringtones,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
bosch,Bosch 909 Dual,https://fdn2.gsmarena.com/vv/bigpic/boc909b.gif,GSM,GSM 900 / 1800,,,,1999,Discontinued,112 x 50 x 17 mm (4.41 x 1.97 x 0.67 in),99 g (3.49 oz),,Mini-SIM,Monochrome graphic,,4 x 16 chars,,,,,No,,Dynamic font size Soft keys,,,,,,,No,No,No,No,No,No,,,Removable Li-Ion 650 mAh battery,,3,,,,,No,Calculator Integrated PCMCIA,,,,,,,No,No,,,,70 h,3 h,,100,"10 dialed, 10 received, 10 missed calls",SMS,No,No,,,,,,,,,,Monophonic ringtones,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
bosch,Bosch Com 908,https://fdn2.gsmarena.com/vv/bigpic/boc908b.gif,GSM,GSM 900,,,,1998,Discontinued,112 x 50 x 17 mm (4.41 x 1.97 x 0.67 in),99 g (3.49 oz),,Mini-SIM,Monochrome graphic,,4 x 16 chars,,,,,No,,Dynamic font size Soft keys,,,,,,,No,No,No,No,No,No,,,Removable Li-Ion 650 mAh battery,,3,,,,,No,Calculator Integrated PCMCIA,,,,,,,No,No,,,,70 h,3 h,,100,"10 dialed, 10 received, 10 missed calls",SMS,No,No,,,,,,,,,,Monophonic ringtones,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
bosch,Bosch Com 509,https://fdn2.gsmarena.com/vv/bigpic/boc509b.gif,GSM,GSM 900 / 1800,,,,1999,Discontinued,134 x 53 x 23 mm (5.28 x 2.09 x 0.91 in),150 g (5.29 oz),,Mini-SIM,Monochrome graphic,,4 x 16 chars,,,,,No,,Dynamic font size Soft keys,,,,,,,No,No,No,No,No,No,,,Removable NiMH battery,,"Several, half transparent",,,,,No,Calculator,,,,,,,No,No,,,,87 h,4 h,,SIM only,"10 dialed, 10 received, 10 missed calls",SMS,No,No,,,,,,,,,,Monophonic ringtones,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
bosch,Bosch World 718,https://fdn2.gsmarena.com/vv/bigpic/bow718b.gif,GSM,GSM 900 / 1900,,,,1996,Discontinued,142 x 53 x 18 mm (5.59 x 2.09 x 0.71 in),189 g (6.67 oz),,Mini-SIM,Monochrome graphic,,4 x 16 chars,,,,,No,,Dynamic font size Soft keys,,,,,,,No,No,No,No,No,No,,,Removable Li-Ion 650 mAh battery,,,,,,,No,Calculator,,,,,,,No,No,,,,70 h,200 min,,100,"10 dialed, 10 received, 10 missed calls",SMS,No,No,,,,,,,,,,Monophonic ringtones,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
bosch,Bosch Com 738,https://fdn2.gsmarena.com/vv/bigpic/boc738b.gif,GSM,GSM 900 / 1800,,,,1996,Discontinued,142 x 53 x 18 mm (5.59 x 2.09 x 0.71 in),189 g (6.67 oz),,Mini-SIM,Monochrome graphic,,4 x 16 chars,,,,,No,,Dynamic font size Soft keys,,,,,,,No,No,No,No,No,No,,,Removable Li-Ion 650 mAh battery,,,,,,,No,,,,,,,,No,No,,,,70 h,200 min,,100,"10 dialed, 10 received, 10 missed calls",SMS,No,No,,,,,,,,,,Monophonic ringtones,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
bosch,Bosch Com 906,https://fdn2.gsmarena.com/vv/bigpic/boc906b.gif,GSM,GSM 900,,,,1996,Discontinued,144 x 57 x 19 mm (5.67 x 2.24 x 0.75 in),145 g (5.11 oz),,Mini-SIM,Monochrome graphic,,3 x 15 chars,,,,,No,,Fixed icons,,,,,,,No,No,No,No,No,No,,,Removable Li-Ion 500 mAh battery,,,,,,,No,,,,,,,,No,No,,,,30 h,75 min,,100,"10 dialed, 10 received, 10 missed calls",SMS,No,No,,,,,,,,,,Monophonic ringtones,No,No,,,,,,,,,,,,,,,,,,,,,,,,
bosch,Bosch Com 608,https://fdn2.gsmarena.com/vv/bigpic/boc608b.gif,GSM,GSM 900,,,,1999,Discontinued,134 x 53 x 24 mm (5.28 x 2.09 x 0.94 in),169 g (5.96 oz),,Mini-SIM,Monochrome graphic,,4 x 16 chars,,,,,No,,Dynamic font size Soft keys,,,,,,,No,No,No,No,No,No,,,Removable NiMH 550 mAh battery,,,,,,,No,Calculator,,,,,,,No,No,,,,50 h,130 min,,SIM only,"10 dialed, 10 received, 10 missed calls",SMS,No,No,,,,,,,,,,Monophonic ringtones,No,No,,,,,,,,,,,,,,,,,,,,,,,,
bosch,Bosch Com 607,https://fdn2.gsmarena.com/vv/bigpic/boc607b.gif,GSM,GSM 900,,,,1997,Discontinued,134 x 53 x 17 mm (5.28 x 2.09 x 0.67 in),189 g (6.67 oz),,Mini-SIM,Monochrome graphic,,4 x 16 chars,,,,,No,,Dynamic font size Soft keys,,,,,,,No,No,No,No,No,No,,,Removable NiMH 550 mAh battery,,,,,,,No,Calculator,,,,,,,No,No,,,,80 h,3 h,,SIM only,"10 dialed, 10 received, 10 missed calls",SMS,No,No,,,,,,,,,,Monophonic ringtones,No,No,,,,,,,,,,,,,,,,,,,,,,,,
bosch,Bosch Com 207,https://fdn2.gsmarena.com/vv/bigpic/boc207b.gif,GSM,GSM 900,,,,1997,Discontinued,147 x 56 x 23 mm (5.79 x 2.20 x 0.91 in),179 g (6.31 oz),,Mini-SIM,Alphanumeric,,1 x 10 chars,,,,,No,,No,,,,,,,No,No,No,No,No,No,,,Removable NiMH 600 mAh battery,,,,,,,,,,,,,,,No,No,,,,85 h,2 h,,SIM only,,SMS,No,No,,,,,,,,,,Monophonic ringtones,No,No,,,,,,,,,,,,,,,,,,,,,,,,
