Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE
cat,Cat S62 Pro,https://fdn2.gsmarena.com/vv/bigpic/cat-s62-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),IP68 dust/water resistant (up to 1.5m for 35 mins) Drop-to-concrete resistance from up to 1.8m MIL-STD-810H compliant,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/150 Mbps","2020, June 28","Available. Released 2020, August 17",158.5 x 76.7 x 11.9 mm (6.24 x 3.02 x 0.47 in),248 g (8.75 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~69.0% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~424 ppi density)",Corning Gorilla Glass 6,Android 10,Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,microSDXC (dedicated slot),128GB 6GB RAM,8 MP,"Thermal imaging, heat palettes, temp. spot meter, LED flash","1080p@30fps, gyro-EIS",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 4000 mAh, non-removable",Black,$ 749.00 / € 622.54 / £ 589.89,,,,,,,,,"Glass front (Gorilla Glass 6), plastic back, aluminum frame","12 MP, f/1.8, (wide), 1/2.55"", 1.4µm, dual pixel PDAF FLIR thermal camera (Lepton 3.5 module)",$ 749.00,,,,
cat,Cat S42,https://fdn2.gsmarena.com/vv/bigpic/cat-s32.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,HSDPA 850 / 900 / 1900 / 2100 - EU,IP68 dust/water resistant (up to 1.5m for 35 mins) Drop-to-concrete resistance from up to 1.8 m MIL-STD-810G compliant,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2020, January","Available. Released 2020, August",-,-,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",DragonTrail Pro,"Android 10, planned upgrade to Android 11.0",Mediatek MT6761D Helio A20 (12 nm),Quad-core 1.8 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, AF",LED flash,1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",Yes,,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","Li-Po 4200 mAh, non-removable",Black,About 300 EUR,,,,,,,,,,,,,,,
cat,Cat S52,https://fdn2.gsmarena.com/vv/bigpic/cat-s52.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2  (dual-SIM model only),IP68 dust/water resistant (up to 1.5m for 35 mins) Drop-to-concrete resistance from up to 1.5m MIL-STD-810G compliant,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,eMMC 5.1,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/100 Mbps","2019, October","Available. Released 2019, November",158.1 x 76.6 x 9.7 mm (6.22 x 3.02 x 0.38 in),210 g (7.41 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.65 inches, 82.4 cm2 (~68.0% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~285 ppi density)",Corning Gorilla Glass 6,"Android 9.0 (Pie), planned upgrade to Android 10",Mediatek MT6765 Helio P35 (12nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSD,64GB 4GB RAM,"12 MP, f/1.8, (wide), 1/2.55"", 1.4µm, dual pixel PDAF",LED flash,"1080p@30fps, gyro-EIS",8 MP,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3100 mAh, non-removable",Black,About 440 EUR,,,,,,,,,"Glass front (Gorilla Glass 6), plastic back, aluminum frame",,,Fast charging,,,
cat,Cat B35,https://fdn2.gsmarena.com/vv/bigpic/cat-b35.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,IP68 dust/water resistant (up to 1.2m for 35 mins) MIL-STD-810G compliant Drop-to-concrete resistance from up to 1.8m Flashlight,HSDPA 850 / 900 / 1900 / 2100,eMMC 4.5,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, September","Available. Released 2018, October",138 x 60 x 14 mm (5.43 x 2.36 x 0.55 in),130 g (4.59 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Downloadable applications Facebook, Gmail, Whatsapp, etc.",TFT,"2.4 inches, 17.8 cm2 (~21.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Scratch-proof glass,KaiOS,Qualcomm MSM8905 Snapdragon 205 (28 nm),Dual-core (2x1.3 GHz Cortex-A7),Adreno 304,microSDXC (uses shared SIM slot),4GB 512MB RAM,2 MP,LED flash,480p@30fps,,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.1, A2DP, LE","Yes, with A-GPS, GLONASS",,,FM radio,microUSB 2.0,Accelerometer,"Li-Ion 2300 mAh, non-removable",Black,About 110 EUR,Up to 720 h (3G),Up to 12 h (3G),,,,,,,,,,,,,
cat,Cat S41,https://fdn2.gsmarena.com/vv/bigpic/cat-s41.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - APAC/LATAM,HSDPA 850 / 900 / 1900 / 2100 - EU,"2, 4, 5, 7, 12, 13, 17, 66 - Americas","1, 2, 3, 5, 7, 8, 20 - EU","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2017, September","Available. Released 2017, September",152 x 75 x 12.9 mm (5.98 x 2.95 x 0.51 in),218 g (7.69 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",IP68 dust/water resistant (up to 2m for 1 hour) Drop-to-concrete resistance from up to 1.8 m MIL-STD-810G compliant,TFT capacitive touchscreen,"5.0 inches, 68.9 cm2 (~60.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Corning Gorilla Glass 5,Android 7.0 (Nougat),Mediatek MT6757 Helio P20 (16 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),Mali-T880MP2,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, PDAF",LED flash,1080p@30fps,8 MP,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS (market dependant)",,,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","Li-Ion 5000 mAh, non-removable",Black,About 450 EUR,Up to 1056 h (3G),Up to 38 h (3G),,,,,,,,,,Fast charging 18W Pump Express 2.0,S41,,
cat,Cat S31,https://fdn2.gsmarena.com/vv/bigpic/cat-s31.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,HSDPA 850 / 900 / 1900 / 2100 - EU,"2, 3, 4, 5, 7, 12, 17 - USA","1, 2, 3, 5, 7, 8, 20 - EU","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, September","Available. Released 2017, October",146 x 74.4 x 12.6 mm (5.75 x 2.93 x 0.50 in),200 g (7.05 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",eMMC 4.5,TFT capacitive touchscreen,"4.7 inches, 60.9 cm2 (~56.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Corning Gorilla Glass 3,Android 7.0 (Nougat),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.3 GHz Cortex-A7,Adreno 304,microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, AF",LED flash,720p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","Li-Ion 4000 mAh, non-removable",Black,About 330 EUR,,,,,,,,,,,,,,,
cat,Cat S61,https://fdn2.gsmarena.com/vv/bigpic/cat-s61.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,HSDPA 850 / 900 / 1700 / 1900 / 2100 - EU/ROW,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 26, 28, 29, 66 - USA","1, 2, 3, 5, 7, 8, 19, 20, 26, 28, 38, 39, 40, 41 - EU/ROW","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/150 Mbps","2018, February","Available. Released 2018, June",163 x 78 x 13 mm (6.42 x 3.07 x 0.51 in),250 g (8.82 oz),"Single SIM (Nano-SIM) - South Africa onlyHybrid Dual SIM (Nano-SIM, dual stand-by)",Laser-assisted distance measurement tool,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~58.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Corning Gorilla Glass 5,"Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)",Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,Adreno 508,microSDXC (uses shared SIM slot),64GB 4GB RAM,"16 MP, PDAF, FLIR thermal camera (Lepton module)","Thermal imaging, heat palettes, temp. spot meter, dual-LED dual-tone flash, panorama","4K@30fps, 1080p@30fps",8 MP,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS, SBAS",Yes,,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Accelerometer, gyro, proximity, compass, barometer, indoor air quality sensor","Li-Ion 4500 mAh, non-removable",Black,About 900 EUR,Up to 888 h (3G),Up to 35 h (3G),,,,,,,"Glass front (Gorilla Glass 5), plastic back, aluminum frame",,,Fast charging 18W Quick Charge 4,,,
cat,Cat S60,https://fdn2.gsmarena.com/vv/bigpic/cat-s60-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 1700(AWS) / 1900 - North America,HSDPA 850 / 900 / 2100 - Global,"2, 4, 5, 7, 12, 17 - North America","1, 3, 7, 8, 20 - Global","HSPA, LTE Cat4 150/50 Mbps","2016, February","Available. Released 2016, June",147.9 x 73.4 x 12.7 mm (5.82 x 2.89 x 0.5 in),223 g (7.87 oz),"Single SIM (Nano-SIM) - South Africa onlyDual SIM (Nano-SIM, dual stand-by)",eMMC 5.1,"a-Si AHVA capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~56.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Corning Gorilla Glass 4,Android 6.0 (Marshmallow),Qualcomm MSM8952 Snapdragon 617 (28 nm),Octa-core (4x1.2 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Adreno 405,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, AF, FLIR thermal camera (Lepton module)","Thermal imaging, heat palettes, temp. spot meter, dual-LED dual-tone flash, panorama",1080p@30fps,5 MP,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS",Yes,,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","Li-Ion 3800 mAh, non-removable",Black,About 650 EUR,,,,,,,,,"Glass front (Gorilla Glass 4), plastic back, aluminum frame",,,Fast charging 18W Quick Charge 2.0,,,
cat,Cat S30,https://fdn2.gsmarena.com/vv/bigpic/cat-s30.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1700(AWS) / 1900 - North America,HSDPA 850 / 900 / 2100 - Global,"2, 4, 5, 7, 17 - North America","1, 3, 7, 8, 20 - Global","HSPA, LTE Cat4 150/50 Mbps","2015, September","Available. Released 2015, September",141.9 x 72.7 x 13.3 mm (5.59 x 2.86 x 0.52 in),181 g (6.38 oz),Nano-SIM,eMMC 4.5,TFT capacitive touchscreen,"4.5 inches, 55.8 cm2 (~54.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Corning Gorilla Glass 3,Android 5.1 (Lollipop),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,Adreno 304,microSDXC (dedicated slot),8GB 1GB RAM,"5 MP, AF",LED flash,1080p@60fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",,,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","Li-Ion 3000 mAh, non-removable",Black,About 340 EUR,Up to 936 h,Up to 18 h,,,,,,,,,,,S30,,
cat,Cat S40,https://fdn2.gsmarena.com/vv/bigpic/cat-s40.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1700(AWS) / 1900 - North America,HSDPA 850 / 900 / 2100 - Global,"2, 4, 5, 7, 12, 17 - North America","1, 3, 7, 8, 20 - Global","HSPA, LTE Cat4 150/50 Mbps","2015, July","Available. Released 2015, August",144.9 x 74.1 x 12.5 mm (5.70 x 2.92 x 0.49 in),185 g (6.53 oz),Nano-SIM,eMMC 4.5,"IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~56.7% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~234 ppi density)",Corning Gorilla Glass 4,Android 5.1 (Lollipop),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,Adreno 304,microSDXC (dedicated slot),16GB 1GB RAM,"8 MP, AF",LED flash,1080p@60fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",Yes,,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","Li-Ion 3000 mAh, non-removable",Black,About 440 EUR,Up to 936 h,Up to 18 h,,,,,,,,,,,,,
