Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard
celkon,Celkon A403,https://fdn2.gsmarena.com/vv/bigpic/celkon-a403.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA,"2015, August. Released 2015, August",Discontinued,125 x 65 x 10.2 mm (4.92 x 2.56 x 0.40 in),113 g (3.99 oz),Dual SIM,,"TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~56.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.4.2 (KitKat),Spreadtrum SC7715,1.0 GHz,,microSDHC,4GB 512MB RAM,3.15 MP,LED flash,Yes,1.3 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,A-GPS,,,FM radio,microUSB 2.0,Accelerometer,Li-Ion 1400 mAh battery,"Black, Light Blue, Red, Yellow",,,,,,,,,,,,,,,,,0.38 W/kg (head)     0.68 W/kg (body),,
celkon,Celkon Campus Prime,https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-prime.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA,"2015, August. Released 2015, August",Discontinued,132 x 67 x 9.3 mm (5.20 x 2.64 x 0.37 in),119.2 g (4.20 oz),Dual SIM,,"TFT capacitive touchscreen, 256K colors","4.5 inches, 55.8 cm2 (~63.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Android 4.4.2 (KitKat),Spreadtrum SC7715,1.0 GHz,,microSDHC,4GB 512MB RAM,3.15 MP,LED flash,Yes,1.3 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,A-GPS,,,FM radio,microUSB 2.0,Accelerometer,"Li-Ion 1600 mAh, removable","White, Black, Gold, Silver, Brown, Blue",,,,,,,,,,,,,,,,,0.35 W/kg (head)     0.85 W/kg (body),,
celkon,Celkon Millennia Everest,https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-everest.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA,"2015, August. Released 2015, August",Discontinued,157 x 78 x 9.1 mm (6.18 x 3.07 x 0.36 in),-,Dual SIM,,"TFT capacitive touchscreen, 256K colors","5.5 inches, 83.4 cm2 (~68.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~178 ppi density)",,Android 5.1 (Lollipop),Spreadtrum SC7731,Quad-core 1.2 GHz,,microSDHC,8GB 1GB RAM,5 MP,LED flash,Yes,3.2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,A-GPS,,,FM radio,microUSB 2.0,"Accelerometer, proximity",Li-Ion 2500 mAh battery,"Black, White, Blue",,,,,,,,,,,,,,,,,0.33 W/kg (head)     0.25 W/kg (body),,
celkon,Celkon Millennia Hero,https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-hero.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA,"2015, August. Released 2015, August",Discontinued,125 x 64 x 11 mm (4.92 x 2.52 x 0.43 in),113 g (3.99 oz),Dual SIM,,"TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~56.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 5.1 (Lollipop),,Quad-core 1.2 GHz,,microSDHC,8GB 1GB RAM,5 MP,LED flash,Yes,3.2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,A-GPS,,,FM radio,microUSB 2.0,Accelerometer,Li-Ion 1700 mAh battery,"Black, White/Gold, White/Silver, Black/Gold",,,,,,,,,,,,,,,,,0.34 W/kg (head)     0.76 W/kg (body),,
celkon,Celkon Millennia Xplore,https://fdn2.gsmarena.com/vv/bigpic/celkon-q58-xplore.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2015, July. Released 2015, July",Discontinued,145.7 x 73.8 x 7.9 mm (5.74 x 2.91 x 0.31 in),150 g (5.29 oz),Dual SIM,,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 5.0 (Lollipop),Mediatek MT6582M (28 nm),Quad-core 1.2 GHz Cortex-A7,Mali-400MP2,microSDHC,8GB 1GB RAM,13 MP,LED flash,Yes,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",Yes,,,FM radio,microUSB 2.0,"Accelerometer, proximity",Li-Ion 2000 mAh battery,Black/White,,,,,,,,,,,,,,,,,,,
celkon,Celkon Q455L,https://fdn2.gsmarena.com/vv/bigpic/celkon-q455.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2015, July. Released 2015, July",Discontinued,136.5 x 68 x 7.9 mm (5.37 x 2.68 x 0.31 in),130 g (4.59 oz),Dual SIM,,IPS LCD capacitive touchscreen,"4.5 inches, 55.8 cm2 (~60.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Android 5.0 (Lollipop),,Quad-core 1.2 GHz,,microSDHC,8GB 1GB RAM,"8 MP, AF",LED flash,Yes,3.15 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",Yes,,,FM radio,microUSB 2.0,"Accelerometer, proximity",Li-Ion 1800 mAh battery,"Black, Red, Yellow",,,,,,,,,,,,,,,,,,,
celkon,Celkon 2GB Xpress,https://fdn2.gsmarena.com/vv/bigpic/celkon-2gb-xpress.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2015, July. Released 2015, July",Discontinued,133.5 x 66.5 x 10.1 mm (5.26 x 2.62 x 0.40 in),134 g (4.73 oz),Dual SIM,,IPS LCD capacitive touchscreen,"4.5 inches, 57.6 cm2 (~64.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~207 ppi density)",,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",Spreadtrum 7731,Quad-core 1.2 GHz,Mali-400,microSDHC,16GB 2GB RAM,"5 MP, AF",LED flash,Yes,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, EDR",Yes,,,FM radio,microUSB 2.0,Accelerometer,Li-Ion 1500 mAh battery,Black,,,,,,,,,,,,,,,,,,,
celkon,Celkon A35k Remote,https://fdn2.gsmarena.com/vv/bigpic/celkon-a35k-remote.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 2100,,,"Yes, 384 kbps","2015, June. Released 2015, June",Discontinued,119 x 63 x 10.7 mm (4.69 x 2.48 x 0.42 in),102 g (3.60 oz),Dual SIM,,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~48.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Android 4.4.2 (KitKat),,1.0 GHz,,microSDHC,512MB 256MB RAM,3.15 MP,LED flash,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,,,FM radio,microUSB 2.0,"Accelerometer, proximity",Li-Ion 1400 mAh battery,"White, Black, Blue",,,,,,,,,,,,,,,,,0.56 W/kg (head)     0.40 W/kg (body),,
celkon,Celkon Q3K Power,https://fdn2.gsmarena.com/vv/bigpic/celkon-q3k-power.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 2100,,,"Yes, 384 kbps","2015, July. Released 2015, July",Discontinued,125.8 x 65 x 9.8 mm (4.95 x 2.56 x 0.39 in),128 g (4.52 oz),Dual SIM,,"TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~55.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.4.2 (KitKat),Spreadtrum 7731G,Quad-core 1.2 GHz,Mali-400,microSDHC,8GB 512MB RAM,3.15 MP,"LED flash, HDR, panorama",Yes,1.3 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,,,FM radio,microUSB 2.0,Accelerometer,Li-Ion 3000 mAh battery,"White, black, gold",,,,,,,,,,,,,,,,,,,
celkon,Celkon Q5K Power,https://fdn2.gsmarena.com/vv/bigpic/celkon-q5k-power.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 2100,,,"Yes, 384 kbps","2015, June. Released 2015, June",Discontinued,145 x 72 x 10 mm (5.71 x 2.83 x 0.39 in),169 g (5.96 oz),Dual SIM,,"TFT capacitive touchscreen, 256K colors","5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 4.4.2 (KitKat),Spreadtrum 7731,Quad-core 1.2 GHz,Mali-400,microSDHC,4GB 512MB RAM,"5 MP, AF",LED flash,Yes,3.15 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,,,FM radio,microUSB 2.0,"Accelerometer, proximity",Li-Ion 5000 mAh battery,"White, Blue, Silver, Black",,,,,,,,,,,,,,,,,0.31 W/kg (head)     0.46 W/kg (body),,
celkon,Celkon Q452,https://fdn2.gsmarena.com/vv/bigpic/celkon-q452.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 2100,,,"Yes, 384 kbps","2015, May. Released 2015, May",Discontinued,133.5 x 66.5 x 9.5 mm (5.26 x 2.62 x 0.37 in),129 g (4.55 oz),Dual SIM,,"TFT capacitive touchscreen, 256K colors","4.5 inches, 57.6 cm2 (~64.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~207 ppi density)",,Android 4.4.2 (KitKat),Spreadtrum 7731,Quad-core 1.2 GHz,Mali-400,microSDHC,8GB 512MB RAM,3.15 MP,LED flash,Yes,1.3 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,,,FM radio,microUSB 2.0,Accelerometer,Li-Ion 1500 mAh battery,"White, Silver, Black, Brown, Green",,,,,,,,,,,,,,,,,0.52 W/kg (head)     0.40 W/kg (body),,
celkon,Celkon A402,https://fdn2.gsmarena.com/vv/bigpic/celkon-a402.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 2100,,,"Yes, 384 kbps","2015, June. Released 2015, June",Discontinued,125.5 x 64 x 10.2 mm (4.94 x 2.52 x 0.40 in),104 g (3.67 oz),Dual SIM,,"TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~56.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.4.2 (KitKat),Spreadtrum 7715,1.2 GHz,Mali-400,microSDHC,4GB 512MB RAM,3.15 MP,LED flash,Yes,1.3 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,,,FM radio,microUSB 2.0,Accelerometer,Li-Ion 2000 mAh battery,"White, Black, Blue, Silver",,,,,,,,,,,,,,,,,0.46 W/kg (head)     0.82 W/kg (body),,
celkon,Celkon Q54+,https://fdn2.gsmarena.com/vv/bigpic/celkon-q54-plus.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA,,,HSPA,"2015, March. Released 2015, March",Discontinued,145 x 73 x 8.8 mm (5.71 x 2.87 x 0.35 in),150.6 g (5.33 oz),Dual SIM,,IPS LCD capacitive touchscreen,"5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 4.4.2 (KitKat),Spreadtrum 7731,Quad-core 1.2 GHz,Mali-400,microSDHC,8GB 1GB RAM,"5 MP, AF",LED flash,Yes,5 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,Yes,,,FM radio,microUSB,Accelerometer,Li-Ion 2000 mAh battery,"Blue, Brown, White, Silver",,,,,,,,,,,,,,,Yes,Yes,0.16 W/kg (head)     0.30 W/kg (body),,
celkon,Celkon Q519,https://fdn2.gsmarena.com/vv/bigpic/celkon-q519.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA,,,HSPA,"2015, May. Released 2015, May",Discontinued,145.2 x 73.2 x 9.4 mm (5.72 x 2.88 x 0.37 in),169 g (5.96 oz),Dual SIM,,"TFT capacitive touchscreen, 256K colors","5.0 inches, 68.9 cm2 (~64.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 4.4.2 (KitKat),Spreadtrum 7731,Quad-core 1.2 GHz,Mali-400,microSDHC,4GB 512MB RAM,5 MP,LED flash,Yes,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,Yes,,,FM radio,microUSB,Accelerometer,Li-Ion 2000 mAh battery,"Black, White, Light Blue, Dark Blue, Green, Red",,,,,,,,,,,,,,,Yes,Yes,0.46 W/kg (head)     0.52 W/kg (body),,
celkon,Celkon Q450,https://fdn2.gsmarena.com/vv/bigpic/celkon-q450.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA,,,HSPA,"2015, April. Released 2015, April",Discontinued,135 x 67.7 x 9.7 mm (5.31 x 2.67 x 0.38 in),147 g (5.19 oz),Dual SIM,,IPS LCD capacitive touchscreen,"4.5 inches, 57.6 cm2 (~63.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~207 ppi density)",,Android 4.4.2 (KitKat),Spreadtrum 7731,Quad-core 1.2 GHz,Mali-400,microSDHC,4GB 512MB RAM,5 MP,LED flash,Yes,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,Yes,,,FM radio,microUSB,"Accelerometer, proximity",Li-Ion 1800 mAh battery,"Gold, White",,,,,,,,,,,,,,,Yes,Yes,0.74 W/kg (head)     0.67 W/kg (body),,
celkon,Celkon Q405,https://fdn2.gsmarena.com/vv/bigpic/celkon-q405.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA,,,HSPA,"2015, May. Released 2015, May",Discontinued,124 x 64.2 x 9.9 mm (4.88 x 2.53 x 0.39 in),137 g (4.83 oz),Dual SIM,,"TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~57.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.4 (KitKat),Spreadtrum 7731,Quad-core 1.2 GHz,Mali-400,microSDHC,4GB 512MB RAM,3.15 MP,LED flash,Yes,1.3 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,Yes,,,FM radio,microUSB,"Accelerometer, proximity",Li-Ion 1500 mAh battery,"Black, White, Gold, Blue",,,,,,,,,,,,,,,Yes,Yes,0.25 W/kg (head)     0.55 W/kg (body),,
celkon,Celkon A518,https://fdn2.gsmarena.com/vv/bigpic/celkon-a518.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA,,,HSPA,"2015, April. Released 2015, April",Discontinued,145 x 73 x 9.8 mm (5.71 x 2.87 x 0.39 in),164 g (5.78 oz),Dual SIM,,"TFT capacitive touchscreen, 256K colors","5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 4.4.2 (KitKat),Spreadtrum 7715,1.0 GHz,Mali-400,microSDHC,4GB 512MB RAM,3.15 MP,LED flash,Yes,1.3 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,Yes,,,FM radio,microUSB,Accelerometer,Li-Ion 2000 mAh battery,"Blue, White",,,,,,,,,,,,,,,Yes,Yes,0.25 W/kg (head)     0.55 W/kg (body),,
celkon,Celkon A407,https://fdn2.gsmarena.com/vv/bigpic/celkon-a407.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA,,,HSPA,"2015, May. Released 2015, May",Discontinued,124.8 x 65.2 x 9.2 mm (4.91 x 2.57 x 0.36 in),105 g (3.70 oz),Dual SIM,,"TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~56.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.2.2 (Jelly Bean),RDA 8810P,1.0 GHz,Mali-400,microSDHC,512MB 256MB RAM,2 MP,LED flash,Yes,1.3 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,Yes,,,FM radio,microUSB,Accelerometer,Li-Ion 1400 mAh battery,"Silver, White, Light Blue, Dark Blue, Gold",,,,,,,,,,,,,,,Yes,Yes,0.80 W/kg (head)     0.88 W/kg (body),,
celkon,Celkon A359,https://fdn2.gsmarena.com/vv/bigpic/celkon-a359.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,No,HSDPA,,,HSPA,"2015, May. Released 2015, May",Discontinued,114.5 x 62.3 x 10.4 mm (4.51 x 2.45 x 0.41 in),95.5 g (3.39 oz),Dual SIM,,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~51.1% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Android 4.4.2 (KitKat),Spreadtrum 7715,1.0 GHz,Mali-400,microSDHC,512MB 256MB RAM,2 MP,LED flash,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,Yes,,,FM radio,microUSB,Accelerometer,Li-Ion 1200 mAh battery,"Black, Red+Black, Light Blue, Dark Blue, Brown, Silver",,,,,,,,,,,,,,,Yes,Yes,0.49 W/kg (head)     0.84 W/kg (body),,
celkon,Celkon A355,https://fdn2.gsmarena.com/vv/bigpic/celkon-a355.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA,,,HSPA,"2015, May. Released 2015, May",Discontinued,115.3 x 63.3 x 10.2 mm (4.54 x 2.49 x 0.40 in),97.5 g (3.46 oz),Dual SIM,,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~50.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Android 4.4.2 (KitKat),Spreadtrum 7715,1.0 GHz,Mali-400,microSDHC,512MB 256MB RAM,2 MP,Dual-LED flash,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,Yes,,,FM radio,microUSB,Accelerometer,Li-Ion 1200 mAh battery,"Light Blue, Dart Blue, Red, Yellow, White",,,,,,,,,,,,,,,Yes,Yes,0.49 W/kg (head)     0.84 W/kg (body),,
celkon,Celkon Campus Buddy A404,https://fdn2.gsmarena.com/vv/bigpic/celkon-a404.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 2100,,,"Yes, 384 kbps","2014, July. Released 2014, July",Discontinued,126.5 x 64.2 x 9.8 mm (4.98 x 2.53 x 0.39 in),131 g (4.62 oz),Dual SIM,,"TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~56.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.2.2 (Jelly Bean),,Dual-core 1.3 GHz,,microSDHC,4GB 512MB RAM,3.15 MP,LED flash,720p,1.3 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,Yes,,,FM radio,microUSB 2.0,Accelerometer,"Li-Ion 1500 mAh, removable","Black, White",,,,,,,,,,,,,,,,,,,
celkon,Celkon Millennia OCTA510,https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-octa510.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, January",Discontinued,143.5 x 71 x 9.1 mm (5.65 x 2.80 x 0.36 in),136 g (4.80 oz),Dual SIM,,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 4.4.2 (KitKat),Mediatek MT6592M (28 nm),Octa-core 1.4 GHz Cortex-A7,Mali-450MP4,microSDHC,8GB 1GB RAM,8 MP,Dual-LED flash,720p,3.15 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",Li-Ion 2000 mAh battery,White,,,,,,,,,,,,,,,,,,,
celkon,Celkon Win 400,https://fdn2.gsmarena.com/vv/bigpic/celkon-win400.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 4.5,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2014, November. Released 2014, November",Discontinued,125.4 x 65 x 10.3 mm (4.94 x 2.56 x 0.41 in),120.6 (4.27 oz),Dual SIM (Dual stand-by),,"Capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~55.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Microsoft Windows Phone 8.1,Qualcomm MSM8212 Snapdragon 200 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 302,microSDHC,4GB 512MB RAM,5 MP,LED flash,720p,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity",Li-Ion 1500 mAh battery,Black,,,,,,,,,,,,,,,,,,,
