Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard,Alert types,Browser,Languages,Clock,Alarm,5G bands
coolpad,Coolpad Legacy 5G,https://fdn2.gsmarena.com/vv/bigpic/coolpad-legacy-5g-.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900,CDMA 800 / 1900,HSDPA 850 / 1700(AWS) / 1900,CDMA2000 1xEV-DO,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE-A, 5G (2+ Gbps DL)","2020, January",Cancelled,165 x 77 x 9.5 mm (6.50 x 3.03 x 0.37 in),195 g (6.88 oz),Nano-SIM,UFS 2.1,"IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 104.7 cm2 (~82.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",,Android 10,Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,microSD,64GB 4GB RAM,16 MP,"LED flash, panorama, HDR","4K@30fps, 1080p@30fps",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO",,,FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable",Yellow/Blue,About 360 EUR,,,,,,,,,,"48 MP, (wide), 1/2.0"", 0.8µm, PDAF 8 MP, (ultrawide)",,Fast charging 18W Quick Charge 3.0,,,,,HDR,,,,,,,SA/NSA/Sub6
coolpad,Coolpad Legacy,https://fdn2.gsmarena.com/vv/bigpic/coolpad-legacy.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 5.1,HSDPA 850 / 1700(AWS) / 1900,,"2, 4, 5, 12, 66, 71","HSPA 42.2/5.76 Mbps, LTE","2019, May","Available. Released 2019, May",165.9 x 80.5 x 8.4 mm (6.53 x 3.17 x 0.33 in),170 g (6.00 oz),Nano-SIM,,"IPS LCD capacitive touchscreen, 16M colors","6.36 inches, 104.4 cm2 (~78.2% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~380 ppi density)",Corning Gorilla Glass 3,Android 9.0 (Pie),Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,Adreno 506,microSDXC (dedicated slot),32GB 3GB RAM,13 MP,"LED flash, panorama, HDR",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.2, A2DP","Yes, with A-GPS",,Yes,FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable",Silver,About 160 EUR,,,,,,,,,,"16 MP, AF 5 MP",,Fast charging 15W,,,,,,,,,,,,
coolpad,Coolpad Cool 5,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-5.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 2100,,"1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 38, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, October","Available. Released 2019, October",157 x 76 x 8 mm (6.18 x 2.99 x 0.31 in),145 g (5.11 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm2 (~80.9% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",,Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC,64GB 4GB RAM,"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm","LED flash, panorama, HDR",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",,Yes,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable","Gradient Blue, Midnight Blue",About 8000 INR,,,,,,,,,,"13 MP, AF 2 MP",,Fast charging,,,,,,,,,,,,
coolpad,Coolpad Cool 3 Plus,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-3-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"1, 2, 3, 4, 5, 6, 7, 8, 19, 20, 28","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, June","Available. Released 2019, June",145.7 x 70.9 x 8.2 mm (5.74 x 2.79 x 0.32 in),135 g (4.76 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.71 inches, 81.4 cm2 (~78.8% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",,Android 9.0 (Pie),Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),"16GB 2GB RAM, 32GB 3GB RAM","13 MP, AF","LED flash, panorama, HDR",1080p@30fps,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",,Yes,No,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 3000 mAh, non-removable","Ocean Blue, Cherry Black",About 6000 INR,,,,,,,,,,,,,1825-I01,,,,,,,,,,,
coolpad,Coolpad Cool Play 8,https://fdn2.gsmarena.com/vv/bigpic/coolpad-8.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 5, 40","HSPA 42.2/5.76 Mbps, LTE","2018, December","Available. Released 2018, December",155.5 x 74.8 x 8.5 mm (6.12 x 2.94 x 0.33 in),177 g (6.24 oz),Dual SIM,,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.9 cm2 (~83.3% screen-to-body ratio)","1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)",,"Android 8 (Oreo), Cool UI 9",Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC,64GB 4GB RAM,8 MP,"LED flash, panorama, HDR",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,,FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 4000 mAh, non-removable","Black, Red",About 150 EUR,,,,,,,,,,"16 MP, AF 2 MP, (depth)",,Charging 10W,,,,,,,,,,,,
coolpad,Coolpad Mega 5A,https://fdn2.gsmarena.com/vv/bigpic/coolpad-mega-5a-.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 5, 40","HSPA 42.2/5.76 Mbps, LTE","2018, August","Available. Released 2018, August",-,-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,Android 8.1 (Oreo),Spreadtrum SC9850K,Quad-core 1.3 GHz Cortex-A7,Mali-820MP1,microSDXC (uses shared SIM slot),16GB 2GB RAM,5 MP,"LED flash, panorama, HDR",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,Yes,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer","Li-Ion 2500 mAh, non-removable",Gold,About 7000 INR,,,,,,,,,,"8 MP, f/2.0, PDAF 0.3 MP, (depth)",,,,,,,LED flash,,,,,,,
coolpad,Coolpad Note 6,https://fdn2.gsmarena.com/vv/bigpic/coolpad-note-6-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 5, 40","HSPA 42.2/5.76 Mbps, LTE","2018, May","Available. Released 2018, May",153.7 x 76.4 x 8.6 mm (6.05 x 3.01 x 0.34 in),170 g (6.00 oz),Dual SIM,,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Android 7.1 (Nougat),Qualcomm MSM8940 Snapdragon 435 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 4GB RAM","13 MP, 2.2, AF","LED flash, panorama, HDR",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,,FM radio,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity","Li-Ion 4070 mAh, non-removable",Gold,About 9000 INR,,,,,,,,,,"8 MP 5 MP, depth sensor",,,,,,,,,,,,,,
coolpad,Coolpad Cool 2,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-2.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,Splash resistant,"1, 3, 5, 7, 8, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE","2018, April","Available. Released 2018, June",154.7 x 73.3 x 9 mm (6.09 x 2.89 x 0.35 in),160 g (5.64 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",eMMC 5.1,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~73.9% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,Android 7.0 (Nougat),Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC (uses shared SIM slot),64GB 4GB RAM,8 MP,"LED flash, panorama, HDR",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,Yes,No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 3200 mAh, non-removable","Gold, Blue",,,,,,,,,,"Glass front, aluminum back, aluminum frame","13 MP, AF 0.3 MP, (depth)",,,,,,,,,,,,,,
coolpad,Coolpad Cool Play 6,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-play-6-.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 / 1900 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,eMMC 5.1,"1, 3, 5, 7, 8, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE","2017, August","Available. Released 2017, September",152 x 75.2 x 8.5 mm (5.98 x 2.96 x 0.33 in),175 g (6.17 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~73.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"Android 7.1.1 (Nougat), Journey UI",Qualcomm MSM8976 Pro Snapdragon 653 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A72),Adreno 510,No,64GB 6GB RAM,"13 MP, f/2.0, PDAF 13 MP","Dual-LED dual-tone flash, panorama, HDR","4K@30fps, 1080p@30fps","8 MP, f/2.2, 1/3.2"", 1.4µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",,Yes,No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 4060 mAh, non-removable","Gold, Black",About 15000 INR,,,,,,,,,,,,,COR-I0,,,,,,,,,,,
coolpad,Coolpad Cool M7,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-m7.jpg,GSM / CDMA / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,eMMC 5.1,"1, 3, 7, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE","2017, August","Available. Released 2017, August",151.1 x 74.3 x 6.9 mm (5.95 x 2.93 x 0.27 in),152 g (5.36 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~74.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Android 7.1.1 (Nougat),Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,Adreno 506,No,64GB 4GB RAM,"12 MP, f/1.8, 1/2.55"", 1.4µm, PDAF","LED flash, HDR, panorama",1080p@30fps,"13 MP, f/2.2, (wide), 1/3.1"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",,,No,"2.0, Type-C 1.0 reversible connector","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3200 mAh, non-removable","Matte Black, Dark Blue",About 350 EUR,,,,,,,,,,,,,,,,,,,,,,,,
