Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard,Alert types,Browser,Languages,Clock,Alarm,5G bands,Camera,Loudspeaker_1,Audio quality
dell,Dell Venue 10 7000,https://fdn2.gsmarena.com/vv/bigpic/dell-venue-10-7000.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,HSDPA,,LTE (unspecified),"HSPA, LTE","2015, April. Released 2015, May",Discontinued,243.4 x 195.4 x 6.2 mm (9.58 x 7.69 x 0.24 in),597 g (1.32 lb),Micro-SIM,,"OLED capacitive touchscreen, 16M colors","10.5 inches, 319.7 cm2 (~67.2% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~288 ppi density)",,Android 5.0 (Lollipop),Intel Atom Z3580,Quad-core 2.3 GHz,PowerVR G6430,microSDXC (dedicated slot),32GB 2GB RAM,"8 MP, AF",,Yes,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP","Yes, with A-GPS",,,No,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 7000 mAh, non-removable",Black,About 460 EUR,,Up to 7 h (multimedia),,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,
dell,Dell Venue 8 7000,https://fdn2.gsmarena.com/vv/bigpic/dell-venue-8-7000.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,HSDPA,,LTE (unspecified),"HSPA, LTE","2014, October. Released 2015, January",Discontinued,215.9 x 124.2 x 6.1 mm (8.5 x 4.89 x 0.24 in),305 g (10.76 oz),Micro-SIM,,"OLED capacitive touchscreen, 16M colors","8.4 inches, 204.6 cm2 (~76.3% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~359 ppi density)",,"Android 4.4.2 (KitKat), upgradable to 5.0.2 (Lollipop)",Intel Atom Z3580,Quad-core 2.3 GHz,PowerVR G6430,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM","8 MP, f/2.4, AF",Depth & motion tracking sensors,1080p@30fps,2 MP,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP","Yes, with A-GPS",,,No,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 5900 mAh, non-removable (21 Wh)",Black,About 250 EUR,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,
dell,Dell Venue 8,https://fdn2.gsmarena.com/vv/bigpic/dell-venue-8.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,HSDPA 900 / 2100,,,HSPA,"2013, October. Released 2013, October",Discontinued,212 x 130 x 9.8 mm (8.35 x 5.12 x 0.39 in),292 g (10.30 oz),Micro-SIM,,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~67.3% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",,Android 4.2.2 (Jelly Bean),Intel Atom Z2580,Dual-core 2.0 GHz,PowerVR SGX544MP2,microSDHC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM",5 MP,,Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,No,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 4100 mAh, non-removable (15.5 Wh)",Black,About 130 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell,Dell Venue 7 8 GB,https://fdn2.gsmarena.com/vv/bigpic/dell-venue-7-8gb.jpg,No cellular connectivity,N/A,,,,,,"2013, October. Released 2013, October",Discontinued,193 x 118 x 9.6 mm (7.60 x 4.65 x 0.38 in),234 g (8.25 oz),No,,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~62.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",,Android 4.2.2 (Jelly Bean),Intel Atom Z2560,Dual-core 1.6 GHz,PowerVR SGX544MP2,microSDHC (dedicated slot),8GB 1GB RAM,3.15 MP,,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",Yes,,,No,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 4100 mAh, non-removable (15.5 Wh)","Black, Red",,,,,,,,,,,,,,,No,No,,,,,,,,,,,,
dell,Dell Venue 7,https://fdn2.gsmarena.com/vv/bigpic/dell-venue-7.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,HSDPA 900 / 2100,,,HSPA,"2013, October. Released 2013, October",Discontinued,193 x 118 x 9.6 mm (7.60 x 4.65 x 0.38 in),234 g (8.25 oz),Micro-SIM,,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~62.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",,Android 4.2.2 (Jelly Bean),Intel Atom Z2560,Dual-core 1.6 GHz,PowerVR SGX544MP2,microSDHC (dedicated slot),16GB 2GB RAM,3.15 MP,,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,No,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 4100 mAh, non-removable (15.5 Wh)","Black, Red",About 100 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell,Dell XPS 10,https://fdn2.gsmarena.com/vv/bigpic/dell-xps-10.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900  (optional),Optional mobile dock with standard QWERTY keyboard and trackpad,HSDPA (optional),MP4/H.264 player MP3/WAV/eAAC+ player Photo viewer/editor Document editor,LTE (optional),HSPA/LTE (optional),"2012, Q4. Released 2012, December",Discontinued,274.7 x 177.3 x 9.2 mm (10.81 x 6.98 x 0.36 in),635 g (1.40 lb),Single SIM (Micro-SIM) - optional,,"TFT capacitive touchscreen, 16M colors","10.1 inches, 281.1 cm2 (~57.7% screen-to-body ratio)","1366 x 768 pixels, 16:9 ratio (~155 ppi density)",,Microsoft Windows RT,,Dual-core 1.5 GHz,,microSDXC (dedicated slot),32/64GB,"5 MP, AF",,720p@30fps,2 MP,720p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","4.0, A2DP","Yes, with A-GPS (with LTE/HSPA+ configs)",,,No,microUSB 2.0,"Accelerometer, gyro, compass",Li-Ion (28 Wh),Black,About 380 EUR,,,,,,,,,,,,,,No,No,,,,,,,,,,,,
dell,Dell Streak 10 Pro,https://fdn2.gsmarena.com/vv/bigpic/dell-streak-10-pro.jpg,No cellular connectivity,N/A,MP4/H.264/WMV player MP3/WAV/eAAC+/WMA player Document viewer Photo viewer/editor Organizer Predictive text input,,,,,2011,Discontinued,262.3 x 178 x 13 mm (10.33 x 7.01 x 0.51 in),727 g (1.60 lb),No,,"TFT capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~63.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Corning Gorilla Glass,Android 3.2 (Honeycomb),Nvidia Tegra 2 T20,Dual-core 1.0 GHz Cortex-A9,ULP GeForce,microSDHC (dedicated slot),16GB 1GB RAM,"5 MP, AF",LED flash,1080p@30fps,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","2.1, A2DP, EDR",Yes,,,No,2.0,"Accelerometer, gyro, proximity, compass",Non-removable Li-Ion battery,Black,About 280 EUR,,Up to 12 h,,,,,,,,,,,,No,No,,,,,,,,,,,,
dell,Dell Streak Pro D43,https://fdn2.gsmarena.com/vv/bigpic/dell-streak-pro-d43.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,SNS integration MP4/WMV/H.264 player MP3/WAV/eAAC+ player Organizer Photo/video editor Document editor Voice memo/dial/commands Predictive text input,HSDPA 900 / 1700 / 2100,,,HSPA 14.4/5.76 Mbps,"2011, December. Released 2012, Q3",Discontinued,124.9 x 64.5 x 10.3 mm (4.92 x 2.54 x 0.41 in),145 g (5.11 oz),Micro-SIM,,"Super AMOLED capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm2 (~63.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",Corning Gorilla Glass,,Qualcomm MSM8260 Snapdragon S3,Dual-core 1.5 GHz Scorpion,Adreno 220,microSDHC (dedicated slot),"8GB ROM, 1GB RAM","8 MP, AF",LED flash,1080p@30fps,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR","Yes, with A-GPS",,,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Ion 1520 mAh battery,Black,About 450 EUR,Up to 281 h (2G) / Up to 353 h (3G),Up to 13 h (2G) / Up to 9 h (3G),,"Practically unlimited entries and fields, Photocall",Practically unlimited,"SMS(threaded view), MMS, Email, IM",Yes + downloadable,"Yes, via Java MIDP emulator",,,,,,,,,,,,,,,,,,,
dell,Dell Streak 7,https://fdn2.gsmarena.com/vv/bigpic/dell-streak-7.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,MP4/H.264/WMV player MP3/WAV/eAAC+/WMA player QuickOffice document viewer Photo viewer/editor Organizer Predictive text input,HSDPA 900 / 1900 / 2100  / 1700,,,HSPA,"2011, February. Released 2011, March",Discontinued,200 x 119.8 x 12.4 mm (7.87 x 4.72 x 0.49 in),453.6 g (1.00 lb),Mini-SIM,,"TFT capacitive touchscreen, 16M colors","7.0 inches, 139.5 cm2 (~58.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~133 ppi density)",Corning Gorilla Glass,"Android 2.2 (Froyo), 2.3 (Gingerbread), upgradable to 3.2 (Honeycomb)",Nvidia Tegra 2 T20,Dual-core 1.0 GHz Cortex-A9,ULP GeForce,microSDHC (dedicated slot),16GB,"5 MP, AF",LED flash,720p,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR","Yes, with A-GPS",,,No,2.0,"Accelerometer, proximity, compass",Non-removable Li-Ion 2780 mAh battery,Gray,About 210 EUR,Up to 72 h,Up to 4 h,,,,,,,,,,,,,,,,,,"HTML, Adobe Flash",,,,,,,
dell,Dell Streak 7 Wi-Fi,https://fdn2.gsmarena.com/vv/bigpic/dell-streak-7.jpg,No cellular connectivity,N/A,MP4/H.264/WMV player MP3/WAV/eAAC+/WMA player QuickOffice document viewer Photo viewer/editor Organizer Predictive text input,,,,,"2011, February. Released 2011, April",Discontinued,200 x 119.8 x 12.4 mm (7.87 x 4.72 x 0.49 in),453.6 g (1.00 lb),No,,"TFT capacitive touchscreen, 16M colors","7.0 inches, 139.5 cm2 (~58.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~133 ppi density)",Corning Gorilla Glass,"Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread)",Nvidia Tegra 2 T20,Dual-core 1.0 GHz Cortex-A9,ULP GeForce,microSDHC (dedicated slot),16GB,"5 MP, AF",LED flash,720p,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR",Yes,,,No,2.0,"Accelerometer, proximity, compass",Non-removable Li-Ion 2780 mAh battery,Gray,About 140 EUR,Up to 72 h,Up to 4 h,,,,,,,,,,,,No,No,,,,,"HTML, Adobe Flash",,,,,,,
