Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard,Alert types,Browser,Languages,Clock,Alarm,5G bands,Camera,Loudspeaker_1,Audio quality
emporia,Emporia Glam,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaGLAM.jpg,GSM,GSM 900 / 1800,Flashlight,,No,,,"2014, March. Released 2014, June",Discontinued,104 x 52 x 17 mm (4.09 x 2.05 x 0.67 in),-,Mini-SIM,,TFT,"2.4 inches, 17.8 cm2 (~33.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,Mediatek MT6260A,360 MHz,No,microSD (dedicated slot),8MB 4MB RAM,2 MP,,,,,Yes,Yes,No,No,No,,,No,,,"Li-Ion 1020 mAh, removable",Black,,Up to 320 h,Up to 4 h,,Yes,Yes,SMS,No,No,,,,,,No,No,,,,,,,,,,,,
emporia,Emporia Flip Basic,https://fdn2.gsmarena.com/vv/bigpic/emporia-flip-f210.jpg,GSM,GSM 900 / 1800,No,,,,,"2014, March. Released 2014, March",Discontinued,96 x 49 x 17 mm (3.78 x 1.93 x 0.67 in),82 g (2.89 oz),Mini-SIM,,TFT,"2.4 inches, 18.1 cm2 (~38.5% screen-to-body ratio)",176 x 220 pixels (~117 ppi density),,,Mediatek MT6260M,360 MHz,No,No,16MB 32MB RAM,,,,,,Yes,Yes,No,No,No,,,No,No,,"Li-Ion 1020 mAh, removable",Black,,Up to 360 h,Up to 3 h 40 min,,Yes,Yes,SMS,No,No,,,,,,No,No,,,,,,,,,,,,
emporia,Emporia Eco,https://fdn2.gsmarena.com/vv/bigpic/emporia-eco-c160.jpg,GSM,GSM 900 / 1800,Flashlight,,No,,,2014,Available,124 x 48 x 12.5 mm (4.88 x 1.89 x 0.49 in),70 g (2.47 oz),Mini-SIM,,TFT,"2.2 inches, 15.2 cm2 (~25.6% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),,,Mediatek MT6260M,360 MHz,No,No,16MB 32MB RAM,VGA,,No,,,Yes,Yes,No,No,No,,,FM radio,miniUSB,,"Li-Ion 1020 mAh, removable",Black,,Up to 310 h,Up to 4 h 45 min,,Yes,Yes,SMS,No,No,,,,,,No,No,,,,,,,,,,,,
emporia,Emporia Click Plus,https://fdn2.gsmarena.com/vv/bigpic/emporia-click-plus.jpg,GSM / HSPA,GSM 900 / 1800,Flashlight,HSDPA 900 / 2100,No,,HSPA,2014,Available,105 x 51 x 18.5 mm (4.13 x 2.01 x 0.73 in),110 g (3.88 oz),Mini-SIM,,TFT,"2.4 inches, 17.8 cm2 (~33.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,Qualcomm QSC6240,,,No,20MB 64MB RAM,2 MP,,Yes,,,Yes,Yes,No,2.0,A-GPS only,,,No,No,,"Li-Ion 1000 mAh, removable",White,,Up to 320 h,Up to 4 h,,"Yes, Photocall",Yes,"SMS, MMS",No,No,,,,,,,,,,,,,,,,,,,
emporia,Emporia Essence Plus,https://fdn2.gsmarena.com/vv/bigpic/emporia-essence.jpg,GSM,GSM 900 / 1800 - RL2 model,GSM 850 / 1900 - US model,,Flashlight,,,2012,Available,107 x 51 x 12 mm (4.21 x 2.01 x 0.47 in),74 g (2.61 oz),Mini-SIM,No,TFT,"1.8 inches, 10.2 cm2 (~18.7% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,Infineon PMB7880,,,No,0.3MB 2MB RAM,,,,,,Yes,Yes,No,2.0,No,,,FM radio,No,,"Li-Ion 1000 mAh, removable",Silver,,Up to 400 h,Up to 4 h,,100 entries,Yes,SMS,No,No,,,,,,No,No,,,,,,,,,,,,
emporia,Emporia Solid Plus,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaSOLIDplus.jpg,GSM,GSM 900 / 1800,IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810F compliant Flashlight,,No,,,2013,Available,119 x 60 x 18 mm (4.69 x 2.36 x 0.71 in),142 g (5.01 oz),Mini-SIM,,TFT,"1.8 inches, 10.2 cm2 (~14.3% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,Mediatek MT6223,,No,No,0.5MB 4MB RAM,,,,,,Yes,Yes,No,2.0,Yes,,,No,No,,"Li-Ion 1750 mAh, removable","White, Yellow",,Up to 400 h,Up to 5 h,,Yes,Yes,SMS,No,No,,,,,,No,No,,,,,,,,,,,,
emporia,Emporia Care Plus,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaCAREplus.jpg,GSM,GSM 900 / 1800,Flashlight,,No,,,2013,Available,122 x 55 x 18 mm (4.80 x 2.17 x 0.71 in),103 g (3.63 oz),Mini-SIM,,TFT,"2.2 inches, 15.2 cm2 (~22.7% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),,,Mediatek MT6223,,No,No,0.5MB 4MB RAM,,,,,,Yes,Yes,No,2.0,Yes,,,FM radio,No,,"Li-Ion 1750 mAh, removable",Black,,Up to 300 h,Up to 6 h,,500 entries,Yes,SMS,No,No,,,,,,No,No,,,,,,,,,,,,
emporia,Emporia Elegance Plus,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaELEGANCEplus.jpg,GSM,GSM 900 / 1800,Flashlight,,No,,,2012,Available,109 x 50 x 14 mm (4.29 x 1.97 x 0.55 in),92 g (3.25 oz),Mini-SIM,,TFT,"1.8 inches, 10.2 cm2 (~18.7% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,Infineon PMB7880,,,No,0.3MB 2MB RAM,,,,,,Yes,Yes,No,2.0,No,,,FM radio,No,,"Li-Ion 1100 mAh, removable",Black,,Up to 300 h,Up to 4 h,,100 entries,Yes,SMS,No,No,,,,,,No,No,,,,,,,,,,,,
emporia,Emporia Elegance,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaELEGANCE-V35.jpg,GSM,GSM 900 / 1800,Flashlight,,No,,,2012,Available,109 x 50 x 14 mm (4.29 x 1.97 x 0.55 in),92 g (3.25 oz),Mini-SIM,,TFT,"1.8 inches, 10.2 cm2 (~18.7% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,Infineon PMB7880,,,No,0.3MB 2MB RAM,,,,,,Yes,Yes,No,2.0,No,,,FM radio,No,,"Li-Ion 1100 mAh, removable","Black, White, Brown",,Up to 300 h,Up to 4 h,,100 entries,Yes,SMS,No,No,,,,,,No,No,,,,,,,,,,,,
emporia,Emporia Connect,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaCONNECT.jpg,GSM / UMTS,GSM 900 / 1800,Flashlight,UMTS 900 / 2100,No,,"Yes, 384 kbps",2012,Available,108 x 53 x 20 mm (4.25 x 2.09 x 0.79 in),110 g (3.88 oz),Mini-SIM,Organizer,TFT,"2.8 inches, 22.3 cm2 (~39.0% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~167 ppi density)",,,Qualcomm QSC6270,,,microSD (dedicated slot),20MB 64MB RAM,2 MP,,,,,Yes,Yes,No,2.1,A-GPS only,,,No,miniUSB,,"Li-Ion 1150 mAh, removable",Black,,Up to 170 h,Up to 6 h,,"1500 entries, Photocall",Yes,"SMS, MMS",No,No,,,,,,,,,,,,,,,,,,,
