Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard,Alert types,Browser,Languages,Clock,Alarm,5G bands,Camera,Loudspeaker_1,Audio quality,Triple,Dual_1
energizer,Energizer Ultimate U710S,https://fdn2.gsmarena.com/vv/bigpic/energizer-u710s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 7, 8, 20, 28, 38, 40","HSPA 42.2/11.5 Mbps, LTE-A","2020, February 17",Cancelled,180.3 x 86.8 x 9.2 mm (7.10 x 3.42 x 0.36 in),-,"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","7.12 inches, 127.8 cm2 (~81.7% screen-to-body ratio)","1080 x 2244 pixels, 18.7:9 ratio (~350 ppi density)",AGC glass,Android 9.0 (Pie),Mediatek MT6763 Helio P23 (16 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Mali-G71 MP2,microSDXC,32GB 3GB RAM,5 MP,"LED flash, HDR, panorama",1080p@30fps,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",,,FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 6000 mAh, non-removable",Gray,,,,,,,,,,,"13 MP, PDAF VGA",,Charging 10W,,,,,,,,,,,,,,,,,
energizer,Energizer Energy E12,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e12.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,- Flashlight,,,,,"2019, April","Available. Released 2019, June",117 x 51 x 15 mm (4.61 x 2.01 x 0.59 in),91 g (3.21 oz),Dual SIM (Mini-SIM),,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~17.1% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,Spreadtrum SC6531E,,,microSDHC,4MB 4MB RAM,VGA,,Yes,VGA,,Yes,Yes,No,2.1,No,,,FM radio,microUSB 2.0,,Li-Ion 1000 mAh battery,Black,About 10 EUR,,,,Yes,Yes,"SMS, MMS",,No,,,,,,Yes,Yes,,,,,,,,,,,,,,
energizer,Energizer Hardcase H10,https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h10.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,IP54 splash/shock proof - Flashlight,,,,,"2019, April","Available. Released 2019, April",109 x 49 x 15 mm (4.29 x 1.93 x 0.59 in),80 g (2.82 oz),Dual SIM (Mini-SIM),,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~19.1% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,Mediatek MT6261A,,,microSDHC,64MB 32MB RAM,VGA,,Yes,VGA,,Yes,Yes,No,3.0,No,,,FM radio,microUSB,,Li-Ion 1000 mAh battery,Black,About 30 EUR,,,,Yes,Yes,SMS,,No,,,,,,Yes,Yes,,,,,,,,,,,,,,
energizer,Energizer Power Max P8100S,https://fdn2.gsmarena.com/vv/bigpic/energizer-power-max-p8100s-.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Cover display: 6 inches, 1080 x 2160 pixels",HSDPA 850 / 900 / 2100,,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 600/50 Mbps; 5G (2+ Gbps DL)","2019, February",Cancelled,-,-,"Dual SIM (Nano-SIM, dual stand-by)",,"Foldable IPS LCD capacitive touchscreen, 16M colors","8.1 inches, 203.2 cm2","1536 x 2048 pixels, 4:3 ratio (~316 ppi density)",,Android 9.0 (Pie),Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,microSDXC,256GB 8GB RAM,"24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm","Dual-LED flash, HDR, panorama",4K@30fps,,1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",,,FM radio,Type-C 1.0 reversible connector,"Accelerometer, gyro, proximity, compass","Li-Po 10000 mAh, non-removable",Dark red,About 900 EUR,,,,,,,,,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 12 MP",,Fast charging 18W,,,,,,,,,,,,NSA,,,,,
energizer,Energizer Power Max P18K Pop,https://fdn2.gsmarena.com/vv/bigpic/energizer-power-max-p18k-pop-100.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 5, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE-A","2019, February",Cancelled,⁓ 30-40 mm thickness,-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm2 (~83.8% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~407 ppi density)",,Android 9.0 (Pie),Mediatek MT6771 Helio P70 (12nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,microSDXC (uses shared SIM slot),128GB 6GB RAM,,"Dual-LED dual-tone flash, panorama, HDR",1080p@30fps,,1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",,,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 18000 mAh, non-removable","Black, Blue",,,,,,,,,,,"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm 2 MP, depth sensor",,Fast charging 18W USB Power Delivery 2.0 Reverse charging,,,,,,,,,,,,,,,,"12 MP, PDAF 5 MP 2 MP, (depth)",
energizer,Energizer Ultimate U620S Pop,https://fdn2.gsmarena.com/vv/bigpic/energizer-ultimate-u620s-pop.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 2100,,"1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A","2019, January",Cancelled,153.2 x 74.9 x 10.3 mm (6.03 x 2.95 x 0.41 in),-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm2 (~83.6% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~407 ppi density)",,Android 9.0 (Pie),Mediatek MT6771 Helio P70 (12nm),Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,microSDXC (uses shared SIM slot),128GB 6GB RAM,,"Dual-LED dual-tone flash, panorama, HDR",1080p@30fps,,1080p,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",,,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3200 mAh, non-removable","Black, Red, Green",,,,,,,,,,,"Motorized pop-up 16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm Motorized pop-up 2 MP, depth sensor",,Fast charging 18W,,,,,,,,,,,,,,,,"12 MP, PDAF 5 MP 2 MP, (depth)",
energizer,Energizer Hardcase H570S,https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h570s-not-scan.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,IP68 dust/water resistant (up to 1.5m for 30 mins),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,eMMC 5.1,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2019, February","Available. Released 2019, Q3",,-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"LTPS IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Corning Gorilla Glass 3,Android 9.0 (Pie),Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,microSDHC (uses shared SIM slot),16GB 2GB RAM,8 MP,LED flash,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",,,No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 6500 mAh, non-removable",Black,,,,,,,,,,,"13 MP, AF 0.3 MP, (depth)",,Charging 10W,,,,,,,,,,,,,,,,,
energizer,Energizer Hardcase H501S,https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h501s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,IP68 dust/water resistant (up to 1.5m for 30 mins),HSDPA 900 / 2100,eMMC 5.1,"1, 3, 7, 20","HSPA 7.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, February","Available. Released 2019, Q3",149.4 x 69.9 x 12 mm (5.88 x 2.75 x 0.47 in),-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 64.5 cm2 (~61.8% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~215 ppi density)",Panda Glass,Android 9.0 (Pie),Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,microSDXC (uses shared SIM slot),16GB 2GB RAM,5 MP,LED flash,480p@30fps,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",,,No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity","Li-Ion 2500 mAh, non-removable",Black,,,,,,,,,,,"16 MP, AF 2 MP, (depth)",,,,,,,,,,,,,,,,,,,
energizer,Energizer Hardcase H280S,https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h280s1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,IP68 dust/water resistant (up to 1.2m for 30 mins) Drop-to-concrete resistance from up to 1.2 m,HSDPA 900 / 2100,"Downloadable applications Facebook, Gmail, Whatsapp, etc.","1, 3, 7, 8, 20, 28, 40","HSPA 42.2/5.76 Mbps, LTE","2019, February","Available. Released 2020, January",142 x 64 x 16.5 mm (5.59 x 2.52 x 0.65 in),256 g (9.03 oz),"Dual SIM (Micro-SIM, dual stand-by)",,"TFT, 256K colors","2.8 inches, 24.3 cm2 (~26.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,KaiOS,Spreadtrum SC9820E,Dual-core (2x1.2 GHz),,microSDXC,4GB 512MB RAM,2 MP,LED flash,Yes,0.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",3.0,"Yes, with A-GPS",,,FM radio,microUSB 2.0,,Li-Ion 2000 mAh battery,Black,About 80 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energizer,Energizer Hardcase H241,https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h241s.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,IP68 dust/water resistant (up to 1.2m for 30 mins),HSDPA 900 / 2100,"Downloadable applications Facebook, Gmail, Whatsapp, etc.",,HSPA,"2019, February",Cancelled,128.5 x 56.5 x 16.5 mm (5.06 x 2.22 x 0.65 in),-,Dual SIM (Mini-SIM),,"TFT, 256K colors","2.4 inches, 17.8 cm2 (~24.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,KaiOS,Mediatek MT6276А,,,microSDXC,128MB 64MB RAM,2 MP,LED flash,Yes,0.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Yes,No,,,FM radio,microUSB 2.0,,Li-Ion 2500 mAh battery,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
