Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Dual,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Colors,Price,Build,Dual_1,Features_1,Charging,GPRS,EDGE,Phonebook,Call records,_1,Alert types,Messaging,Browser,Clock,Alarm,Games,Java,_1_1,Stand-by,Talk time,Protection,NFC,Single_1,Models,SAR EU,Music play,Infrared port,Languages
ericsson,Ericsson R600,https://fdn2.gsmarena.com/vv/bigpic/err600.gif,GSM,GSM 900 / 1800,,,,"2001, Q4",Discontinued,105 x 45 x 20 mm (4.13 x 1.77 x 0.79 in),82 g (2.89 oz),Mini-SIM,Grayscale graphic,,5 lines,,,,,No,,LCD illuminates in 3  colours Background pictures,,,,,,No,No,No,No,No,No,,,Removable Li-Ion (BST-20),"2 - Ice Blue, Luminous Champagne",,,,,,Yes,No,200,"10 received, dialed and missed calls",No,"Vibration; Downloadable monophonic ringtones, composer","SMS, EMS",WAP 1.2.1,Yes,Yes,"4 - Erix, Catcher, Pathy and Ripple",No,SMS chat Predictive text input Organizer Profiles,90 h - 150 h,2 h - 4 h,,,,,0.89 W/kg (head),,,
ericsson,Ericsson T68,https://fdn2.gsmarena.com/vv/bigpic/ert68.gif,GSM,GSM 900 / 1800 / 1900,,,,"2001, Q4",Discontinued,101 x 48 x 19.5 mm (3.98 x 1.89 x 0.77 in),84 g (2.96 oz),Mini-SIM,"CSTN, 256 colors",,101 x 80 pixels,,,,,No,,Joystick navigation Image handling,,,,,,No,No,No,1.0b,No,No,,,Removable Li-Ion battery (BST-14),"2 - Zirocñan Gold, Lunar Grey",,,,,,Yes,No,500 x 8 fields,"10 dialed, 10 received, 10 missed calls",100 sec voice memo 300 calendar events,"Vibration; Downloadable monophonic ringtones, composer","SMS, EMS, MMS, Email",WAP 1.2.1,Yes,Yes,"6 - Erix, Ripple, Tetris, Game, Q, Solitaire",No,Predictive text input Organizer Voice dialing Voice answering Profiles,up to 300 h,up to 11 h,,,,,,,Yes,
ericsson,Ericsson T66,https://fdn2.gsmarena.com/vv/bigpic/ert66.gif,GSM,GSM 900 / 1800 / 1900,,,,"2001, Q4",Discontinued,92 x 41 x 17.5 mm (3.62 x 1.61 x 0.69 in),59 g (2.08 oz),Mini-SIM,Monochrome graphic,,5 lines,,,,,No,,No,,,,,,No,No,No,No,No,No,,,Removable NiMH battery,"2 - Purple Passion, Silver Supreme",,,,,,No,No,,"10 received, dialed and missed calls",SMS chat Predictive text input Organizer Profiles,"Vibration; Downloadable monophonic ringtones, composer","SMS, EMS",WAP 1.2.1,Yes,Yes,,No,,150 h,2 h - 5 h,,,,,,,,
ericsson,Ericsson T65,https://fdn2.gsmarena.com/vv/bigpic/ert65.gif,GSM,GSM 900 / 1800,,,,"2001, Q4",Discontinued,105 x 49 x 21 mm (4.13 x 1.93 x 0.83 in),94 g (3.32 oz),Mini-SIM,Grayscale graphic,,"6 lines, 101 x 67 pixels",,,,,No,,Background pictures,,,,,,No,No,No,No,No,No,,,Removable Li-Ion battery,"3 - Cosmic Blue, Stardust Yellow, Polar Blue",,,,,,Yes,No,300 x 11 fields,"30 received, dialed and missed calls",No,"Vibration; Downloadable monophonic ringtones, composer","SMS, Email, EMS",WAP 1.2.1,Yes,Yes,Yes,No,SMS chat Predictive text input Organizer Profiles,160 h - 300 h,2.5 h - 11 h,,,,,,,,
ericsson,Ericsson T39,https://fdn2.gsmarena.com/vv/bigpic/ert39.gif,GSM,GSM 900 / 1800 / 1900,,,,2001,Discontinued,96 x 50 x 18 mm (3.78 x 1.97 x 0.71 in),86 g (3.03 oz),Mini-SIM,Grayscale graphic,,"101 x 54 pixels, 4 lines, 17:9 ratio",,,,,No,,No,,,,,,No,No,No,1.0b,No,No,,,Removable NiMH battery,"3 - Classic Blue, Icecap Blue, Rose White",,,,,,Yes,No,510,"10 received, dialed and missed calls",Predictive text input Organizer Voice dialing Voice answering Profiles Helptexts and shortcuts Active flip,"Vibration; Downloadable monophonic ringtones, composer","SMS, Email",WAP 1.2.1,Yes,Yes,Yes,No,,up to 300 h,up to 11 h,,,,,,,Yes,37
ericsson,Ericsson A3618,https://fdn2.gsmarena.com/vv/bigpic/era3618.gif,GSM,GSM 900 / 1800,,,,"2001, Q3",Discontinued,111 x 47 x 22 mm (4.37 x 1.85 x 0.87 in),86 g (3.03 oz),Mini-SIM,Monochrome graphic,,4 lines,,,,,No,,"4 background colors (red, green, blue and yellow) 2 screensavers Start-up/Shut-down shows",,,,,,No,No,No,No,No,No,,,Removable NiMH battery,"2 - Icy Silver, Graphite Silver",,,,,,No,No,99,"20 received, dialed and missed calls",10 SMS templates,"Vibration; Monophonic ringtones, composer",SMS,,Yes,Yes,"3 - Tetris, Erix, Pulldown",No,Predictive text input Stopwatch Profiles Organizer,90 - 155 h,2.5 - 4 h,,,,,,,,4
ericsson,Ericsson T29s,https://fdn2.gsmarena.com/vv/bigpic/ert29.gif,GSM,GSM 900 / 1800,,,,"2001, February",Discontinued,101 x 49 x 20 mm (3.98 x 1.93 x 0.79 in),95 g (3.35 oz),Mini-SIM,Grayscale graphic,,"101 x 33 pixels, 3 x 12 chars",,,,,No,,No,,,,,,No,No,No,No,No,No,,,Removable NiMH battery,2 - Amethyst Purple and Sapphire Blue,,,,,,No,No,200,"10 received, dialed and missed calls",Predictive text input Voice dialing Voice answering Profiles] Helptexts and shortcuts Active flip,"Vibration; Downloadable monophonic ringtones, composer","SMS, EMS",WAP 1.1,Yes,Yes,5,No,,150 h,7 h,,,,,,,,English + many Asian
ericsson,Ericsson R520m,https://fdn2.gsmarena.com/vv/bigpic/err520m.gif,GSM,GSM 900 / 1800 / 1900,,,,Q2 2001 ?,Discontinued,130 x 50 x 16 mm (5.12 x 1.97 x 0.63 in),105 g (3.70 oz),Mini-SIM,Monochrome graphic,,5 lines,,,,,No,,No,,,,,,No,No,No,1.0b,No,No,,,Removable NiMH battery,,,,,,,Yes,No,500+,,Predictive text input Code memo Voice dial Voice answer Voice memo Calculator Speaker with proximity switch,Vibration; Downloadable monophonic ringtones,"SMS, Email",WAP 1.2,Yes,Yes,,No,,200 h,7 h 30 min,,,,,,,Yes,
ericsson,Ericsson T20e,https://fdn2.gsmarena.com/vv/bigpic/ert20e.gif,GSM,GSM 900 / 1800,,,,2001,Discontinued,101 x 54 x 28 mm (3.98 x 2.13 x 1.10 in),128 g (4.52 oz),Mini-SIM,Monochrome graphic,,"101 x 33 pixels, 3 x 12 chars",,,,,No,,SMS Templates,,,,,,No,No,No,No,No,No,,,Removable NiMH battery,"5 - Purple Wild, Blue Whirl, Lime Twist, Silver Weave, Beige Harmony",,,,,,No,No,,"10 received, dialed and missed calls",No,"Vibration; Downloadable monophonic ringtones, composer",SMS,WAP with added security,Yes,Yes,5,No,Mobile chat Swatch Internet Time Voice dial Voice answer Calculator Stopwatch Pictures and sound in SMS Start-up shut-down shows Profiles Active flip,200 h,10 h,,,,,,,,24
ericsson,Ericsson A2628,https://fdn2.gsmarena.com/vv/bigpic/era2628.gif,GSM,GSM 900 / 1800,,,,2001,Discontinued,131 x 51 x 25 mm (5.16 x 2.01 x 0.98 in),140 g (4.94 oz),Mini-SIM,Monochrome graphic,,4 lines,,,,,No,,Start-up/Shut-down shows,,,,,,No,No,No,No,No,No,,,Removable NiMH battery,"4 - Astral Blue, Pistachio Yellow, Green Pepper, Celestial black",,,,,,No,No,99,"30 received, dialed and missed calls",SMS templates,Monophonic ringtones,SMS,WAP 1.1,Yes,Yes,"3 - Tetris, Erix, Labirinth",No,Voice dial Voice answer Custom pictures Stopwatch Profiles Calculator Snap-On Covers,125 h,6 h,,,,,,,,
