Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard,Alert types,Browser,Languages,Clock,Alarm,5G bands,Camera,Loudspeaker_1,Audio quality,Triple,Dual_1
eten,Eten glofiish X610,https://fdn2.gsmarena.com/vv/bigpic/eten-x610.jpg,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2008, June. Released 2008, December",Discontinued,107 x 58 x 15 mm (4.21 x 2.28 x 0.59 in),136 g (4.80 oz),Mini-SIM,Pocket Office  Windows MPlayer 10 Direct push technology Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~39.1% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 6.1 Professional,,Samsung S3C2442 400 MHz,,microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,LED flash,Yes,,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,No,miniUSB,,Removable Li-Ion battery,Black,About 200 EUR,,,,,,,,,,,,,,Class 10,Class 10,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish V900,https://fdn2.gsmarena.com/vv/bigpic/eten-v900.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,HSDPA 850 / 1900 / 2100,DVB-H/DVB-T/T-DMB/DAB TV broadcast receiver MP3/WMA/WAV/eAAC+ player MP4/H.263/WMV player Pocket Office  Organizer TV-out Voice memo Predictive text input,,HSPA 3.6/0.384 Mbps,"2008, June. Released 2008, December",Discontinued,106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in),147 g (5.19 oz),Mini-SIM,,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~37.9% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",,Microsoft Windows Mobile 6.1 Professional,,Samsung 667 MHz,,microSDHC (dedicated slot),"128MB RAM, 256MB ROM","3.15 MP, AF",LED flash,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,miniUSB 1.1,,Removable Li-Ion 1530 mAh battery,Black,About 590 EUR,,,,,,,,,,,,,,,,,,,"Vibration, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish X900,https://fdn2.gsmarena.com/vv/bigpic/eten-x900.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,HSDPA 850 / 1900 / 2100,TV-out Pocket Office  Windows MPlayer 10 Organizer Voice memo,,HSPA 3.6/0.384 Mbps,"2008, June. Released 2008",Discontinued,106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in),147 g (5.19 oz),Mini-SIM,,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~37.9% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",,Microsoft Windows Mobile 6.1 Professional,,Samsung S3C 6400 533 MHz,,microSD (dedicated slot),"128MB RAM, 256MB ROM","3.15 MP, AF",,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,No,Proprietary,,Removable Li-Ion battery,Black,About 350 EUR,,,,,,,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish DX900,https://fdn2.gsmarena.com/vv/bigpic/eten-dx900.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1,GSM 900 / 1800 / 1900 - SIM 2,HSDPA 850 / 1900 / 2100 - SIM 1,Handwriting recognition,,HSPA 3.6/0.384 Mbps,"2008, June. Released 2008, December",Discontinued,106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in),147 g (5.19 oz),Dual SIM (Mini-SIM),TV-out Pocket Office  Windows MPlayer 10 Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~37.9% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",,Microsoft Windows Mobile 6.1 Professional,,Samsung S3C 6400 533 MHz,,microSD (dedicated slot),"128MB RAM, 256MB ROM","3.15 MP, AF",,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,No,Proprietary,,Removable Li-Ion battery,Black,About 320 EUR,,,,,,,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish M750,https://fdn2.gsmarena.com/vv/bigpic/eten-m750.jpg,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2008, April. Released 2008",Discontinued,109.5 x 59 x 17.5 mm (4.31 x 2.32 x 0.69 in),179 g (6.31 oz),Mini-SIM,Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~37.6% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 6.0 Professional,,Samsung S3C 2442 500 MHz,,microSD (dedicated slot),"64MB RAM, 256MB ROM","2 MP, AF",,No,,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,miniUSB,,Removable Li-Ion 1530 mAh battery,Black,,Up to 260 h,Up to 6 h,,,,,,,,,,,,Class 10,Class 10,,,QWERTY,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish M810,https://fdn2.gsmarena.com/vv/bigpic/eten-m810.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,HSDPA 850 / 1900 / 2100,Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo,,HSPA,"2008, April. Released 2008, August",Discontinued,109.5 x 59 x 17.5 mm (4.31 x 2.32 x 0.69 in),179 g (6.31 oz),Mini-SIM,,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~37.6% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 6.0 Professional,,Samsung S3C 2442 500 MHz,,microSD (dedicated slot),"64MB RAM, 256MB ROM","2 MP, AF",,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,miniUSB,,Removable Li-Ion 1530 mAh battery,Black,About 230 EUR,Up to 260 h,Up to 6 h,,,,,,,,,,,,,,,,QWERTY,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish X650,https://fdn2.gsmarena.com/vv/bigpic/eten-x650.jpg,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2008, January. Released 2008, March",Discontinued,107 x 58 x 14.7 mm (4.21 x 2.28 x 0.58 in),136 g (4.80 oz),Mini-SIM,Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~39.1% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",,Microsoft Windows Mobile 6.0 Professional,,Samsung SC32442 500 MHz,,microSD (dedicated slot),"64MB RAM, 256MB ROM","2 MP, AF",,Yes,,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,miniUSB,,Removable Li-Po 1530 mAh battery,"Black, Purple",About 220 EUR,Up to 170 h,Up to 6 h,,,,,,,,,,,,Class 10,Class 10,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish M800,https://fdn2.gsmarena.com/vv/bigpic/eten-m800.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,HSDPA 850 / 1900 / 2100,Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo,,HSPA,"2007, October. Released 2008, March",Discontinued,113.8 x 57.8 x 18.4 mm (4.48 x 2.28 x 0.72 in),178 g (6.28 oz),Mini-SIM,,"TFT resistive touchscreen, 65K colors",,"640 x 480 pixels, 2.8, 4:3 ratio",,Microsoft Windows Mobile 6.0,,Samsung S3C2442 500 MHz,,microSD (dedicated slot),"64MB RAM, 256MB ROM","2 MP, AF",,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,miniUSB,,Removable Li-Po 1530 mAh battery,Silver,About 230 EUR,Up to 150 h,Up to 4 h,,,,,,,,,,,,,,,,QWERTY,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish X600,https://fdn2.gsmarena.com/vv/bigpic/eten-x600.gif,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2007, October. Released 2008, January",Discontinued,107 x 58 x 14.7 mm (4.21 x 2.28 x 0.58 in),136 g (4.80 oz),Mini-SIM,Pocket Office  eBook reader Windows MPlayer 10 Direct push technology Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~39.1% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 6.0 Professional,,Samsung S3C2442 400 MHz,,microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,,Yes,,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,miniUSB,,Removable Li-Ion 1530 mAh battery,"Black, Red",About 170 EUR,Up to 200 h,Up to 7 h,,,,,,,,,,,,Class 10,Class 10,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish X500+,https://fdn2.gsmarena.com/vv/bigpic/eten-x500.gif,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2007, May",Discontinued,113 x 59.5 x 15.5 mm (4.45 x 2.34 x 0.61 in),146 g (5.15 oz),Mini-SIM,Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~36.1% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~286 ppi density)",,Microsoft Windows Mobile 6.0 Professional,,Samsung S3C2440 400 MHz,,microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,,Yes,,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,miniUSB,,Removable Li-Ion 1530 mAh battery,"Silver, Black",About 180 EUR,Up to 170 h,Up to 5 h,,,,,,,,,,,,Class 10,Class 10,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
