Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard,Alert types,Browser,Languages,Clock,Alarm,5G bands,Camera,Loudspeaker_1,Audio quality,Triple,Dual_1
gigabyte,Gigabyte GSmart Essence 4,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-essence4.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2015, October. Released 2015, November",Discontinued,124 x 62 x 9.6 mm (4.88 x 2.44 x 0.38 in),105 g (3.70 oz),"Dual SIM (Mini-SIM, dual stand-by)",,TFT capacitive touchscreen,"4.0 inches, 45.5 cm2 (~59.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.4 (KitKat),Mediatek MT6572 (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDHC (dedicated slot),4GB 512MB RAM,2 MP,,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1300 mAh, removable",Black,About 60 EUR,Up to 300 h,Up to 12 h,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Classic Lite,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-classic-lite.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2015, October. Released 2015, November",Discontinued,143 x 73 x 9.2 mm (5.63 x 2.87 x 0.36 in),145 g (5.11 oz),"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 4.4 (KitKat),Spreadtrum SC7731,Quad-core 1.2 GHz,Mali-400,microSDHC (dedicated slot),8GB 512MB RAM,5 MP,LED flash,Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.1,"Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2100 mAh, removable",Black,About 80 EUR,Up to 250 h,Up to 12 h,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Essence,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-essence.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2015, October. Released 2015, October",Discontinued,134 x 67 x 8.8 mm (5.28 x 2.64 x 0.35 in),125 g (4.41 oz),"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~62.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Android 4.4 (KitKat),Spreadtrum SC7731,Quad-core 1.2 GHz,Mali-400,microSDHC (dedicated slot),8GB 512MB RAM,5 MP,LED flash,Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, EDR","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1600 mAh, removable","Black, White",About 70 EUR,Up to 240 h,Up to 12 h,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Classic,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-classic.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2015, October. Released 2015, October",Discontinued,145 x 73 x 8.6 mm (5.71 x 2.87 x 0.34 in),150 g (5.29 oz),"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 5.1 (Lollipop),Spreadtrum SC7731,Quad-core 1.2 GHz,Mali-400,microSDHC (dedicated slot),8GB 1GB RAM,"8 MP, AF",LED flash,Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, EDR","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable","Black, Gray",About 100 EUR,Up to 230 h,Up to 10 h,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Guru GX,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru-gx.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 4.5,HSDPA 900 / 2100,,"3, 7, 20","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2015, January. Released 2015, April",Discontinued,139 x 69 x 7 mm (5.47 x 2.72 x 0.28 in),115 g (4.06 oz),Dual SIM (Nano-SIM/ Micro-SIM),,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~71.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Corning Gorilla Glass 3,Android 4.4 (KitKat),Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDXC (dedicated slot),32GB 2GB RAM,"13 MP, AF",LED flash,Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, LE","Yes, with A-GPS, GLONASS",,,FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Ion 2300 mAh, non-removable",Black,,Up to 200 h,Up to 14 h,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Mika MX,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-mika-mx.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 4.5,HSDPA 900 / 2100,,"3, 7, 8","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2015, January. Released 2015, February",Discontinued,143 x 72 x 9.8 mm (5.63 x 2.83 x 0.39 in),165 g (5.82 oz),"Dual SIM (Micro-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",,Android 4.4 (KitKat),Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDHC (dedicated slot),8GB 1GB RAM,"5 MP, AF",,Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, LE","Yes, with A-GPS, GLONASS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 3000 mAh, removable",Black,,Up to 320 h,Up to 20 h,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Roma RX,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-roma-rx.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, April",Discontinued,142 x 73 x 9.5 mm (5.59 x 2.87 x 0.37 in),155 g (5.47 oz),"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 4.4 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC (dedicated slot),4GB 512MB RAM,5 MP,,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable",Black,,Up to 400 h,Up to 20 h,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Akta A4,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Akta-A4.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2014, November. Released 2014, November",Discontinued,147 x 73 x 9.6 mm (5.79 x 2.87 x 0.38 in),158 g (5.57 oz),Dual SIM (Mini-SIM/ Micro-SIM),,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.2% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",,Android 4.4.2 (KitKat),Mediatek MT6592 (28 nm),Octa-core 1.4 GHz Cortex-A7,Mali-450MP4,microSDHC (dedicated slot),8GB 1GB RAM,"13 MP, AF",LED flash,Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, gyro, proximity, compass","Li-Ion 1800 mAh, removable",Navy Blue,,Up to 250 h,Up to 6 h,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Mika M3,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Mika-M4.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 2100,,,HSPA 21.1/5.76 Mbps,"2014, October. Released 2014, November",Discontinued,144 x 70.5 x 8.3 mm (5.67 x 2.78 x 0.33 in),146 g (5.15 oz),Dual SIM (Mini-SIM/ Micro-SIM),,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC (dedicated slot),8GB 1GB RAM,"13 MP, AF",LED flash,Yes,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",3.0,"Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1900 mAh, removable",Navy Blue,,Up to 150 h,Up to 4 h 30 min,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart GX2,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-arty-gx2.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 4.5,HSDPA 850 / 900 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2014, August. Released 2014, September",Discontinued,146.5 x 73.4 x 8.7 mm (5.77 x 2.89 x 0.34 in),135 g (4.76 oz),Dual SIM (Micro-SIM),,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,Android 4.4.2 (KitKat),Qualcomm MSM8228 Snapdragon 400 (28 nm),Quad-core 1.6 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),8GB 2GB RAM,"13 MP, AF",LED flash,Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 2200 mAh, removable",Black,,Up to 350 h,Up to 12 h,,,,,,,,,,,,,,,,,,,,,,,,,,,
