Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard,Alert types,Browser,Languages,Clock,Alarm,5G bands,Camera,Loudspeaker_1,Audio quality,Triple,Dual_1,Battery life,Performance,Display,64GB 6GB RAM,64GB 4GB RAM,128GB 4GB RAM,Music play,32GB 4GB RAM,4GB,Quad,256GB 8GB RAM,128GB 8GB RAM,256GB 6GB RAM,Triple_1,64GB 3GB RAM
honor,Honor 30i,https://fdn2.gsmarena.com/vv/bigpic/honor-30i.jpg,GSM / CDMA / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,600 nits typ. brightness (advertised),"1, 2, 3, 4, 5, 7, 8, 19, 20, 26, 28, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE","2020, September 11","Available. Released 2020, September 12",157.2 x 73.2 x 7.7 mm (6.19 x 2.88 x 0.30 in),171.5 g (6.07 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED capacitive touchscreen, 16M colors","6.3 inches, 95.8 cm2 (~83.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~418 ppi density)",,"Android 10, Magic UI 2.1",Kirin 710F (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,"NM (Nano Memory), up to 256GB (uses shared SIM slot)",128GB 4GB RAM,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",Yes,,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable","Ultraviolet Sunset, Turquoise, Midnight Black",About 200 EUR,,,,,,,,,,,,"Charging 10W, 53% in 30 min (advertised)",LRA-LX1,,,,HDR,,,,,,,,,,,"48 MP, f/1.8, 28mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.4, 120˚ (ultrawide) 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,
honor,Honor Watch GS Pro,https://fdn2.gsmarena.com/vv/bigpic/honor-watch-gs-pro.jpg,No cellular connectivity,N/A,5ATM water resistant MIL-STD-810G compliant,N/A,eMMC,N/A,No,"2020, September 04","Available. Released 2020, September 07",-,45.5 g (1.62 oz),No,No,"AMOLED capacitive touchscreen, 16M colors","1.39 inches, 6.2 cm2","454 x 454 pixels, 1:1 ratio (~462 ppi density)",,Huawei wearable platform,,,,No,4GB,,,,,,No,No,No,"5.0, LE","Yes, with GLONASS",,,No,No,"Accelerometer, gyro, heart rate, SpO2","Li-Ion, non-removable","Charcoal Black, Marl White, Camo Blue",€ 249.90,,,,,,,,,"Glass front, plastic back, stainless steel bezel ring and dial",,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,€ 249.90,,,,,,
honor,Honor Watch ES,https://fdn2.gsmarena.com/vv/bigpic/honor-watch-es.jpg,No cellular connectivity,N/A,5ATM water resistant,N/A,eMMC,N/A,No,"2020, September 04","Available. Released 2020, September 07",-,21 g (0.74 oz),No,No,"AMOLED capacitive touchscreen, 16M colors","1.64 inches, 7.7 cm2",280 x 456 pixels (~326 ppi density),,Huawei wearable platform,,,,No,4GB,,,,,,No,No,No,"5.0, LE",Yes,,,No,No,"Accelerometer, gyro, heart rate, SpO2","Li-Ion, non-removable","Meteorite Black, Coral Pink, Icelandic White",$ 95.59 / € 99.90,,,,,,,,,"Glass front, plastic back, plastic frame",,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,$ 95.59,,,,,,
honor,Honor Pad 6,https://fdn2.gsmarena.com/vv/bigpic/honor-pad-6.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Stylus support,HSDPA 2100,,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE","2020, July 17","Available. Released 2020, July 28",240.2 x 159 x 7.6 mm (9.46 x 6.26 x 0.30 in),460 g (1.01 lb),Nano-SIM,,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~77.4% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",,"Android 10, Magic UI 3.1, no Google Play Services",Kirin 710A (14 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,No,"64GB 4GB RAM, 128GB 4GB RAM","5 MP, f/2.2, AF","HDR, panorama",1080p@30fps,"2 MP, f/2.4",,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE",Yes,,,No,"2.0, Type-C 1.0 reversible connector",Accelerometer,"Li-Po 5100 mAh, non-removable",Space Gray,,,,,,,,,,"Glass front, aluminum frame, aluminum back",,,Charging 10W,"AGS3-W09, AGS3-AL09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honor,Honor Pad X6,https://fdn2.gsmarena.com/vv/bigpic/honor-pad-x6.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Stylus support,HSDPA 2100,,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE","2020, July 17","Available. Released 2020, July 28",240.2 x 159 x 7.6 mm (9.46 x 6.26 x 0.30 in),460 g (1.01 lb),Nano-SIM,,"IPS LCD capacitive touchscreen, 16M colors","9.7 inches, 272.8 cm2 (~71.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~156 ppi density)",,"Android 10, Magic UI 3.1, no Google Play Services",Kirin 710A (14 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,Unspecified,"32GB 3GB RAM, 64GB 4GB RAM","5 MP, f/2.2","HDR, panorama",1080p@30fps,"2 MP, f/2.4",,"Yes, with dual speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE",Yes,,,No,"2.0, Type-C 1.0 reversible connector",Accelerometer,"Li-Po 5100 mAh, non-removable",Neo Mint,,,,,,,,,,"Glass front, aluminum frame, aluminum back",,,Charging 10W,"AGR-W09, AGR-AL09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honor,Honor X10 Max 5G,https://fdn2.gsmarena.com/vv/bigpic/honor-x10-max.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HDR10,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,,"1, 2, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, July 02","Available. Released 2020, July 03",174.4 x 84.9 x 8.3 mm (6.87 x 3.34 x 0.33 in),232 g (8.18 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"LTPS IPS LCD capacitive touchscreen, 16M colors","7.09 inches, 125.5 cm2 (~84.7% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~356 ppi density)",,"Android 10, Magic UI 3.1, no Google Play Services",MediaTek MT6873 Dimensity 800 5G (7 nm),Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),Mali-G57MP4,"NM (Nano Memory), up to 256GB (uses shared SIM slot)","64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",8 MP,"LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS",,1080p@30fps,"Yes, with dual speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",Yes,,No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","Black, Blue, Silver",About 240 EUR,,,,,,,,,,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 2 MP (depth)",,Fast charging 22.5W,KKG-AN00,,,,HDR,,,,,,,"1, 3, 38, 41, 77, 78, 79, 80, 84 SA/NSA",,,,,,,,,,,,,,,,,,,,
honor,Honor 30 Youth,https://fdn2.gsmarena.com/vv/bigpic/honor-30-lite.jpg,GSM / HSPA / LTE / 5G,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,90Hz refresh rate,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,LTE,"HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, July 02","Available. Released 2020, July 08",160 x 75.3 x 8.4 mm (6.30 x 2.96 x 0.33 in),192 g (6.77 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~84.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",,"Android 10, Magic UI 3.1, no Google Play Services",MediaTek MT6873V Dimensity 800 5G (7 nm),Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),Mali-G57MP4,"NM (Nano Memory), up to 256GB (uses shared SIM slot)","64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","16 MP, f/2.0","LED flash, HDR, panorama","4K@30fps, 1080p@30fps",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,,No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable","Magic Night Black, Dark Blue, Galaxy Silver",About 220 EUR,,,,,,,,,,,,Fast charging 22.5W,MXW-AN00,,,,HDR,,,,,,,"1, 38, 41, 77, 78, 79 SA/NSA",,,,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.4, 120˚ (ultrawide) 2 MP, f/2.4, (macro)",,,,,,,,,,,,,,,,
honor,Honor 8S 2020,https://fdn2.gsmarena.com/vv/bigpic/honor-8s-2020.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only),eMMC 5.1,HSDPA 850 / 900 / 2100,,LTE,"HSPA 42.2/5.76 Mbps, LTE-A","2020, May 27","Available. Released 2020, May 27",147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),146 g (5.15 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.71 inches, 81.4 cm2 (~78.1% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",,"Android 9.0 (Pie), EMUI 9, Google Play Services",Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),64GB 3GB RAM,"13 MP, f/1.8, PDAF","LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.2",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,,Unspecified,microUSB 2.0,"Accelerometer, proximity","Li-Po 3020 mAh, non-removable","Navy Blue, Midnight Black, Green",About 110 EUR,,,,,,,,,"Glass front, plastic back, plastic frame",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honor,Honor Play4,https://fdn2.gsmarena.com/vv/bigpic/honor-play4.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,IP5X,"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, June 03","Available. Released 2020, June 13",170 x 78.5 x 8.9 mm (6.69 x 3.09 x 0.35 in),213 g (7.51 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.81 inches, 112.0 cm2 (~83.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~386 ppi density)",,"Android 10, Magic UI 3.1, no Google Play Services",MediaTek MT6873 Dimensity 800 5G (7 nm),Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),Mali-G57MP4,microSDXC,128GB 8GB RAM,16 MP,"Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 4300 mAh, non-removable","Black, Blue, Light Blue",About 250 EUR,,,,,,,,,,,,"Fast charging 22.5W, 70% in 30 min (advertised)",TNNH-AN00,,,,,,,,,,,"1, 38, 41, 77, 78, 79 SA/NSA",,,,,,,,,,,,,,,"64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.2, (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,,,
honor,Honor Play4 Pro,https://fdn2.gsmarena.com/vv/bigpic/honor-play-4-pro.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 26, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, June 03","Available. Released 2020, June 10",162.7 x 75.8 x 8.9 mm (6.41 x 2.98 x 0.35 in),213 g (7.51 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.57 inches, 104.2 cm2 (~84.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)",,"Android 10, Magic UI 3.1, no Google Play Services",Kirin 990 (7 nm),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.09 GHz Cortex-A76 & 4x1.86 GHz Cortex-A55),Mali-G76 MP16,No,128GB 8GB RAM,,"LED flash, HDR, panorama","4K@30/60fps, 1080p@30fps, 1080p@960fps, OIS, gyro-EIS",,"4K@30fps, 1080p@30fps, gyro-EIS",Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, BDS",Yes,,No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 4200 mAh, non-removable","Black, Blue, Light Blue",About 360 EUR,,,,,,,,,,"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF 8 MP, f/2.4, 80mm (telephoto), PDAF, Laser AF, OIS, 3x optical zoom",,"Fast charging 40W, 70% in 30 min (advertised) Reverse charging",OXP-AN00,,,,Panorama,,,,,,,"1, 3, 41, 77, 78, 79 SA/NSA",,,,,"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm 8 MP, (ultrawide)",,,,,,,,,,,,,,,
