Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Dual,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Colors,Price,Build,Dual_1,Features_1,Charging,GPRS,EDGE,Phonebook,Call records,_1,Alert types,Messaging,Browser,Clock,Alarm,Games,Java,_1_1,Stand-by,Talk time,Protection,NFC,Single_1,Models,SAR EU,Music play,Infrared port,Languages,Keyboard,SAR,5G bands,Quad,128GB 6GB RAM,Triple,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life
htc,HTC Wildfire E2,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE-A","2020, August 06","Available. Released 2020, August 06",158.4 x 75.9 x 9 mm (6.24 x 2.99 x 0.35 in),173.5 g (6.14 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.22 inches, 95.0 cm2 (~79.0% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~276 ppi density)",Android 10,Mediatek MT6762D Helio P22 (12 nm),Octa-core 1.8 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),64GB 4GB RAM,eMMC 5.1,"16 MP, f/2.2, (wide), PDAF 2 MP, f/2.2, (depth)","Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,"8 MP, f/2.2, (wide)",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable",Blue,About 100 EUR,"Glass front, plastic back, plastic frame",,,Charging 10W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
htc,HTC U20 5G,https://fdn2.gsmarena.com/vv/bigpic/htc-u20-5g.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A, 5G 2.56/0.9 Gbps","2020, June 16","Coming soon. Exp. release 2020, October 01",171.2 x 78.1 x 9.4 mm (6.74 x 3.07 x 0.37 in),215.5 g (7.62 oz),"Dual SIM (Nano-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","6.8 inches, 111.6 cm2 (~83.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~387 ppi density)",Android 10,Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,microSDXC,256GB 8GB RAM,,,"Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS","32 MP, f/2.0, (wide), 1/2.8"", 0.8µm",1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Unspecified,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, SAR","Li-Po 5000 mAh, non-removable","Green, White",,,,HDR,Fast charging 18W Quick Charge 4.0,,,,,,,,,,,,,,,,,Yes,,,,,,,,,"1, 3, 28, 41, 78 SA/NSA","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,,,,,,
htc,HTC Desire 20 Pro,https://fdn2.gsmarena.com/vv/bigpic/htc-desire20-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/150 Mbps","2020, June 16","Available. Released 2020, July 18",162 x 77 x 9.4 mm (6.38 x 3.03 x 0.37 in),201 g (7.09 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 103.7 cm2 (~83.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)",Android 10,Qualcomm SM6125 Snapdragon 665 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC,128GB 6GB RAM,,,"Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30fps","25 MP, f/2.0, (wide)",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Unspecified,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","Smoky Black, Pretty Blue, Crystal Green",$ 419.99 / € 399.99,,,HDR,Fast charging 15W Quick Charge 3.0,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",$ 419.99,,,,,,,
htc,HTC Wildfire R70,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-r70-.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 5, 7, 8, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2020, February 27","Coming soon. Exp. release 2020, October",163.2 x 77.8 x 8.9 mm (6.43 x 3.06 x 0.35 in),186 g (6.56 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 104.7 cm2 (~82.4% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~263 ppi density)",Android 9 (Pie),Mediatek MT6763 Helio P23 (16 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Mali-G71 MP2,microSDXC (uses shared SIM slot),32GB 2GB RAM,eMMC 5.1,,"LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 4000 mAh, non-removable","Aurora Blue, Night black",,"Glass front, plastic back, plastic frame",,,Charging 10W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16 MP, f/1.7, (wide), 1.4µm, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,,,,
htc,HTC Desire 19s,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-19s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2019, November 14","Available. Released 2019, November 14",156.2 x 74.8 x 8.5 mm (6.15 x 2.94 x 0.33 in),170 g (6.00 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm2 (~82.1% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",Android 9 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),32GB 3GB RAM,eMMC 5.1,,"Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,"16 MP, f/2.0, 27mm (wide), 1/3.06"", 1.0µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Ion 3850 mAh, non-removable","Blue, Black",About 180 EUR,"Glass front, plastic back, plastic frame",,HDR,Charging 10W,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,"13 MP, f/1.9, 26mm (wide), PDAF 5 MP, f/2.2, 13mm (ultrawide) 5 MP, f/2.2, (depth)",,,,,,
htc,HTC Exodus 1s,https://fdn2.gsmarena.com/vv/bigpic/htc-exodus-1s-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2019, October 19","Available. Released 2019, December",154.2 x 72.7 x 8.3 mm (6.07 x 2.86 x 0.33 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~74.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 8.1 (Oreo),Qualcomm SDM435 Snapdragon 435 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,No,64GB 4GB RAM,eMMC 5.1,,"LED flash, HDR, panorama","4K@30fps, 1080p@30fps","13 MP, PDAF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP","Yes, with A-GPS, GLONASS, GALILEO, BDS",No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Ion 3075 mAh, non-removable",Black,About 220 EUR,"Glass front, plastic back, plastic frame",,"LED flash, HDR",,,,,,Zion crypto wallet Secure Enclave Social Key Recovery (key sharding) dApps (decentralized apps) Bitcoin Full Node support,,,,,,,,,,,,,13 MP,,,,,,,,,,,,,,,,,
htc,HTC Wildfire X,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-x-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 5, 8, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A","2019, August 14","Available. Released 2019, August 22",156.7 x 74.9 x 8 mm (6.17 x 2.95 x 0.31 in),160 g (5.64 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm2 (~81.7% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",Android 9 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),"32GB 3GB RAM, 128GB 4GB RAM",eMMC 5.1,,"Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,8 MP,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity","Li-Po 3300 mAh, non-removable",Sapphire Blue,About 150 EUR,,,,Charging 10W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12 MP, (wide), 1/2.8"", 1.25µm, PDAF 8 MP, (telephoto), 2x optical zoom 5 MP, f/2.4, (depth)",,,,,,
htc,HTC U19e,https://fdn2.gsmarena.com/vv/bigpic/htc-u19e.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat15 800/150 Mbps","2019, June 11","Available. Released 2019, June 11",156.6 x 75.9 x 8 mm (6.17 x 2.99 x 0.31 in),180 g (6.35 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~78.2% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","Android 9.0 (Pie), HTC Sense",Qualcomm SDM710 Snapdragon 710 (10 nm),Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,microSDXC (uses shared SIM slot),128GB 6GB RAM,HDR10,"12 MP, f/1.8, 26mm (wide), PDAF 20 MP, f/2.6, 52mm (telephoto), 2x optical zoom","Dual-LED dual-tone flash, Auto HDR, panorama",4K@30fps,,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"3.1, Type-C 1.0 reversible connector","Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3930 mAh, non-removable","Extraordinary Purple, Modest Green",About 420 EUR,"Glass front (Gorilla Glass), glass back, aluminum frame","24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm 2 MP, f/2.2 (depth sensor)",Auto HDR,Fast charging 18W Quick Charge 4.0,,,,,24-bit/192kHz audio,,,,,,,,,,,Corning Gorilla Glass (unspecified),Yes,,,,,,,,,,,,,,,,,,
htc,HTC Desire 19+,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-19-plus-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2019, June 11","Available. Released 2019, August 07",156.2 x 74.8 x 8.5 mm (6.15 x 2.94 x 0.33 in),170 g (6.00 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm2 (~82.1% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",Android 9 (Pie),Mediatek MT6765 Helio P35 (12nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM",eMMC 5.1,,"Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,"16 MP, f/2.0, 27mm (wide), 1/3.06"", 1.0µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Ion 3850 mAh, non-removable","Star Can Blue, Jasmine White",About 280 EUR,,,HDR,Charging 10W,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,"13 MP, f/1.9, 26mm (wide), PDAF 8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.2, (depth)",,,,,,
htc,HTC Desire 12s,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-12s-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2018, December","Available. Released 2018, December",154.2 x 72.7 x 8.3 mm (6.07 x 2.86 x 0.33 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~74.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 8.1 (Oreo),Qualcomm MSM8940 Snapdragon 435 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 4GB RAM",eMMC 5.1,,"LED flash, HDR, panorama",1080p@30fps,"13 MP, f/2.0, PDAF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Ion 3075 mAh, non-removable","Black, Silver, Red",About 200 EUR,,,LED flash,,,,,,,,,,,,,,,,,,Yes,"13 MP, f/2.2",,,,,,,,,,,,,,,,,
