Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,GPRS,EDGE,NFC,Quad,Triple,128GB 6GB RAM,Infrared port,256GB 8GB RAM,Dual,Dual_1,64GB 3GB RAM,64GB 4GB RAM,32GB 2GB RAM,SAR EU,128GB 4GB RAM,128GB 8GB RAM,4GB,Five,Performance,Display,Camera,Loudspeaker_1,Battery life,512GB 8GB RAM,256GB 6GB RAM,32GB 3GB RAM,Protection,Audio quality,16GB 2GB RAM,Phonebook,Call records,Messaging,Games,Java,64GB 6GB RAM,Stand-by,32GB 4GB RAM,Talk time,Music play,SAR,Keyboard,Browser
huawei,Huawei MatePad 5G,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-5g.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41","1, 3, 28, 38, 41, 77, 78, 79","HSPA 42.2/5.76 Mbps, LTE-A","2020, September 16","Coming soon. Exp. release 2020, October",245.2 x 155 x 7.5 mm (9.65 x 6.10 x 0.30 in),460 g (1.01 lb),"Glass front, aluminum back, aluminum frame",Nano-SIM,Stylus support,"IPS LCD capacitive touchscreen, 16M colors","10.4 inches, 307.9 cm2 (~81.0% screen-to-body ratio)","1200 x 2000 pixels, 5:3 ratio (~224 ppi density)",470 nits typ. value (advertised),"Android 10, EMUI 10.1, no Google Play Services",Kirin 820 5G (7nm),Octa-core (1x2.36 GHz Cortex-A76 & 3x2.22 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55),Mali-G57 (6-core),microSDXC,128GB 6GB RAM,"8 MP, AF","LED flash, HDR, panorama",1080p@30fps,8 MP,HDR,1080p@30fps,"Yes, with stereo speakers (4 speakers)",No,Tuned by Harman Kardon,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Accelerometer, proximity, compass","Li-Po 7250 mAh, non-removable",Fast charging 22.5W,"White, Dark Blue",BAH3-AN10,About 400 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei Watch GT 2 Pro,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt2-pro.jpg,No cellular connectivity,N/A,N/A,N/A,,No,"2020, September 10","Coming soon. Exp. release 2020, October",46.7 x 46.7 x 11.4 mm (1.84 x 1.84 x 0.45 in),52 g (1.83 oz),"Glass front (Sapphire crystal), ceramic back, titanium frame",No,50m water resistant,"AMOLED capacitive touchscreen, 16M colors","1.39 inches, 6.2 cm2 (~28.6% screen-to-body ratio)","454 x 454 pixels, 1:1 ratio (~462 ppi density)",eMMC,Huawei Lite OS,Kirin A1,,,No,4GB 32MB RAM,,,,,,,Yes,No,No,No,"5.1, LE, EDR","Yes, with GLONASS, GALILEO",No,No,"Accelerometer, gyro, heart rate, barometer, compass, SpO2, VO2max","Li-Ion 455 mAh, non-removable",Wireless charging,"Night Black, Nebula Gray",VID-B19,About 330 EUR,No,No,Yes (China only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei Y9a,https://fdn2.gsmarena.com/vv/bigpic/huawei-y9a.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41 - FRL-L22",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 07","Available. Released 2020, September 12",163.5 x 76.5 x 9 mm (6.44 x 3.01 x 0.35 in),197 g (6.95 oz),,"Dual SIM (Nano-SIM, dual stand-by)","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41, 66 - FRL-L23","IPS LCD capacitive touchscreen, 16M colors","6.63 inches, 106.1 cm2 (~84.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~397 ppi density)",UFS 2.1,"Android 10, EMUI 10.1, no Google Play Services",Mediatek Helio G80 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,"NM (Nano Memory), up to 256GB (uses shared SIM slot)","128GB 6GB RAM, 128GB 8GB RAM","Motorized pop-up  16 MP, f/2.2, (wide), 1/3.1"", 1.0µm","Quad-LED flash, HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS",,HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 4200 mAh or 4300 mAh, non-removable (region dependent)","Fast charging 22.5W or 40W (region dependent), 70% in 30 min (advertised)","Space Silver, Sakura Pink, Midnight Black","FRL-22, FRL-23",About 200 EUR,,,,"64 MP, f/1.8, 26mm (wide), PDAF 8 MP, f/2.4, 120˚ (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei Enjoy 20 Plus 5G,https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-20-plus.jpg,GSM / HSPA / LTE / 5G,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE (unspecified),"1, 3, 38, 41, 77, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, September 03","Available. Released 2020, September 10",163.5 x 76.5 x 9 mm (6.44 x 3.01 x 0.35 in),197 g (6.95 oz),,"Dual SIM (Nano-SIM, dual stand-by)",90Hz refresh rate,"IPS LCD capacitive touchscreen, 16M colors","6.63 inches, 106.1 cm2 (~84.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~397 ppi density)",UFS 2.1,"Android 10, EMUI 10.1, no Google Play Services",MediaTek MT6853 Dimensity 720 5G (7 nm),Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,"NM (Nano Memory), up to 256GB (uses shared SIM slot)","128GB 6GB RAM, 128GB 8GB RAM","Motorized pop-up  16 MP, f/2.2, (wide), 1/3.1"", 1.0µm","LED flash, HDR, panorama","4K@30fps, 1080p@30fps",,HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 4200 mAh, non-removable",Fast charging 40W,"Black, Blue, Green, Pink",FRL-AN00a,About 280 EUR,,,,,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.4, 120˚ (ultrawide) 2 MP, f/2.4, (macro)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei Enjoy 20 5G,https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-20.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41","1, 3, 41, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, September 03","Available. Released 2020, September 10",165.2 x 76 x 9.2 mm (6.50 x 2.99 x 0.36 in),188 g (6.63 oz),,"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800,"IPS LCD capacitive touchscreen, 16M colors","6.6 inches, 105.2 cm2 (~83.8% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",CDMA2000 1xEV-DO,"Android 10, EMUI 10.1, no Google Play Services",MediaTek MT6853 Dimensity 720 5G (7 nm),Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM","8 MP, f/2.0","LED flash, HDR, panorama",1080p@30fps,,HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable",Charging 10W,"Black, Gold, Green, Pink",WKG-AN00,About 210 EUR,,,,,"13 MP, f/1.8, 26mm (wide), PDAF 5 MP, f/2.2, 120˚ (ultrawide) 2 MP, f/2.4, (macro)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei Watch Fit,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-fit.jpg,No cellular connectivity,N/A,N/A,N/A,,No,"2020, August 31","Available. Released 2020, September 03",46 x 30 x 10.7 mm (1.81 x 1.18 x 0.42 in),21 g (0.74 oz),"Glass front, plastic back, plastic frame",No,5ATM water resistant,"AMOLED capacitive touchscreen, 16M colors","1.64 inches, 7.7 cm2 (~56.1% screen-to-body ratio)",280 x 456 pixels (~326 ppi density),eMMC,Huawei wearable platform,,,,No,4GB,,,,,,,No,No,No,No,"5.0, LE",Yes,No,No,"Accelerometer, gyro, heart rate, SpO2","Li-Ion, non-removable",,"Graphite Black, Sakura Pink, and Mint Green",,About 90 EUR,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei MatePad 10.8,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-108.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, July 30","Available. Released 2020, August 14",257 x 170 x 7.2 mm (10.12 x 6.69 x 0.28 in),500 g (1.10 lb),,Nano-SIM,Stylus support,"IPS LCD capacitive touchscreen, 16M colors","10.8 inches, 338.2 cm2 (~77.4% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~280 ppi density)",Tuned by Harman Kardon,"Android 10, EMUI 10.1, no Google Play Services",Kirin 990 (7 nm),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.09 GHz Cortex-A76 & 4x1.86 GHz Cortex-A55),Mali-G76 MP16,microSDXC,"64GB 6GB RAM, 128GB 6GB RAM","13 MP, f/1.8, AF","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0",HDR,1080p@30fps,"Yes, with stereo speakers (4 speakers)",Yes,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE",Yes,No,"2.0, Type-C 1.0 reversible connector; magnetic connector","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Po 7500 mAh, non-removable",Fast charging 18W,"Gold, Gray, Black","SCMR-W09, SCMR-AL00",About 300 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei Enjoy Tablet 2,https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-tablet2.jpg,No cellular connectivity,N/A,N/A,N/A,,No,"2020, July 30","Available. Released 2020, August 16",240.2 x 159 x 7.9 mm (9.46 x 6.26 x 0.31 in),450 g (0.99 lb),,No,Stylus support,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~77.4% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",Tuned by Harman Kardon,"Android 10, EMUI 10.1, no Google Play Services",Kirin 710A (14 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC,"64GB 4GB RAM, 128GB 4GB RAM","5 MP, f/2.2, AF","HDR, panorama",1080p@30fps,"2 MP, f/2.4",,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE",Yes,No,"2.0, Type-C 1.0 reversible connector","Accelerometer, proximity","Li-Po 5100 mAh, non-removable",Charging 10W,"Gold, Dark Blue",AGS3-W00D,About 200 EUR,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei Children's Watch 4X,https://fdn2.gsmarena.com/vv/bigpic/huawei-childrens-watch-4x.jpg,GSM / HSPA / LTE,GSM 900 / 1800,HSDPA 2100,"1, 3, 7, 8, 38, 40 - Europe, Central Asia",,"HSPA, LTE","2020, July 30","Available. Released 2020, August 20",53 x 45.7 x 14.7 mm (2.09 x 1.80 x 0.58 in),67.7 g (2.40 oz),,Nano-SIM,"2, 5, 7, 41 - North America","AMOLED capacitive touchscreen, 16M colors","1.41 inches, 6.4 cm2 (~26.3% screen-to-body ratio)",320 x 360 pixels (~342 ppi density),"2, 3, 5, 7, 38, 41 - LATAM",Huawei wearable platform,,,,No,16GB 1GB RAM,"8 MP, f/2.0, 23mm (wide), AF",,,"5 MP, f/2.2, (wide)",,,Yes,No,eMMC 4.5,Yes,Yes,"Yes, with dual-band A-GPS, GLONASS, GALILEO, QZSS, GNSS",No,No,"Accelerometer, gyro","Li-Ion 800 mAh, non-removable","Wireless fast charging, 50% in 20 min (advertised)","Blue, Pink, White",NIK-AL00,About 170 EUR,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei Enjoy 20 Pro,https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-20-pro.jpg,GSM / HSPA / LTE / 5G,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE (unspecified),"1, 38, 41, 77, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, June 19","Available. Released 2020, June 24",160 x 75.3 x 8.4 mm (6.30 x 2.96 x 0.33 in),192 g (6.77 oz),,"Dual SIM (Nano-SIM, dual stand-by)",90Hz refresh rate,"IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~84.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",UFS 2.1,"Android 10, EMUI 10.1, no Google Play Services",MediaTek MT6873V Dimensity 800 5G (7 nm),Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),Mali-G57MP4,"NM (Nano Memory), up to 256GB (uses shared SIM slot)","128GB 6GB RAM, 128GB 8GB RAM","16 MP, f/2.0","LED flash, HDR, panorama","4K@30fps, 1080p@30fps",,HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable",Fast charging 22.5W,"Magic Night Black, Dark Blue, Galaxy Silver",DVC-AN20,About 250 EUR,,,,,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.4, 120˚ (ultrawide) 2 MP, f/2.4, (macro)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
