Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages,Phonebook,Call records,Messaging,Games,Java
i_mobile,i-mobile i858,https://fdn2.gsmarena.com/vv/bigpic/i858.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 2100,HSPA,2010. Released 2010,Discontinued,120 x 67 x 12.8 mm (4.72 x 2.64 x 0.50 in),-,,Mini-SIM,"TFT capacitive touchscreen, 256K colors","4.3 inches, 52.6 cm2 (~65.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~217 ppi density)",3D Widget UI,Android 2.0 (Donut),,microSDHC (dedicated slot),,"5 MP, AF",Yes,,,Yes,No,Wi-Fi 802.11 b/g,"2.0, A2DP","Yes, with A-GPS",Stereo FM radio,Proprietary,Accelerometer,WAP 2.0/xHTML,No,Removable Li-Ion 1500 mAh battery,Up to 250 h,Up to 4 h 30 min,"Black, White",,,,,,TV tuner MP3/WAV/AAC player MP4/H.263 player Organizer Voice memo Predictive text input,,,,,,,,,
i_mobile,i-mobile 8500,https://fdn2.gsmarena.com/vv/bigpic/8500.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 2100,HSPA,2010. Released 2010,Discontinued,112 x 56.5 x 14.9 mm (4.41 x 2.22 x 0.59 in),-,,Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.2 inches, 30.5 cm2 (~48.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)",Trackball,Android OS,,microSDHC (dedicated slot),256MB 128MB RAM,5 MP,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g,"2.0, A2DP","Yes, with A-GPS",Stereo FM radio,Proprietary,Accelerometer,WAP 2.0/xHTML,No,Removable Li-Ion 1500 mAh battery,Up to 250 h,Up to 8 h,Silver,,,,,,MP3/WAV/AAC player MP4/H.263 player Organizer Voice memo Predictive text input,,,,,,,,,
i_mobile,i-mobile 5230,https://fdn2.gsmarena.com/vv/bigpic/5230.jpg,GSM,GSM 900 / 1800 / 1900 - SIM 1,,,2010. Released 2010,Discontinued,116 x 58 x 14.4 mm (4.57 x 2.28 x 0.57 in),-,QWERTY,Dual SIM (Mini-SIM),"TFT resistive touchscreen, 256K colors","2.8 inches, 24.3 cm2 (~36.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM 900 / 1800 / 1900 - SIM 2,,,microSD (dedicated slot),48MB,"5 MP, AF",176x144@15fps,,,Yes,Yes,No,"2.0, A2DP",No,Stereo FM radio,miniUSB 2.0,Accelerometer,"WAP 2.0/xHTML, HTML",No,Removable Li-Ion 1200 mAh battery,Up to 400 h,Up to 7 h 30 min,Silver,,,,LED flash,,Analog TV MP3/AAC+ player H.263 player Organizer Voice memo Predictive text input,Class 12,Class 12,,,"1000 entries, Photocall",Yes,"SMS, MMS",Yes,"Yes, MIDP 2.0"
i_mobile,i-mobile Hitz 2206,https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz-2206.jpg,GSM,GSM 900 / 1800 - SIM 1,,,2010. Released 2010,Discontinued,110 x 59.4 x 13.4 mm (4.33 x 2.34 x 0.53 in),-,QWERTY,Dual SIM (Mini-SIM),"TFT, 65K colors",,220 x 176 pixels,GSM 900 / 1800 - SIM 2,,,microSD (dedicated slot),,Yes,No,,,Yes,No,No,No,No,Stereo FM radio,No,,No,Flashlight,Removable Li-Ion 1000 mAh battery,Up to 667 h,Up to 4 h,Silver,,,,,,Organizer Voice memo Predictive text input,Class 10,No,,,"Yes, Photocall",Yes,"SMS, MMS",Yes,No
i_mobile,i-mobile 5220,https://fdn2.gsmarena.com/vv/bigpic/5220.jpg,GSM,GSM 900 / 1800 / 1900,,,2010. Released 2010,Discontinued,116.5 x 52.5 x 13 mm (4.59 x 2.07 x 0.51 in),-,,Mini-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm2 (~29.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",No,,,microSD (dedicated slot),,"5 MP, AF",Yes,,,Yes,No,No,"2.0, A2DP",No,Stereo FM radio,miniUSB,,WAP 2.0/xHTML,TV tuner/recorder MP3/AAC player H.263 player Organizer Voice memo Predictive text input,Removable Li-Ion 1100 mAh battery,Up to 420 h,Up to 8 h,"Black, White, Red",,,,LED flash,,,Class 10,Class 10,,,"1000 entries, Photocall",Yes,"SMS, MMS, EMS",Yes,"Yes, MIDP 2.1"
i_mobile,i-mobile TV658 Touch&Move,https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz658.jpg,GSM,GSM 900 / 1800 / 1900,,,"2009, October. Released 2009, October",Discontinued,111 x 56 x 13 mm (4.37 x 2.20 x 0.51 in),,,Dual SIM (Mini-SIM),"TFT touchscreen, 256K colors","3.0 inches, 25.6 cm2 (~41.2% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",No,,,microSD (dedicated slot),,"8 MP, AF",Yes,,,Yes,No,No,"1.2, A2DP",No,"FM radio, built-in antenna",miniUSB,Accelerometer,WAP 2.0/xHTML,TV tuner MP3 player MP4/3GP player Organizer Voice memo Predictive text input,Removable Li-Ion 1050 mAh battery,Up to 300 h,Up to 4 h,Black,,,,flash,,,Class 10,Class 10,,,"1000 entries, Photocall",Yes,"SMS, MMS, Email, Push Email",Yes,Yes
i_mobile,i-mobile Hitz 212,https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz212.jpg,GSM,GSM 900 / 1800,,,"2009, October. Released 2009, October",Discontinued,105 x 46 x 13.3 mm (4.13 x 1.81 x 0.52 in),80 g (2.82 oz),,Dual SIM (Mini-SIM),"TFT, 65K colors","1.77 inches, 9.9 cm2 (~20.4% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),No,,,microSD (dedicated slot),,CIF,No,,,Yes,No,No,Yes,No,FM radio,Proprietary,,WAP 2.0/xHTML,MP3 player Organizer Voice memo Predictive text input,Removable Li-Ion 750 mAh battery,Up to 240 h,Up to 3 h,"Black-Green, Silver-Blue, Silver-Orange, Pink",,,,,,,No,No,,,"300 entries, Photocall",Yes,"SMS, EMS",Yes,
i_mobile,i-mobile Hitz 210,https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz210.jpg,GSM,GSM 900 / 1800 / 1900,,,"2009, October. Released 2009, October",Discontinued,112 x 49 x 12.8 mm (4.41 x 1.93 x 0.50 in),,,Dual SIM (Mini-SIM),"TFT, 65K colors","1.8 inches, 10.2 cm2 (~18.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,,,microSD (dedicated slot),,CIF,No,,,Yes,No,No,No,No,FM radio,Proprietary,,WAP 2.0/xHTML,MP3 player Organizer Predictive text input,Removable Li-Ion 700 mAh battery,Up to 150 h,Up to 2 h 30 min,Black,,,,,,,No,No,,,"300 entries, Photocall",Yes,"SMS, EMS, MMS",Yes,
i_mobile,i-mobile TV650 Touch,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-tv650-touch.jpg,GSM,GSM 900 / 1800 / 1900,,,"2009, July. Released 2009, Q4",Discontinued,110 x 55 x 13.4 mm (4.33 x 2.17 x 0.53 in),,,Dual SIM (Mini-SIM),"TFT touchscreen, 256K colors","3.0 inches, 27.9 cm2 (~46.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~133 ppi density)",No,,,microSDHC (dedicated slot),,3.15 MP,Yes,,,Yes,No,No,"1.2, A2DP",No,FM radio,miniUSB,Accelerometer,WAP 2.0/xHTML,TV tuner MP3 player MP4/3GP player Organizer Predictive text input,Removable Li-Ion 1000 mAh battery,Up to 200 h,Up to 2 h 30 min,Black,,,,,,,Class 10,Class 10,,,"1000 entries, Photocall",Yes,"SMS(threaded view), EMS, MMS",Yes,Yes
i_mobile,i-mobile TV550 Touch,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-tv550-touch.jpg,GSM,GSM 900 / 1800 / 1900,,,"2009, July. Released 2009, Q4",Discontinued,108 x 52 x 14 mm (4.25 x 2.05 x 0.55 in),,,Dual SIM (Mini-SIM),"TFT touchscreen, 256K colors","2.8 inches, 24.3 cm2 (~43.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",No,,,microSDHC (dedicated slot),,VGA,Yes,,,Yes,No,No,"1.2, A2DP",No,FM radio,miniUSB,Accelerometer,WAP 2.0/xHTML,TV tuner MP3 player MP4/3GP player Organizer Predictive text input,Removable Li-Ion 1000 mAh battery,Up to 200 h,Up to 2 h 30 min,Black,,,,,,,Class 10,Class 10,,,"1000 entries, Photocall",Yes,"SMS(threaded view), EMS, MMS",Yes,Yes
