Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages,Phonebook,Call records,Messaging,Games,Java,4G bands,Music play,NFC
icemobile,Icemobile G8 LTE,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g8-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1700(AWS) / 1900 / 900,"HSPA 42.2/5.76 Mbps, LTE","2017, July","Available. Released 2017, July",188 x 108 x 10 mm (7.40 x 4.25 x 0.39 in),320 g (11.29 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~67.9% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A53,microSD,,"5 MP, AF",Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,"Li-Ion 2800 mAh, non-removable",,,"Black, Silver, Gold",,Mediatek MT8735,Mali-T720MP2,LED flash,,,,,Yes,,,,,,,"2, 4, 5, 7, 17",,
icemobile,Icemobile Mash,https://fdn2.gsmarena.com/vv/bigpic/icemobile-mash.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2016, March","Available. Released 2016, March",110 x 64 x 13.5 mm (4.33 x 2.52 x 0.53 in),-,QWERTY,Dual SIM,TFT,"2.2 inches, 15.0 cm2 (~21.3% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~182 ppi density)",No,,,microSDHC (dedicated slot),32MB 32MB RAM,VGA,No,,,Yes,Yes,No,2.0,No,FM radio,microUSB,,,MP4/H.263 player MP3 player,"Li-Ion 800 mAh, removable",Up to 150 h,Up to 3 h,"White, Black, Red, Gold",,Spreadtrum 6531DA,,,,,Yes,No,,,300 entries,20 entries,SMS,No,No,,,
icemobile,Icemobile G8,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g8.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA,"2015, September. Released 2015, September",Discontinued,190 x 110 x 13 mm (7.48 x 4.33 x 0.51 in),320 g (11.29 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~66.0% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,Android 4.4.2 (KitKat),Dual-core 1.0 GHz Cortex-A7,microSD (dedicated slot),,"5 MP, AF",Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,"2.1, EDR","Yes, with A-GPS",FM radio,2.0,Accelerometer,,,"Li-Ion 2600 mAh, non-removable",Up to 280 h,Up to 10 h,"White, Black, Blue",,Mediatek MT6572 (28 nm),Mali-400,LED flash,,,,,Yes,,,,,,,,,
icemobile,Icemobile Prime 5.0 Plus,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-5-plus.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700 / 1900,HSPA,"2015, February. Released 2015, February",Discontinued,-,-,,Dual SIM,IPS LCD capacitive touchscreen,"5.0 inches, 68.9 cm2","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Flashlight,Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,microSDHC,8GB 1GB RAM,"8 MP, AF",Yes,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Ion 2000 mAh, removable",,,"Black, Blue",,Mediatek MT6582 (28 nm),Mali-400MP2,LED flash,,,,,,,,,,,,,,
icemobile,Icemobile Prime 5.0,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-5.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900,HSPA,"2015, February. Released 2015, February",Discontinued,142 x 72.3 x 8.7 mm (5.59 x 2.85 x 0.34 in),-,,Dual SIM,IPS LCD capacitive touchscreen,"5.0 inches, 68.9 cm2 (~67.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Flashlight,Android 4.4.2 (KitKat),Dual-core 1.3 GHz Cortex-A7,microSDHC,4GB 512MB RAM,5 MP,Yes,1.3 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,Yes,FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Ion 1600 mAh, removable",,Up to 3 h,"Black, White",,Mediatek MT6572A,Mali-400,LED flash,,,,,,,,,,,,,,
icemobile,Icemobile Prime 4.0 Plus,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-4-plus.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700 / 1900,HSPA,"2015, February. Released 2015, February",Discontinued,125 x 64 x 10 mm (4.92 x 2.52 x 0.39 in),-,,Dual SIM,IPS LCD capacitive touchscreen,", -","480 x 800 pixels, 5:3 ratio",Flashlight,Android 4.4.2 (KitKat),Dual-core 1.3 GHz Cortex-A7,microSDHC,4GB 512MB RAM,2 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,Yes,FM radio,microUSB 2.0,Accelerometer,,,"Li-Ion 1400 mAh, removable",,,"Black, Blue",,Mediatek MT6572 (28 nm),Mali-400,LED flash,,,,,,,,,,,,,,
icemobile,Icemobile Gravity 4.0,https://fdn2.gsmarena.com/vv/bigpic/icemobile-gravity-40.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,HSPA 21.1/5.76 Mbps,"2014. Released 2014, November",Discontinued,140.4 x 75.8 x 16.3 mm (5.53 x 2.98 x 0.64 in),316 g (11.15 oz),,Micro-SIM,IPS LCD capacitive touchscreen,"4.02 inches, 44.5 cm2 (~41.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~244 ppi density)",IP68 dust/water resistant (up to 1.5m for 30 mins),Android 4.4.2 (KitKat),Quad-core 1.2 GHz Cortex-A7,microSDHC (dedicated slot),8GB 1GB RAM,"8 MP, AF",Yes,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",Yes,FM radio,microUSB 2.0,,,,"Li-Ion 2800 mAh, removable",Up to 300 h (2G) / Up to 300 h (3G),Up to 12 h (2G) / Up to 7 h 30 min (3G),"Black, White, Orange, Yellow, Green",,Mediatek MT6582 (28 nm),Mali-400MP2,LED flash,,,,,,,,,,,,,,
icemobile,Icemobile Rock 2.4,https://fdn2.gsmarena.com/vv/bigpic/icemobile-rock-24.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2014. Released 2014,Discontinued,120 x 50 x 13.8 mm (4.72 x 1.97 x 0.54 in),60 g (2.12 oz),,Dual SIM (Mini-SIM),TFT,"2.4 inches, 18.1 cm2 (~30.2% screen-to-body ratio)",176 x 220 pixels (~117 ppi density),No,,,microSDHC,32MB 32MB,VGA,Yes,,,Yes,No,No,2.0,No,FM radio,microUSB,,,MP3/MP4/WAV player Calendar Predictive text input,"Li-Ion 1000 mAh, removable",Up to 100 h,Up to 9 h,"Black, White, Red, Pink, Green, White&blue",,,,,,,Yes,No,,,500 contacts,"20 dialed, 20 received, 20 missed calls","SMS, MMS",Yes,No,,,
icemobile,Icemobile Prime 5.5,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-55.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900,HSPA,"2014, August. Released 2014, August",Discontinued,152.5 x 77 x 8.6 mm (6.00 x 3.03 x 0.34 in),-,,Dual SIM,IPS LCD capacitive touchscreen,"5.46 inches, 82.2 cm2 (~70.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~269 ppi density)",,Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,microSDXC,16GB 1GB RAM,8 MP,Yes,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,,FM radio,Proprietary,,,,"Li-Ion 2250 mAh, removable",,,White,,Mediatek MT6582A/W,Mali-400MP2,LED flash,,,,,,,,,,,,,,
icemobile,Icemobile Prime 3.5,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-35.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900,HSPA 7.2/5.76 Mbps,"2014, July. Released 2014, July",Discontinued,119.5 x 63.5 x 10.9 mm (4.70 x 2.5 x 0.43 in),-,,Dual SIM,TFT capacitive touchscreen,"3.5 inches, 36.5 cm2 (~48.1% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Android 4.2.2 (Jelly Bean),Dual-core 1.2 GHz Cortex-A7,microSDHC,4GB 512MB RAM,2 MP,480p@30fps,VGA,,Yes,Yes,Wi-Fi 802.11 b/g,2.1,Yes,No,microUSB 2.0,Accelerometer,,,"Li-Ion 1200 mAh, removable",,,"White, Black",,Mediatek MT6572M (28 nm),Mali-400,LED flash,,,,,,,,,,,,,,
