Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages,Phonebook,Call records,Messaging,Games,Java,4G bands,Music play,NFC,Build,Quad,Dual,Features_1,Charging,Models,Performance,Display,Camera,Loudspeaker_1,Battery life,Triple,Protection,128GB 4GB RAM,SAR,64GB 4GB RAM,Dual_1
infinix,Infinix Hot 10,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot10.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, September 17","Coming soon. Exp. release 2020, September",171.1 x 77.6 x 8.9 mm (6.74 x 3.06 x 0.35 in),195 g (6.88 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.78 inches, 109.2 cm2 (~82.2% screen-to-body ratio)",720 x 1640 pixels (~264 ppi density),eMMC 5.1,"Android 10, XOS 6.0",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),microSDXC (dedicated slot),"64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","8 MP, (wide)",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,"Li-Po 5200 mAh, non-removable",,,"Obsidian Black, Amber Red, Moonlight Jade, Ocean Wave",,Mediatek Helio G70 (12 nm),Mali-G52 2EEMC2,"Quad-LED flash, HDR, panorama",,,,,,,,,,,,"1, 2, 3, 4, 5, 7, 8, 20, 38, 40, 41",,,"Glass front, plastic back, plastic frame","16 MP, (wide), PDAF 2 MP, (macro) 2 MP, (depth) QVGA (Low light sensor)",,,,,,,,,,,,,,,
infinix,Infinix Zero 8,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero8.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE-A","2020, August 27","Available. Released 2020, August 31",168.7 x 76.1 x 9.1 mm (6.64 x 3.00 x 0.36 in),205 g (7.23 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.85 inches, 111.4 cm2 (~86.8% screen-to-body ratio)",1080 x 2460 pixels (~392 ppi density),90Hz refresh rate,Android 10,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),microSDXC (dedicated slot),128GB 8GB RAM,,"4K@30fps, 1080p@30fps, gyro-EIS",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,"Li-Po 4500 mAh, non-removable",,,"Silver Diamond, Black Diamond, Green Diamond",About 210 EUR,Mediatek MT6785 Helio G90T (12 nm),Mali-G76 MC4,"Quad-LED flash, HDR, panorama",,,,,,,,,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,"64 MP, f/1.9, (wide), 1/1.73"", 0.8µm, PDAF 8 MP, f/2.3, (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)","48 MP, f/2.2, (wide), 1/2.0"", 0.8µm 8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm",HDR,Fast charging 33W,X687,"AnTuTu: 282348 (v8) GeekBench: 6640 (v4.4), 1663 (v5.1) GFXBench: 15fps (ES 3.1 onscreen)",Contrast ratio: 2184:1 (nominal),Photo / Video,-28.4 LUFS (Average),Endurance rating 116h,,,,,,
infinix,Infinix Smart 5,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart5-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, August 13","Available. Released 2020, August 20",165.4 x 76.4 x 8.8 mm (6.51 x 3.01 x 0.35 in),183 g (6.46 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches, 105.2 cm2 (~83.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",eMMC 5.1,Android 10 (Go edition),Quad-core 1.8 GHz Cortex-A53,microSDXC (dedicated slot),"32GB 2GB RAM, 64GB 3GB RAM",8 MP,1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity",,,"Li-Po 5000 mAh, non-removable",,,"Ocean Wave, Quetzal Cyan, Midnight Black",About 70 EUR,Mediatek MT6761D Helio A20 (12 nm),PowerVR GE8320,Triple-LED flash,,,,,,,,,,,,"1, 3, 5, 7, 8, 20, 38, 40, 41",,,"Glass front, plastic back, plastic frame",,,Dual-LED flash,Charging 10W,"X657, X657C",,,,,,13 MP + QVGA + QVGA (X657 model) or 8 MP + QVGA (X657C model),,,,,
infinix,Infinix Hot 9 Play,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot9-play.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, April 09","Available. Released 2020, April 09",171.8 x 78 x 8.9 mm (6.76 x 3.07 x 0.35 in),209 g (7.37 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.82 inches, 110.5 cm2 (~82.4% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),eMMC 5.1,"Android 9.0 Pie (Go edition) - 32/2GBAndroid 9.0 (Pie) - 32/3GB, 64/3-4GB","Quad-core 2.0 GHz Cortex-A53 - 32/2GBOcta-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) - 32/3GB, 64/3-4GB",microSDXC (dedicated slot),"32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM","8 MP, (wide)",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,"Li-Po 6000 mAh, non-removable",,,"Midnight Black, Quetzal Cyan, Violet, Ocean Wave",About 100 EUR,"Mediatek MT6761 Helio A22 (12 nm) - 32/2GBMediaTek Helio A25 (12 nm) - 32/3GB, 64/3-4GB",PowerVR GE8300PowerVR GE8320,"Triple-LED flash, panorama, HDR",,,,,,,,,,,,"1, 2, 3, 4, 5, 7, 8, 20, 38, 40, 41",,,"Glass front, plastic back, plastic frame",,"13 MP, (wide), 1/3.1"", 1.12µm, AF QVGA (Low light sensor)",,,"X680, X680B",,,,,,,,,,,
infinix,Infinix Note 7,https://fdn2.gsmarena.com/vv/bigpic/infinix-note7.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, April 06","Available. Released 2020, July",173.4 x 79 x 8.8 mm (6.83 x 3.11 x 0.35 in),206 g (7.27 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.95 inches, 114.7 cm2 (~83.7% screen-to-body ratio)",720 x 1640 pixels (~258 ppi density),"1, 3, 7, 8, 20, 28","Android 10, XOS 6.0",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",1080p@30fps,,1080p@30fps,"Yes, with dual speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (side-mounted), accelerometer, proximity, compass",,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","Li-Po 5000 mAh, non-removable",,,"Forest Green, Aether Black, Bolivia Blue",,Mediatek Helio G70 (12 nm),Mali-G52 2EEMC2,"Quad-LED flash, panorama, HDR",,eMMC 5.1,,,,,,,,,,"1, 3, 5, 8, 38, 40, 41",,,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth) 2 MP, f/1.8, (dedicated video camera) - 128/6 model only",,,Fast charging 18W,"X690B, X690",,,,,,,Corning Gorilla Glass,,,,
infinix,Infinix Note 7 Lite,https://fdn2.gsmarena.com/vv/bigpic/infinix-note7lite.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, April 06","Available. Released 2020, July",165.4 x 76.8 x 8.8 mm (6.51 x 3.02 x 0.35 in),185 g (6.53 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches, 105.2 cm2 (~82.8% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"Android 10, XOS 6.0",Octa-core,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","8 MP, (wide)",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (side-mounted), accelerometer, proximity, compass",,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41","Li-Po 5000 mAh, non-removable",,,"Forest Green, Violet, Space Gray",$ 189.00,Mediatek Helio,,"Quad-LED flash, panorama, HDR",,eMMC 5.1,,,,,,,,,,"1, 3, 5, 8, 38, 40, 41",,,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth) QVGA",,,Charging 10W,X656,,,,,,,,$ 189.00,,,
infinix,Infinix Hot 9 Pro,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot9-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, May 29","Available. Released 2020, June 05",165 x 76.8 x 8.7 mm (6.50 x 3.02 x 0.34 in),185 g (6.53 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches, 105.2 cm2 (~83.0% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",480 nits typ. brightness,"Android 10, XOS 6.0",Octa-core 2.0 GHz Cortex-A53,microSDXC (dedicated slot),64GB 4GB RAM,"8 MP, (wide)",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,eMMC 5.1,"Li-Po 5000 mAh, non-removable",,,"Violet, Ocean Wave","₹ 11,396",Mediatek MT6762 Helio P22 (12 nm),PowerVR GE8320,"Quad-LED flash, panorama, HDR",,,,,,,,,,,,"1, 3, 5, 8, 38, 40, 41",,,"Glass front, plastic back, plastic frame","48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 2 MP, (macro) 2 MP, (depth) QVGA (Low light sensor)",,LED flash,,X655F,,,,,,,,,0.99 W/kg (head)     0.84 W/kg (body),"₹ 11,396",
infinix,Infinix Hot 9,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot9.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, March 23","Available. Released 2020, April",165.4 x 76.8 x 8.8 mm (6.51 x 3.02 x 0.35 in),185 g (6.53 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches, 105.2 cm2 (~82.8% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",eMMC 5.1,"Android 10, XOS 6.0",Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),microSDXC (dedicated slot),"32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","8 MP, (wide)",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,"Li-Po 5000 mAh, non-removable",,,"Midnight Black, Quetzal Cyan, Violet, Ocean Wave","$ 159.00 / ₹ 10,674",MediaTek Helio A25 (12 nm),PowerVR GE8320,"Triple-LED flash, panorama, HDR",,,,,,,,,,,,"1, 2, 3, 4, 5, 7, 8, 20, 38, 40, 41",,,"Glass front, plastic back, plastic frame","13 MP, (wide), 1/3.1"", 1.12µm, PDAF 2 MP, (macro) 2 MP, (depth) QVGA (Low light sensor) or 16 MP, (wide), PDAF (64/128 GB models only) 2 MP, (macro) 2 MP, (depth) QVGA (Low light sensor)",,,,"X655C, X655, X655D",,,,,,,,,,$ 159.00,
infinix,Infinix S5 Pro (16+32),https://fdn2.gsmarena.com/vv/bigpic/infinix-s5-pro-new.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, March 06","Available. Released 2020, April",162.5 x 76.9 x 9 mm (6.40 x 3.03 x 0.35 in),195 g (6.88 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 104.7 cm2 (~83.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",eMMC 5.1,Android 10,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM","Motorized pop-up 32 MP, (wide)",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,"Li-Po 4000 mAh, non-removable",,,"Nebula Black, Quetzal Cyan, Violet",,Mediatek MT6765 Helio P35 (12nm),PowerVR GE8320,"Dual-LED flash, HDR, panorama",,,,,,,,,,,,"1, 3, 7, 8, 20, 28",,,"Glass front, plastic back, plastic frame",,,,,X660,,,,,,"16 MP, f/1.8, (wide), PDAF 2 MP, (depth) QVGA low light camera sensor",,,0.79 W/kg (head)     0.90 W/kg (body),,
infinix,Infinix S5 Pro (48+40),https://fdn2.gsmarena.com/vv/bigpic/infinix-s5-pro-new.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, March 06","Available. Released 2020, April",162.5 x 76.9 x 9 mm (6.40 x 3.03 x 0.35 in),195 g (6.88 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 104.7 cm2 (~83.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",eMMC 5.1,Android 10,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM","Motorized pop-up 40 MP, (wide)",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,"Li-Po 4000 mAh, non-removable",,,"Nebula Black, Quetzal Cyan, Violet",,Mediatek MT6765 Helio P35 (12nm),PowerVR GE8320,"Dual-LED flash, HDR, panorama",,,,,,,,,,,,"1, 3, 7, 8, 20, 28",,,"Glass front, plastic back, plastic frame",,,,,X660,,,,,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 2 MP, (depth) QVGA low light camera sensor",,,0.79 W/kg (head)     0.90 W/kg (body),,
