Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages,Phonebook,Call records,Messaging,Games,Java,4G bands,Music play,NFC,Build,Quad,Dual,Features_1,Charging,Models,Performance,Display,Camera,Loudspeaker_1,Battery life,Triple,Protection,128GB 4GB RAM,SAR,64GB 4GB RAM,Dual_1
innostream,Innostream INNO A20,https://fdn2.gsmarena.com/vv/bigpic/innostream-a20.gif,GSM,GSM 900 / 1800 / 1900,,,"2005, July",Discontinued,93.9 x 46.4 x 23 mm (3.70 x 1.83 x 0.91 in),105 g (3.70 oz),,Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,"Second external display TFT, 256K colors (96 x 96 pixels)",,,MMC,64MB (128MB optional),2 MP,Yes,,,No,No,No,No,No,No,Proprietary,,WAP 2.0/xHTML,,Removable Li-Ion battery,,,,,,,LED flash,"Vibration; Downloadable polyphonic, MP3 ringtones",Predictive text input MP3/AAC/MP4 player Voice memo Organizer Stopwatch,Class 10,No,Yes,,"1000 entries, Photo call","20 received, dialed and missed calls","SMS, MMS, EMail",Yes+ downloadable,"Yes, MIDP 2.0",,,,,,,,,,,,,,,,,,,,
innostream,Innostream INNO P10,https://fdn2.gsmarena.com/vv/bigpic/innostream-p10.gif,GSM,GSM 900 / 1800 / 1900,,,"2005, June",Discontinued,91.9 x 44 x 23.8 mm (3.62 x 1.73 x 0.94 in),94 g (3.32 oz),,Mini-SIM,"TFT, 256K colors",,128 x 160 pixels,4-way navi key,,,RS-MMC,,1.3 MP,Yes,,,"Yes, with stereo speakers",No,No,No,No,No,,,WAP 2.0/xHTML,No,Removable Li-Ion 830 mAh battery,Up to 200 h,Up to 6 h,"Black, Silver, Red",,,,LED flash,"Vibration; Downloadable polyphonic ringtones, composer",Predictive text input Dictionary (EnglishChinese) MP3/MP4 Player Video Recording (up to 90 min.) Flight Mode Voice memo Bio-rhythm Stopwatch Organizer,Class 10,No,Yes,,"1000 entries, Photo call","20 received, dialed and missed calls","SMS, MMS, EMail",3 + downloadable,"Yes, MIDP 2.0",,,,,,,,,,,,,,,,,,,,
innostream,Innostream INNO A10,https://fdn2.gsmarena.com/vv/bigpic/ina10.gif,GSM,GSM 900 / 1800,,,"2004, Q4",Discontinued,90 x 43 x 24 mm (3.54 x 1.69 x 0.94 in),86 g (3.03 oz),,Mini-SIM,"TFT, 256K colors",,128 x 160 pixels,GSM 850 / 1900 - US version,,,No,128MB,1.3 MP,Yes,,,Yes,No,No,No,No,No,Proprietary,,WAP 2.0/xHTML,Second external 65K colors CSTN display (96 x 64 pixels) 4-way navi key,Removable Li-Ion battery,Up to 160 h,Up to 4 h,"Silver, Blue",,,,LED flash,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",MP3/3GP player  Predictive text input Voice memo Bio-rhythm Stopwatch,Class 10,No,Yes,,"800 entries, Photo call","20 received, dialed and missed calls","SMS, MMS, EMail",Yes + downloadable,"Yes, MIDP 2.0",,,,,,,,,,,,,,,,,,,,
innostream,Innostream INNO 75,https://fdn2.gsmarena.com/vv/bigpic/ininno75.gif,GSM,GSM 900 / 1800 / 1900,,,"2004, Q2. Released 2004",Discontinued,82.5 x 44 x 23 mm (3.25 x 1.73 x 0.91 in),80 g (2.82 oz),,Mini-SIM,"TFT, 65K colors",,"128 x 128 pixels, 1:1 ratio",No,,,miniSD,,VGA,Yes,,,No,No,No,No,No,FM radio,,,WAP 2.0/xHTML,MP3/MP4 player Predictive text input Organizer Voice memo Remote control for IR,Removable Li-Ion battery,,,,,,,,Vibration; Downloadable polyphonic ringtones,,Class 10,No,Yes,,Yes,"20 received, dialed and missed calls","SMS, MMS",Yes + downloadable,"Yes, MIDP 2.0",,,,,,,,,,,,,,,,,,,,
innostream,Innostream INNO 50,https://fdn2.gsmarena.com/vv/bigpic/ininno50.gif,GSM,GSM 900 / 1800,,,"2004, Q1",Discontinued,88.6 x 44.5 x 22.5 mm (3.49 x 1.75 x 0.89 in),90 g (3.17 oz),,Mini-SIM,"TFT, 256K colors",,"176 x 220 pixels, 11 lines","Second external display, STN, 65K colors (96 x 96 pixels) 180 deg swivel Downloadable logos",,,No,12MB,1.3 MP,Yes,,,"Yes, with stereo speakers",No,No,No,No,No,,,WAP 1.2.1,No,Removable Li-Ion battery,Up to 100 h,Up to 3 h,Silver,,,,LED flash,Vibration; Downloadable polyphonic ringtones,Predictive text input Organizer,Class 10,No,Yes,,250,"20 received, dialed and missed calls","SMS, MMS",Yes + downloadable,"Yes, MIDP 2.0",,,,,,,,,,,,,,,,,,,,
innostream,Innostream INNO 36,https://fdn2.gsmarena.com/vv/bigpic/innostream-36.gif,GSM,GSM 900 / 1800,,,"2005, Q2",Cancelled,80 x 43 x 23.8 mm (3.15 x 1.69 x 0.94 in),76 g (2.68 oz),,Mini-SIM,"TFT, 256K colors",,128 x 143 pixels,"Second external STN display, 65K colors (96 x 64 pixels) Screensavers and wallpapers Downloadable pictures",,,No,,VGA,Yes,,,No,No,No,No,No,No,,,WAP 1.2.1,No,Removable Li-Ion battery,,,"Silver, Red",,,,,Vibration; Downloadable polyphonic ringtones,Predictive text input Organizer Voice memo,Yes,No,Yes,,"Yes, Photo call","20 received, dialed and missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,,,,,,,,,,,,,,
innostream,Innostream INNO 79,https://fdn2.gsmarena.com/vv/bigpic/ininno79.gif,GSM,GSM 900 / 1800,,,"2004, Q1",Discontinued,84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in),85 g (3.00 oz),,Mini-SIM,"TFT, 256K colors",,"128 x 160 pixels, 11 lines","Second external display, OLED, 256 colors Screensavers and wallpapers Downloadable pictures",,,No,,VGA,Yes,,,No,No,No,No,No,No,,,WAP,No,Removable Li-Ion battery,,,,,,,,Vibration; Downloadable polyphonic ringtones,Predictive text input Organizer Voice memo,Yes,No,,,"250 entries, Photo call","20 received, dialed and missed calls","SMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,,,,,,,,,,,,
innostream,Innostream INNO 78,https://fdn2.gsmarena.com/vv/bigpic/ininno78.gif,GSM,GSM 900 / 1800,,,"2004, Q1",Discontinued,84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in),85 g (3.00 oz),,Mini-SIM,"TFT, 256K colors",,"128 x 160 pixels, 11 lines","Second external display, OLED, 65K colors Screensavers and wallpapers Downloadable pictures",,,No,,VGA,Yes,,,No,No,No,No,No,No,,,WAP,No,Removable Li-Ion battery,,,,,,,,Vibration; Downloadable polyphonic ringtones,Predictive text input Organizer Voice memo,Yes,No,,,"250 entries, Photo call","20 received, dialed and missed calls","SMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,,,,,,,,,,,,
innostream,Innostream INNO 30,https://fdn2.gsmarena.com/vv/bigpic/ininno30.gif,GSM,GSM 900 / 1800 / 1900,,,"2004, Q1",Discontinued,82 x 42 x 21 mm (3.23 x 1.65 x 0.83 in),76 g (2.68 oz),,Mini-SIM,"TFT, 256K colors",,"128 x 160 pixels, 11 lines","Second external CSTN display (96 x 64 pixels), 65K colors Screensavers and wallpapers Downloadable images",,,No,,VGA,Yes,,,No,No,No,No,No,No,,,WAP,No,Removable Li-Ion 650 mAh battery,Up to 150 h,Up to 3 h - 5 h,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",Predictive text input (iTAP) Calculator Stopwatch Voice memo,Yes,No,,,800,"20 received, dialed and missed calls","SMS, MMS, Email",Yes,Yes,,,,,,,,,,,,,,,,,,,,
innostream,Innostream INNO 55,https://fdn2.gsmarena.com/vv/bigpic/ininno55.gif,GSM,GSM 900 / 1800 / 1900,,,"2004, Q2",Discontinued,85 x 42 x 21.6 mm (3.35 x 1.65 x 0.85 in),88 g (3.10 oz),,Mini-SIM,"TFT, 256K colors",,"128 x 160 pixels, 11 lines",5-way navi key,,,No,,VGA,Yes,,,"Yes, with stereo speakers",No,No,No,No,No,,,WAP 2.0/xHTML,No,Removable Li-Ion 830 mAh battery,Up to 200 h,Up to 6 h,,,,,,"Vibration; Downloadable polyphonic ringtones, composer","Predictive text input Organizer Stopwatch, Bio-rhythm Voice memo Remote control for IR",Class 10,No,Yes,,800,"20 received, dialed and missed calls","SMS, MMS. EMail",Yes,No,,,,,,,,,,,,,,,,,,,,
