Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages,Phonebook,Call records,Messaging,Games,Java,4G bands,Music play,NFC,Build,Quad,Dual,Features_1,Charging,Models,Performance,Display,Camera,Loudspeaker_1,Battery life,Triple,Protection,128GB 4GB RAM,SAR,64GB 4GB RAM,Dual_1,SAR EU
karbonn,Karbonn Titanium Mach Two S360,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-mach-two.jpg,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100,HSPA,"2015, March. Released 2015, March",Discontinued,138 x 70.5 x 6.3 mm (5.43 x 2.78 x 0.25 in),112 g (3.95 oz),,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~70.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",Octa-core 1.4 GHz Cortex-A7,microSDHC,8GB 1GB RAM,"8 MP, AF",Yes,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Ion 1900 mAh, non-removable",,,Deep Blue,About 140 EUR,,,"LED flash, HDR",,,,,,,,,,,,,,,"Glass front (Asahi Dragontrail Glass), glass back (Gorilla Glass 3), aluminum frame",,,,,,,,,,,,Corning Gorilla Glass 3,,,,,
karbonn,Karbonn Titanium Wind W4,https://fdn2.gsmarena.com/vv/bigpic/karbonn-w4.jpg,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100,HSPA,"2014, September. Released 2014, September",Discontinued,125.1 x 64.3 x 11 mm (4.93 x 2.53 x 0.43 in),-,,Dual SIM,"TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~56.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Microsoft Windows Phone 8.1,Quad-core 1.2 GHz,microSDHC,4GB 512MB RAM,"5 MP, AF",Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.0,"Yes, with A-GPS",FM radio,microUSB 2.0,Yes,,,"Li-Ion 1950 mAh, removable",Up to 240 h,Up to 8 h,"Black,White, Red",,,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn Titanium S99,https://fdn2.gsmarena.com/vv/bigpic/karbonn-s99.jpg,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100,HSPA,"2014, June. Released 2014, June",Discontinued,133 x 66 x 9.7 mm (5.24 x 2.60 x 0.38 in),-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~51.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.4 (KitKat),Quad-core 1.3 GHz,microSDHC,4GB 512MB RAM,5 MP,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.0,"Yes, with A-GPS",FM radio,microUSB 2.0,Yes,,,Li-Ion 1400 mAh battery,Up to 168 h,Up to 5 h,"Black,White",,,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn Sparkle V,https://fdn2.gsmarena.com/vv/bigpic/karbonn-sparkle-v.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 2100,HSPA,"2014, September. Released 2014, September",Discontinued,132 x 67 x 9.2 mm (5.20 x 2.64 x 0.36 in),138 g (4.87 oz),,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~63.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"Android 4.4.4 (KitKat), upgradable to 6.0 (Marshmallow), Android One",Quad-core 1.3 GHz Cortex-A7,microSDHC,4GB 1GB RAM,"5 MP, AF",720p,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Ion 1700 mAh, removable",Up to 160 h,Up to 8 h,Red,About 80 EUR,Mediatek MT6582 (28 nm),Mali-400MP2,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn Titanium S19,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s19.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100,HSPA,"2014, August. Released 2014, August",Discontinued,-,-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 4.4.2 (KitKat),Quad-core 1.3 GHz,microSDHC,8GB 1GB RAM,"13 MP, AF",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,Li-Ion 2000 mAh battery,,,"Black, White",About 110 EUR,,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn Smart A12 Star,https://fdn2.gsmarena.com/vv/bigpic/karbonn-smart-a12-star.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100,HSPA,"2014, July. Released 2014, July",Discontinued,124.2 x 64.2 x 10.1 mm (4.89 x 2.53 x 0.40 in),130 g (4.59 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~57.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.4.2 (KitKat),Dual-core 1.2 GHz,microSDHC,4GB 512MB RAM,5 MP,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.0,"Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,Li-Ion 1400 mAh battery,Up to 300 h,,Black,About 50 EUR,,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79 W/kg (head)
karbonn,Karbonn Titanium S1 Plus,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s1-plus.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100,HSPA,"2014, May. Released 2014, May",Discontinued,124 x 64 x 10.3 mm (4.88 x 2.52 x 0.41 in),129 g (4.55 oz),,Dual SIM,Capacitive touchscreen,"4.0 inches, 45.5 cm2 (~57.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.3 (Jelly Bean),Quad-core 1.2 GHz,microSDHC,4GB 1GB RAM,"5 MP, AF",Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.0,"Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,Li-Ion 1500 mAh battery,,,White,About 80 EUR,,Adreno 302,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn Titanium Hexa,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-hexa.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA,HSPA 42.2/5.76 Mbps,"2014, March. Released 2014, April",Discontinued,154 x 76.8 x 6.9 mm (6.06 x 3.02 x 0.27 in),-,,Dual SIM,"Capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Android 4.4.2 (KitKat),Hexa-core 1.5 GHz Cortex-A7,microSDHC,16GB 2GB RAM,"13 MP, AF",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,,Li-Po 2050 mAh battery,,,"Black, White",About 200 EUR,Mediatek MT6591,Mali-450MP4,"LED flash, panorama",,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn Titanium Octane Plus,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-octane-plus.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA,HSPA 42.2/5.76 Mbps,"2014, March. Released 2014, April",Discontinued,147.3 x 72.6 x 7.6 mm (5.80 x 2.86 x 0.30 in),-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,Android 4.4.2 (KitKat),Octa-core 1.7 GHz Cortex-A7,microSDHC,16GB 2GB RAM,"16 MP, AF",Yes,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,,"Li-Ion 2000 mAh, removable",,,"Black, White",About 220 EUR,Mediatek MT6592 (28 nm),Mali-450MP4,"LED flash, panorama",,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn Titanium Octane,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-octane-plus.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA,HSPA 42.2/5.76 Mbps,"2014, March. Released 2014, April",Discontinued,145.7 x 71.2 x 7.9 mm (5.74 x 2.80 x 0.31 in),-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 4.4.2 (KitKat),Octa-core 1.7 GHz Cortex-A7,microSDHC,16GB 1GB RAM,"13 MP, AF",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,,"Li-Ion 2000 mAh, removable",,,"Black, White",About 170 EUR,Mediatek MT6592 (28 nm),Mali-450MP4,"LED flash, panorama",,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
