Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages,Phonebook,Call records,Messaging,Games,Java,4G bands,Music play,NFC,Build,Quad,Dual,Features_1,Charging,Models,Performance,Display,Camera,Loudspeaker_1,Battery life,Triple,Protection,128GB 4GB RAM,SAR,64GB 4GB RAM,Dual_1,SAR EU,Clock,Alarm
lava,Lava Z61 Pro,https://fdn2.gsmarena.com/vv/bigpic/lava-z61-pro.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, July 09","Available. Released 2020, July",147 x 71.8 x 9.2 mm (5.79 x 2.83 x 0.36 in),160 g (5.64 oz),,"Dual SIM (Nano-SIM, dual stand-by)","TFT LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~72.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,Android 9.0 (Pie),Octa-core 1.6 GHz processor,microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, f/2.0, (wide), 1.12µ",1080p@30fps,"5 MP, f/2.2, (wide), 1.12µ",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB On-The-Go","Face ID, accelerometer, proximity",,,"Li-Po 3100 mAh, non-removable",,,"Midnight Blue, Amber Red",About 70 EUR,,,"LED flash, HDR, panorama",,,,,,,,,,,,"1, 3, 5, 8, 40, 41",,,"Glass front, plastic back, plastic frame",,,LED flash,"5W, 100% in 3h 30 min (advertised)",,,,,,,,,,,,,,,
lava,Lava Z71,https://fdn2.gsmarena.com/vv/bigpic/lava-z71.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, January","Available. Released 2020, January",145.6 x 70.9 x 9 mm (5.73 x 2.79 x 0.35 in),150 g (5.29 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.71 inches, 81.4 cm2 (~78.8% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",eMMC 5.1,Android 9.0 (Pie),Octa-core 2.0 GHz Cortex-A53,microSDXC (dedicated slot),32GB 2GB RAM,5 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity",,,"Li-Po 3200 mAh, non-removable",,,"Ruby Red, Steel Blue",About 80 EUR,Mediatek MT6762 Helio P22 (12 nm),PowerVR GE8320,"LED flash, HDR, panorama",,,,,,,,,,,,"1, 3, 5, 8, 40, 41",,,"Glass front, plastic back, plastic frame",,13 MP 2 MP,LED flash,,,,,,,,,,,,,,,,
lava,Lava Z40,https://fdn2.gsmarena.com/vv/bigpic/lava-z40.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, March","Available. Released 2019, March",125.5 x 63.9 x 11.7 mm (4.94 x 2.52 x 0.46 in),120 g (4.23 oz),,"Dual SIM (Nano-SIM, dual stand-by)","TN TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~56.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 8.1 Oreo (Go edition),Quad-core 1.4 GHz,microSDXC,8GB 1GB RAM,2 MP,720p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,Accelerometer,,,"Li-Ion 2250 mAh, removable",,,"Gold, Glossy Black",About 3500 INR,Unisoc SC9832E,Mali,"LED flash, HDR",,,,,,,,,,,,"1, 3, 5, 40, 41",,,,,,LED flash,,,,,,,,,Corning Gorilla Glass (unspecified version),,,,,,,
lava,Lava Z92,https://fdn2.gsmarena.com/vv/bigpic/lava-z92-.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, January","Available. Released 2019, January",156.9 x 75.8 x 8 mm (6.18 x 2.98 x 0.31 in),-,,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm2 (~81.2% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",eMMC 5.1,Android 8.1 Oreo (Go edition),Octa-core 2.0 GHz Cortex-A53,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, f/2.0, 1/3.1"", 1.12µm, AF",1080p@30fps,"8 MP, f/2.0, 1/4"", 1.12µm",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,,"Li-Po 3260 mAh, non-removable",,,Green,,Mediatek MT6762 Helio P22 (12 nm),PowerVR GE8320,"Dual-LED flash, panorama, HDR",,,,,,,,,,,,"1, 3, 5, 40, 41",,,,,,LED flash,,,,,,,,,Corning Gorilla Glass 3,,,,,,,
lava,Lava Z81,https://fdn2.gsmarena.com/vv/bigpic/lava-z81.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, October","Available. Released 2018, October",152.2 x 73 x 7.9 mm (5.99 x 2.87 x 0.31 in),141 g (4.97 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.5% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",eMMC 5.1,Android 8.1 (Oreo),Quad-core 2.0 GHz Cortex-A53,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.2",1080p@30fps,"13 MP, f/2.0",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,,"Li-Po 3000 mAh, non-removable",,,"Black/Blue, Gold/Black",,Mediatek MT6761 Helio A22 (12 nm),PowerVR GE8320,"LED flash, HDR, panorama",,,,,,,,,,,,"1, 3, 5, 8, 40, 41",,,,,,LED flash,,Z81,,,,,,,Corning Gorilla Glass 3,,,,,,,
lava,Lava Z60s,https://fdn2.gsmarena.com/vv/bigpic/lava-z60s.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, August","Available. Released 2018, August",144.3 x 71.4 x 8.5 mm (5.68 x 2.81 x 0.33 in),136 g (4.80 oz),,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",eMMC 5.1,Android 8.1 Oreo (Go edition),Quad-core 1.5 GHz Cortex-A53,microSDXC,16GB 1GB RAM,"5 MP, f/2.0, AF",1080p@30fps,"5 MP, f/2.4",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Po 2500 mAh, non-removable",,,"Gold, Black",About 4950 INR,Mediatek MT6739WW (28 nm),PowerVR GE8100,LED flash,,,,,,,,,,,,"1, 3, 5, 8, 40, 41",,,,,,LED flash,,Z60s,,,,,,,,,,,,,,
lava,Lava Z61,https://fdn2.gsmarena.com/vv/bigpic/lava-z61.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, July","Available. Released 2018, July",146.5 x 70.2 x 8.7 mm (5.77 x 2.76 x 0.34 in),139 g (4.90 oz),,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~74.5% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",eMMC 5.1,Android 8.0 Oreo (Go edition) - 1 GB RAM modelAndroid 8.1 (Oreo) - 2 GB RAM model,Quad-core 1.5 GHz Cortex-A53,microSDHC,"16GB 1GB RAM, 16GB 2GB RAM","8 MP, f/2.0, 1/5.0"", 1.12µm, AF",1080p@30fps,"5 MP, f/2.4",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Po 3000 mAh, removable",,,"Gold, Black",About 5700 INR,Mediatek MT6739WW (28 nm),PowerVR GE8100,LED flash,,,,,,,,,,,,"1, 3, 5, 40, 41",,,,,,LED flash,,"Z61, Z61_2GB",,,,,,,Corning Gorilla Glass (unspecified version),,,,,,,
lava,Lava Z91 (2GB),https://fdn2.gsmarena.com/vv/bigpic/lava-z91.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, July","Available. Released 2018, July",152 x 72.9 x 7.7 mm (5.98 x 2.87 x 0.30 in),147 g (5.19 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",eMMC 5.1,Android 7.1 (Nougat),Quad-core 1.3 GHz Cortex-A53,microSDXC (dedicated slot),16GB 2GB RAM,"13 MP, f/2.0, 1/3.1"", 1.12µm, AF",1080p@30fps,"8 MP, f/2.2",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity",,,"Li-Po 3000 mAh, non-removable",,,Blue,About 9000 INR,Mediatek MT6739 (28 nm),PowerVR GE8100,LED flash,,,,,,,,,,,,"1, 3, 5, 40, 41",,,,,,LED flash,,,,,,,,,,,,,,,,
lava,Lava Z91,https://fdn2.gsmarena.com/vv/bigpic/lava-z91.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, March","Available. Released 2018, March",152 x 72.9 x 7.7 mm (5.98 x 2.87 x 0.30 in),147 g (5.19 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",eMMC 5.1,Android 7.1 (Nougat),Quad-core 1.3 GHz Cortex-A53,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, f/2.0, 1/3.1"", 1.12µm, AF",1080p@30fps,"8 MP, f/2.2",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity",,,"Li-Po 3000 mAh, non-removable",,,Blue,About 10000 INR,Mediatek MT6739 (28 nm),PowerVR GE8100,LED flash,,,,,,,,,,,,"1, 3, 5, 40, 41",,,,,,LED flash,,Z91,,,,,,,,,,,,,,
lava,Lava Z50,https://fdn2.gsmarena.com/vv/bigpic/lava-z50.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, March","Available. Released 2018, March",135 x 66.6 x 9.7 mm (5.31 x 2.62 x 0.38 in),140 g (4.94 oz),,"Dual SIM (Micro-SIM, dual stand-by)","TN TFT capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~62.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",eMMC 5.0,Android Oreo (Go edition),Quad-core 1.1 GHz Cortex-A53,microSDXC,8GB 1GB RAM,"5 MP, AF",720p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Po 2000 mAh, removable",,,"Gold, Black",About 4400 INR,Mediatek MT6737M (28 nm),Mali-T720MP2,"LED flash, HDR",,,,,,,,,,,,"1, 3, 5, 40, 41",,,,,,LED flash,,Z50,,,,,,,Corning Gorilla Glass 1,,,,,,,
