Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages,Phonebook,Call records,Messaging,Games,Java,4G bands,Music play,NFC,Build,Quad,Dual,Features_1,Charging,Models,Performance,Display,Camera,Loudspeaker_1,Battery life,Triple,Protection,128GB 4GB RAM,SAR,64GB 4GB RAM,Dual_1,SAR EU,Clock,Alarm,Audio quality,5G bands,128GB 8GB RAM,128GB 12GB RAM,256GB 12GB RAM,128GB 6GB RAM
lenovo,Lenovo Tab P11 Pro,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11-pro-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, August 31","Coming soon. Exp. release 2020, November",7.7 mm thickness,-,,Nano-SIM,"OLED capacitive touchscreen, 16M colors","11.5 inches, 383.5 cm2","1600 x 2560 pixels, 16:10 ratio (~263 ppi density)",Stylus support,Android 10,Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),microSDXC,"128GB 4GB RAM, 128GB 6GB RAM",,1080p@30fps,,,"Yes, with stereo speakers (4 speakers)",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",Unspecified,"2.0, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, proximity",,HDR10,"Li-Po 8600 mAh, non-removable",,,Gray,About 700 EUR,Qualcomm SDM730 Snapdragon 730G (8 nm),Adreno 618,,,,,,,,,,,,,LTE,,,"Glass front, aluminum frame, aluminum back",,"13 MP, (wide), AF 5 MP, (ultrawide)",,,,,,,,,,,,,,8 MP 8 MP,,,,,,,,,
lenovo,Lenovo Tab M10 HD Gen 2,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m10-hd-gen2--.jpg,No cellular connectivity,N/A,N/A,No,"2020, August 31","Coming soon. Exp. release 2020, October",-,-,,No,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 281.2 cm2","720p, 16:9 ratio (~145 ppi density)",Unknown camera,Android 10,Octa-core 2.3 GHz Cortex-A53,microSDXC,"32GB 2GB RAM, 64GB 4GB RAM",5 MP,,,,"Yes, with stereo speakers",Yes,Yes,Yes,No,Unspecified,"2.0, Type-C 1.0 reversible connector",Accelerometer,,,"Li-Po 5000 mAh, non-removable",,,"Gray, Silver",About 160 EUR,Mediatek MT6762 Helio P22T (12 nm),PowerVR GE8320,,,,No,No,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo Legion Duel,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat15 800/210 Mbps, 5G 2.5 Gbps DL","2020, July 22","Coming soon. Exp. release 2020, October",169.2 x 78.5 x 9.9 mm (6.66 x 3.09 x 0.39 in),239 g (8.43 oz),,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.65 inches, 108.6 cm2 (~81.7% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)",Water-repellent coating,"Android 10, Legion OS/ ZUI12",Octa-core (1x3.09 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),No,"256GB 12GB RAM, 512GB 16GB RAM","Motorized pop-up 20 MP, f/2.2, 25mm (wide), 1/3.1"", 0.9µm",4K@30fps gyro-EIS,,4K@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD, aptX Adaptive","Yes, with dual-band A-GPS, GLONASS, GALILEO, BDS, QZSS",Unspecified,"Two Type-C 1.0 reversible connectors, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,144Hz refresh rate HDR10+,"Li-Po 5000 mAh, non-removable",,,"Vengeance Red, Blazing Blue",,Qualcomm SM8250 Snapdragon 865+ (7 nm+),Adreno 650,"Dual-LED dual-tone flash, panorama, HDR",,UFS 3.1,,,,,,,,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42 - International",,Yes,"Glass front, glass back, aluminum frame",,"64 MP, f/1.9, 25mm (wide), 1/1.72"", 0.8µm, PDAF 16 MP, f/2.2, 120˚, 16mm (ultrawide)","LED flash, HDR","Fast charging 90W, 50% in 10 min, 100% in 30 min (512GB 16GB RAM model) Fast charging 65W, (128GB 12GB RAM, 256GB 12GB RAM models)",,,,,,,,,,,,,,,,,"1, 3, 28, 38, 41, 77, 78, 79 SA/NSA",,,,
lenovo,Lenovo Legion Pro,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat15 800/210 Mbps, 5G 2.5 Gbps DL","2020, July 22","Available. Released 2020, July 30",169.2 x 78.5 x 9.9 mm (6.66 x 3.09 x 0.39 in),239 g (8.43 oz),,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.65 inches, 108.6 cm2 (~81.7% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)",CDMA 800 & TD-SCDMA,"Android 10, Legion OS/ ZUI12",Octa-core (1x3.09 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),No,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 512GB 16GB RAM","Motorized pop-up 20 MP, f/2.2, 25mm (wide), 1/3.1"", 0.9µm",4K@30fps gyro-EIS,,4K@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD, aptX Adaptive","Yes, with dual-band A-GPS, GLONASS, GALILEO, BDS, QZSS","FM radio, recording","Two Type-C 1.0 reversible connectors, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,Water-repellent coating,"Li-Po 5000 mAh, non-removable",,,"Vengeance Red, Blazing Blue",$ 659.99,Qualcomm SM8250 Snapdragon 865+ (7 nm+),Adreno 650,"Dual-LED dual-tone flash, panorama, HDR",,UFS 3.1,,,,,,,,,,LTE (unspecified) - China,,Yes,"Glass front, glass back, aluminum frame",,"64 MP, f/1.9, 25mm (wide), 1/1.72"", 0.8µm, PDAF 16 MP, f/2.2, 120˚, 16mm (ultrawide)","LED flash, HDR","Fast charging 90W, 50% in 10 min, 100% in 30 min (512GB 16GB RAM model) Fast charging 65W, (128GB 12GB RAM, 256GB 12GB RAM models) Fast charging 45W, (128GB 8GB RAM model)",L79031,,,,,,,,,,,,,,,,SA/NSA,$ 659.99,$ 719.99,$ 789.99,
lenovo,Lenovo K7,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a7-.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, April 13",Cancelled,-,0 (5.68 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.09 inches, 92.6 cm2","720 x 1520 pixels, 19:9 ratio (~276 ppi density)",CDMA 800 & TD-SCDMA,Android 10,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),microSDXC (uses shared SIM slot),,5 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,Yes,"Fingerprint (rear-mounted), accelerometer, proximity",,eMMC 5.1,"Li-Ion 4000 mAh, non-removable",,,"Blue, Black",,Unisoc SC9863A (28nm),IMG8322,"LED flash, HDR, panorama",,,,,,,,,,,,LTE,,,,,,HDR,,,,,,,,"13 MP, (wide), PDAF 2 MP, (depth)",,,,,,,,,,,,,,
lenovo,Lenovo M10 Plus,https://fdn2.gsmarena.com/vv/bigpic/lenovo-m10-plus.jpg,LTE,N/A,N/A,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, March 27","Available. Released 2020, March 27",244.2 x 153.3 x 8.2 mm (9.61 x 6.04 x 0.32 in),460 g (1.01 lb),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.3 inches, 307.6 cm2 (~82.2% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~220 ppi density)",330 nits typ. brightness (advertised),Android 9.0 (Pie),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),microSDXC (dedicated slot),"32GB 2GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","8 MP, AF",1080p@30fps,5 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, LE","Yes, with A-GPS",No,"2.0, Type-C 1.0 reversible connector",Accelerometer,,eMMC 5.1,"Li-Po 7000 mAh, non-removable",,,Iron Grey,About 200 EUR,Mediatek MT6762 Helio P22T (12 nm),PowerVR GE8320,,,,No,No,,,,,,,,LTE (unspecified),,,,,,,Charging 10W,"TB-X606, TB-X606F",,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo M10 FHD REL,https://fdn2.gsmarena.com/vv/bigpic/lenovo-m10-fhd-rel.jpg,LTE,N/A,N/A,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, January 24","Available. Released 2020, January 24",-,520 g (1.15 lb),,Yes,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",320 nits typ. brightness (advertised),Android 9.0 (Pie),Octa-core 1.8 GHz Cortex-A53,microSDXC (dedicated slot),32GB 3GB RAM,"8 MP, AF",1080p@30fps,5 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,eMMC 5.1,"Li-Po 7000 mAh, non-removable",,,Black,About 180 EUR,Qualcomm SDM450 Snapdragon 450 (14 nm),Adreno 506,,,,No,No,,,,,,,,LTE (unspecified),,,,,,,,"TB-X605FC, TB-X605LC, ZA4Y0079IN",,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo Yoga Smart Tab,https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-smart-tab.jpg,No cellular connectivity,N/A,N/A,,"2019, October","Available. Released 2019, October",242mm x 166mm x 8.5-24mm,580 g (1.28 lb),,No,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~73.6% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",Built-in 3-stage kickstand,Android 9.0 (Pie),Octa-core (4x1.95 GHz Cortex-A53 & 4x1.45 GHz Cortex A53),microSDXC (dedicated slot),64GB 4GB RAM,"8 MP, AF",1080p@30fps,5 MP,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct, hotspot","4.2, A2DP",No,No,"2.0, Type-C 1.0 reversible connector",Accelerometer,,eMMC 5.1,"Li-Po 7000 mAh, non-removable",,,Iron Grey,About 320 EUR,Qualcomm SDM439 Snapdragon 439 (12 nm),Adreno 505,,,,No,No,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo K10 Plus,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k10-plus.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2019, September 23","Available. Released 2019, September 30",158.3 x 75.8 x 8.3 mm (6.23 x 2.98 x 0.33 in),172 g (6.07 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm2 (~80.5% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",CDMA 800 & TD-SCDMA,"Android 9.0 (Pie), ZUI 11",Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),microSDXC (dedicated slot),64GB 4GB RAM,"16 MP, f/2.0, 13mm (ultrawide), 1/2.8"", 1.12µm",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS","FM radio, recording","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity",,eMMC 5.1,"Li-Po 4050 mAh, non-removable",,,"Black, Sprite",,Qualcomm SDM632 Snapdragon 632 (14 nm),Adreno 506,"LED flash, panorama, HDR",,,,,,,,,,,,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41",,,"Glass front, plastic back, plastic frame",,,HDR,Charging 10W,"PAGW0015IN, L39051",,,,,,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm, PDAF 8 MP, 13mm (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.2, (depth)",,,0.34 W/kg (head)     0.90 W/kg (body),,,,,,,,,,,
lenovo,Lenovo K10 Note,https://fdn2.gsmarena.com/vv/bigpic/lenovo-z6-youth.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2019, September 05","Available. Released 2019, September 16",156.6 x 74.3 x 7.9 mm (6.17 x 2.93 x 0.31 in),164 g (5.78 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm2 (~83.7% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",CDMA 800 & TD-SCDMA,"Android 9.0 (Pie), ZUI 11",Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 6GB RAM","16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE","Yes, with A-GPS","FM radio, recording","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,UFS 2.1,"Li-Po 4050 mAh, non-removable",,,"Knight Black, Stardust Blue",$ 130.89 / £ 148.00,Qualcomm SDM710 Snapdragon 710 (10 nm),Adreno 616,"LED flash, panorama, HDR",,,,,,,,,,,,"1, 2, 3, 5, 7, 8, 34, 38, 39, 40, 41",,,"Glass front, plastic back, plastic frame",,,HDR,Fast charging 18W,"PAFR0026IN, PAFR0026, PAFR0033IN, PAFR0033, PAFR0013IN, PAFR0013",,,,,,"16 MP, f/1.8, PDAF 8 MP, f/2.4, (telephoto), PDAF, 2x optical zoom 2 MP, f/2.2, (depth)",,,,£ 224.00,,,,,,,,,,£ 148.00
