Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,_1,Models,Triple,5G bands,_1_1,Features_1,Charging,Price,Dual,Build,Protection,SAR,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,Phonebook,Call records,Messaging,Games,Java,Single_1,128GB 4GB RAM,64GB 3GB RAM,32GB 3GB RAM,Audio quality,Dual or Triple,64GB 6GB RAM,GPRS,EDGE,Stand-by,SAR EU,64GB 4GB RAM,Talk time,Infrared port,32GB 4GB RAM,Keyboard,Browser,Music play,Alert types,Languages,Clock,Alarm
lg,LG K62,https://fdn2.gsmarena.com/vv/bigpic/lg-k62.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE","2020, September 23","Coming soon. Exp. release 2020, October",165 x 76.7 x 8.4 mm (6.50 x 3.02 x 0.33 in),186 g (6.56 oz),"Dual SIM (Nano-SIM, dual stand-by)",MIL-STD-810G compliant* *does not guarantee ruggedness or use in extreme conditions,"IPS LCD capacitive touchscreen, 16M colors","6.6 inches, 105.2 cm2 (~83.1% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~399 ppi density)",Android 10,Mediatek MT6765 Helio P35 (12nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC,128GB 4GB RAM,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","Dual-LED flash, panorama, HDR",1080p@30fps,"28 MP, (wide)",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",Yes,No,"3.1, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable","White, Sky Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG K52,https://fdn2.gsmarena.com/vv/bigpic/lg-k52.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE","2020, September 23","Coming soon. Exp. release 2020, October",165 x 76.7 x 8.4 mm (6.50 x 3.02 x 0.33 in),186 g (6.56 oz),"Dual SIM (Nano-SIM, dual stand-by)",MIL-STD-810G compliant* *does not guarantee ruggedness or use in extreme conditions,"IPS LCD capacitive touchscreen, 16M colors","6.6 inches, 105.2 cm2 (~83.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",Android 10,Mediatek MT6765 Helio P35 (12nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC,64GB 4GB RAM,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","Dual-LED flash, panorama, HDR",1080p@30fps,"13 MP, (wide), 1/3.1"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",Yes,No,"3.1, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable","White, Blue, Red",eMMC 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG K42,https://fdn2.gsmarena.com/vv/bigpic/lg-k42.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE","2020, September 21","Available. Released 2020, September 21",165 x 76.7 x 8.4 mm (6.50 x 3.02 x 0.33 in),182 g (6.42 oz),"Dual SIM (Nano-SIM, dual stand-by)",MIL-STD-810G compliant* *does not guarantee ruggedness or use in extreme conditions,"IPS LCD capacitive touchscreen, 16M colors","6.6 inches, 105.2 cm2 (~83.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",Android 10,Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC,64GB 3GB RAM,"13 MP, 27mm (wide), 1/3.1"", 1.12µm, PDAF 5 MP, f/2.2, 120˚ (ultrawide), 1/5.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"8 MP, (wide)",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",,No,"3.1, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, proximity","Li-Po 4000 mAh, non-removable",Gray,eMMC 5.1,"LMK420HM, LM-K420HM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG K71,https://fdn2.gsmarena.com/vv/bigpic/lg-stylo6.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2020, September 21","Available. Released 2020, September 21",171.4 x 77.7 x 8.7 mm (6.75 x 3.06 x 0.34 in),220 g (7.76 oz),Nano-SIM,Stylus,"IPS LCD capacitive touchscreen, 16M colors","6.8 inches, 109.8 cm2 (~82.5% screen-to-body ratio)",1080 x 2460 pixels (~395 ppi density),Android 10,Mediatek MT6765 Helio P35 (12nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),128GB 4GB RAM,,"LED flash, panorama, HDR",1080p@30fps,"32 MP, (wide), 1/2.8"", 0.8µm",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",,No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 4000 mAh, non-removable",White,,"LMQ730HA, LM-Q730HA","48 MP, (wide), 1/2.0"", 0.8µm, PDAF 5 MP, 120˚, (ultrawide) 5 MP, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG Wing 5G,https://fdn2.gsmarena.com/vv/bigpic/lg-wing.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G","2020, September 14","Coming soon. Exp. release 2020, October",169.5 x 74.5 x 10.9 mm (6.67 x 2.93 x 0.43 in),260 g (9.17 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",IP54 splash proof Water-repellent coating MIL-STD-810G compliant* *does not guarantee ruggedness or use in extreme conditions,"Rotating P-OLED capacitive touchscreen, 16M colors","6.8 inches, 109.8 cm2 (~87.0% screen-to-body ratio)",1080 x 2460 pixels (~395 ppi density),Android 10,Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM",,"LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60fps, gyro-EIS","Motorized pop-up 32 MP, f/1.9, 26mm (wide), 1/2.8"", 0.8µm",1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO",Yes,Unspecified,"3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable","Aurora Gray, Illusion Sky","Secondary display: G-OLED, 1080 x 1240 pixels, 3.9 inches","LMF100N, LM-F100N","64 MP, f/1.8, 25mm (wide), 1/1.72"", 0.8µm, PDAF, OIS 13 MP, f/1.9, 117˚, (ultrawide), 1.0µm 12 MP, f/2.2, 120˚, (ultrawide), 1.4µm",SA/NSA,UFS,HDR,Fast charging Wireless charging Quick Charge 4.0+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG Q92 5G,https://fdn2.gsmarena.com/vv/bigpic/lg-q92.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G","2020, August 24","Available. Released 2020, August 26",166.5 x 77.3 x 8.5 mm (6.56 x 3.04 x 0.33 in),193 g (6.81 oz),"Dual SIM (Nano-SIM, dual stand-by)",IP68 dust/water resistant (up to 1.5m for 30 mins) MIL-STD-810G compliant* *does not guarantee ruggedness or use in extreme conditions,"IPS LCD capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm2 (~83.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",Android 10,Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,microSDXC,128GB 6GB RAM,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 120˚, 15mm (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 5 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps","32 MP, f/1.9, 26mm (wide), 1/2.8"", 0.8µm",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,Unspecified,"2.0, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable","White, Dark Blue, Red",,,,SA/NSA,,HDR,Fast charging 15W,About 360 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG Q31,https://fdn2.gsmarena.com/vv/bigpic/lg-q31.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE","2020, September 17","Available. Released 2020, September 25",147.9 x 71 x 8.7 mm (5.82 x 2.80 x 0.34 in),145 g (5.11 oz),Nano-SIM,MIL-STD-810G compliant* *does not guarantee ruggedness or use in extreme conditions,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 81.1 cm2 (~77.2% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",Android 10,Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC,32GB 3GB RAM,,"LED flash, panorama, HDR",1080p@30fps,"5 MP, f/2.2, 24mm (wide), 1/5.0"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",,No,microUSB 2.0,Accelerometer,"Li-Ion 3000 mAh, non-removable",Silver,eMMC 5.1,,,,,,,About 150 EUR,"13 MP, f/1.8, 27mm (wide), 1/3.1"", 1.12µm, PDAF 5 MP, f/2.2, 120˚ (ultrawide), 1/5.0"", 1.12µm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG K31,https://fdn2.gsmarena.com/vv/bigpic/lg-k31.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2, 4, 5, 12, 13, 25, 26, 41, 66, 71","HSPA 42.2/5.76 Mbps, LTE","2020, August 21","Available. Released 2020, August 21",147.8 x 71.1 x 8.6 mm (5.82 x 2.80 x 0.34 in),146 g (5.15 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 / 1900,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 81.1 cm2 (~77.2% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)","Android 10, LG UX 9.1",Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC,32GB 2GB RAM,,"LED flash, panorama, HDR",1080p@30fps,"5 MP, f/2.2, 24mm (wide), 1/5.0"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",,No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer","Li-Ion 3000 mAh, non-removable",Gray,MIL-STD-810G compliant* *does not guarantee ruggedness or use in extreme conditions,"LM-K300Q, LMK300",,,eMMC 5.1,,,About 130 EUR,"13 MP, f/1.8, 27mm (wide), 1/3.1"", 1.12µm, PDAF 5 MP, f/2.2, 120˚ (ultrawide), 1/5.0"", 1.12µm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG Velvet 5G UW,https://fdn2.gsmarena.com/vv/bigpic/lg-velvet-5g-uw-.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2, 3, 4, 5, 7, 12, 13, 20, 28, 46, 48, 66","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat16 1000/75 Mbps, 5G 2Gbps","2020, August 19","Available. Released 2020, August 21",167.2 x 74.1 x 7.9 mm (6.58 x 2.92 x 0.31 in),-,Pre-installed Nano-SIM,CDMA 800 / 1900,"P-OLED capacitive touchscreen, 16M colors","6.8 inches, 109.8 cm2 (~88.6% screen-to-body ratio)",1080 x 2460 pixels (~395 ppi density),"Android 10, LG UX 9",Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,microSDXC (uses shared SIM slot),128GB 6GB RAM,,"LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS","16 MP, f/1.9, 29mm (standard), 1/3.06, 1.0µm",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.1, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO",Yes,No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Li-Po 4300 mAh, non-removable",Aurora Red,IP68 dust/water resistant (up to 1.5m for 30 mins) MIL-STD-810G compliant* *does not guarantee ruggedness or use in extreme conditions,"LM-G900V, LM-G900V","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 120˚, 15mm (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.4, (depth)","260, 261 mmWave",UFS 2.1,HDR,Fast charging 25W Fast wireless charging 9W Quick Charge 4.0+ USB Power Delivery 3.0,About 700 USD,,"Glass front, glass back, aluminum frame",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG Q61,https://fdn2.gsmarena.com/vv/bigpic/lg-q61.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2020, May 21","Available. Released 2020, May 29",164.5 x 77.5 x 8.3 mm (6.48 x 3.05 x 0.33 in),-,Nano-SIM,MIL-STD-810G compliant* *does not guarantee ruggedness or use in extreme conditions,"IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 104.7 cm2 (~82.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",Android 9.0 (Pie),Mediatek MT6765 Helio P35 (12nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),64GB 4GB RAM,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 118˚, (ultrawide) 2 MP, f/2.4, (macro) 5 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,16 MP,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",Yes,No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable",White,,,,,,,,About 270 EUR,,,Scratch-resistant glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
