Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,_1,Models,Triple,5G bands,_1_1,Features_1,Charging,Price,Dual,Build,Protection,SAR,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,Phonebook,Call records,Messaging,Games,Java,Single_1,128GB 4GB RAM,64GB 3GB RAM,32GB 3GB RAM,Audio quality,Dual or Triple,64GB 6GB RAM,GPRS,EDGE,Stand-by,SAR EU,64GB 4GB RAM,Talk time,Infrared port,32GB 4GB RAM,Keyboard,Browser,Music play,Alert types,Languages,Clock,Alarm
maxon,Maxon MX-C90,https://fdn2.gsmarena.com/vv/bigpic/mac90.gif,GSM,GSM 900 / 1800,,,,2003,Discontinued,83 x 47 x 23 mm (3.27 x 1.85 x 0.91 in),82 g (2.89 oz),Mini-SIM,Wallpaper,"TFT, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,No,VGA,,No,No,No,No,No,,No,,,Removable Li-Ion battery,,No,,,,Predictive text input Organizer,,,,,,,,,,,,,,,250 x 11 fields,"30 received, dialed and missed calls","SMS, MMS",Yes,Yes,,,,,,,,Yes,No,Up to 200 h,,,Up to 3 h,,,,WAP 2.0/xHTML,,Vibration; Polyphonic ringtones,,,
maxon,Maxon MX-C80,https://fdn2.gsmarena.com/vv/bigpic/mac80.gif,GSM,GSM 900 / 1800,,,,"2003, Q4",Discontinued,84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in),85 g (3.00 oz),Mini-SIM,"Second external display, 256 colors Wallpaper","TFT, 65K colors",,128 x 160 pixels,,,,,No,,,,No,VGA,,No,No,No,No,No,,No,,,Removable Li-Ion battery,,No,,,,Predictive text input Organizer,,,,,,,,,,,,,,,250 x 11 fields,"30 received, dialed and missed calls","SMS, EMS, MMS",Yes,Yes,,,,,,,,Yes,No,Up to 75 h,,,Up to 6 h,,,,WAP 2.0/xHTML,,Vibration; Polyphonic ringtones,,,
maxon,Maxon MX-C180,https://fdn2.gsmarena.com/vv/bigpic/mac180.gif,GSM,GSM 900 / 1800,,,,"2003, Q4",Discontinued,84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in),85 g (3.00 oz),Mini-SIM,"Second external OLED display, 256 colors Wallpaper","TFT, 65K colors",,128 x 160 pixels,,,,,No,,,,No,VGA,,No,No,No,No,No,,No,,,Removable Li-Ion battery,,No,,,,Predictive text input Organizer,,,,,,,,,,,,,,,250 x 11 fields,"30 received, dialed and missed calls","SMS, EMS, MMS, Email",Yes,Yes,,,,,,,,Yes,No,Up to 75 h,,,Up to 6 h,,,,WAP 2.0/xHTML,,Vibration; Polyphonic ringtones,,,
maxon,Maxon MX-A30,https://fdn2.gsmarena.com/vv/bigpic/maa30.gif,GSM,GSM 900 / 1800,,,,2004,Discontinued,90 x 48.5 x 22.4 mm (3.54 x 1.91 x 0.88 in),90 g (3.17 oz),Mini-SIM,7 color LED indicator Wallpaper Downloadable logos,"TFT, 65K colors",,128 x 160 pixels,,,,,No,,,,No,Yes,,No,No,No,No,No,,No,,,Removable Li-Ion battery,,No,,,,Predictive text input Organizer,,,,,,,,,,,,,,,250,"30 received, dialed and missed calls","SMS, MMS",Yes,Yes,,,,,,,,Class 8,No,Up to 150 h,,,Up to 4 h,,,,WAP 2.0/xHTML,,Vibration; Downloadable polyphonic ringtones,,,
maxon,Maxon MX-C60,https://fdn2.gsmarena.com/vv/bigpic/mac60.gif,GSM,GSM 900 / 1800 / 1900,,,,2003,Discontinued,80 x 45 x 22.9 mm (3.15 x 1.77 x 0.90 in),85 g (3.00 oz),Mini-SIM,Second external display Wallpaper,"CSTN, 65K colors",,"128 x 128 pixels, 8 lines, 1:1 ratio",,,,,No,,,,,,,No,No,No,No,No,,No,,,Removable Li-Ion 900 mAh battery,,No,,,,Predictive text input,,,,,,,,,,,,,,,250,"20 received, dialed and missed calls","SMS, EMS",Yes,No,,,,,,,,Yes,No,Up to 200 h,,,Up to 3 h,,,,WAP 1.2.1,,Vibration; Polyphonic ringtones,,,
maxon,Maxon MX-C20,https://fdn2.gsmarena.com/vv/bigpic/mac20.gif,GSM,GSM 900 / 1800,,,,2003,Discontinued,91 x 46 x 23 mm (3.58 x 1.81 x 0.91 in),90 g (3.17 oz),Mini-SIM,Second external display ( orange LCD ) Wallpaper,"CSTN, 65K colors",,"128 x 160 pixels, 7 lines",,,,,No,,,,No,Yes,,No,No,No,No,No,,No,Proprietary,,Removable Li-Po battery,,No,,,,Sync ML Predictive text input Organizer,,,,,,,,,,,,,,,250,"20 received, dialed and missed calls","SMS, EMS",Yes,Yes,,,,,,,,Yes,No,Up to 150 h,,,Up to 3 h,,,,WAP 1.2.1,,Vibration; Downloadable polyphonic ringtones,,,
maxon,Maxon MX-C110,https://fdn2.gsmarena.com/vv/bigpic/mac110.gif,GSM,GSM 900 / 1800 / 1900,,,,2004,Discontinued,86 x 46 x 21 mm (3.39 x 1.81 x 0.83 in),85 g (3.00 oz),Mini-SIM,Wallpaper Downloadable logos,65K colors,,-,,,,,No,,,,No,VGA,,No,No,No,No,No,,No,,,Removable Li-Ion battery,,No,,,,eZi Organizer,,,,,,,,,,,,,,,200,"30 received, dialed and missed calls","SMS, MMS",Yes + downloadable,Yes,,,,,,,,Yes,No,Up to 150 h,,,Up to 4 h,,,,WAP 2.0/xHTML,,Vibration; Downloadable polyphonic ringtones,,,
maxon,Maxon MX-E10,https://fdn2.gsmarena.com/vv/bigpic/mae10.gif,GSM,GSM 900 / 1800 / 1900,,,,2003,Discontinued,91 x 48 x 22.6 mm (3.58 x 1.89 x 0.89 in),90 g (3.17 oz),Mini-SIM,Second external display 4K CSTN Wallpaper,"TFT, 65K colors",,"176 x 220 pixels, 10 lines",,,,,No,,,,No,Yes,,No,No,No,No,No,,FM radio,Proprietary,,Removable Li-Ion battery,,No,,,,Predictive text input Sync ML Organizer,,,,,,,,,,,,,,,"500 entries, 6 contact groups","30 received, dialed and missed calls","SMS, EMS, MMS",Yes,Yes,,,,,,,,Yes,No,Up to 200 h,,,Up to 2 h 30 min,,,,WAP 2.0/xHTML,,Vibration; Polyphonic ringtones,,,
maxon,Maxon MX-V10,https://fdn2.gsmarena.com/vv/bigpic/mav10.gif,GSM,GSM 900 / 1800,,,,2004,Discontinued,78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in),67 g (2.36 oz),Mini-SIM,Second external 4096 colors OLED display Wallpaper Downloadable logos,"STN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,,,,No,No,No,No,No,,No,,,Removable Li-Ion battery,,No,,,,Predictive text input Organizer,,,,,,,,,,,,,,,200,"30 received, dialed and missed calls","SMS, EMS",Yes + downloadable,No,,,,,,,,Class 8,No,Up to 150 h,,,Up to 4 h,,,,WAP 1.2.1,,Vibration; Downloadable polyphonic ringtones,,,
maxon,Maxon MX-V30,https://fdn2.gsmarena.com/vv/bigpic/mav30.gif,GSM,GSM 900 / 1800 / 1900,,,,2004,Discontinued,81 x 43 x 21 mm (3.19 x 1.69 x 0.83 in),80 g (2.82 oz),Mini-SIM,Second external 4096 colors OLED display Wallpaper Downloadable logos,"TFT, 65K colors",,-,,,,,No,,,,,,,No,No,No,No,No,,No,,,Removable Li-Ion battery,,No,,,,eZi Organizer,,,,,,,,,,,,,,,200,"30 received, dialed and missed calls","SMS, MMS",Yes + downloadable,Yes,,,,,,,,Yes,No,Up to 150 h,,,Up to 4 h,,,,WAP 2.0/xHTML,,Vibration; Downloadable polyphonic ringtones,,,
maxon,Maxon MX-E80,https://fdn2.gsmarena.com/vv/bigpic/mae80.gif,GSM,GSM 900 / 1800 / 1900,,,,2004,Cancelled,,,Mini-SIM,Wallpaper Downloadable logos,65K colors,,-,,,,,No,,,,No,VGA,,No,No,No,No,No,,No,,,Removable Li-Ion battery,,No,,,,Predictive text input Organizer,,,,,,,,,,,,,,,250 x 11 fields,"30 received, dialed and missed calls","SMS, MMS",Yes + downloadable,Yes,,,,,,,,Yes,No,,,,,,,,WAP 2.0/xHTML,,Vibration; Downloadable polyphonic ringtones,,,
maxon,Maxon MX-7990,https://fdn2.gsmarena.com/vv/bigpic/ma7990.gif,GSM,GSM 900 / 1800,,,,2003,Discontinued,78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in),67 g (2.36 oz),Mini-SIM,Second external display OLED Wallpaper,65K colors,,"128 x 128 pixels, 8 lines, 1:1 ratio",,,,,No,,,,,,,No,No,No,No,No,,No,Proprietary,,Removable Li-Ion 900 mAh battery,,No,,,,Predictive text input Sync ML,,,,,,,,,,,,,,,"250 entries, 5 contact groups","20 received, dialed and missed calls","SMS, EMS, Email",Downloadable,No,,,,,,,,Yes,No,Up to 200 h,,,Up to 3 h,,,,WAP 1.2.1,,Vibration; Downloadable polyphonic ringtones,,,
maxon,Maxon MX-7750,https://fdn2.gsmarena.com/vv/bigpic/ma7750.gif,GSM,GSM 900 / 1800,,,,2004,Discontinued,85 x 45 x 21 mm (3.35 x 1.77 x 0.83 in),81 g (2.86 oz),Mini-SIM,Wallpaper,65K colors,,-,,,,,No,,,,,,,No,No,No,No,No,,No,,,Removable Li-Ion battery,,No,,,,Zi Organizer,,,,,,,,,,,,,,,250,"30 received, dialed and missed calls",SMS,Yes,No,,,,,,,,Yes,No,Up to 150 h,,,Up to 4 h,,,,WAP,,Vibration; Polyphonic(40) ringtones,,,
maxon,Maxon MX-C11,https://fdn2.gsmarena.com/vv/bigpic/mac11.gif,GSM,GSM 900 / 1800,,,,2004,Discontinued,85 x 45 x 21 mm (3.35 x 1.77 x 0.83 in),81 g (2.86 oz),Mini-SIM,3 color LED indicator   Wallpaper,65K colors,,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,,,,No,No,No,No,No,,No,,,Removable Li-Ion battery,,No,,,,Predictive text input Organizer,,,,,,,,,,,,,,,250,"30 received, dialed and missed calls","SMS, EMS",Yes,Yes,,,,,,,,Class 8,No,Up to 150 h,,,Up to 4 h,,,,WAP 1.2.1,,Vibration; Polyphonic(40) ringtones,,,
maxon,Maxon MX-C160,https://fdn2.gsmarena.com/vv/bigpic/mac160.gif,GSM,GSM 900 / 1800,,,,2004,Discontinued,65 x 37 x 22 mm (2.56 x 1.46 x 0.87 in),59 g (2.08 oz),Mini-SIM,Second external display (80 x 50 pixels) 7 color LED Indicator,4096 colors,,-,,,,,No,,,,,,,No,No,No,No,No,,No,,,Removable Li-Ion battery,,No,,,,Predictive text input Organizer,,,,,,,,,,,,,,,150,"30 received, dialed and missed calls","SMS, EMS",Yes,Yes,,,,,,,,Class 8,No,Up to 150 h,,,Up to 5 h,,,,WAP 1.2.1,,Vibration; Polyphonic(16) ringtones,,,
maxon,Maxon MX-7940,https://fdn2.gsmarena.com/vv/bigpic/ma7940.gif,GSM,GSM 900 / 1800,,,,2003,Discontinued,80 x 45 x 24 mm (3.15 x 1.77 x 0.94 in),85 g (3.00 oz),Mini-SIM,Second external display Wallpaper,"UFB, 65K colors",,"128 x 128 pixels, 8 lines, 1:1 ratio",,,,,No,,,,,,,No,No,No,No,No,,No,Proprietary,,Removable Li-Ion 900 mAh battery,,No,,,,Predictive text input Sync ML Voice dial Organizer,,,,,,,,,,,,,,,250,"20 received, dialed and missed calls","SMS, EMS",Yes,No,,,,,,,,Yes,No,Up to 200 h,,,Up to 3 h,,,,WAP 1.2.1,,Vibration; Polyphonic ringtones,,,
maxon,Maxon MX-7920,https://fdn2.gsmarena.com/vv/bigpic/ma7920.gif,GSM,GSM 900 / 1800,,,,2003,Discontinued,64.9 x 37 x 22.1 mm (2.56 x 1.46 x 0.87 in),59 g (2.08 oz),Mini-SIM,Second external display Wallpaper,"Grayscale graphic, 4 shades",,"128 x 128 pixels, 7 lines, 1:1 ratio",,,,,No,,,,,,,No,No,No,No,No,,No,,,Removable Li-Ion battery,,No,,,,Predictive text input Sync ML Organizer,,,,,,,,,,,,,,,250,"20 received, dialed and missed calls","SMS, EMS, Email",Yes,No,,,,,,,,Class 8,No,Up to 200 h,,,Up to 3 h 30 min,,,,WAP 1.2.1,,Vibration; Polyphonic(4) ringtones,,,
maxon,Maxon MX-7830,https://fdn2.gsmarena.com/vv/bigpic/ma7830.gif,GSM,GSM 900 / 1800,,,,2003,Discontinued,113 x 47 x 19 mm (4.45 x 1.85 x 0.75 in),95 g (3.35 oz),Mini-SIM,Second external display Wallpaper,65K colors,,"128 x 160 pixels, 11 lines",,,,,No,,,,,,,No,No,No,No,No,,No,Proprietary,,Removable Li-Ion 900 mAh battery,,No,,,,Predictive text input Sync ML Voice dial Optional digital camera Organizer,,,,,,,,,,,,,,,"250 entries, 5 contact groups","30 received, dialed and missed calls","SMS, EMS",Yes,No,,,,,,,,Yes,No,Up to 200 h,,,Up to 5 h,Yes,,,WAP 1.2.1,,Vibration; Polyphonic ringtones,,,
maxon,Maxon MX-7600,https://fdn2.gsmarena.com/vv/bigpic/ma7600.gif,GSM,GSM 900 / 1800,,,,2003,Discontinued,85 x 46 x 21 mm (3.35 x 1.81 x 0.83 in),80 g (2.82 oz),Mini-SIM,"7 color LED on the front cover Wallpaper, screensaver","TFT, 65K colors",,"128 x 160 pixels, 6 lines",,,,,No,,,,,,,No,No,No,No,No,,No,Proprietary,,Removable Li-Ion 600 mAh battery,,No,,,,Predictive text input Hi-Fi sounds  Optional digital camera,,,,,,,,,,,,,,,"250 entries, 5 contact groups","20 received, dialed and missed calls","SMS, EMS",2,No,,,,,,,,Class 8,No,Up to 200 h,,,Up to 5 h,Yes,,,WAP 1.2.1,,Vibration; Monophonic ringtones,,,
maxon,Maxon MX-6899,https://fdn2.gsmarena.com/vv/bigpic/ma6899b.gif,GSM,GSM 900,,,,2000,Discontinued,109 x 43 x 22 mm (4.29 x 1.69 x 0.87 in),130 g (4.59 oz),Mini-SIM,Fixed icons,Monochrome graphic,,4 x 12 chars,,,,,No,,,,,,,No,No,No,No,No,,No,,,Removable NiMH 600 mAh battery,5,No,,,,Predictive text input,,,,,,,,,,,,,,,,20 dialed calls,SMS,,No,,,,,,,,No,No,100 h,,,4 h,,,,,,Vibration; Monophonic ringtones,,Yes,Yes
