Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,_1,Models,Triple,5G bands,_1_1,Features_1,Charging,Price,Dual,Build,Protection,SAR,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,Phonebook,Call records,Messaging,Games,Java,Single_1,128GB 4GB RAM,64GB 3GB RAM,32GB 3GB RAM,Audio quality,Dual or Triple,64GB 6GB RAM,GPRS,EDGE,Stand-by,SAR EU,64GB 4GB RAM,Talk time,Infrared port,32GB 4GB RAM,Keyboard,Browser,Music play,Alert types,Languages,Clock,Alarm
maxwest,Maxwest Nitro 55M,https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-55-m.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2016, October","Available. Released 2017, January",152.9 x 77.6 x 8.2 mm (6.02 x 3.06 x 0.32 in),180 g (6.35 oz),Dual SIM (dual stand-by),,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,8GB 1GB RAM,,LED flash,720p@30fps,"8 MP, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2800 mAh, removable","White, black",,,,,,,,,,,,,,,,,,,,,,,,,2 MP,,,,,,,,,Up to 280 h,,,Up to 5 h,,,,,,,,,
maxwest,Maxwest Nitro 55 LTE,https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-55m.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700 / 2100,"2, 4, 5, 7, 12, 17","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, November","Available. Released 2017, January",153 x 77.6 x 7.9 mm (6.02 x 3.06 x 0.31 in),163 g (5.75 oz),Dual SIM (dual stand-by),eMMC 5.0,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-T720MP2,microSDHC,8GB 1GB RAM,,LED flash,720p@30fps,"8 MP, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 3000 mAh, removable","Dark Blue, White, Gold",,,,,,,,,,,,,,,,,,,,,,,,,2 MP,,,,,,,,,Up to 280 h,,,Up to 15 h,,,,,,,,,
maxwest,Maxwest Nitro 5M,https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-5m.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900,,HSPA 21.1/5.76 Mbps,"2016, September","Available. Released 2016, December",144.2 x 73 x 10.3 mm (5.68 x 2.87 x 0.41 in),148 g (5.22 oz),Dual SIM (dual stand-by),,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 6.0 (Marshmallow),Spreadtrum SC7731,Quad-core 1.2 GHz Cortex-A7,Mali-400,microSDHC,8GB 1GB RAM,,LED flash,Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, EDR","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2200 mAh, removable","Black, BLue, Gold, Red",,,,,,,,,,,,,,,,,,,,,,,,,2 MP,,,,,,,,,Up to 300 h,,,Up to 8 h,,,,,,,,,
maxwest,Maxwest Astro 5s,https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-5s.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2016, July","Available. Released 2016, August",144.4 x 72 x 9.1 mm (5.69 x 2.83 x 0.36 in),150 g (5.29 oz),Dual SIM (dual stand-by),,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 5.1 (Lollipop),Mediatek MT6580M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,8GB 1GB RAM,,LED flash,720p@30fps,"8 MP, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable","White, Black, Pink Red",,,,,,,,,,,,,,,,,,,,,,,,,2 MP,,,,,,,,,Up to 300 h (3G),,,Up to 6 h (3G),,,,,,,,,
maxwest,Maxwest Gravity 5 LTE,https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-5-lte-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900,"2, 4, 7, 17","HSPA 42.2/5.76 Mbps, LTE","2016, January","Available. Released 2016, February",145.5 x 72.8 x 8.9 mm (5.73 x 2.87 x 0.35 in),155 g (5.47 oz),Dual SIM (Dual stand-by),eMMC 4.5,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.1 (Lollipop),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,Adreno 304,microSDXC,8GB 1GB RAM,,LED flash,Yes,"8 MP, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",4.1,"Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2200 mAh, removable",Black/Silver/Gold,,,,,,,,,,,,,,,,,,,,,,,,,2 MP,,,,,,,,,Up to 300 h,,,Up to 7 h 30 min,,,,,,,,,
maxwest,Maxwest Astro X4,https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x4.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900,,HSPA 21.1/5.76 Mbps,"2016, January","Available. Released 2016, February",123.5 x 64 x 9.8 mm (4.86 x 2.52 x 0.39 in),122 g (4.30 oz),Dual SIM (Dual stand-by),,"TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~57.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4 (KitKat),Mediatek MT6572M (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDHC,4GB 512MB RAM,,LED flash,720p,3.15 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1400 mAh, removable","White, Black, Blue, Gold, Pink",,,,,,,,,,,,,,,,,,,,,,,,,"VGA, LED flash",,,,,,,,,Up to 180 h,,,Up to 8 h,,,,,,,,,
maxwest,Maxwest Astro X55,https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x55.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900,,HSPA 21.1/5.76 Mbps,"2016, January","Available. Released 2016, February",150.5 x 76.3 x 7.8 mm (5.93 x 3.00 x 0.31 in),174 g (6.14 oz),Dual SIM (Dual stand-by),,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~72.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 5.1 (Lollipop),Mediatek MT6580 (28 nm),Quad-core 1.5 GHz Cortex-A7,Mali-400MP2,microSDHC,8GB 1GB RAM,,LED flash,720p,"8 MP, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2200 mAh, removable",Gold/White,,,,,,,,,,,,,,,,,,,,,,,,,5 MP,,,,,,,,,Up to 350 h,,,Up to 14 h,,,,,,,,,
maxwest,Maxwest Vice,https://fdn2.gsmarena.com/vv/bigpic/maxwest-vice.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"2016, January","Available. Released 2016, January",106 x 52 x 13.6 mm (4.17 x 2.05 x 0.54 in),87 g (3.07 oz),Dual SIM (dual stand-by),No,TFT,"2.4 inches, 17.8 cm2 (~32.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Spreadtrum 6531D,,,microSDHC (dedicated slot),64MB 64MB RAM,,,No,VGA,,Yes,No,No,2.0,No,,FM radio,microUSB 1.1,,"Li-Ion 900 mAh, removable","Black, Red, Silver",Audio/Video player Photo viewer Voice memo,,,,,,,,,,,,,,,,,,,Yes,Yes,"SMS, MMS, IM",No,No,,,,,,,,Yes,No,,,,,,,,,,,,,
maxwest,Maxwest Gravity 5.5 LTE,https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-55-lte.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900,"2, 4, 7, 17","HSPA 21.1/5.76 Mbps, LTЕ","2015, June. Released 2015, September",Discontinued,155.5 x 78 x 7.5 mm (6.12 x 3.07 x 0.30 in),165 g (5.82 oz),Dual SIM (Dual stand-by),,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,microSDHC,8GB 1GB RAM,,LED flash,1080p@30fps,"13 MP, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 3000 mAh, non-removable","Black, Gold, Silver",,,,,,,,,,,,,,,,,,,,,,,,,5 MP,,,,,,,,,Up to 350 h,,,Up to 14 h,,,,,,,,,
maxwest,Maxwest Gravity 5,https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-5.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900,,HSPA 21.1/5.76 Mbps,"2015, July. Released 2015, September",Discontinued,145.4 x 72 x 9.1 mm (5.72 x 2.83 x 0.36 in),150 g (5.29 oz),Dual SIM (Dual stand-by),,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,8GB 1GB RAM,,LED flash,Yes,"8 MP, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.0,"Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2700 mAh, removable",White/Black/Blue/Red,,,,,,,,,,,,,,,,,,,,,,,,,2 MP,,,,,,,,,Up to 200 h,,,Up to 25 h,,,,,,,,,
