Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,_1,Models,Triple,5G bands,_1_1,Features_1,Charging,Price,Dual,Build,Protection,SAR,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,Phonebook,Call records,Messaging,Games,Java,Single_1,128GB 4GB RAM,64GB 3GB RAM,32GB 3GB RAM,Audio quality,Dual or Triple,64GB 6GB RAM,GPRS,EDGE,Stand-by,SAR EU,64GB 4GB RAM,Talk time,Infrared port,32GB 4GB RAM,Keyboard,Browser,Music play,Alert types,Languages,Clock,Alarm
meizu,Meizu 17 Pro,https://fdn2.gsmarena.com/vv/bigpic/meizu-m17-pro1.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A; 5G","2020, May 08","Available. Released 2020, May 11",160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in),219 g (7.72 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"Super AMOLED capacitive touchscreen, 16M colors","6.6 inches, 106.9 cm2 (~86.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Android 10, Flyme 8.1",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,No,"128GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.4, 79mm (telephoto), 1.0µm, PDAF 32 MP, f/2.2, 15mm, 129˚ (ultrawide), 1/2.8"", 0.8µm 0.3 MP, TOF 3D, f/1.4, (depth)","5-LED dual-tone flash, Auto-HDR, panorama","4K@30/60fps, 1080p; gyro-EIS","20 MP, f/2.2, (wide), 0.8µm",1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 а/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS",Yes,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","Mint, Black, White",120Hz refresh rate 700 nits typ. value HDR10+,,,"41, 78, 79 SA/NSA",UFS 3.1,HDR,"Fast charging 30W, 45% in 30 min (advertised) Fast wireless charging 27W Quick Charge 3.0",$ 669.99,,"Glass front, ceramic back, ceramic frame",,,,,,,,,$ 669.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
meizu,Meizu 17,https://fdn2.gsmarena.com/vv/bigpic/meizu-m17.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A; 5G","2020, May 08","Available. Released 2020, May 11",160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in),199 g (7.02 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"Super AMOLED capacitive touchscreen, 16M colors","6.6 inches, 106.9 cm2 (~86.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Android 10, Flyme 8.1",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,No,"128GB 8GB RAM, 256GB 8GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 12 MP, f/1.9, 24mm (wide), 1/2.55"", 1.4µm, PDAF 8 MP, f/2.2, 16mm, 118˚ (ultrawide), 1/4.0"", 1.12µm 5 MP, f/1.9, (macro)","5-LED dual-tone flash, Auto-HDR, panorama","4K@30/60fps, 1080p; gyro-EIS","20 MP, f/2.2, (wide), 0.8µm",1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 а/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS",Yes,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","Green, Gray, Aurora White",120Hz refresh rate 700 nits typ. value HDR10+,,,"41, 78, 79 SA/NSA",UFS 3.1,HDR,"Fast charging 30W, 45% in 30 min (advertised) Quick Charge 3.0",About 530 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meizu,Meizu 16T,https://fdn2.gsmarena.com/vv/bigpic/meizu-16t.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 4, 5, 7, 8, 20, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat20 2000/150 Mbps","2019, October","Available. Released 2019, October",159.6 x 78.2 x 8.3 mm (6.28 x 3.08 x 0.33 in),183 g (6.46 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"Super AMOLED capacitive touchscreen, 16M colors","6.5 inches, 106.3 cm2 (~85.2% screen-to-body ratio)","1080 x 2232 pixels, 18.5:9 ratio (~382 ppi density)","Android 9.0 (Pie), Flyme 8",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,"LED flash, HDR, panorama",4K@30/60fps,"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","Orange, Blue, Green",430 nits typ. brightness (advertised),,"12 MP, f/1.9, 24mm (wide), 1/2.55"", 1.4µm, PDAF 8 MP, f/2.2, 15mm (ultrawide), 1/4.0"", 1.12µm, PDAF 5 MP, f/1.9, 23mm (wide), 1/5.0"", 1.12µm, PDAF",,UFS 3.0,HDR,Fast charging 18W mCharge,About 250 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meizu,Meizu M10,https://fdn2.gsmarena.com/vv/bigpic/meizu-m10.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 - Global,"1, 2, 3, 5, 7, 8, 20, 40 - Global","HSPA 42.2/5.76 Mbps, LTE-A","2019, September","Available. Released 2019, October",164.9 x 76.3 x 8.5 mm (6.49 x 3.00 x 0.33 in),184 g (6.49 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800,"IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~81.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)","Android 9.0 (Pie), Flyme 8",Mediatek MT6757T Helio P25 (16 nm),Octa-core (4x2.5 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),Mali-T880MP2,No,"32GB 2GB RAM, 32GB 3GB RAM",,"LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable","Phantom Black, Purplish Red, Sea Blue",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM,,"13 MP, f/2.0, (wide), PDAF 2 MP, f/2.2 2 MP, f/2.2",,450 nits typ. brightness (advertised),HDR,,About 180 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meizu,Meizu 16s Pro,https://fdn2.gsmarena.com/vv/bigpic/meizu-16s-pro.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 8, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps","2019, August","Available. Released 2019, August",151.9 x 73.4 x 7.7 mm (5.98 x 2.89 x 0.30 in),166 g (5.86 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"Super AMOLED capacitive touchscreen, 16M colors","6.2 inches, 95.8 cm2 (~85.9% screen-to-body ratio)","1080 x 2232 pixels, 18.5:9 ratio (~403 ppi density)","Android 9.0 (Pie), Flyme 8",Qualcomm SM8150 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,"Six-LED dual-tone flash, Auto-HDR, panorama","4K@30/60fps, 1080p@30fps (gyro-EIS)","20MP, f/2.2",1080p@30fps,Yes,No,"Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO",Yes,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 3600 mAh, non-removable","Twilight Forest, Dream Unicorn, Black Mirror, White story",160Hz touch-sensing,,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF, OIS 20MP, f/2.6, (telephoto), 1/2.8"", 1.0µm, PDAF 16 MP, f/2.2, 16mm (ultrawide), 1/3.6"", 1.0µm",,UFS 3.0,HDR,Fast charging 24W mCharge,About 340 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meizu,Meizu 16Xs,https://fdn2.gsmarena.com/vv/bigpic/meizu-16xs.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A","2019, May","Available. Released 2019, June",152 x 74.4 x 8.3 mm (5.98 x 2.93 x 0.33 in),165 g (5.82 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"Super AMOLED capacitive touchscreen, 16M colors","6.2 inches, 95.8 cm2 (~84.7% screen-to-body ratio)","1080 x 2232 pixels, 18.5:9 ratio (~403 ppi density)","Android 9.0 (Pie), Flyme",Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,No,"64GB 6GB RAM, 128GB 6GB RAM",,"LED flash, HDR, panorama","4K@30fps, 1080p@30fps (gyro-EIS)","16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable","Carbon Black, Pearl White, Phantom Blue",,,"48 MP, f/1.7, 13mm (ultrawide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2 5 MP, f/1.9, (depth)",,,HDR,Fast charging 24W mCharge,About 220 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meizu,Meizu 16s,https://fdn2.gsmarena.com/vv/bigpic/meizu-16s.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 40","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps","2019, April","Available. Released 2019, April",151.9 x 73.4 x 7.6 mm (5.98 x 2.89 x 0.30 in),165 g (5.82 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"AMOLED capacitive touchscreen, 16M colors","6.2 inches, 97.2 cm2 (~87.2% screen-to-body ratio)","1080 x 2232 pixels, 18.5:9 ratio (~400 ppi density)","Android 9.0 (Pie), Flyme 7.3",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,"Six-LED dual-tone flash, Auto-HDR, panorama","4K@30fps, 1080p@30fps (gyro-EIS)","20MP, f/2.2",1080p@30fps,Yes,No,"Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, BDS",Yes,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 3600 mAh, non-removable","Carbon Black, Pearl White, Phantom Blue",UFS 2.1,,,,,HDR,Fast charging 24W mCharge,About 420 EUR,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF, OIS 20MP, f/2.6, (telephoto), PDAF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meizu,Meizu Note 9,https://fdn2.gsmarena.com/vv/bigpic/meizu-note-9.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A","2019, March","Available. Released 2019, March",153.1 x 74.4 x 8.7 mm (6.03 x 2.93 x 0.34 in),170 g (6.00 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.4 cm2 (~84.7% screen-to-body ratio)","1080 x 2244 pixels, 18.7:9 ratio (~403 ppi density)","Android 9.0 (Pie), Flyme 7.2",Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,No,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",,"Dual-LED dual-tone flash, panorama",1080p@30fps,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,No,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 4000 mAh, non-removable","Black, White, Starlight Blue",,,,,,,Fast charging 18W mCharge,About 200 EUR,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF 5 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meizu,Meizu C9 Pro,https://fdn2.gsmarena.com/vv/bigpic/meizu-c9-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 5, 7, 8, 40","HSPA 42.2/5.76 Mbps, LTE-A","2018, December","Available. Released 2018, December",146.2 x 71.2 x 9.7 mm (5.76 x 2.80 x 0.38 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IGZO IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~73.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Android 8.0 (Oreo), Flyme UI",Unisoc SC9832E,Quad-core 1.3 GHz Cortex-A53,Mali-820MP1,microSDXC,32GB 3GB RAM,,"LED flash, panorama",1080p@30fps,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",,No,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 3000 mAh, removable","Black, Gold",,,,,,,,About 110 EUR,,,,,,,,,,,,,,,,,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",,,,,,,,,,,,,,,,,,,,,
meizu,Meizu Zero,https://fdn2.gsmarena.com/vv/bigpic/meizu-zero-.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat16 1024/150 Mbps","2019, January",Cancelled,-,-,eSIM,CDMA 800 & TD-SCDMA,"AMOLED capacitive touchscreen, 16M colors","5.99 inches, 88.1 cm2","1080 x 2340 pixels, 19.5:9 ratio (~430 ppi density)",Android 9.0 (Pie),Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver),Adreno 630,No,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",,"Dual-LED dual-tone flash, panorama","4K@30fps, 1080p@30fps","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",Yes,No,No,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion, non-removable","Black, White",IP68,,,,,,Wireless charging 18W,,"12 MP, f/1.8, 27mm (wide), 1/2.3"", 1.55µm, PDAF 20 MP, PDAF","Glass front, ceramic back, ceramic frame",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
