Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,_1,Models,Triple,5G bands,_1_1,Features_1,Charging,Price,Dual,Build,Protection,SAR,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,Phonebook,Call records,Messaging,Games,Java,Single_1,128GB 4GB RAM,64GB 3GB RAM,32GB 3GB RAM,Audio quality,Dual or Triple,64GB 6GB RAM,GPRS,EDGE,Stand-by,SAR EU,64GB 4GB RAM,Talk time,Infrared port,32GB 4GB RAM,Keyboard,Browser,Music play,Alert types,Languages,Clock,Alarm
micromax,Micromax Infinity N12,https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n12-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 5, 8, 40, 41","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2018, December","Available. Released 2018, December",156 x 76.2 x 8.5 mm (6.14 x 3.00 x 0.33 in),164 g (5.78 oz),"Dual SIM (Nano-SIM, dual stand-by)",eMMC 5.1,"IPS LCD capacitive touchscreen, 16M colors","6.19 inches, 96.4 cm2 (~81.1% screen-to-body ratio)",720 x 1500 pixels (~269 ppi density),Android 8.1 (Oreo),Mediatek MT6762V Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),32GB 3GB RAM,,LED flash,1080p@24fps,"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",1080p,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.2, A2DP","Yes, with A-GPS",,"FM radio, recording","microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity","Li-Po 4000 mAh, non-removable","Blue Lagoon, Red Velvet, Viola, Black",,N8301,,,,LED flash,,About 10000 INR,"13 MP, PDAF 5 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
micromax,Micromax Infinity N11,https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n11-n8216.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 5, 8, 40, 41","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2018, December","Available. Released 2019, January",156 x 76.2 x 8.5 mm (6.14 x 3.00 x 0.33 in),164 g (5.78 oz),"Dual SIM (Nano-SIM, dual stand-by)",eMMC 5.1,"IPS LCD capacitive touchscreen, 16M colors","6.19 inches, 96.4 cm2 (~81.1% screen-to-body ratio)",720 x 1500 pixels (~269 ppi density),Android 8.1 (Oreo),Mediatek MT6762V Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),32GB 2GB RAM,,LED flash,1080p@24fps,8 MP,1080p,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.2, A2DP","Yes, with A-GPS",,"FM radio, recording","microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity","Li-Po 4000 mAh, non-removable",Black,,,,,,LED flash,,About 9000 INR,"13 MP, PDAF 5 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
micromax,Micromax Bharat 5 Infinity,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5-infinity-edition-q4204.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 5, 40, 41","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, December","Available. Released 2018, December",148 x 71 x 10.4 mm (5.83 x 2.80 x 0.41 in),-,"Dual SIM (Nano-SIM, dual stand-by)",eMMC 5.1,"IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~72.9% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Android 8.1 Oreo (Go edition),Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,microSDHC (dedicated slot),16GB 1GB RAM,,LED flash,1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP","Yes, with A-GPS",,"FM radio, recording","microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 5000 mAh, non-removable","Lava Red, Rose Gold, Matte Blue",,Q4204,,,,LED flash,,About 5400 INR,,,,,,,,,,,,,,,,,5 MP,,,,,,,,,,,,,,,,,,,,,
micromax,Micromax Bharat Go,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-go-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"3, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, May","Available. Released 2018, June",136.5 x 67 x 9.6 mm (5.37 x 2.64 x 0.38 in),130 g (4.59 oz),"Dual SIM (Micro-SIM, dual stand-by)",eMMC 5.0,"TFT LCD capacitive touchscreen, 16M colors","4.5 inches, 61.9 cm2 (~67.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~207 ppi density)",Android 8.0 Oreo (Go edition),Mediatek MT6737М,Quad-core 1.1 GHz Cortex-A53,Mali-T720MP1,microSDHC,8GB 1GB RAM,,Dual-LED dual-tone flash,480p,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go",Accelerometer,"Li-Ion 2000 mAh, removable",Black,,,,,,LED flash,,About 4400 INR,,"Glass front, plastic back, plastic frame",,,,,,,,,,,,,,,5 MP,,,,,,,,,,,,,,,,,,,,,
micromax,Micromax Canvas 1 2018,https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-1-2018.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"3, 5, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, April","Available. Released 2018, April",-,-,"Dual SIM (Micro-SIM, dual stand-by)",eMMC 5.0,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720,microSDXC (dedicated slot),16GB 2GB RAM,,"Dual-LED dual-tone flash, panorama",1080p@30fps,"8 MP, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",Li-Ion 3000 mAh battery,"Matte Black, Chrome Black",,,,,,LED flash,,About 7000 INR,,,,,,,,,,,,,,,,,5 MP,,,,,,,,,,,,,,,,,,,,,
micromax,Micromax Canvas Infinity Life,https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-infinity-life.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"3, 5, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, March","Available. Released 2018, April",-,-,"Dual SIM (Micro-SIM, dual stand-by)",eMMC 5.0,"IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2","720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",Mediatek MT6737 (28 nm),Quad-core 1.4 GHz Cortex-A53,Mali-T720MP1,microSDXC (dedicated slot),16GB 2GB RAM,,"LED flash, auto-HDR",1080p@30fps,"13 MP, f/2.0, 1/3.1"", 1.12µm, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 2500 mAh, removable",Black,,,,,,LED flash,,About 8500 INR,,,,,,,,,,,,,,,,,"8 MP, f/2.0",,,,,,,,,,,,Up to 9 h (3G),,,,,,,,,
micromax,Micromax Bharat 5 Pro,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5-pro.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 5, 40, 41","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, March","Available. Released 2018, March",149.5 x 73.5 x 9.8 mm (5.89 x 2.89 x 0.39 in),170 g (6.00 oz),"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",eMMC 5.0,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~67.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720,microSDXC (uses shared SIM slot),32GB 3GB RAM,,LED flash,720p@30fps,"13 MP, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go",Accelerometer,"Li-Po 5000 mAh, non-removable",Black,,B5Pro,,,,LED flash,,About 8000 INR,,,,,,,,,,,,,,,,,5 MP,,,,,,,,,,,,,,,,,,,,,
micromax,Micromax Bharat 5 Plus,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 5, 40, 41","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, January","Available. Released 2018, January",149.5 x 73.5 x 9.8 mm (5.89 x 2.89 x 0.39 in),170 g (6.00 oz),"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",eMMC 5.0,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~67.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720,microSDXC (uses shared SIM slot),16GB 2GB RAM,,LED flash,720p@30fps,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go",Accelerometer,"Li-Po 5000 mAh, non-removable",Black,,Bharat 5 Plus,,,,LED flash,,About 7200 INR,,,,,,,,,,,,,,,,,5 MP,,,,,,,,,,,,,,,,,,,,,
micromax,Micromax Bharat 5,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 5, 40, 41","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, December","Available. Released 2017, December",149.5 x 73.5 x 9.8 mm (5.89 x 2.89 x 0.39 in),170 g (6.00 oz),"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",eMMC 5.0,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~67.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720,microSDXC (uses shared SIM slot),16GB 1GB RAM,,LED flash,1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go",Accelerometer,"Li-Po 5000 mAh, non-removable",Black,,Bharat 5,,,,LED flash,,About 5700 INR,,,,,,,,,,,,,,,,,5 MP,,,,,,,,,,,,,,,,,,,,,
micromax,Micromax Canvas Infinity Pro,https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-infinity-pro-hs3.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 5, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, December","Available. Released 2017, December",152.3 x 72.8 x 8.3 mm (6.00 x 2.87 x 0.33 in),-,"Dual SIM (Micro-SIM, dual stand-by)",eMMC 5.1,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 8.0 (Oreo),Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (dedicated slot),64GB 4GB RAM,,"LED flash, auto-HDR",1080p@30fps,"16 MP, f/2.0, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP","Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 3000 mAh, non-removable",Black,,HS3,,,,,,About 14000 INR,"20 MP, f/2.0, (wide), 1/3"", 0.9µm 8 MP, f/2.2","Glass front, aluminum back, aluminum frame",,,,,,,,,,,,,,,,,,,,,,,,Up to 200 h (3G),,,Up to 21 h (3G),,,,,,,,,
