Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,_1,Models,Triple,5G bands,_1_1,Features_1,Charging,Price,Dual,Build,Protection,SAR,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,Phonebook,Call records,Messaging,Games,Java,Single_1,128GB 4GB RAM,64GB 3GB RAM,32GB 3GB RAM,Audio quality,Dual or Triple,64GB 6GB RAM,GPRS,EDGE,Stand-by,SAR EU,64GB 4GB RAM,Talk time,Infrared port,32GB 4GB RAM,Keyboard,Browser,Music play,Alert types,Languages,Clock,Alarm
mitsubishi,Mitsubishi M430i/M900,https://fdn2.gsmarena.com/vv/bigpic/mip900.gif,GSM,GSM 900 / 1800 / 1900,,,,"2004, Q3",Discontinued,"105 x 49 x 24 mm, 100 cc (4.13 x 1.93 x 0.94 in)",125 g (4.41 oz),Mini-SIM,"Second external TFD display (120 x 160 pixels), 256K colors Downloadable pictures","TFD, 256K colors","2.2 inches, 33 x 45 mm, 15.0 cm2 (~29.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,,"miniSD, 32 MB included",15MB,,LED flash,Yes,1.3 MP,,Yes,No,No,No,No,,No,Proprietary,,Removable Li-Ion 810 mAh battery,Silver,400 short messages,,,,MP3 player (M900 only) Predictive text input Organizer Photo editor Voice memo Voice dial (20 slots),,,,,,,,,,,,,,,"500 x 15 fields, Photo call","10 dialed, 10 received, 10 missed calls","SMS, MMS, Email",2 + downloadable,"Yes, DoJa 2.5",,,,,,,,Class 10,No,Up to 200 h,,,Up to 4 h,Yes,,,"WAP 2.0/xHTML, iMode (M430i only)",,"Vibration; Downloadable polyphonic, MP3 ringtones","English, French, German, Italian, Spanish, Dutch a",,
mitsubishi,Mitsubishi M800,https://fdn2.gsmarena.com/vv/bigpic/mim800.gif,GSM,GSM 900 / 1800,,,,"2004, Q4",Discontinued,89 x 45 x 22 mm (3.50 x 1.77 x 0.87 in),94 g (3.32 oz),Mini-SIM,Second external flashing  display Downloadable pictures,"TFT, 256K colors",,128 x 160 pixels,,,,,No,1.5MB,,,320p,1.3 MP,,No,No,No,No,No,,No,,,Removable Li-Ion 680 mAh battery,Sleek silver,300 short messages,,,,Predictive text input Organizer World Time,,,,,,,,,,,,,,,"500 x 5 fields, Photo call, 8 groups","10 dialed, 10 received, 10 missed calls","SMS, MMS",5 + downloadable,"Yes, MIDP 2.0",,,,,,,,Class 10,No,Up to 250 h,,,Up to 2 h 30 min,,,,WAP 1.2.1,,Vibration; Downloadable polyphonic ringtones,,,
mitsubishi,Mitsubishi M420i/M760,https://fdn2.gsmarena.com/vv/bigpic/mim760.gif,GSM,GSM 900 / 1800 / 1900,,,,"2004, Q4",Discontinued,98 x 47 x 25 mm (3.86 x 1.85 x 0.98 in),115 g (4.06 oz),Mini-SIM,Downloadable pictures,"TFD, 256K colors",,"176 x 240 pixels, 4:3 ratio",,,,,No,19MB,,,Yes,1.3 MP,,No,No,No,No,No,,No,Proprietary,,Removable Li-Ion battery,Silver,No,,,,MP3 player Predictive text input Organizer Photo editor Voice memo,,,,,,,,,,,,,,,"500 entries, Photo call","10 dialed, 10 received, 10 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,,Yes,No,Up to 200 h,,,Up to 4 h,Yes,,,"WAP 2.0/xHTML, iMode (M420i only)",,Vibration; Downloadable polyphonic ringtones,,,
mitsubishi,Mitsubishi M528,https://fdn2.gsmarena.com/vv/bigpic/mitsubishi-m528.gif,GSM,GSM 900 / 1800,,,,"2004, Q4",Discontinued,76 x 43 x 22 mm (2.99 x 1.69 x 0.87 in),72 g (2.54 oz),Mini-SIM,"Second external CSTN display (96 x 64 pixels), 65K colors Downloadable pictures","CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,2MB,,,Yes,VGA,,No,No,No,No,No,,No,Proprietary,,Removable Li-Ion battery,"Silver, Red, Blue",No,,,,Predictive text input Organizer Photo editor,,,,,,,,,,,,,,,"500 entries, Photo call","10 dialed, 10 received, 10 missed calls","SMS, MMS",Yes,"Yes, MIDP 1.0",,,,,,,,Class 10,No,,,,,,,,WAP 1.2.1,,Vibration; Downloadable polyphonic ringtones,,,
mitsubishi,Mitsubishi M520,https://fdn2.gsmarena.com/vv/bigpic/mim520.gif,GSM,GSM 900 / 1800,,,,"2004, Q4",Discontinued,76 x 43 x 22 mm (2.99 x 1.69 x 0.87 in),75 g (2.65 oz),Mini-SIM,"Second external CSTN display (96 x 64 pixels), 65K colors Downloadable pictures","CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,3MB,,,Yes,VGA,,No,No,No,No,No,,No,,,Removable Li-Ion 680 mAh battery,Crystal Silver and Sapphire Blue,No,,,,Predictive text input Organizer World Time,,,,,,,,,,,,,,,"500 entries, Photo call","10 dialed, 10 received, 10 missed calls","SMS, MMS",5 + downloadable,"Yes, MIDP 1.0",,,,,,,,Class 10,No,Up to 120 h,,,Up to 2 h,,,,WAP 1.2.1,,Vibration; Downloadable polyphonic ringtones,,,
mitsubishi,Mitsubishi M350,https://fdn2.gsmarena.com/vv/bigpic/mim350.gif,GSM,GSM 900 / 1800,,,,"2004, Q2",Discontinued,"107 x 47 x 20 mm, 85 cc (4.21 x 1.85 x 0.79 in)",99 g (3.49 oz),Mini-SIM,Downloadable logos,"TFT, 256K colors",,"128 x 160 pixels,  7 lines",,,,,No,5MB,,,No,VGA,,Yes,No,No,No,No,,No,,,Removable Li-Ion 900 mAh battery,Metallic Silver,No,,,,Predictive text input Voice dial/memo Organizer Photo editor,,,,,,,,,,,,,,,255 x 6 fields,"10 dialed, 10 received, 10 missed calls","SMS, MMS, EMail",2,Yes,,,,,,,,Class 8,No,,,,,Yes,,,WAP 1.2.1,,Vibration; Downloadable polyphonic ringtones,,,
mitsubishi,Mitsubishi M750,https://fdn2.gsmarena.com/vv/bigpic/mim750.gif,GSM,GSM 900 / 1800,,,,"2003, Q4",Discontinued,"96 x 47 x 24 mm, 88 cc (3.78 x 1.85 x 0.94 in)",102 g (3.60 oz),Mini-SIM,"Second external STN display (62 x 80 pixels), 4096 colors Downloadable logos","TFT, 256K colors",,128 x 160 pixels,,,,,No,5MB,,,No,VGA,,Yes,No,No,No,No,,No,,,Removable Li-Ion battery,,No,,,,Predictive text input Voice dial/memo Organizer Photo editor,,,,,,,,,,,,,,,255 x 6 fields,"10 dialed, 10 received, 10 missed calls","SMS, MMS, Email",Yes - Demo Mox + downloadable,Yes,,,,,,,,Class 8,No,Up to 250 h,,,Up to 5h,Yes,,,WAP 1.2.1,,Vibration; Downloadable polyphonic ringtones,"English, French, German, Italian, Spanish, Dutch",,
mitsubishi,Mitsubishi M342i,https://fdn2.gsmarena.com/vv/bigpic/mim342i.gif,GSM,GSM 900 / 1800,,,,"2004, Q1",Discontinued,"107 x 47 x 19 mm, 85 cc (4.21 x 1.85 x 0.75 in)",99 (3.49 oz),Mini-SIM,Downloadable logos,"TFT, 256K colors",,128 x 160 pixels,,,,,No,5MB,,,No,VGA,,Yes,No,No,No,No,,No,,,Removable Li-Ion battery,,No,,,,Predictive text input Voice memo Organizer Photo editor,,,,,,,,,,,,,,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, MMS, Email",2 embedded  + downloadable,"Yes, DoJa 1.5",,,,,,,,Class 8,No,Up to 380 h,,,Up to 5 h,Yes,,,iMode,,"Vibration; Downloadable polyphonic - SP midi, MFI (i-mode), Midi, i-melody, AMR ringtones","English, French, German, Italian, Spanish, Dutch a",,
mitsubishi,Mitsubishi M341i/M720,https://fdn2.gsmarena.com/vv/bigpic/mim341i.gif,GSM,GSM 900 / 1800,,,,"2003, Q4",Discontinued,"96 x 47 x 24 mm, 87 cc (3.78 x 1.85 x 0.94 in)",102 g (3.60 oz),Mini-SIM,"Second external display (62 x 80 pixels), 4096 colors Downloadable logos","TFT, 256K colors",,"128 x 160 pixels, 10 lines",,,,,No,5MB,,,No,VGA,,No,No,No,No,No,,No,,,Removable Li-Po battery,,20 voice dial slots 2 min voice memo 100 organizer events,,,,Predictive text input Voice memo/dial Organizer Photo editor,,,,,,,,,,,,,,,"255 x 6 fields, Photo call","10 dialed, 10 received, 10 missed calls","SMS, MMS, Email",Yes - Demo Mox + downloadable,"Yes, DoJa 1.5",,,,,,,,Class 8,No,Up to 400 h,,,Up to 4 h,Yes,,,"WAP 1.2.1, iMode (M341i only)",,"Vibration; Downloadable polyphonic - (Midi, MFI, ADPCM) ringtones","English, French, German, Italian, Spanish, Dutch",,
mitsubishi,Mitsubishi M330,https://fdn2.gsmarena.com/vv/bigpic/mim330.gif,GSM,GSM 900 / 1800,,,,"2003, Q3",Discontinued,116 x 47 x 20 mm (4.57 x 1.85 x 0.79 in),95 g (3.35 oz),Mini-SIM,20 voice dial records 2 min voice memo 100 text messages,"CSTN, 4096 colors",,128 x 141 pixels,,,,,No,,,,,,,Yes,No,No,No,No,,No,,,Removable Li-Ion battery,2 - Quartz Silver and Frost White.,No,,,,Predictive text input Voice dial Voice memo Organizer,,,,,,,,,,,,,,,255 x 6 fields,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,No,,,,,,,,Yes,No,Up to 350h,,,Up to 4h,Yes,,,WAP 1.2.1,,"Vibration; Downloadable polyphonic - Midi, SP-Midi, iMelody ringtones","English, Chinese, Thai",Yes,Yes
