Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,256GB 8GB RAM,Quad,Models,128GB 4GB RAM,Dual,64GB 4GB RAM,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,SAR,32GB 3GB RAM,32GB 2GB RAM,Protection,256GB 12GB RAM,SAR EU,Audio quality,Infrared port,Dual_1,Talk time,Stand-by,GPRS,EDGE,Keyboard,Phonebook,Call records,Messaging,Games,Java,Music play,Browser,Alert types,Languages,Clock,Alarm
motorola,Motorola Razr 5G,https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-5g-brush-gold.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,CDMA2000 1xEV-DO,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 46, 48, 66, 71","2, 5, 25, 41, 66, 71, 78 SA/NSA/Sub6","HSPA 42.2/5.76 Mbps, LTE-A (CA) Cat18 1200/150 Mbps, 5G","2020, September 09","Available. Released 2020, September 15",Unfolded: 169.2 x 72.6 x 7.9 mmFolded: 91.7 x 72.6 x 16 mm,192 g (6.77 oz),"Plastic front (opened), glass front (closed, Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame (7000 series), hinge (stainless steel)",Nano-SIM and/or eSIM,"Second external G-OLED display, 2.7 inches, 600 x 800 pixels","Foldable P-OLED capacitive touchscreen, 16M colors","6.2 inches, 86.9 cm2 (~70.7% screen-to-body ratio)",876 x 2142 pixels (~373 ppi density),Android 10,Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,No,256GB 8GB RAM,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS","Dual-LED dual-tone flash, auto HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","20 MP, f/2.2, (wide), 0.8µm",Auto HDR,1080p@30/60fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO",Yes,No,USB Type-C 3.1,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 2800 mAh, non-removable",Fast charging 15W,"Polished Graphite, Blush Gold, Liquid Mercury","$ 2,399.00 / € 1,499.99 / £ 1,999.00","$ 2,399.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola Moto G9 Plus,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g9-plus-new.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HDR10,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 28, 66 Brazil",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 07","Available. Released 2020, September 07",170 x 78.1 x 9.7 mm (6.69 x 3.07 x 0.38 in),223 g (7.87 oz),,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.81 inches, 112.0 cm2 (~84.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~386 ppi density)",Android 10,Qualcomm SDM730 Snapdragon 730G (8 nm),Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),Adreno 618,microSDXC (uses shared SIM slot),128GB 4GB RAM,"16 MP, f/2.0, 29mm (standard)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS",,HDR,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO",Yes,Unspecified,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, gyro, proximity","Li-Po 5000 mAh, non-removable",Fast charging 30W,"Rose Gold, Indigo Blue",$ 299.99 / € 269.99 / £ 252.00,,"64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF 8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.2, (macro) 2 MP, f/2.2, (depth)",XT2087-1,$ 299.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola Moto E7 Plus,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e7-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"1, 2, 3, 4, 5, 7, 8, 19, 28, 66",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 11","Available. Released 2020, September 16",165.2 x 75.7 x 9.2 mm (6.50 x 2.98 x 0.36 in),200 g (7.05 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Android 10,Qualcomm SM4250 Snapdragon 460 (11 nm),Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),Adreno 610,microSDXC (uses shared SIM slot),64GB 4GB RAM,"8 MP, f/2.2, 26mm (wide), 1/4"", 1.12µm","LED flash, HDR, panorama",1080p@30/60fps,,HDR,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO",,Unspecified,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 5000 mAh, non-removable",Charging 10W,"Navy Blue, Amber Bronze",$ 174.99,,,XT2081-1,,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF 2 MP, (depth)",$ 174.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola One 5G,https://fdn2.gsmarena.com/vv/bigpic/motorola-one-5g.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,Water-repellent coating,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,90Hz refresh rate HDR10,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 29, 30, 38, 39, 40, 41, 66, 71","2, 5, 25, 41, 66, 71 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, September 01","Available. Released 2020, September 14",168 x 74 x 9 mm (6.61 x 2.91 x 0.35 in),207 g (7.30 oz),"Glass front, plastic back, plastic frame",Nano-SIM,UFS 2.1,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.7 inches, 104.9 cm2 (~84.3% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~409 ppi density)",Android 10,Qualcomm SDM765 Snapdragon 765 (7 nm),Octa-core (1x2.3 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,microSDXC (dedicated slot),128GB 4GB RAM,,"Dual-LED flash, ring flash (macro camera), panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS",,HDR,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, GALILEO, LTEEP, SUPL",Yes,FM radio,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable",Fast charging 15W,Oxford Blue,About 420 EUR,,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 118˚ (ultrawide), 1.12µm 5 MP, f/2.2, (macro), AF 2 MP, f/2.2, (depth)",,,"16 MP, f/2.0, (wide), 1.0µm 8 MP, f/2.2, (ultrawide), 1.12µm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola Moto G9 Play,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g9-play.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Water-repellent coating,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,LTE,,"HSPA 42.2/5.76 Mbps, LTE-A","2020, August 24","Available. Released 2020, August 28",165.2 x 75.7 x 9.2 mm (6.50 x 2.98 x 0.36 in),200 g (7.05 oz),"Glass front, plastic back, plastic frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Android 10,Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (uses shared SIM slot),64GB 4GB RAM,"8 MP, f/2.2, 1.12µm","LED flash, HDR, panorama",1080p@30/60fps,,HDR,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, LTEPP, SUPL",Yes,Unspecified,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity","Li-Po 5000 mAh, non-removable",Fast charging 20W,"Forest Green, Sapphire Blue, Spring Pink",€ 168.57 / £ 154.00,,,,,,€ 168.57,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",AnTuTu: 170064 (v8) GeekBench: 1402 (v5.1) GFXBench: 13fps (ES 3.1 onscreen),Contrast ratio: 1944:1,Photo / Video,-27.6 LUFS (Good),,,,,,,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola Moto G9 (India),https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g9.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Water-repellent coating,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,LTE,,"HSPA 42.2/5.76 Mbps, LTE-A","2020, August 24","Available. Released 2020, August 31",165.2 x 75.7 x 9.2 mm (6.50 x 2.98 x 0.36 in),200 g (7.05 oz),"Glass front, plastic back, plastic frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.8 cm2 (~82.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Android 10,Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (uses shared SIM slot),64GB 4GB RAM,"8 MP, f/2.2, 1.12µm","LED flash, HDR, panorama",1080p@30/60fps,,HDR,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, LTEPP, SUPL",Yes,Unspecified,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity","Li-Po 5000 mAh, non-removable",Fast charging 20W,"Forest Green, Sapphire Blue",About 130 EUR,,,,,,,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola Moto G 5G Plus,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-5g-plus.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Water-repellent coating,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,90Hz refresh rate HDR10,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 32, 38, 39, 40, 41, 42, 43, 66","1, 3, 7, 8, 28, 38, 41, 77, 78 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, July 07","Available. Released 2020, July 08",168 x 74 x 9 mm (6.61 x 2.91 x 0.35 in),207 g (7.30 oz),"Glass front, plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",UFS 2.1,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.7 inches, 104.9 cm2 (~84.3% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~409 ppi density)",Android 10,Qualcomm SDM765 Snapdragon 765 (7 nm),Octa-core (1x2.3 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM",,"Dual-LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS",,HDR,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, GALILEO, BDS, LTEEP, SUPL",Yes,FM radio,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable",Fast charging 20W,Blue,€ 377.17 / £ 295.43,,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 118˚ (ultrawide), 1.12µm 5 MP, f/2.2, (macro), AF 2 MP, f/2.2, (depth)","XT2075, XT2075-2, XT2075-3",,"16 MP, f/2.0, (wide), 1.0µm 8 MP, f/2.2, (ultrawide), 1.12µm",£ 295.43,,AnTuTu: 299926 (v8) GeekBench: 1898 (v5.1) GFXBench: 16fps (ES 3.1 onscreen),Contrast ratio: 1269:1,Photo / Video,-28.4 LUFS (Average),Endurance rating 114h,€ 377.17,,,,,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola One Fusion,https://fdn2.gsmarena.com/vv/bigpic/motorola-one-fusion-1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Water-repellent coating,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"1, 2, 3, 4, 5, 7, 8, 19, 28, 66",,"HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps","2020, July 02","Available. Released 2020, July 02",165 x 75.9 x 9.4 mm (6.50 x 2.99 x 0.37 in),202 g (7.13 oz),"Glass front, plastic back, plastic frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~81.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Android 10,Qualcomm SDM710 Snapdragon 710 (10 nm),Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM","8 MP, f/2.0","LED flash, panorama, HDR","4K@30fps, 1080p@30fps",,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",,FM radio (market/region dependent),"USB Type-C 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity","Li-Po 5000 mAh, non-removable",,"Emerald Green, Deep Sapphire Blue",$ 199.95,,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.2, (macro) 2 MP, f/2.2, (depth)",,$ 229.99,,$ 199.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola One Fusion+,https://fdn2.gsmarena.com/vv/bigpic/motorola-one-fusion-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 LATAM,HSDPA 800 / 850 / 900 / 1900 / 2100 International,"1, 2, 3, 4, 5, 7, 8, 19, 28, 66 - LATAM","1, 2, 3, 5, 7, 8, 19, 20, 38, 40, 41 - Europe, India",,"HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps","2020, June 08","Available. Released 2020, June 08",162.9 x 76.4 x 9.6 mm (6.41 x 3.01 x 0.38 in),210 g (7.41 oz),"Glass front, plastic back, plastic frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",UFS 2.1,"IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 103.7 cm2 (~83.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)",Android 10,Qualcomm SDM730 Snapdragon 730 (8 nm) - EuropeQualcomm SDM730 Snapdragon 730G (8 nm) - India,Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),Adreno 618,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM","Motorized pop-up 16 MP, f/2.0, (wide), 1/3.06"", 1.0µm","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps",,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS, LTEPP, SUPL",,FM radio (market/region dependent),"USB Type-C 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity","Li-Po 5000 mAh, non-removable",Fast charging 15W,"Moonlight White, Twilight Blue",$ 335.00,,"64 MP, f/1.8, (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.2, (macro) 2 MP, f/2.2, (depth)",PAKF0002IN,,,,,AnTuTu: 267980 (v8) GeekBench: 1705 (v5.1) GFXBench: 14fps (ES 3.1 onscreen),Contrast ratio: 1423:1 (nominal),Photo / Video,-27.9 LUFS (Good),Endurance rating 136h,$ 335.00,0.52 W/kg (head)     1.43 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola One Vision Plus,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g8-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Water-repellent coating,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 600/100 Mbps","2020, July 10","Available. Released 2020, July 13",158.4 x 75.8 x 9.1 mm (6.24 x 2.98 x 0.36 in),188 g (6.63 oz),"Glass front, plastic back, plastic frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 99.1 cm2 (~82.5% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~400 ppi density)","Android 9.0 (Pie), upgradable to Android 10",Qualcomm SDM665 Snapdragon 665 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (uses shared SIM slot),128GB 4GB RAM,"25 MP, f/2.0, 0.9µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)",,HDR,1080p@30/120fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS, GALILEO",Yes,FM radio,"USB Type-C 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable",Fast charging 15W,"Cosmic Blue, Crystal Pink",About 170 EUR,,,,,,,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF, Laser AF 16 MP, f/2.2, 14mm (ultrawide), dedicated video camera (1080p) 5 MP, f/2.2, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
