Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,256GB 8GB RAM,Quad,Models,128GB 4GB RAM,Dual,64GB 4GB RAM,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,SAR,32GB 3GB RAM,32GB 2GB RAM,Protection,256GB 12GB RAM,SAR EU,Audio quality,Infrared port,Dual_1,Talk time,Stand-by,GPRS,EDGE,Keyboard,Phonebook,Call records,Messaging,Games,Java,Music play,Browser,Alert types,Languages,Clock,Alarm
nec,NEC Terrain,https://fdn2.gsmarena.com/vv/bigpic/nec-terrain.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant,HSDPA 850 / 1900 / 2100,,"4, 17",,"HSPA, LTE","2013, June. Released 2013, June",Discontinued,127.5 x 64.5 x 14.5 mm (5.02 x 2.54 x 0.57 in),171.8 g (6.07 oz),,Yes,,"TFT capacitive touchscreen, 16M colors","3.1 inches, 29.8 cm2 (~36.2% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~258 ppi density)",Android 4.0 (Ice Cream Sandwich),Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,microSDHC (dedicated slot),8GB 1GB RAM,"5 MP, AF",LED flash,720p@30fps,VGA,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",Yes,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 1900 mAh, removable",,Black,About 330 EUR,,,,,,,,,,,,,,,,,Corning Gorilla Glass 2,,,,,,Up to 10 h,Up to 348 h,,,QWERTY,,,,,,,,,,,
nec,NEC 804N,https://fdn2.gsmarena.com/vv/bigpic/nec-804N.gif,GSM / UMTS,GSM 900 / 1800 / 1900,"Second external 0.9-inch STN, 65K colors display (96 x 64 pixels)",UMTS 2100,"MP3 player with music assist buttons Mail art PC Sync Bilungual menus OR code reading Document viewer (Word, Excel, PowerPoint, PDF) Organizer",,,"Yes, 384 kbps","2006, April",Discontinued,93 x 48 x 23 mm (3.66 x 1.89 x 0.91 in),115 g (4.06 oz),,Mini-SIM,,"TFT, 65K colors","2.2 inches, 15.0 cm2 (~33.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,,microSD (dedicated slot),450MB,2 MP,,Yes,Videocall camera,,,Yes,No,No,1.2,No,,No,2.0,,Removable Li-Ion 720 mAh battery,,"Plumeria White, Coral Pink, Lapis Blue",,,,,,,,,,,,,,,,,,,,,,,,Up to 4 h 20 min,Up to 210 h,,,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, MMS",Downloadable,No,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3, MIDI ringtones",,,
nec,NEC e1108,https://fdn2.gsmarena.com/vv/bigpic/nec-e1108.gif,GSM,GSM 900 / 1800 / 1900,No,,MP3 player Predictive text input Organizer,,,,2006,Discontinued,103 x 44 x 18.5 mm (4.06 x 1.73 x 0.73 in),84 g (2.96 oz),,Mini-SIM,,"TFT, 65K colors","1.8 inches, 10.2 cm2 (~22.5% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,microSD (dedicated slot),28MB,1.3 MP,,Yes,,,,Yes,No,No,No,No,,No,Proprietary,,Removable Li-Ion battery,,"Fluorescent Green, Metallic Orange",,,,,,,,,,,,,,,,,,,,,,,,Up to 2 h 20 min,Up to 100 h,Class 10,No,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, MMS",Yes,"Yes, MIDP 2.0",,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3 ringtones",,,
nec,NEC N344i,https://fdn2.gsmarena.com/vv/bigpic/nec-N344i.gif,GSM,GSM 900 / 1800 / 1900,No,,Predictive text input Organizer PC Sync Photo editor Exchangable covers,,,,2005,Cancelled,109 x 47 x 11.9 mm (4.29 x 1.85 x 0.47 in),95 g (3.35 oz),,Mini-SIM,,"TFT, 65K colors","1.8 inches, 10.2 cm2 (~19.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,No,5MB,VGA,,Yes,,,,Yes,No,No,Yes,No,,No,Proprietary,,Removable Li-Ion 720 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,,,Up to 3 h,Up to 200 h,Class 10,No,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Downloadable,"Yes, DoJa 1.5",,i-mode,Vibration; Downloadable polyphonic ringtones,,,
nec,NEC e373,https://fdn2.gsmarena.com/vv/bigpic/nec-e373.gif,GSM / UMTS,GSM 900 / 1800 / 1900,12 colour led backlight,UMTS 2100,MP3 player Predictive text input Organizer Voice memo,,,"Yes, 384 kbps","2006, May",Discontinued,"92 x 44 x 19.2 mm, 78 cc (3.62 x 1.73 x 0.76 in)",90 g (3.17 oz),,Mini-SIM,,"TFT, 65K colors","1.9 inches, 11.4 cm2 (~28.1% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),,,,,No,32MB,VGA,,Yes,VGA videocall camera,,,Yes,No,No,No,No,,No,Proprietary,,Removable Li-Ion 1000 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,,,Up to 3 h 40 min,Up to 250 h,,,,"500 entries, Photocall","20 dialed, 20 received, 20 missed calls","SMS, MMS",Downloadable,"Yes, MIDP 2.0",,WAP 2.0/xHTML,Vibration; Downloadable polyphonic ringtones,,,
nec,NEC e636,https://fdn2.gsmarena.com/vv/bigpic/nec-e636.gif,GSM / UMTS,GSM 900 / 1800 / 1900,Second external mono OLED display,UMTS 2100,CIF videocall camera,,,"Yes, 384 kbps","2006, February",Discontinued,"102 x 48 x 13.9 mm, 65 cc (4.02 x 1.89 x 0.55 in)",110 g (3.88 oz),,Mini-SIM,MP3/AAC/MP4 player Predictive text input Organizer Voice memo SyncML,"TFT, 256K colors","2.2 inches, 33 x 45 mm, 15.0 cm2 (~30.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,,miniSD,32MB,2 MP,,Yes,,,,No,No,No,Yes,No,,No,Proprietary,,Removable Li-Ion 900 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,,,Up to 4 h,Up to 270 h,,,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS, Email",Yes + downloadable,"Yes, MIDP 2.0",,WAP 2.0/xHTML,Vibration; Downloadable polyphonic ringtones,,,
nec,NEC N500i,https://fdn2.gsmarena.com/vv/bigpic/nec-n500i.gif,GSM,GSM 900 / 1800 / 1900,Second external 4096 colors OLED display,,No,,,,"2006, February",Discontinued,"93 x 46 x 25 mm, 80 cc (3.66 x 1.81 x 0.98 in)",99 g (3.49 oz),,Mini-SIM,MP3/AAC/MP4 player Predictive text input Organizer Voice memo SyncML,"TFT, 65K colors","1.9 inches, 30 x 37 mm, 11.4 cm2 (~26.6% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),,,,,No,54MB,1.3 MP,LED flash,Yes,,,,No,No,No,Yes,No,,No,Proprietary,,Removable Li-Ion 850 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,,,Up to 2 h 50 min,Up to 200 h,Class 10,Class 10,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS, Email",Yes + downloadable,"Yes, MIDP 2.0",,i-mode,Vibration; Downloadable polyphonic ringtones,,,
nec,NEC N500iS,https://fdn2.gsmarena.com/vv/bigpic/nec-n500is.gif,GSM,GSM 900 / 1800 / 1900,Second external mono OLED display (39x96 pixels),,No,,,,"2006, February",Discontinued,101 x 48 x 13.6 mm (3.98 x 1.89 x 0.54 in),95 g (3.35 oz),,Mini-SIM,MP3/AAC/MP4 player Predictive text input Organizer Voice memo SyncML,"TFT, 65K colors",,"176 x 220 pixels, 1.9 inch",,,,,No,54MB,1.3 MP,,Yes,,,,No,No,No,Yes,No,,No,Proprietary,,Removable Li-Ion 820 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,,,Up to 3 h,Up to 200 h,Class 10,Class 10,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS, Email",Yes + downloadable,"Yes, MIDP 2.0",,"WAP(Nec e959),  iMode(Nec N500iS)",Vibration; Downloadable polyphonic ringtones,,,
nec,NEC N908,https://fdn2.gsmarena.com/vv/bigpic/nec-n908.gif,GSM,GSM 900 / 1800 / 1900,Handwriting recognition,,No,,,,"2006, July",Discontinued,83.4 x 53.2 x 12.8 mm (3.28 x 2.09 x 0.50 in),84 g (2.96 oz),,Mini-SIM,Photo editor MP3 player Stopwatch Unit/Currency converter Calculator,"TFT resistive touchscreen, 256K colors","2.2 inches, 15.0 cm2 (~33.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,,microSD (dedicated slot),31MB,1.3 MP,,Yes,,,,No,No,No,1.2,No,,No,,,Removable Li-Ion battery,,"Silver , Black",,,,,,,,,,,,,,,,,,,,,,,,Up to 3 h 20 min,Up to 100 h,Class 10,No,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",,"Yes, MIDP 2.0",,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3 ringtones",,,
nec,NEC N938,https://fdn2.gsmarena.com/vv/bigpic/nec-n938.gif,GSM,GSM 900 / 1800,Handwriting recognition Downloadable pictures,,No,,,,"2005, Q2",Discontinued,87 x 56 x 14 mm (3.43 x 2.20 x 0.55 in),79 g (2.79 oz),,Mini-SIM,Organizer,"TFT resistive touchscreen, 65K colors",,176 x 220 pixels,,,,,No,2MB,VGA,LED flash,No,,,,No,No,No,1.1,No,,No,,,Removable Li-Ion 550 mAh battery,,White,,,,,,,,,,,,,,,,,,,,,,,,Up to 2 h,Up to 130 h,Yes,No,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, MMS",,Yes,,WAP 2.0/xHTML,Vibration; Downloadable polyphonic ringtones,,,
nec,NEC e353,https://fdn2.gsmarena.com/vv/bigpic/nec-e353.gif,GSM / UMTS,GSM 900 / 1800 / 1900,Downloadable pictures,UMTS 2100,CIF videocall camera,,,"Yes, 384 kbps","2005, Q4",Discontinued,117 x 46 x 16 mm (4.61 x 1.81 x 0.63 in),90 g (3.17 oz),,Mini-SIM,MP3 player Predictive text input Organizer,"TFT, 65K colors",,176 x 220 pixels,,,,,No,32MB,VGA,,Yes,,,,Yes,No,No,No,No,,No,Proprietary,,Removable Li-Ion 770 mAh battery,,"Silver, Black",,,,,,,,,,,,,,,,,,,,,,,,Up to 3 h,Up to 190 h,,,,"500 entries, Photocall","20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",,"Yes, MIDP 2.0",,WAP 2.0/xHTML,Vibration; Downloadable polyphonic ringtones,,,
