Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,256GB 8GB RAM,Quad,Models,128GB 4GB RAM,Dual,64GB 4GB RAM,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,SAR,32GB 3GB RAM,32GB 2GB RAM,Protection,256GB 12GB RAM,SAR EU,Audio quality,Infrared port,Dual_1,Talk time,Stand-by,GPRS,EDGE,Keyboard,Phonebook,Call records,Messaging,Games,Java,Music play,Browser,Alert types,Languages,Clock,Alarm
niu,NIU Andy C5.5E2I,https://fdn2.gsmarena.com/vv/bigpic/niu-andy-c5.5e2i.jpg,GSM / UMTS,GSM 850 / 900 / 1800 / 1900,,UMTS 850 / 1900 - AC55E2I043,,,,HSPA 21.1/5.76 Mbps,"2015, December","Available. Released 2016, March",154.5 x 79 x 9.2 mm (6.08 x 3.11 x 0.36 in),128 g (4.52 oz),,Micro-SIM,,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~68.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 4.4 (KitKat),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDXC (dedicated slot),4GB 512MB RAM,"8 MP, AF","LED flash, panorama, HDR",1080p@30fps,1.3 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 3000 mAh, removable",,"Blue, Gun Metal",,,,,,,,,,,,,,,,,,,,,,,,Up to 22 h 10 min (2G) / Up to 18 h 30 min (3G),Up to 600 h (2G) / Up to 500 h (3G),,,,,,,,,,,,,,
niu,NIU Andy 3.5E2I,https://fdn2.gsmarena.com/vv/bigpic/NIU-35E2I.jpg,GSM / UMTS / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 - AM35E2I047,UMTS 850 / 1900 - AM35E2I043,,,,HSPA 21.1/5.76 Mbps,"2015, February. Released 2015, March",Discontinued,115.5 x 62.8 x 10.7 mm (4.55 x 2.47 x 0.42 in),102 g (3.60 oz),,Dual SIM (Mini-SIM/ Micro-SIM),,"LCD capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~50.3% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 4.4 (KitKat),Mediatek MT6572M (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDXC,4GB 512MB RAM,5 MP,"LED flash, panorama",480p@30fps,1.3 MP,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,Accelerometer,"Li-Ion 1300 mAh, removable",,"Black, White, Blue, Green, Orange",,,,,,,,,,,,,,,,,,,,,,,,Up to 18 h (2G) / Up to 8 h (3G),Up to 260 h (2G) / Up to 217 h (3G),,,,,,,,,,,,,,
niu,NIU Andy 4E2I,https://fdn2.gsmarena.com/vv/bigpic/NIU-4E2I.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 - AM4E2I043,HSDPA 900 / 2100 - AM4E2I047,,,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, March",Discontinued,121 x 64.6 x 10.7 mm (4.76 x 2.54 x 0.42 in),110 g (3.88 oz),,Dual SIM (Mini-SIM/ Micro-SIM),,"TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~58.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4 (KitKat),Mediatek MT6572M (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDXC,4GB 512MB RAM,5 MP,"LED flash, panorama",480p@30fps,1.3 MP,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,Accelerometer,"Li-Ion 1400 mAh, removable",,"Black, White, Red, Blue, Yellow",,,,,,,,,,,,,,,,,,,,,,,,Up to 18 h (2G) / Up to 9 h (3G),Up to 280 h (2G) / Up to 232 h (3G),,,,,,,,,,,,,,
niu,NIU Andy 5EI,https://fdn2.gsmarena.com/vv/bigpic/NIU-5EI.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 - SIM 1 or SIM 2,HSDPA 900 / 2100 - SIM 1 or SIM 2,HSDPA 850 / 2100 - SIM 1 or SIM 2,,,HSPA 21.1/5.76 Mbps,"2014, May. Released 2014, July",Discontinued,142.8 x 73.4 x 9.5 mm (5.62 x 2.89 x 0.37 in),160 g (5.64 oz),,Dual SIM (Mini-SIM/ Micro-SIM),,"TFT capacitive touchscreen, 256K colors","5.0 inches, 68.9 cm2 (~65.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.2 (Jelly Bean),Mediatek MT6572M (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDXC,4GB 512MB RAM,5 MP,LED flash,480p@30fps,1.3 MP,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1550 mAh, removable",,"Black, White, Red, Blue, Green",,,,,,,,,,,,,,,,,,,,,,,,Up to 16 h (2G) / Up to 7 h 30 min (3G),Up to 480 h (2G) / Up to 350 h (3G),,,,,,,,,,,,,,
niu,NIU Andy 5T,https://fdn2.gsmarena.com/vv/bigpic/niu-5t.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 - SIM 1 or SIM 2,HSDPA 850 / 1900 - SIM 1 or SIM 2,,,,HSPA 21.1/5.76 Mbps,"2014, July. Released 2014, August",Discontinued,144 x 69.7 x 6.9 mm (5.67 x 2.74 x 0.27 in),123 g (4.34 oz),,Dual SIM (Mini-SIM/ Micro-SIM),,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,4GB 1GB RAM,"13 MP, AF","LED flash, HDR",1080p@30fps,5 MP,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Po 1800 mAh, non-removable",,"White, Black, Blue, Red",,,,,,,,,,,,,,,,,,,,,,,,Up to 16 h (2G) / Up to 8 h 30 min (3G),Up to 480 h (2G) / Up to 360 h (3G),,,,,,,,,,,,,,
niu,NIU C21A,https://fdn2.gsmarena.com/vv/bigpic/NIU--C21A.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - CM21A003,No,,Video Player Music Player Organizer Whatsapp,,,,"2013, March. Released 2013, April",Discontinued,106 x 45 x 14.5 mm (4.17 x 1.77 x 0.57 in),73 g without battery (2.57 oz),,Dual SIM (Mini-SIM),,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~21.4% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,microSDHC,32Mb 32Mb RAM,VGA,,No,,,,Yes,No,No,2.0,No,,Stereo FM radio,microUSB,,"Li-Ion 600 mAh, removable",,"Black, White, Blue, Green, Purple, Red, Fuchsia",,,,,,,,,,,,,,,,,,,,,,,,Up to 4 h,Up to 200 h,Up to 48 kbps,No,,Yes,Yes,"SMS, IM",No,No,,,,,,
niu,NIU F10,https://fdn2.gsmarena.com/vv/bigpic/NIU-F10.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3,Flashlight,,No,,,,"2012, November. Released 2013, April",Discontinued,102 x 59 x 13.7 mm (4.02 x 2.32 x 0.54 in),72 g without battery (2.54 oz),,Triple SIM (Mini-SIM),Analog TV Video Player Music Player Organizer,"TFT, 65K colors","2.2 inches, 15.2 cm2 (~25.3% screen-to-body ratio)",220 x 176 pixels (~128 ppi density),,,,,microSDHC (dedicated slot),64Mb 32Mb RAM,1.3 MP,,Yes,,,,Yes,Yes,No,"2.1, A2DP",No,,Stereo FM radio,microUSB,,"Li-Ion 600 mAh, removable",,"Black, Blue, Red, White",,,,,,,,,,,,,,,,,,,,,,,,Up to 5 h 30 min,Up to 400 h,Up to 48 kbps,No,QWERTY,Yes,Yes,SMS,Yes,No,,,,,,
niu,NIU Z10,https://fdn2.gsmarena.com/vv/bigpic/NIU-Z10.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,GSM 850 / 900 / 1800 / 1900 - SIM 2,,Flashlight SOS button,,,,"2013, November. Released 2014, January",Discontinued,113.2 x 55.5 x 14.5 mm (4.46 x 2.19 x 0.57 in),90 g without battery (3.17 oz),,Dual SIM (Mini-SIM),Music/Video player Organizer Calendar Calculator Voice memo,"TFT, 65K colors","2.0 inches, 12.6 cm2 (~20.1% screen-to-body ratio)",144 x 176 pixels (~114 ppi density),,,,,microSDHC,32Mb 32Mb RAM,VGA,,Yes,,,,Yes,No,No,2.1,No,,Stereo FM radio; buit-in antenna,microUSB,,"Li-Ion 1000 mAh, removable",,"Black, White, Blue",,,,,,,,,,,,,,,,,,,,,,,,Up to 7 h,Up to 290 h,Up to 48 kbps,No,,Yes,Yes,"SMS, MMS",Yes,No,,,,,,
niu,NIU Tek 5D,https://fdn2.gsmarena.com/vv/bigpic/niu-5d.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 -  SIM 1 & SIM 2 - TM5DI043,,,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, February",Discontinued,156.3 x 74.2 x 9.3 mm (6.15 x 2.92 x 0.37 in),150 g (5.29 oz),,Dual SIM (Mini-SIM/ Micro-SIM),,"TFT capacitive touchscreen, 256K colors","5.0 inches, 44.1 cm2 (~38.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~245 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572M (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDXC,4GB 512MB RAM,5 MP,LED flash,480p@30fps,1.3 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable",,Black,,,,,,,,,,,,,,,,,,,,,,,,Up to 15 h (2G) / Up to 12 h (3G),Up to 400 h (2G) / Up to 332 h (3G),,,,,,,,,,,,,,
niu,NIU Tek 4D2,https://fdn2.gsmarena.com/vv/bigpic/niutek-4d2.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 -  SIM 1 & SIM 2 - TM4D2I043,,,,HSPA 21.1/5.76 Mbps,"2014, August. Released 2014, November",Discontinued,123 x 63 x 10.3 mm (4.84 x 2.48 x 0.41 in),152 g (5.36 oz),,Dual SIM (Mini-SIM/ Micro-SIM),,Capacitive touchscreen,"4.0 inches, 45.5 cm2 (~58.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572M (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDXC,4GB 512MB RAM,3.15 MP,"LED flash, panorama",480p@30fps,1.3 MP,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,Accelerometer,"Li-Ion 1200 mAh, removable",,"Black, Gray, White, Blue, Orange",,,,,,,,,,,,,,,,,,,,,,,,Up to 8 h (2G) / Up to 6 h (3G),Up to 400 h (2G) / Up to 320 h (3G),,,,,,,,,,,,,,
