Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,256GB 8GB RAM,Quad,Models,128GB 4GB RAM,Dual,64GB 4GB RAM,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,SAR,32GB 3GB RAM,32GB 2GB RAM,Protection,256GB 12GB RAM,SAR EU,Audio quality,Infrared port,Dual_1,Talk time,Stand-by,GPRS,EDGE,Keyboard,Phonebook,Call records,Messaging,Games,Java,Music play,Browser,Alert types,Languages,Clock,Alarm,16GB 2GB RAM,128GB 8GB RAM,64GB 6GB RAM,16GB 1GB RAM,4GB 512MB,Five,8GB 1GB RAM,32GB 4GB RAM,4GB 512MB RAM,16GB 3GB RAM
nokia,Nokia 3.4,https://fdn2.gsmarena.com/vv/bigpic/nokia-34.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),400 nits typ. brightness (advertised),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,eMMC 5.1,"1, 2, 3, 4, 5, 7, 8, 12, 17, 13, 28, 66",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 22","Coming soon. Exp. release 2020, October",161 x 76 x 8.7 mm (6.34 x 2.99 x 0.34 in),180 g (6.35 oz),,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm2 (~81.9% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)","Android 10, planned upgrade to Android 11",Qualcomm SM4250 Snapdragon 460 (11 nm),Octa-core (4x1.8 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),Adreno 610,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM","8 MP, (wide)","LED flash, HDR, panorama",1080p@30fps,,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, aptX","Yes, with A-GPS, GLONASS, GALILEO, BDS",,FM radio,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity","Li-Po 4000 mAh, non-removable",Charging 10W,"Fjord, Dusk, Charcoal",About 160 EUR,,,,,,,"13 MP, (wide), PDAF 5 MP, (ultrawide) 2 MP, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nokia,Nokia 2.4,https://fdn2.gsmarena.com/vv/bigpic/nokia-24.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,,LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps","2020, September 22","Coming soon. Exp. release 2020, September",165.9 x 76.3 x 8.7 mm (6.53 x 3.00 x 0.34 in),195 g (6.88 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~80.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)","Android 10, planned upgrade to Android 11",Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),"32GB 2GB RAM, 64GB 3GB RAM","5 MP, f/2.4","LED flash, HDR, panorama",1080p@30fps,,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 4500 mAh, non-removable",,"Fjord, Dusk, Charcoal",About 120 EUR,,,,,,,"8 MP, f/2.0, (wide), AF 2 MP, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nokia,Nokia C3,https://fdn2.gsmarena.com/vv/bigpic/nokia-c3-2020.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,,LTE,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, August 04","Available. Released 2020, August 13",159.9 x 77 x 8.7 mm (6.30 x 3.03 x 0.34 in),184.5 g (6.53 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.99 inches, 92.6 cm2 (~75.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~269 ppi density)",Android 10,Unisoc SC9863A (28nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 3GB RAM","8 MP, f/2.0, AF","LED flash, HDR",1080p@30fps,"5 MP, f/2.4",,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 3040 mAh, removable",,"Nordic blue, Sand gold","€ 130.00 / ₹ 7,498",,,,,,,,,,,,,,,€ 130.00,,,,,,,,,,,,,,,,,,,,,,,,"₹ 7,498",,,,,,,,,
nokia,Nokia C5 Endi,https://fdn2.gsmarena.com/vv/bigpic/nokia-c5-endi.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 5.1,HSDPA 850 / 1700(AWS) / 1900,,LTE,,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2020, May 29","Available. Released 2020, June 05",171.7 x 76.7 x 8.9 mm (6.76 x 3.02 x 0.35 in),200 g (7.05 oz),"Glass front, plastic back, plastic frame",Nano-SIM,,"IPS LCD capacitive touchscreen, 16M colors","6.52 inches, 102.6 cm2 (~77.9% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Android 10,Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC,64GB 3GB RAM,"8 MP, (wide)","LED flash, HDR, panorama",1080p@30fps,,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE","Yes, with A-GPS",,FM radio,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable",Charging 10W,Midnight Blue,About 150 EUR,,,,,,,"13 MP, (wide), PDAF 5 MP, (ultrawide) 2 MP, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nokia,Nokia C2 Tennen,https://fdn2.gsmarena.com/vv/bigpic/nokia-c2-tennen.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 5.1,HSDPA 850 / 1700(AWS) / 1900,,LTE,,"HSPA 21.1/5.76 Mbps, LTE, Cat6 300/50 Mbps","2020, May 29","Available. Released 2020, June 15",150.6 x 72.4 x 9.1 mm (5.93 x 2.85 x 0.36 in),180 g (6.35 oz),"Glass front, plastic back, plastic frame",Nano-SIM,,"IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~70.3% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Android 10,Mediatek MT6761 Helio A22 (16 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC,"16GB 2GB RAM, 32GB 2GB RAM",5 MP,"LED flash, HDR, panorama",1080p@30fps,,,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,FM radio,USB Type-C 2.0,"Accelerometer, proximity","Li-Po 3000 mAh, non-removable",Charging 10W,Steel,About 60 EUR,,,,,"8 MP, AF 2 MP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nokia,Nokia C2 Tava,https://fdn2.gsmarena.com/vv/bigpic/nokia-c2-tava.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 5.1,HSDPA 850 / 1700(AWS) / 1900,,LTE,,"HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps","2020, May 29","Available. Released 2020, May 29",150.6 x 72.4 x 9.1 mm (5.93 x 2.85 x 0.36 in),180 g (6.35 oz),"Glass front, plastic back, plastic frame",Nano-SIM,,"IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~70.3% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Android 10,Mediatek MT6761 Helio A22 (16 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC,"16GB 2GB RAM, 32GB 2GB RAM",5 MP,"LED flash, HDR, panorama",1080p@30fps,,,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,FM radio,USB Type-C 2.0,"Accelerometer, proximity","Li-Po 3000 mAh, non-removable",Charging 10W,Tempered Blue,About 100 EUR,,,,,"8 MP, AF 2 MP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nokia,Nokia 150 (2020),https://fdn2.gsmarena.com/vv/bigpic/nokia-150-2020.jpg,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Flashlight,,No,,,,"2020, May 12","Available. Released 2020, May 29",132 x 50.5 x 15 mm (5.20 x 1.99 x 0.59 in),90.5 g (3.21 oz),,"Dual SIM (Mini-SIM, dual stand-by)",MP3 player,"TFT, 65K colors","2.4 inches, 17.8 cm2 (~26.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,,,microSD,4MB,VGA,,Yes,,,,Yes,Yes,No,3.0,No,,FM radio; built-in antenna,microUSB 2.0,,"Li-Ion 1020 mAh, removable",,"Cyan, Red, Black",About 30 EUR,,,,,,,,,,,,,,,,,,,,,,,Up to 19 h,Up to 560 h,No,No,,2000 entries,Yes,SMS,Yes,No,,,,,,,,,,,,,,,,
nokia,Nokia 125,https://fdn2.gsmarena.com/vv/bigpic/nokia-125-2020.jpg,GSM,GSM 900 / 1800 - SIM 1 & SIM 2 (dual-SIM model only),Flashlight,,No,,,,"2020, May 12","Available. Released 2020, May 29",132 x 50.5 x 15 mm (5.20 x 1.99 x 0.59 in),91.3 g (3.21 oz),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",,"TFT, 65K colors","2.4 inches, 17.8 cm2 (~26.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,,,No,4MB,,,,,,,Yes,Yes,No,No,No,,FM radio; built-in antenna,microUSB 2.0,,"Li-Ion 1020 mAh, removable",,"Black, White",About 20 EUR,,,,,,,,,,,,,,,,,,,,,,,Up to 19 h,Up to 560 h,No,No,,2000 entries,Yes,SMS,Yes,No,,,,,,,,,,,,,,,,
nokia,Nokia 8.3 5G,https://fdn2.gsmarena.com/vv/bigpic/nokia-83-5g.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 28, 32, 38, 39, 40, 41, 66, 71","1, 2, 3, 5, 7, 8, 28, 38, 40, 41, 66, 71, 78 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat18 1200/150 Mbps, 5G 2.4/1.2 Gbps","2020, March 19","Available. Released 2020, September 15",171.9 x 78.6 x 9 mm (6.77 x 3.09 x 0.35 in),220 g (7.76 oz),,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.81 inches, 112.0 cm2 (~82.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~386 ppi density)","Android 10, Android One",Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,microSDXC (dedicated slot),"64GB 6GB RAM, 128GB 8GB RAM","24 MP, f/2.0, (wide)","Zeiss optics, Dual-LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS",,"Zeiss optics, HDR",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS",Yes,FM radio,"USB Type-C 2.0, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable",Fast charging 18W,Polar Night,$ 699.00 / € 632.64 / £ 499.99,,"64 MP, f/1.9, (wide), PDAF 12 MP, f/2.2, 13mm (ultrawide), AF 2 MP, (macro) 2 MP, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$ 699.00,£ 499.99,,,,,,,
nokia,Nokia 5.3,https://fdn2.gsmarena.com/vv/bigpic/nokia-53.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Americas,HSDPA 850 / 900 / 1900 / 2100 - Global,HSDPA 850 / 900 / 2100 - India,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - Global",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, March 19","Available. Released 2020, April 02",164.3 x 76.6 x 8.5 mm (6.47 x 3.02 x 0.33 in),185 g (6.53 oz),"Glass front (Gorilla Glass 3), plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",eMMC 5.1,"IPS LCD capacitive touchscreen, 16M colors","6.55 inches, 103.6 cm2 (~82.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~268 ppi density)","Android 10, Android One",Qualcomm SM6125 Snapdragon 665 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (dedicated slot),"64GB 3GB RAM, 64GB 4GB RAM, 64GB 6GB RAM","8 MP, f/2.0, (wide)","LED flash, HDR, panorama","4K@30fps, 1080p@30fps",,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS",Yes,FM radio,"USB Type-C 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 4000 mAh, non-removable",Charging 10W,"Cyan, Sand, Charcoal","$ 219.99 / € 164.41 / £ 144.99 / ₹ 13,999",,"13 MP, f/1.8, (wide), PDAF 5 MP, 13mm (ultrawide) 2 MP, (macro) 2 MP, (depth)","TA-1234, TA-1223, TA-1227, TA-1229",,,$ 219.99,,,,,,,,,,,Corning Gorilla Glass 3,,,,,,,,,,,,,,,,,,,,,,,,"₹ 15,499",,,,,,,
