Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM,Keyboard,Languages,8GB 1GB RAM,512GB 12GB RAM,256GB 6GB RAM,Dual_1
o2,O2 XDA Serra,https://fdn2.gsmarena.com/vv/bigpic/o2-xda_serra.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 2100,HSPA 7.2/0.384 Mbps,"2008, July. Released 2008, September",Discontinued,102 x 51 x 18.1 mm (4.02 x 2.01 x 0.71 in),165 g (5.82 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~46.7% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",microSD (dedicated slot),,,"3.15 MP, AF",LED flash,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g,"2.0, A2DP","Yes, with A-GPS","Stereo FM radio, RDS",miniUSB,Accelerometer,,"WAP 2.0/xHTML, HTML",,,Handwriting recognition,Removable Li-Ion 1340 mAh battery,Up to 406 h,Up to 8 h,,Black,,,,MP3/WAV/WMA player MP4/WMV/3gp player Pocket Office  Voice memo Predictive text input,"288MB RAM, 512MB ROM",,,,,,Microsoft Windows Mobile 6.1 Professional,528 MHz ARM 11,,,,Qualcomm MSM7201A,Adreno 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,,,,,
o2,O2 XDA Guide,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-guide.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 2100,HSPA,"2008, December. Released 2009, February",Discontinued,102 x 53.5 x 14.5 mm (4.02 x 2.11 x 0.57 in),102 g (3.60 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~44.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","microSD (dedicated slot), 1 GB included",,,3.15 MP,,CIF,,,Yes,No,Wi-Fi 802.11 b/g,"2.0, A2DP","Yes, with A-GPS; TomTom NAVIGATOR 7",No,miniUSB,,,"WAP 2.0/xHTML, HTML",,,TouchFLO finger swipe navigation Handwriting recognition 5-way navigation,Removable Li-Ion 1110 mAh battery,Up to 400 h,Up to 6 h 30 min,,Grey,,,,No,"256MB RAM, 512MB ROM",,HTC Footprints Pocket Office  Voice memo MP3/AAC player 3GP/MP4/WMV/AVI player Predictive text input,,,,Microsoft Windows Mobile 6.1 Professional,528 MHz ARM 11,,,,Qualcomm MSM7225 Snapdragon S1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,O2 XDA Zest,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-zest.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 2100,HSPA 3.6/0.384 Mbps,"2008, October. Released 2008, November",Discontinued,102 x 60.5 x 16.5 mm (4.02 x 2.38 x 0.65 in),102.5 g (3.60 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~39.3% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",microSDHC (dedicated slot),,,"3.15 MP, AF",,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g,"2.0, A2DP","Yes, with A-GPS,  SiRF Star III chipset",No,miniUSB 1.1,,,"WAP 2.0/xHTML, HTML",,,Handwriting recognition,Removable Li-Ion 1300 mAh battery,Up to 260 h,Up to 5 h,,Black,,,,SiRF star III chipset Pocket Office  Voice memo MP3 player Predictive text input,"128MB RAM, 256MB ROM",,,,,,Microsoft Windows Mobile 6.1 Professional,624MHz Marvell TavorP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,O2 XDA Ignito,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-ignito.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 2100,HSPA 7.2/0.384 Mbps,"2008, August. Released 2008, August",Discontinued,102 x 51 x 11.5 mm (4.02 x 2.01 x 0.45 in),110 g (3.88 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~46.7% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",No,,,"3.15 MP, AF",,CIF@30fps,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g,"2.0, A2DP","Yes, with A-GPS","Stereo FM radio, RDS",miniUSB,Accelerometer,,"WAP 2.0/xHTML, HTML",,,TouchFLO 3D finger swipe navigation Handwriting recognition,Removable Li-Ion 900 mAh battery,Up to 285 h,Up to 5 h 30 min,,Black,,,,Pocket Office  Voice memo MP3 player,4GB 192MB RAM,"Vibration; Downloadable polyphonic, MP3, WAV, WMA ringtones",,,,,Microsoft Windows Mobile 6.1 Professional,528 MHz ARM 11,,,,Qualcomm MSM7201A,Adreno 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,O2 XDA Stellar,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-stellar.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA 3.6/0.384 Mbps,"2007, November",Cancelled,112 x 59 x 18.6 mm (4.41 x 2.32 x 0.73 in),190 g (6.70 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~36.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSD,,,"3.15 MP, AF",,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11b/g,2.0,"Yes, with A-GPS",No,2.0,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Handwriting recognition,Removable Li-Ion 1350 mAh battery,Up to 365 h,Up to 5 h,,Silver,,,,Pocket Office  Business card reader Voice memo Media Player 10,"128MB RAM, 256MB ROM","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,Microsoft Windows Mobile 6.0 Professional,400 MHz ARM 11,,,,Qualcomm MSM7200,Adreno 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,,,,,
o2,O2 XDA Orbit II,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-orbit2-ofic.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 2100,HSPA 3.6/0.384 Mbps,"2007, November. Released 2008, February",Discontinued,110 x 58 x 15.5 mm (4.33 x 2.28 x 0.61 in),130 g (4.59 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~38.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","microSD (dedicated slot), SD 2.0 compatible",,,"3.15 MP, AF",,Yes,VGA,,Yes,No,Wi-Fi 802.11b/g,"2.0, A2DP","Yes, CoPilot Live Navigator",FM radio,miniUSB,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,HSDPA 850 / 1900,Removable Li-Ion 1350 mAh battery,Up to 400 h (2G) / Up to 450 h (3G),Up to 7 h (2G) / Up to 4 h (3G),,Black,,,,TouchFLO finger swipe navigation Handwriting recognition 4-way navigation wheel,"128MB RAM, 256MB ROM","Vibration; Downloadable polyphonic, MP3, AAC ringtones",Pocket Office  Voice memo MP3/AAC/AAC+/WMA/WAV/AMR-NB player Predictive text input,,,1.72 W/kg (head),Microsoft Windows Mobile 6.0 Professional,400 MHz ARM 11,,,,Qualcomm MSM7200,Adreno 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,O2 XDA Comet,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-comet.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 1900 / 2100,HSPA,"2007, September",Discontinued,106 x 58 x 19 mm (4.17 x 2.28 x 0.75 in),145 g (5.11 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.7 inches, 22.6 cm2 (~36.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~148 ppi density)",miniSD,,,2 MP,LED flash,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11b/g,1.2,No,"Stereo FM radio, RDS",miniUSB,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Handwriting recognition,Removable Li-Ion battery,Up to 200 h,Up to 6 h,,Silver,,,,Pocket Office  Voice memo MP3/AAC player,"64MB RAM, 1GB ROM","Vibration; Downloadable polyphonic, MP3 ringtones",,,Yes,,Microsoft Windows Mobile 6.0 Professional,Intel XScale PXA 270 620 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,O2 XDA Nova,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-nova.jpg,GSM,GSM 900 / 1800 / 1900,,,"2007, June",Discontinued,100 x 58 x 14 mm (3.94 x 2.28 x 0.55 in),120 g (4.23 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~41.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","microSD (dedicated slot), 1 GB included",,,2 MP,,Yes,,,Yes,No,Wi-Fi 802.11b/g,2.0,No,No,miniUSB,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,TouchFLO finger swipe navigation Handwriting recognition 5-way navigation,Removable Li-Ion battery,Up to 200 h,Up to 3 h 30 min,,"Soft Black, Wasabi Green",About 520 EUR,Class 10,Yes,No,"128MB RAM, 256MB ROM","Vibration; Downloadable polyphonic, MP3 ringtones",Pocket Office  Voice memo MP3/AAC player,,,,Microsoft Windows Mobile 6.0 Professional,200 MHz ARM926EJ-S,,,,TI OMAP 850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,O2 XDA Terra,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-terra.jpg,GSM,GSM 850 / 900 / 1800 / 1900,,,"2007, March",Discontinued,109 x 59 x 17 mm (4.29 x 2.32 x 0.67 in),168 g (5.93 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.7 inches, 42 x 57 mm, 22.6 cm2 (~35.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~148 ppi density)",microSD (dedicated slot),,,2 MP,,QCIF,,,Yes,No,Wi-Fi 802.11b/g,"2.0, A2DP",No,No,1.1,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Handwriting recognition,Removable Li-Ion battery,Up to 200 h,Up to 5 h,,Black,,Class 10,Class 10,No,"64MB RAM, 128MB ROM","Vibration; Downloadable polyphonic, MP3 ringtones",Pocket Office  Voice memo MP3/AAC player,,,,Microsoft Windows Mobile 5.0 PocketPC,200 MHz ARM926EJ-S,,,,TI OMAP 850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,,,,,
o2,O2 XDA Argon,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-argon.jpg,GSM,GSM 900 / 1800 / 1900,,,"2007, May",Discontinued,130 x 70 x 18.8 mm (5.12 x 2.76 x 0.74 in),200 g (7.05 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","3.5 inches, 37.9 cm2 (~41.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~114 ppi density)",SD,,,2 MP,,Yes,,,Yes,No,Wi-Fi 802.11b/g,2.0,No,No,miniUSB,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Handwriting recognition 5-way navigation,Removable Li-Ion 1300 mAh battery,Up to 200 h,Up to 4 h,,Silver,,Class 10,No,No,"128MB RAM, 256MB ROM","Vibration; Downloadable polyphonic, MP3 ringtones",Pocket Office   Voice memo MP3/AAC player,,Yes,,Microsoft Windows Mobile 5.0 PocketPC,32-bit Samsung SC3 2442 400 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
