Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM,Keyboard,Languages,8GB 1GB RAM,512GB 12GB RAM,256GB 6GB RAM,Dual_1
oppo,Oppo Reno4 Lite,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno4-lite.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 28","Available. Released 2020, September 28",160.1 x 73.7 x 7.4 mm (6.30 x 2.90 x 0.29 in),164 g (5.78 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.43 inches, 99.8 cm2 (~84.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",microSDXC (dedicated slot),,,,"LED flash, HDR, panorama","4K@30fps, 1080p@30/120fps, gyro-EIS",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,,,,430 nits typ. brightness (advertised),"Li-Po 4015 mAh, non-removable",,,,"Magic Blue, Matte Black",About 370 EUR,,,UFS 2.1,128GB 8GB RAM,,,Corning Gorilla Glass 3,,,"Android 10, ColorOS 7.2",Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),,,"1, 3, 5, 8, 38, 40, 41",Mediatek Helio P95 (12 nm),PowerVR GM9446,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)",HDR,"Fast charging 30W, 50% in 30 min, 100% in 53 min (advertised) VOOC 4.0",,CPH2125,1.44 W/kg (head)     1.41 W/kg (body),,,Yes,,,,,,"Glass front (Gorilla Glass 3), plastic back","16 MP, f/2.4, (wide), 1/3"", 1.0µm 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,
oppo,Oppo A33 (2020),https://fdn2.gsmarena.com/vv/bigpic/oppo-a32.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 28","Coming soon. Exp. release 2020, October 01",-,-,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 105.5 cm2 (~85.7% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~259 ppi density)",microSDXC (dedicated slot),,,"8 MP, f/2.4, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO, BDS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,90Hz refresh rate,"Li-Po 5000 mAh, non-removable",,,,"Moonlight Black, Mint Cream",About 130 EUR,,,,"32GB 3GB RAM, 32GB 4GB RAM",,,Corning Gorilla Glass 3,,,"Android 10, ColorOS 7.2",Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),,,LTE,Qualcomm SM4250 Snapdragon 460 (11 nm),Adreno 610,,HDR,Fast charging 18W,"13 MP, f/2.2, 25mm (wide), 1/3.06"", 1.12µm, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oppo,Oppo Reno4 SE,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno4-se-.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, September 21","Available. Released 2020, September 24",160.5 x 73.9 x 7.9 mm (6.32 x 2.91 x 0.31 in),169 g (5.96 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.43 inches, 99.8 cm2 (~84.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",No,,,"32 MP, f/2.4, 26mm (wide), 1/2.8"", 0.8µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/120fps, gyro-EIS",,"1080p@30fps, gyro-EIS",Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO, BDS",Unspecified,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,,,,CDMA 800 & TD-SCDMA,"Li-Po 4300 mAh, non-removable",,,,"Black, White, Blue",About 320 EUR,,,430 nits typ. value (advertised),"128GB 8GB RAM, 256GB 8GB RAM",,24-bit/192kHz audio,,,,"Android 10, ColorOS 7.2",Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,"1, 2, 3, 4, 5, 6, 7, 8, 19, 34, 38, 39, 40, 41",MediaTek MT6853V Dimensity 720 5G (7 nm),Mali-G57 MC3,,HDR,Fast charging 65W Reverse charging SuperVOOC 2.0,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (depth)","PEAT00, PEAM00",,,,,,"1, 3, 41, 77, 78, 79 SA/NSA",,,,"Glass front, plastic back, plastic frame",,,,,,,,,,,,,,,,,,,,
oppo,Oppo F17 Pro,https://fdn2.gsmarena.com/vv/bigpic/oppo-f17-pro---.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 02","Available. Released 2020, September 07",160.1 x 73.8 x 7.5 mm (6.30 x 2.91 x 0.30 in),164 g (5.78 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.43 inches, 100.3 cm2 (~84.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~408 ppi density)",microSDXC (dedicated slot),,,,"LED flash, HDR, panorama","4K@30fps, 1080p@30/120fps, gyro-EIS",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,,,,430 nits typ. brightness (advertised),"Li-Po 4015 mAh, non-removable",,,,"Magic Blue, Matte Black, Metallic White","₹ 22,990",,,UFS 2.1,128GB 8GB RAM,,,Corning Gorilla Glass 3,,,"Android 10, ColorOS 7.2",Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),,,"1, 3, 5, 8, 38, 40, 41",Mediatek Helio P95 (12 nm),PowerVR GM9446,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)",HDR,"Fast charging 30W, 50% in 30 min, 100% in 53 min (advertised) VOOC 4.0",,CPH2119,1.44 W/kg (head)     1.41 W/kg (body),,"₹ 22,990",,,,,,,"Glass front (Gorilla Glass 3), plastic back","16 MP, f/2.4, (wide), 1/3"", 1.0µm 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,
oppo,Oppo F17,https://fdn2.gsmarena.com/vv/bigpic/oppo-f17.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 02","Available. Released 2020, September 24",159.8 x 72.8 x 7.5 mm (6.29 x 2.87 x 0.30 in),163 g (5.75 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.44 inches, 100.1 cm2 (~86.1% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",microSDXC (dedicated slot),,,"16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,,,,,"Li-Po 4015 mAh, non-removable",,,,"Dynamic Orange, Navy Blue, Classic Silver","₹ 17,990",,,,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",,,,,,"Android 10, ColorOS 7.2",Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,,"1, 3, 5, 8, 38, 40, 41",Qualcomm SM6115 Snapdragon 662 (11 nm),Adreno 610,"16 MP, f/2.2, (wide), 1/3.06"", PDAF 8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)",HDR,"Fast charging 30W, 50% in 30 min, 100% in 53 min (advertised) VOOC 4.0",,CPH2095,1.16 W/kg (head)     0.81 W/kg (body),"₹ 17,990","₹ 19,990",,,,,,,,,,,,,,,,,,,,,,,,,,,
oppo,Oppo A32,https://fdn2.gsmarena.com/vv/bigpic/oppo-a32.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 10","Available. Released 2020, September 10",163.9 x 75.1 x 8.4 mm (6.45 x 2.96 x 0.33 in),186 g (6.56 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~82.9% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),,,"8 MP, f/2.0, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO, BDS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,CDMA 800 & TD-SCDMA,"Li-Po 5000 mAh, non-removable",,,,"Mint Green, Electric Black, Fancy Blue",About 150 EUR,,,90Hz refresh rate 480 nits typ. value (advertised),"128GB 4GB RAM, 128GB 8GB RAM",,UFS 2.1,,,,"Android 10, ColorOS 7.2",Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),,,"1, 3, 5, 8, 34, 38, 39, 40, 41",Qualcomm SM4250 Snapdragon 460 (11 nm),Adreno 610,,HDR,Fast charging 18W,"13 MP, f/2.2, 25mm (wide), 1/3.06"", 1.12µm, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",PDVM00,0.77 W/kg (head)     0.97 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oppo,Oppo A53,https://fdn2.gsmarena.com/vv/bigpic/oppo-a53-2020.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, August 20","Available. Released 2020, August 25",163.9 x 75.1 x 8.4 mm (6.45 x 2.96 x 0.33 in),186 g (6.56 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~82.9% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),,,"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO, BDS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,90Hz refresh rate,"Li-Po 5000 mAh, non-removable",,,,"Fairy White, Electric Black, Fancy Blue","₹ 12,989",,,UFS 2.1,"64GB 4GB RAM, 128GB 6GB RAM",,,Corning Gorilla Glass 3,,,"Android 10, ColorOS 7.2",Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),,,"1, 3, 5, 8, 38, 40, 41",Qualcomm SM4250 Snapdragon 460 (11 nm),Adreno 610,,HDR,Fast charging 18W,"13 MP, f/2.2, 25mm (wide), 1/3.06"", 1.12µm, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",CPH2127,0.77 W/kg (head)     0.97 W/kg (body),"₹ 15,490",,,,,,"₹ 12,989",,,,,,,,,,,,,,,,,,,,,,
oppo,Oppo Watch,https://fdn2.gsmarena.com/vv/bigpic/oppo-watch.jpg,HSPA / LTE,N/A,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE","2020, March 06","Available. Released 2020, March 24",46 x 39 x 11.4 mm (1.81 x 1.54 x 0.45 in),40 g (aluminum) / 45.5 g (stainless steel) (1.41 oz),eSIM,"AMOLED flexible capacitive touchscreen, 16M colors","1.91 inches, 11.6 cm2 (~64.7% screen-to-body ratio)",402 x 476 pixels (~326 ppi density),No,,,,,,,,Yes,No,Wi-Fi 802.11 b/g/n,"4.2, LE","Yes, with A-GPS, GLONASS, BDS",No,No,"Accelerometer, gyro, heart rate, compass, barometer",,,,,"1, 3, 5, 8, 38, 39, 40, 41 - China","Li-Ion 430 mAh, non-removable",,,,"Black, Glossy Gold, Pink Gold, Silver Mist","€ 206.00 / ₹ 14,990",,,5ATM water resistant (46mm model) 3ATM water resistant (41mm model),8GB 1GB RAM,,No,"Schott Glass (46mm), Corning Gorilla Glass (41mm)",,,Android Wear OS - InternationalColorOS Watch OS - China,Quad-core 1.09 GHz Cortex-A7,,,"1, 3, 7, 8, 20, 38 - International",Qualcomm Snapdragon Wear 3100 (28 nm) - InternationalQualcomm MSM8909W Snapdragon Wear 2500 (28nm) - China,Adreno 304,,,,,,,,,Yes,,,,,,"Glass front, stainless steel frame or aluminum frame, ceramic/sapphire crystal back or plastic back",,,,,,,,,,,,,,,,,€ 206.00,,,
oppo,Oppo Reno4 Pro,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno4-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - International,"HSPA 42.2/5.76 Mbps, LTE-A","2020, July 31","Available. Released 2020, August 05",160.2 x 73.2 x 7.7 mm (6.31 x 2.88 x 0.30 in),161 g (5.68 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.5 inches, 103.5 cm2 (~88.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",microSDXC (dedicated slot),,,"32 MP, f/2.4, 26mm (wide), 1/2.8"", 0.8µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS",,"1080p@30/120fps, gyro-EIS",Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS, GNSS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,,,,"HSDPA 850 / 900 / 2100 - Asia Pacific, China","Li-Po 4000 mAh, non-removable",,,,"Starry Night, Silky White",$ 599.00,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - China","128GB 8GB RAM, 256GB 8GB RAM",,UFS 2.1,Corning Gorilla Glass 5,,,"Android 10, ColorOS 7.2",Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver),,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 39, 40, 41 - International",Qualcomm SM7125 Snapdragon 720G (8 nm),Adreno 618,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",HDR,"Fast charging 65W, 60% in 15 min, 100% in 36 min (advertised) SuperVOOC 2.0",,CPH2109,,,$ 599.00,Yes (market/region dependent),,,,,,"Glass front (Gorilla Glass 5), plastic frame, plastic back",,,AnTuTu: 261359 (v8) GeekBench: 1781 (v5.1) GFXBench: 15fps (ES 3.1 onscreen),Contrast ratio: Infinite (nominal),Photo / Video,-28.8 LUFS (Average),Endurance rating 96h,,,,,,,,,,,,,
oppo,Oppo Reno4,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno4.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, July 29","Available. Released 2020, August 05",160.3 x 73.9 x 7.7 mm (6.31 x 2.91 x 0.30 in),165 g (5.82 oz),"Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.4 inches, 98.9 cm2 (~83.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~411 ppi density)",microSDXC (dedicated slot),,,"32 MP, f/2.4, 26mm (wide), 1/2.8"", 0.8µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps, gyro-EIS",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,,,,430 nits typ. brightness (advertised),"Li-Po 4015 mAh, non-removable",,,,"Galactic Blue, Space Black",About 330 EUR,,,UFS 2.1,128GB 8GB RAM,,,,,,"Android 10, ColorOS 7.2",Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver),,,"1, 3, 5, 7, 8, 38, 40, 41",Qualcomm SM7125 Snapdragon 720G (8 nm),Adreno 618,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",HDR,"Fast charging 30W, 50% in 20 min (advertised) VOOC 4.0",,CPH2113,,,,,,,,,,"Glass front, plastic frame, plastic back",,,,,,,,,,,,,,,,,,,,
