Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM,Keyboard,Languages
orange,Orange Neva jet 5G,https://fdn2.gsmarena.com/vv/bigpic/orange-neva-jet-5g.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat18 1200/150 Mbps, 5G (2+ Gbps DL)","2019, November","Available. Released 2019, November",159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in),171 g (6.03 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.47 inches, 102.8 cm2 (~87.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)",microSDXC (uses shared SIM slot),,,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm","Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps",,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,,,,CDMA 800 / 1900 & TD-SCDMA,"Li-Ion 4000 mAh, non-removable",,,,Blue,About 900 EUR,,,HDR10,128GB 6GB RAM,,24-bit/192kHz audio,,,1.01 W/kg (head),"Android 9.0 (Pie), MiFavor 9.1",Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41",Qualcomm SM8150 Snapdragon 855 (7 nm),Adreno 640,,HDR,Fast charging 18W Quick Charge 4+ Qi wireless charging,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF, OIS 8 MP, f/2.4, (telephoto), PDAF, OIS, 3x optical zoom 20 MP, f/2.2, 11mm (ultrawide)",,,,,Yes,,"41, 78 NSA/Sub6",,,,"Glass front, glass back, aluminum frame",,,,,,,,,,,,,,,,
orange,Orange Rono,https://fdn2.gsmarena.com/vv/bigpic/orange-rono.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA,HSPA,2014. Released 2014,Discontinued,142.3 x 70.4 x 7.8 mm (5.60 x 2.77 x 0.31 in),131.8 g (4.66 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC (dedicated slot),,,"8 MP, AF",LED flash,1080p@30fps,Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity",,,,,,"Li-Po 2300 mAh, removable",Up to 340 h (3G),Up to 10 h (3G),,Black,,Yes,Yes,,16GB 1GB RAM,,,,,,Android 4.4.2 (KitKat),Quad-core 1.2 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orange,Orange Gova,https://fdn2.gsmarena.com/vv/bigpic/orange-gova.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA,"HSPA, LTE Cat4 150/50 Mbps","2014, February. Released 2014, April",Discontinued,7.9 mm thickness,-,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2","540 x 960 pixels, 16:9 ratio (~245 ppi density)",microSDHC (dedicated slot),,,"5 MP, AF",LED flash,Yes,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.0,"Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity",,,,,,"Li-Ion 2000 mAh, removable",,,,Black,,Yes,Yes,,8GB 1GB RAM,,,,,,Android 4.3 (Jelly Bean),Quad-core 1.2 GHz,,,LTE (unspecified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orange,Orange Reyo,https://fdn2.gsmarena.com/vv/bigpic/orange-reyo.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,HSPA,"2014, February. Released 2014, February",Discontinued,143 x 72 x 9.1 mm (5.63 x 2.83 x 0.36 in),130 g (4.59 oz),Mini-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC (dedicated slot),,,"5 MP, AF",LED flash,720p@30fps,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS","Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",,,,,,"Li-Ion 2000 mAh, removable",Up to 400 h,Up to 6 h 40 min,,White,,,,,4GB 1GB RAM,,,,,0.66 W/kg (head),Android 4.2.2 (Jelly Bean),Dual-core 1.3 GHz Cortex-A7,,,,Mediatek MT6572M (28 nm),Mali-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orange,Orange Hiro,https://fdn2.gsmarena.com/vv/bigpic/orange-hiro.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 2100,HSPA,"2013, Q3. Released 2013, Q3",Discontinued,127.1 x 62 x 8 mm (5.00 x 2.44 x 0.31 in),96 g (3.39 oz),Yes,"IPS LCD capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm2 (~64.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~228 ppi density)",microSDHC (dedicated slot),,,"5 MP, AF",LED flash,720p,Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity",,,,,,"Li-Ion 1700 mAh, removable",,,,Black,,,,,4GB 512MB RAM,,,,,1.29 W/kg (head),Android 4.1 (Jelly Bean),Dual-core 1.3 GHz Cortex-A7,,,,Mediatek MT6572 (28 nm),Mali-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orange,Orange San Diego,https://fdn2.gsmarena.com/vv/bigpic/orange-san-diego.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,HSPA 21.1/5.76 Mbps,"2012, February. Released 2012, June",Discontinued,123 x 63 x 10 mm (4.84 x 2.48 x 0.39 in),117 g (4.13 oz),Micro-SIM,"TFT capacitive touchscreen, 16M colors","4.0 inches, 45.0 cm2 (~58.1% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~297 ppi density)",No,,,"8 MP, AF",LED flash,1080p@30fps,Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",,,,,HDMI port MP4/H.264 player MP3/WAV/eAAC+ player Document viewer Photo editor Organizer Voice memo/dial/commands Predictive text input,Removable Li-Ion battery,Up to 336 h,Up to 8 h,,Black,About 190 EUR,,,,"16GB (12GB user available), 1GB RAM",,,,,,"Android 2.3.7 (Gingerbread), upgradable to 4.0.4 (Ice Cream Sandwich)",1.6 GHz,,,,Intel Atom Z2460,PowerVR SGX540,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
orange,Orange Tahiti,https://fdn2.gsmarena.com/vv/bigpic/orange-tahiti.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 1900 / 2100,HSPA,"2012, January. Released 2012, January",Discontinued,190 x 124 x 10.5 mm (7.48 x 4.88 x 0.41 in),390 g (13.76 oz),Mini-SIM,"LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~60.3% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",microSDHC (dedicated slot),,,"5 MP, AF",,Yes,Yes,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, compass",,,,,HDMI port MP4/H.264/WMV player MP3/WAV/eAAC+/WMA player Organizer Photo/video editor Document viewer Voice memo/dial Predictive text input,Non-removable Li-Po 4000 mAh battery,Up to 192 h,Up to 6 h,,Black/silver,,,,,8GB 512MB RAM,,,,Yes,,Android 3.2 (Honeycomb),Dual-core 1.2 GHz Scorpion,,,,Qualcomm MSM8260 Snapdragon S3,Adreno 220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orange,Orange Monte Carlo,https://fdn2.gsmarena.com/vv/bigpic/orange-monte-carlo.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 900 / 2100,HSPA,2011,Discontinued,125.9 x 67.8 x 10.4 mm (4.96 x 2.67 x 0.41 in),120 g (4.23 oz),Mini-SIM,"TFT capacitive touchscreen, 16M colors","4.3 inches, 52.6 cm2 (~61.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~217 ppi density)",microSDHC (dedicated slot),,,"5 MP, AF",LED flash,Yes,,,Yes,Yes,"Wi-Fi 802.11 b/g, UMA, hotspot","2.1, A2DP, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",,,,,No,Removable Li-Ion 1400 mAh battery,Up to 288 h,Up to 5 h,,Black,,,,MP4/H.264 player MP3/WAV/eAAC+ player Organizer Voice memo/dial Predictive text input,512MB RAM,,,,,,Android 2.3 (Gingerbread),800 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orange,Orange San Francisco II,https://fdn2.gsmarena.com/vv/bigpic/Orange-San-Francisco-II.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 900 / 1900 / 2100,HSPA,"2011, November. Released 2011, November",Discontinued,117 x 58.5 x 10.6 mm (4.61 x 2.30 x 0.42 in),120 g (4.23 oz),Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.5 inches, 34.9 cm2 (~50.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~267 ppi density)",microSDHC (dedicated slot),,,"5 MP, AF",LED flash,Yes,Yes,,Yes,Yes,"Wi-Fi 802.11 b/g, hotspot","2.1, A2DP, EDR","Yes, with A-GPS","Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",,,,,MP4/H.264 player MP3/WAV/eAAC+ player Organizer Voice memo Predictive text input,Removable Li-Ion battery,Up to 240 h,Up to 4 h 30 min,,Black,About 120 EUR,,,,512MB RAM,,,,,,Android 2.3 (Gingerbread),800 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orange,Orange Sydney,https://fdn2.gsmarena.com/vv/bigpic/orange-sydney.jpg,GSM,GSM 900 / 1800,,,2011. Released 2011,Discontinued,102 x 50 x 12.5 mm (4.02 x 1.97 x 0.49 in),100 g (3.53 oz),Mini-SIM,"TFT resistive touchscreen, 256K colors","3.2 inches, 29.1 cm2 (~57.1% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)",microSD (dedicated slot),"Yes, Photocall","30 dialed, 30 received, 30 missed calls",3.15 MP,,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g,"2.0, A2DP, EDR",No,FM radio,microUSB 2.0,Accelerometer,"SMS, MMS, Email, IM",,Yes + downloadable,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 312 h,Up to 6 h,,"Black, White",,Yes,Yes,MP3/AAC+/WAV/WMA player Organizer Voice memo Predictive text input,34MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
