Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM,Keyboard,Languages
palm,Palm Palm,https://fdn2.gsmarena.com/vv/bigpic/palm-pepito1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, October","Available. Released 2018, November",96.6 x 50.6 x 7.4 mm (3.80 x 1.99 x 0.29 in),62.5 g (2.22 oz),Nano-SIM or eSIM,"IPS LCD capacitive touchscreen, 16M colors","3.3 inches, 30.0 cm2 (~61.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~445 ppi density)",No,,,"12 MP, AF","LED flash, HDR",720p@30fps,8 MP,720p@30fps,"Yes, with dual speakers",No,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",No,"2.0, Type-C 1.0 reversible connector","Infrared face recognition, accelerometer, proximity, gyro, compass",,,,,IP68 dust/water resistant (up to 1m for 30 mins),"Li-Ion 800 mAh, non-removable",,,,"Gold, Titanium",About 400 EUR,,,eMMC 5.1,32GB 3GB RAM,,,Corning Gorilla Glass 3,,0.98 W/kg (head),Android 8.1 (Oreo),Octa-core (4x1.4 GHz & 4x1.1 GHz),,,"2, 4, 5, 12, 13, 17, 66",Qualcomm MSM8940 Snapdragon 435 (28 nm),Adreno 505,,,"Fast charging, 50% in 31 min, 100% in 68 min (advertised)",,,,,,,,,,,,"Glass front (Gorilla Glass 3), glass back (Gorilla Glass 3), aluminum frame",,,,,,,,,,,,,,,,
palm,Palm Pre 2,https://fdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900,HSPA 7.2/2 Mbps,"2010, October. Released 2010, November",Discontinued,100.7 x 59.6 x 16.9 mm (3.96 x 2.35 x 0.67 in),145 g (5.11 oz),Mini-SIM,"TFT capacitive touchscreen, 16M colors","3.1 inches, 28.6 cm2 (~47.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~186 ppi density)",No,,,5 MP,LED flash,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g,"2.1, A2DP, EDR","Yes, with A-GPS",,microUSB 2.0,"Accelerometer, proximity",,"HTML, Adobe Flash",,,HSDPA 900 / 2100,Removable Li-Ion battery,Up to 350 h,Up to 5 h 30 min,,Black,About 260 EUR,,,No,16GB 512MB RAM,,,Corning Gorilla Glass,,,HP webOS 2.0,1.0 GHz,,,,,,,,Wireless charging,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
palm,Palm Pre 2 CDMA,https://fdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg,CDMA / EVDO,CDMA 800 / 1900,CDMA2000 1xEV-DO,EV-DO Rev.A 3.1 Mbps,"2010, October. Released 2010, October",Discontinued,100.7 x 59.6 x 16.9 mm (3.96 x 2.35 x 0.67 in),145 g (5.11 oz),Mini-SIM,"TFT capacitive touchscreen, 16M colors","3.1 inches, 28.6 cm2 (~47.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~186 ppi density)",No,,,5 MP,LED flash,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g,"2.1, A2DP","Yes, with A-GPS",,microUSB 2.0,"Accelerometer, proximity",,"HTML, Adobe Flash",,,No,Removable Li-Ion battery,Up to 350 h,Up to 5 h,,Black,About 210 EUR,,,MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer Voice memo/dial Predictive text input,16GB 512MB RAM,,,Corning Gorilla Glass,,,HP webOS 2.0,1.0 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
palm,Palm Pixi Plus,https://fdn2.gsmarena.com/vv/bigpic/palm-pixi-plus-ofic.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 2100,HSPA 7.2/5.76 Mbps,"2010, March. Released 2010, June",Discontinued,111 x 55 x 10.9 mm (4.37 x 2.17 x 0.43 in),92.5 g (3.25 oz),Mini-SIM,"TFT capacitive touchscreen, 256K colors","2.63 inches, 21.8 cm2 (~35.7% screen-to-body ratio)",320 x 400 pixels (~195 ppi density),No,,,2 MP,LED flash,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g,"2.1, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity",,WAP 2.0 / HTML,,,HSDPA 850 / 1900 - for AT&T,Removable Li-Ion 1150 mAh battery,Up to 350 h,Up to 5 h 30 min (2G) / Up to 4 h (3G),,Black,About 210 EUR,,,No,8GB,,MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer Voice memo/dial,,,,Palm webOS,600 MHz ARM 11,,,,Qualcomm MSM7627,Adreno 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
palm,Palm Pre Plus,https://fdn2.gsmarena.com/vv/bigpic/palm-pre-plus-ofic.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 2100,HSPA 3.6/0.384 Mbps,"2010, March. Released 2010, May",Discontinued,100.5 x 59.5 x 16.9 mm (3.96 x 2.34 x 0.67 in),138 g (4.87 oz),Mini-SIM,"TFT capacitive touchscreen, 16M colors","3.1 inches, 28.6 cm2 (~47.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~186 ppi density)",No,,,3.15 MP,LED flash,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g,"2.1, A2DP","Yes, with A-GPS",No,microUSB 2.0,Accelerometer,,WAP 2.0 / HTML,,,HSDPA 850 / 1900 - for AT&T,Removable Li-Ion 1150 mAh battery,Up to 350 h (2G) / - (3G),Up to 4 h (2G) / Up to 4 h (3G),,Black,About 170 EUR,,,,16GB 512MB RAM,,No,,,,Palm webOS 1.3.5,600 MHz Cortex-A8,,,,,PowerVR SGX,,,Wireless charging,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
palm,Palm Pixi,https://fdn2.gsmarena.com/vv/bigpic/palm-pixi.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA 7.2/5.76 Mbps,"2009, September. Released 2009, Q4",Discontinued,111 x 55 x 10.9 mm (4.37 x 2.17 x 0.43 in),99.5 g (3.53 oz),Mini-SIM,"TFT capacitive touchscreen, 256K colors","2.63 inches, 21.8 cm2 (~35.7% screen-to-body ratio)",320 x 400 pixels (~195 ppi density),No,,,2 MP,LED flash,No,,,Yes,Yes,No,"2.1, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity",,WAP 2.0 / HTML,,,No,Removable Li-Ion 1150 mAh battery,Up to 350 h,Up to 5 h,,Black,About 120 EUR,,,MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer Voice memo/dial,8GB,,,,,,Palm webOS,600 MHz ARM 11,,,,Qualcomm MSM7627,Adreno 200,,,,,,1.56 W/kg (head)     0.63 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
palm,Palm Pre,https://fdn2.gsmarena.com/vv/bigpic/palm-pre.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA 3.6/0.384 Mbps,"2009, Februray. Released 2009, October",Discontinued,100.5 x 59.5 x 16.9 mm (3.96 x 2.34 x 0.67 in),133 g (4.69 oz),Mini-SIM,"TFT capacitive touchscreen, 16M colors","3.1 inches, 28.6 cm2 (~47.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~186 ppi density)",No,,,3.15 MP,LED flash,No,,,Yes,Yes,Wi-Fi 802.11 b/g,"2.1, A2DP (headset support only)",Yes,No,microUSB,Accelerometer,,WAP 2.0 / HTML,,,No,Removable Li-Ion 1150 mAh battery,Up to 300 h,Up to 5 h,,Black,About 180 EUR,,,,8GB 256MB RAM,,,,,,Palm webOS,600 MHz Cortex-A8,,,,,PowerVR SGX,,,Wireless charging,,,0.92 W/kg (head)     0.94 W/kg (body),,,,,,,,,,,,,,Photo,Voice 71dB / Noise 68dB / Ring 80dB,,,,,,Noise -95.7dB / Crosstalk -53.9dB,,,QWERTY,
palm,Palm Treo Pro,https://fdn2.gsmarena.com/vv/bigpic/palm-treo-pro.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA,"2008, August. Released 2008, October",Discontinued,114 x 60 x 13.4 mm (4.49 x 2.36 x 0.53 in),133 g (4.69 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.5 inches, 20.2 cm2 (~29.5% screen-to-body ratio)","320 x 320 pixels, 1:1 ratio (~181 ppi density)",microSDHC (dedicated slot),,,2 MP,,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g,"2.0, A2DP",Yes,No,microUSB,,,WAP 2.0 / HTML (PocketIE),,,5-way navigation button,Removable Li-Ion 1500 mAh battery,Up to 250 h,Up to 5  h,,Obsidian,About 70 EUR,,,No,100MB 128MB RAM,"Vibration; Downloadable polyphonic, MP3 ringtones",Organizer Pocket Office  Voice memo,,Yes,0.75 W/kg (head)     0.53 W/kg (body),Microsoft Windows Mobile 6.1 Professional,528 MHz ARM 11,,,,Qualcomm MSM7201,Adreno 130,,,,,,0.60 W/kg (head)     0.87 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
palm,Palm Centro,https://fdn2.gsmarena.com/vv/bigpic/palm-centro.jpg,GSM,GSM 850 / 900 / 1800 / 1900,,,"2008, February. Released 2008, March",Discontinued,107.2 x 53.5 x 18.6 mm (4.22 x 2.11 x 0.73 in),124 g (4.37 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.25 inches, 16.3 cm2 (~28.5% screen-to-body ratio)","320 x 320 pixels, 1:1 ratio (~201 ppi density)",microSDHC (dedicated slot),,,1.3 MP,,Yes,,,Yes,No,No,"1.2, A2DP",No,No,Proprietary,,,WAP 2.0 / HTML (Blazer 4.5),,,5-way navigation button,Removable Li-Ion 1150 mAh battery,Up to 300 h,Up to 4 h,,"Obsidian, Glacier, Midnight, Cobalt, Onyx, Electric Blue, Rose, Olive",About 70 EUR,Class 10,Class 10,No,64MB,Vibration; Downloadable polyphonic ringtones,"Document editor (Word, Excel, Powerpoint, PDF) MP3 player Organizer Voice memo",,Yes,,Palm OS 5.4.9,32-bit Intel XScale PXA270 312 MHz,,,,,,,,,,,0.27 W/kg (head)     0.22 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
palm,Palm Treo 500v,https://fdn2.gsmarena.com/vv/bigpic/palm-treo500v.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps","2007, September. Released 2008, February",Discontinued,110 x 61.5 x 16.5 mm (4.33 x 2.42 x 0.65 in),120 g (4.23 oz),Mini-SIM,"TFT, 65K colors","2.4 inches, 17.8 cm2 (~26.4% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",microSD (dedicated slot),,,2 MP,,Yes,,,Yes,No,No,"2.0, A2DP",No,No,miniUSB,,,WAP 2.0 / HTML (PocketIE),,,5-way navigation button,Removable Li-Ion 1200 mAh battery,Up to 240 h,Up to 4 h 30 min,,"Black, White",About 90 EUR,,,No,150MB,"Vibration; Downloadable polyphonic, MP3 ringtones",MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Organizer Pocket Office  Voice memo,,,0.89 W/kg (head),Microsoft Windows Mobile 6.0 Standard Edition,32-bit Intel XScale PXA270 312 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
