Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM,Keyboard,Languages
panasonic,Panasonic Eluga I7 (2019),https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-i7-2019-enterprise-edition.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2019, June","Available. Released 2019, July",148.8 x 70.9 x 9.3 mm (5.86 x 2.79 x 0.37 in),168 g (5.93 oz),"Dual SIM (Nano-SIM/Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~72.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",microSDXC (dedicated slot),,,"8 MP, f/2.0, 1.12 µm, AF","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 1/4"", 1.12µm",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio with RDS,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,,"Li-Ion 4000 mAh, non-removable",,,,"Black, Gold, Blue",About 9990 INR,,,,16GB 2GB RAM,,,,,,Android 9.0 (Pie),Quad-core 1.5 GHz,,,"1, 3, 5, 8, 40, 41",,,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panasonic,Panasonic Eluga Ray 800,https://fdn2.gsmarena.com/vv/bigpic/panasonic-ray-800.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE","2019, March","Available. Released 2019, March",152.8 x 75.3 x 8.6 mm (6.02 x 2.96 x 0.34 in),162 g (5.71 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~72.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDXC (dedicated slot),,,"13 MP, f/2.0, PDAF","Dual-LED flash, HDR, panorama",1080p@30fps,8 MP,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,,"Li-Ion 4000 mAh, non-removable",,,,Gold,About 10000 INR,,,,64GB 4GB RAM,,,Corning Gorilla Glass 3,Yes,,Android 7.0 (Nougat),Octa-core 1.8 GHz,,,"1, 3, 5, 7, 8, 20, 38, 40, 41",,,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panasonic,Panasonic P85 Nxt,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p85-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE","2018, October","Available. Released 2018, November",141.7 x 70.8 x 9.3 mm (5.58 x 2.79 x 0.37 in),173.8 g (6.14 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,,,"8 MP, AF",LED flash,720p@30fps,"5 MP, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio with RDS; recording,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity",,,,,eMMC 4.5,"Li-Ion 4000 mAh, non-removable",,,,"Blue, Gold, Black",About 7000 INR,,,,16GB 2GB RAM,,,Corning Gorilla Glass,,,Android 7.1.2 (Nougat),Quad-core 1.3 GHz Cortex-A7,,,"1, 3, 5, 40, 41",Qualcomm MSM8909 Snapdragon 210 (28 nm),Adreno 304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panasonic,Panasonic Eluga Z1 Pro,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-z1-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE","2018, October","Available. Released 2018, October",157.2 x 76.3 x 8.1 mm (6.19 x 3.00 x 0.32 in),169 g (5.96 oz),"Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.19 inches, 96.4 cm2 (~80.4% screen-to-body ratio)",720 x 1500 pixels (~269 ppi density),microSDXC (uses shared SIM slot),,,"8 MP, f/2.2","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 а/b/g/n/ac, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS","FM radio, RDS, recording","microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,eMMC 5.1,"Li-Po 4000 mAh, non-removable",,,,"Black, Gold, Blue",About 200 EUR,,,,"32GB 3GB RAM, 64GB 4GB RAM",,,Asahi Dragontrail Pro Glass,,,Android 8.1 (Oreo),Octa-core 2.0 GHz Cortex-A53,,,"1, 2, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41",Mediatek MT6762 Helio P22 (12 nm),PowerVR GE8320,,LED flash,,,,,,,,,,,,,,"13 MP, f/2.0, 27mm (wide), 1/3.1"", 1.12µm, PDAF 2 MP, f/2.8, (depth)",,,,,,,,,,,,,,,
panasonic,Panasonic Eluga Ray 530,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-530.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE","2018, October","Available. Released 2018, October",152.4 x 72.2 x 8.3 mm (6.00 x 2.84 x 0.33 in),141 g (4.97 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~76.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",microSDXC (dedicated slot),,,"13 MP, AF","LED flash, HDR, panorama",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity",,,,,,"Li-Ion 3000 mAh, non-removable",,,,"Black, Blue",About 9000 INR,,,,32GB 3GB RAM,,,,,,Android 8.0 (Oreo),Quad-core 1.3 GHz,,,"1, 3, 5, 40, 41",,,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panasonic,Panasonic Eluga Ray 600,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-600.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE","2018, October","Available. Released 2018, October",158.5 x 75.5 x 7.9 mm (6.24 x 2.97 x 0.31 in),158 g (5.57 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.99 inches, 92.6 cm2 (~77.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~269 ppi density)",microSDXC (dedicated slot),,,"13 MP, AF","LED flash, HDR, panorama",1080p@30fps,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity",,,,,eMMC 5.0,"Li-Ion 4000 mAh, non-removable",,,,"Black, Blue, Gold",About 8000 INR,,,,32GB 3GB RAM,,,,Yes,,Android 8.1 (Oreo),Quad-core 1.3 GHz Cortex-A53,,,"1, 3, 5, 40, 41",Mediatek MT6737H,Mali-T720MP2,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panasonic,Panasonic Eluga X1 Pro,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-x1-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 600/50 Mbps","2018, October","Available. Released 2018, October",155 x 75.5 x 7.9 mm (6.10 x 2.97 x 0.31 in),195 g (6.88 oz),"Hybrid Dual SIM (Nano-SIM/Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.18 inches, 96.2 cm2 (~82.2% screen-to-body ratio)","1080 x 2246 pixels, 18.7:9 ratio (~403 ppi density)",microSDXC (uses shared SIM slot),,,"16 MP, f/2.2, 1/3.06"", 1.0µm","LED flash, panorama",1080p@30fps,,,Yes,No,"Wi-Fi 802.11 а/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Infrared face recognition, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,,,eMMC 5.1,"Li-Ion 3000 mAh, non-removable",,,,"Dark Grey, Silver",About 350 EUR,,,,"64GB 4GB RAM, 128GB 6GB RAM",,,Corning Gorilla Glass 3,Yes,,Android 8.1 (Oreo),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,,"1, 2, 3, 5, 7, 8, 20, 38, 39, 40, 41",Mediatek MT6771 Helio P60 (12 nm),Mali-G72 MP3,,1080p@30fps,Charging 10W Wireless charging,,,,,,,,,,,,"Glass front (Gorilla Glass 3), glass back, stainless steel frame","16 MP, PDAF 5 MP, f/2.4, (depth)",,,,,,,,,,,,,,,
panasonic,Panasonic P90,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p90-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, June","Available. Released 2018, June",143 x 71.8 x 9.3 mm (5.63 x 2.83 x 0.37 in),151.7 g (5.36 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,,,"5 MP, AF","LED flash, panorama",720p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,,,,eMMC 5.0,Li-Ion 2400 mAh battery,,,,"Blue, Gold, Black",About 6000 INR,,,,16GB 1GB RAM,,,Corning Gorilla Glass (unspecified version),Yes,,Android 7.0 (Nougat),Quad-core 1.3 GHz Cortex-A53,,,"1, 3, 5, 40, 41",Mediatek MT6737 (28 nm),Mali-T720,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panasonic,Panasonic P95,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p95-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, May","Available. Released 2018, May",141 x 70.5 x 8 mm (5.55 x 2.78 x 0.31 in),164 g (5.78 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~69.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),,,"8 MP, AF","LED flash, HDR, panorama",720p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,,,,eMMC 4.5,Li-Ion 2300 mAh battery,,,,"Blue, Gold, Dark Grey",About 5000 INR,,,,16GB 1GB RAM,,,,Yes,,Android 7.1.2 (Nougat),Quad-core 1.3 GHz Cortex-A7,,,"1, 3, 5, 40, 41",Qualcomm MSM8909 Snapdragon 210 (28 nm),Adreno 304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panasonic,Panasonic Eluga I7,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-l7-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2018, April","Available. Released 2018, April",148.8 x 70.9 x 9.3 mm (5.86 x 2.79 x 0.37 in),168 g (5.93 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~72.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",microSDXC (dedicated slot),,,"8 MP, f/2.0, 1.12 µm, AF","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 1/4"", 1.12µm",480p,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio with RDS,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,eMMC 5.0,"Li-Ion 4000 mAh, non-removable",,,,"Black, Gold, Blue",About 6500 INR,,,,16GB 2GB RAM,,,,,,Android 7.0 (Nougat),Quad-core 1.25 GHz Cortex-A53,,,"1, 3, 5, 8, 40, 41",Mediatek MT6737H,Mali-T720MP2,,LED flash,,,ELUGA I7,,,,,,,,,,"Glass front, plastic back, plastic frame",,,,,,,,,,,,,,,,
