Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM,Keyboard,Languages
pantech,Pantech Breeze IV,https://fdn2.gsmarena.com/vv/bigpic/pantech-breeze-4.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA,"2013, November. Released 2013, November",Discontinued,106.4 x 53.1 x 17.5 mm (4.19 x 2.09 x 0.69 in),102 g (3.60 oz),Yes,"TFT, 256K colors","3.0 inches, 25.6 cm2 (~45.3% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",microSDHC (dedicated slot),"Yes, Photocall",Yes,"3.15 MP, AF",LED flash,Yes,,,Yes,No,No,"2.1, A2DP, EDR",No,No,microUSB,,"SMS, MMS, Email, IM",,Yes,Yes,Secondary external display,"Li-Ion 1030 mAh, removable",Up to 240 h,Up to 3 h,,Black,About 160 EUR,,,No,256MB 128MB RAM,,MP3/eAAC+/WMA/WAV player MP4/WMV/H.263 player Organizer Document viewer Voice memo/dial Predictive text input,,,,,,,,,Qualcomm QSC6270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pantech,Pantech Vega No 6,https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-no-6.jpg,GSM / CDMA / HSPA / EVDO / LTE,CDMA 800 / 1900,HSDPA 2100,"HSPA, LTE, EV-DO Rev. A","2013, January. Released 2013, February",Discontinued,158.6 x 83.2 x 9.9 mm (6.24 x 3.28 x 0.39 in),210.5 g (7.41 oz),Micro-SIM,"Natural IPS Pro LCD capacitive touchscreen, 16M colors","5.9 inches, 96.0 cm2 (~72.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~373 ppi density)",microSDXC (dedicated slot),,,"13 MP, AF","LED flash, HDR",1080p@30fps,2 MP,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",No,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",,,,,GSM 900 / 1800 / 1900,"Li-Ion 3140 mAh, removable",Up to 450 h,Up to 16 h 40 min,,"Black, White",,,,CDMA2000 1xEV-DO,32GB 2GB RAM,,T-DMB TV tuner,,,0.72 W/kg (head),"Android 4.1.2 (Jelly Bean), Flux UX UI",Quad-core 1.5 GHz Krait,,,LTE 800,Qualcomm APQ8064 Snapdragon S4 Pro,Adreno 320,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
pantech,Pantech Discover,https://fdn2.gsmarena.com/vv/bigpic/pantech-discover.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,"HSPA, LTE","2013, January. Released 2013, January",Discontinued,134.2 x 68.6 x 9.1 mm (5.28 x 2.70 x 0.36 in),135 g (4.76 oz),Micro-SIM,"TFT capacitive touchscreen, 16M colors","4.8 inches, 63.5 cm2 (~69.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~306 ppi density)",microSDHC (dedicated slot),,,"12.6 MP, AF","LED flash, HDR",1080p@30fps,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,"Li-Ion 2100 mAh, removable",Up to 430 h,Up to 10 h,,Gray,About 370 EUR,,,,"16GB (13GB user available), 1GB RAM",,,,,,Android 4.0.4 (Ice Cream Sandwich),Dual-core 1.5 GHz Krait,,,"2, 4, 5, 17",Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,,,,,,,,,Yes,,,,,,,,,,,,,Endurance rating 48h,,,,,,,,,
pantech,Pantech Vega R3 IM-A850L,https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-r3.jpg,GSM / CDMA / HSPA / EVDO / LTE,CDMA 800 / 1900,HSDPA 2100,"HSPA, LTE, EV-DO Rev. A","2012, October. Released 2012, October",Discontinued,144.7 x 74.3 x 10 mm (5.70 x 2.93 x 0.39 in),168.5 g (5.93 oz),Micro-SIM,"Natural IPS Pro LCD capacitive touchscreen, 16M colors","5.3 inches, 77.4 cm2 (~72.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~277 ppi density)",microSDHC (dedicated slot),,,"13 MP, AF",LED flash,1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS",No,"microUSB 2.0, USB On-The-Go","Accelerometer, gyro, proximity, compass",,,,,GSM 850 / 900 / 1800 / 1900,"Li-Ion 2600 mAh, removable",,Up to 14 h 30 min,,"Black, White",About 550 EUR,,,CDMA2000 1xEV-DO,16GB 2GB RAM,,T-DMB TV tuner MP4/H.264/WMV/DviX/XviD player MP3/WMA/WAV/eAAC+ player Document viewer/editor,,,,"Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean)",Quad-core 1.5 GHz Krait,,,LTE 800,Qualcomm APQ8064 Snapdragon S4 Pro,Adreno 320,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
pantech,Pantech Flex  P8010,https://fdn2.gsmarena.com/vv/bigpic/pantech-flex.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,"HSPA, LTE","2012, September. Released 2012, September",Discontinued,129.8 x 67.1 x 7.9 mm (5.11 x 2.64 x 0.31 in),132 g (4.66 oz),Micro-SIM,"Super AMOLED Advanced capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm2 (~58.5% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)","microSDHC (dedicated slot), 8 GB included",,,"8 MP, AF","LED flash, HDR, panorama",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",,,,,MP4/WMV/H.264 player MP3/WAV/eAAC+ player Photo/video editor Document viewer,"Li-Ion 1830 mAh, removable",Up to 430 h,Up to 10 h,Up to 21 h,Gray,About 230 EUR,,,,8GB 1GB RAM,,,,,,"Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.1.2 (Jelly Bean)",Dual-core 1.5 GHz Krait,,,"4, 17",Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,,,,,,0.66 W/kg (head)     1.02 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,,
pantech,Pantech Renue,https://fdn2.gsmarena.com/vv/bigpic/pantech-renue.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900,HSPA,"2012, July. Released 2012, July",Discontinued,99 x 63 x 12 mm (3.90 x 2.48 x 0.47 in),128 g (4.52 oz),Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.2 inches, 31.7 cm2 (~50.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~125 ppi density)",microSDHC (dedicated slot),"Yes, Photocall",Yes,3.15 MP,,320p,,,Yes,Yes,No,"2.1, A2DP, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity","SMS(threaded view), MMS, Email, IM",,Yes + downloadable,No,No,Removable Li-Ion 1000 mAh battery,Up to 250 h,Up to 3 h,,Black,,,,SNS applications MP4/H.264/WMV player MP3/WMA/WAV/eAAC+ player Document viewer Organizer Voice memo/dial Predictive text input,185MB 256MB RAM,,,,,,,,,,,Qualcomm QSC 6270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
pantech,Pantech Marauder,https://fdn2.gsmarena.com/vv/bigpic/pantech-marauder.jpg,CDMA / EVDO / LTE,CDMA 800 / 1900,CDMA2000 1xEV-DO,"EV-DO Rev.A 3.1 Mbps, LTE","2012, July. Released 2012, August",Discontinued,129 x 65 x 12 mm (5.08 x 2.56 x 0.47 in),173 g (6.10 oz),Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.8 inches, 41.1 cm2 (~49.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~246 ppi density)",microSDHC (dedicated slot),,,"5 MP, AF",,720p,Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",,,,,MP4/H.264/WMV player MP3/WMA/WAV/eAAC+ player Document viewer Organizer Voice memo/dial/commands Predictive text input,Removable Li-Ion 1680 mAh battery,Up to 533 h,Up to 8 h 10 min,,Black,,,,,4GB 1GB RAM,,,,,,Android 4.0 (Ice Cream Sandwich),Dual-core 1.2 GHz,,,13,,,,,,,,0.63 W/kg (head)     0.89 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
pantech,Pantech Vega Racer 2 IM-A830L,https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-racer-2.jpg,CDMA / HSPA / LTE,CDMA 800 / 1900,HSDPA 2100,"HSPA, LTE","2012, May. Released 2012, May",Discontinued,132.4 x 68.9 x 9.4 mm (5.21 x 2.71 x 0.37 in),134.1 g (4.73 oz),Mini-SIM,"Super IPS LCD capacitive touchscreen, 16M colors","4.8 inches, 63.5 cm2 (~69.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~306 ppi density)",microSDHC (dedicated slot),,,"8 MP, AF",LED flash,1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0 (MHL TV-out),"Accelerometer, gyro, proximity, compass",,,,,Touchless UX UI,Removable Li-Ion 2020 mAh battery,,,,"Black, White",About 340 EUR,,,T-DMB TV tuner MP4/H.264/WMV/DviX/XviD player MP3/WMA/WAV/eAAC+ player Document viewer/editor Organizer Voice memo/dial/commands Predictive text input,16GB 1GB RAM,,,,,,Android 4.0 (Ice Cream Sandwich),Dual-core 1.5 GHz Krait,,,LTE 800,Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pantech,Pantech Vega LTE EX IM-A820L,https://fdn2.gsmarena.com/vv/bigpic/Pantech-Vega-LTE-EX.jpg,CDMA / HSPA / LTE,CDMA 800 / 1900,HSDPA 2100,"HSPA, LTE","2012, January. Released 2012, January",Discontinued,134.5 x 69.8 x 9.7 mm (5.30 x 2.75 x 0.38 in),136.2 g (4.80 oz),Mini-SIM,"Super IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 58.7 cm2 (~62.5% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~335 ppi density)",microSDHC (dedicated slot),,,"8 MP, AF",LED flash,1080p@30fps,Yes,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","3.0, A2DP","Yes, with A-GPS",No,microUSB 2.0 (MHL TV-out),"Accelerometer, gyro, proximity, compass",,,,,Touchless UX UI,Removable Li-Ion 1830 mAh battery,Up to 174 h,Up to 6 h 25 min,,"Black, White",About 230 EUR,,,T-DMB TV tuner MP4/H.264/WMV/DviX/XviD player MP3/WMA/WAV/eAAC+ player Document viewer/editor Organizer Voice memo/dial/commands Predictive text input,16GB 1GB RAM,,,,,0.64 W/kg (head),Android 2.3 (Gingerbread),Dual-core 1.5 GHz,,,LTE 800,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
pantech,Pantech Burst,https://fdn2.gsmarena.com/vv/bigpic/pantech-burst.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,"HSPA, LTE","2012, January. Released 2012, January",Discontinued,126.5 x 62.5 x 11.4 mm (4.98 x 2.46 x 0.45 in),122.5 g (4.30 oz),Micro-SIM,"Super AMOLED capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~57.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC (dedicated slot),,,"5 MP, AF",LED flash,720p@30fps,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",,,,,MP4/WMV/H.264 player MP3/WAV/eAAC+ player Organizer Photo/video editor Document viewer Voice memo/dial Predictive text input,Removable Li-Ion 1650 mAh battery,Up to 240 h,Up to 4 h 30 min,,"Titanium, Ruby Red",About 270 EUR,,,,16GB 1GB RAM,,,,,,"Android 2.3.5 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Dual-core 1.5 GHz Scorpion,,,"4, 17",Qualcomm MSM8660 Snapdragon S3,Adreno 220,,,,,,,,,,,,,,,,,,,,,,Endurance rating 31h,,,,,,,,,
