Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM,Keyboard,Languages
parla,Parla Minu P124,https://fdn2.gsmarena.com/vv/bigpic/parla-minu-p124.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2015, November","Available. Released 2016, February",112 x 48.5 x 13 mm (4.41 x 1.91 x 0.51 in),83 g (2.93 oz),Dual SIM (Mini-SIM),"TFT, 256K colors","1.8 inches, 10.2 cm2 (~18.8% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSDHC (dedicated slot),Yes,Yes,VGA,,Yes,,,Yes,Yes,No,2.1,No,Stereo FM radio,microUSB 2.0,,SMS,,No,No,No,"Li-Ion 600 mAh, removable",Up to 200 h,Up to 4 h,,"Black, White",,Yes,No,Music player Video player Organizer,4MB 4MB RAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parla,Parla Sonic 3.5S,https://fdn2.gsmarena.com/vv/bigpic/parla-sonic-35s.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 - SM35SH079,HSPA 21.1/5.76 Mbps,"2015, June. Released 2015, July",Discontinued,117.8 x 63 x 11.7 mm (4.64 x 2.48 x 0.46 in),98 g (3.46 oz),Dual SIM (Mini-SIM/ Micro-SIM),"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~49.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC,,,"2 MP, AF","LED flash, HDR",480p@30fps,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","2.1, EDR",A-GPS only,Stereo FM radio,microUSB 2.0,Accelerometer,,,,,HSDPA 900 / 2100 - SM35SH083,"Li-Ion 1300 mAh, removable",Up to 171 h (3G),Up to 3 h 30 min (3G),,"Black, White",,,,No,512MB 256MB RAM,,,,,,Android 4.4 (KitKat),1.0 GHz Cortex-A7,,,,Spreadtrum 7715,Mali-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parla,Parla Minu P123,https://fdn2.gsmarena.com/vv/bigpic/parla-P123.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2014, September. Released 2014, November",Discontinued,106.5 x 45 x 14 mm (4.19 x 1.77 x 0.55 in),73 g without battery (2.57 oz),Dual SIM (Mini-SIM),"TFT, 65K colors","1.8 inches, 10.2 cm2 (~21.3% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSDHC,Yes,Yes,VGA,,Yes,,,Yes,No,No,2.0,No,Stereo FM radio,microUSB,,SMS,,No,No,Flashlight,"Li-Ion 600 mAh, removable",Up to 200 h,Up to 4 h,,"Black, White",,Yes,No,No,32Mb 32Mb RAM,,Music player Video player Organizer Voice memo Whatsapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parla,Parla Sonic 3.5,https://fdn2.gsmarena.com/vv/bigpic/parla-sonic-3.5.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 - SIM 1 only,HSPA 7.2/5.76 Mbps,"2013, September. Released 2013, Q4",Discontinued,116 x 62.2 x 11.6 mm (4.57 x 2.45 x 0.46 in),105 g (3.70 oz),Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~50.6% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC (dedicated slot),,,2 MP,,480p@30fps,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","2.1, A2DP",No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,No,"Li-Ion 1300 mAh, removable",Up to 600 h (2G) / Up to 500 h (3G),Up to 16 h (2G) / Up to 6 h (3G),,"Black, White",,,,,512MB 512MB RAM,,,,,,Android 4.1 (Jelly Bean),1.0 GHz Cortex-A5,,,,Spreadtrum SC7710G,Mali-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parla,Parla Zum Bianco,https://fdn2.gsmarena.com/vv/bigpic/parla-zum-bianco.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2013, September. Released 2013, Q4",Discontinued,103.8 x 45.8 x 13.4 mm (4.09 x 1.80 x 0.53 in),90 g (3.17 oz),Triple SIM (Mini-SIM),"TFT, 65K colors","1.8 inches, 10.2 cm2 (~21.4% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSDHC (dedicated slot),Yes,Yes,VGA,,Yes,,,Yes,No,No,2.0,No,Stereo FM radio,miniUSB,,SMS,,Yes,No,GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3 (P130 only),"Li-Ion 600 mAh, removable",Up to 230 h,Up to 6 h,,White,,No,No,Flashlight,32Mb 32Mb RAM,,Music player Video player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parla,Parla Minu,https://fdn2.gsmarena.com/vv/bigpic/parla-minu.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2013, September. Released 2013, Q4",Discontinued,110.6 x 46.4 x 13.7 mm (4.35 x 1.83 x 0.54 in),70 g (2.47 oz),Dual SIM (Mini-SIM),"TFT, 65K colors","1.8 inches, 10.2 cm2 (~19.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSDHC (dedicated slot),Yes,Yes,VGA,,Yes,,,Yes,Yes,No,"2.1, A2DP",No,Stereo FM radio,microUSB 2.0,,"SMS, MMS",,Yes,No,Flashlight,"Li-Ion 600 mAh, removable",Up to 200 h,Up to 5 h,,"Black, White",,Class 12,No,No,32Mb 32Mb RAM,,Music player Video player Organizer Voice memo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parla,Parla Gala,https://fdn2.gsmarena.com/vv/bigpic/parla-gala-p730.jpg,GSM,GSM 850 / 900 / 1800 / 1900,,,"2012, June. Released 2012, Q4",Discontinued,105.5 x 59 x 12.9 mm (4.15 x 2.32 x 0.51 in),90 g without battery (3.17 oz),Triple SIM (Mini-SIM),"TFT, 65K colors","2.3 inches, 16.4 cm2 (~26.3% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~174 ppi density)",microSDHC (dedicated slot),Yes,Yes,2 MP,LED flash,Yes,,,Yes,Yes,Wi-Fi 802.11 a/b/g,"2.1, A2DP",No,Stereo FM radio,microUSB,,"SMS, MMS",,Yes,Yes,GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3 (P730 only),"Li-Ion 800 mAh, removable",Up to 280 h,Up to 7 h,,Black,,Yes,Yes,Flashlight,128Mb 64Mb RAM,,Analog TV Facebook Music player Video player Organizer Voice memo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
parla,Parla Spriz,https://fdn2.gsmarena.com/vv/bigpic/parla-spriz-p430.jpg,GSM,GSM 850 / 900 / 1800 / 1900,,,"2012, June. Released 2012, Q4",Discontinued,104.6 x 57.2 x 13 mm (4.12 x 2.25 x 0.51 in),90 g without battery (3.17 oz),Triple SIM (Mini-SIM),"TFT, 65K colors","2.0 inches, 12.4 cm2 (~20.7% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~200 ppi density)",microSDHC (dedicated slot),Yes,Yes,2 MP,LED flash,Yes,,,Yes,Yes,No,"2.1, A2DP",No,Stereo FM radio,microUSB,,"SMS, MMS",,Yes,Yes,GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3 (P430 only),"Li-Ion 700 mAh, removable",Up to 260 h,Up to 6 h,,"Black, White",,Yes,Yes,Flashlight,128Mb 64Mb RAM,,Analog TV Facebook Music player Video player Organizer Voice memo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
parla,Parla Mist,https://fdn2.gsmarena.com/vv/bigpic/parla-mist-p330.jpg,GSM,GSM 850 / 900 / 1800 / 1900,,,"2012, June. Released 2012, Q4",Discontinued,104.6 x 57 x 12.9 mm (4.12 x 2.24 x 0.51 in),90 g without battery (3.17 oz),Triple SIM (Mini-SIM),"TFT, 65K colors","1.8 inches, 10.2 cm2 (~17.1% screen-to-body ratio)",160 x 128 pixels (~114 ppi density),microSDHC (dedicated slot),Yes,Yes,VGA,LED flash,Yes,,,Yes,Yes,No,"2.1, A2DP",No,Stereo FM radio; built-in antenna,microUSB,,"SMS, MMS",,Yes,No,GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3 (P330 only),"Li-Ion 700 mAh, removable",Up to 260 h,Up to 6 h,,"Black, White, Silver",,Class 12,No,Flashlight,32Mb 32Mb RAM,,Music player Video player Organizer Voice memo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
parla,Parla Zum,https://fdn2.gsmarena.com/vv/bigpic/parla-zum-p130.jpg,GSM,GSM 850 / 900 / 1800 / 1900,,,"2012, June. Released 2012, Q4",Discontinued,103.8 x 45.8 x 13.4 mm (4.09 x 1.80 x 0.53 in),90 g without battery (3.17 oz),Triple SIM (Mini-SIM),"TFT, 65K colors","1.8 inches, 10.2 cm2 (~21.4% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSDHC (dedicated slot),Yes,Yes,VGA,,Yes,,,Yes,No,No,No,No,Stereo FM radio,miniUSB,,SMS,,Yes,No,GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3 (P130 only),"Li-Ion 700 mAh, removable",Up to 260 h,Up to 6 h,,"Black, White",,No,No,Flashlight,32Mb 16Mb RAM,,Music player Video player Organizer Voice memo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
