Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM,Keyboard,Languages
philips,Philips S337,https://fdn2.gsmarena.com/vv/bigpic/philips-s337.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,"2015, October. Released 2015, November",Discontinued,144.8 x 72.5 x 10.4 mm (5.70 x 2.85 x 0.41 in),152 g (5.36 oz),"Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 256K colors","5.0 inches, 68.9 cm2 (~65.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC (dedicated slot),,,"5 MP, AF",LED flash,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,,"Li-Ion 2000 mAh, removable",Up to 480 h (3G),Up to 6 h 40 min (3G),,Black,,,,,8GB 1GB RAM,,,,,,Android 5.1 (Lollipop),Quad-core 1.3 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips,Philips S309,https://fdn2.gsmarena.com/vv/bigpic/philips-s309.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,"2015, July. Released 2015, July",Discontinued,127.6 x 64.7 x 10.8 mm (5.02 x 2.55 x 0.43 in),127 g (4.48 oz),"Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~55.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC (dedicated slot),,,"5 MP, AF",LED flash,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,,"Li-Ion 1600 mAh, removable",Up to 500 h (3G),Up to 9 h 30 min (3G),,"Black, Red",,,,,8GB 1GB RAM,,,,,,Android 5.1 (Lollipop),Dual-core 1.0 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips,Philips V787,https://fdn2.gsmarena.com/vv/bigpic/philips-v787.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, December. Released 2015, December",Discontinued,143 x 71.6 x 9.8 mm (5.63 x 2.82 x 0.39 in),164 g (5.78 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDHC (dedicated slot),,,"13 MP, AF",LED flash,1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,"Li-Ion 5000 mAh, non-removable",,,,Black,,,,,16GB 2GB RAM,,,,,,Android 5.1 (Lollipop),Octa-core 1.3 GHz,,,"38, 39, 40, 41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips,Philips V377,https://fdn2.gsmarena.com/vv/bigpic/philips-v377.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,HSPA 42.2/11.5 Mbps,"2015, December. Released 2015, December",Discontinued,145 x 74 x 10.9 mm (5.71 x 2.91 x 0.43 in),190 g (6.70 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC (dedicated slot),,,"5 MP, AF",LED flash,Yes,Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,,"Li-Ion 5000 mAh, non-removable",Up to 1100 h,Up to 29 h,,Black,,,,,8GB 1GB RAM,,,,,,Android 5.1 (Lollipop),Quad-core 1.3 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips,Philips S616,https://fdn2.gsmarena.com/vv/bigpic/philips-s616.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, November. Released 2015, November",Discontinued,143 x 71.6 x 9.8 mm (5.63 x 2.82 x 0.39 in),164 g (5.78 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~81.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDXC (dedicated slot),,,"13 MP, AF",LED flash,1080p@30fps,Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,Li-Ion 3000 mAh battery,,,,Black,,,,,16GB 2GB RAM,,,,,,Android 5.1 (Lollipop),Octa-core 1.3 GHz,,,"1, 3, 7, 8, 20, 38, 39, 40, 41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips,Philips I928,https://fdn2.gsmarena.com/vv/bigpic/philips-i928.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,HSPA 21.1/11.5 Mbps,"2015, September. Released 2015, September",Discontinued,160.1 x 81.8 x 8.2 mm (6.30 x 3.22 x 0.32 in),168 g (5.93 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~75.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",microSDHC (dedicated slot),,,"13 MP, f/2.0, AF",LED flash,1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,Li-Ion 3000 mAh battery,,,,"Black, White",,,,,16GB 2GB RAM,,,,,,Android 4.4 (KitKat),Octa-core 1.7 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips,Philips V526,https://fdn2.gsmarena.com/vv/bigpic/philips-v526-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2015, August. Released 2015, August",Discontinued,145 x 73.4 x 10 mm (5.71 x 2.89 x 0.39 in),189 g (6.67 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),,,"13 MP, AF",LED flash,1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,Li-Ion 5000 mAh battery,Up to 1130 h,Up to 28 h,,Black,,,,,8GB 1GB RAM,,,,,,Android 5.1 (Lollipop),Quad-core 1.3 GHz,,,"1, 3, 7, 20, 38, 39, 40, 41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips,Philips I908,https://fdn2.gsmarena.com/vv/bigpic/philips-i908.jpg,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,HSPA 21.1/11.5 Mbps,"2015, August. Released 2015, August",Discontinued,143 x 70 x 8.8 mm (5.63 x 2.76 x 0.35 in),156 g (5.50 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDHC (dedicated slot),,,"13 MP, f/2.2, AF",LED flash,1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,Li-Ion 3000 mAh battery,,,,"Black, White",,,,,16GB 2GB RAM,,,,,,Android 4.4.2 (KitKat),Octa-core 1.7 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips,Philips S396,https://fdn2.gsmarena.com/vv/bigpic/philips-s396.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2015, June. Released 2015, June",Discontinued,141.9 x 73 x 9.7 mm (5.59 x 2.87 x 0.38 in),151 g (5.33 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),,,"8 MP, AF",LED flash,1080p@30fps,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,"Li-Ion 2300 mAh, removable",,,,Black,,,,,8GB 1GB RAM,,,,,,Android 5.1 (Lollipop),Quad-core 1.0 GHz Cortex-A53,,,"1, 3, 7, 20, 38, 39, 40, 41",Mediatek MT6735P (28 nm),Mali-T720MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips,Philips S388,https://fdn2.gsmarena.com/vv/bigpic/philips-s388.jpg,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,HSPA,"2014, Q3. Released 2014, Q3",Discontinued,131 x 67.1 x 9.1 mm (5.16 x 2.64 x 0.36 in),136.5 g (4.83 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~63.5% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",microSDHC (dedicated slot),,,"5 MP, AF",LED flash,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g,"3.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,,,No,"Li-Ion 1700 mAh, removable",,,,Black,,,,,,,,,,,Android 4.2 (Jelly Bean),Quad-core 1.3 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
