Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM,Keyboard,Languages
plum,Plum Tag 2 3G,https://fdn2.gsmarena.com/vv/bigpic/plum-tag2-3g.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900,"Yes, 384 kbps","2019, January","Available. Released 2019, January",123 x 53 x 13.7 mm (4.84 x 2.09 x 0.54 in),85 g (3.00 oz),"Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)","TFT, 256K colors","2.4 inches, 17.8 cm2 (~27.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,Yes,Yes,1.3 MP,,Yes,,,Yes,Yes,No,2.0,No,"FM Radio, built-in antenna",microUSB 2.0,,"SMS, MMS, Email, WhatsApp, Facebook",,Yes,Yes,No,"Li-Ion 800 mAh, removable",Up to 240 h (2G) / Up to 200 h (3G),Up to 4 h 30 min (2G) / Up to 4 h 30 min (3G),,"Red, Blue, Orange",,,,,512MB 256MB RAM,,,,,,,1.2 GHz Cortex-A7,,,,Spreadtrum 7715A,Mali-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plum,Plum Phantom 2,https://fdn2.gsmarena.com/vv/bigpic/plum-z621-phantom-2.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,HSPA 21.1/5.76 Mbps,"2018, December","Available. Released 2019, January",155.9 x 75.8 x 10.4 mm (6.14 x 2.98 x 0.41 in),195 g (6.88 oz),"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.72 inches, 84.4 cm2 (~71.5% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~188 ppi density)",microSDHC,,,8 MP,LED flash,1080p@30fps,5 MP,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,,,,"Li-Ion 2700 mAh, removable",Up to 200 h (3G),Up to 5 h 30 min (3G),,"Black, Gold",,,,,8GB 1GB RAM,,,,,,Android 8.0 Oreo (Go edition),Quad-core 1.3 GHz Cortex-A7,,,,Mediatek MT6580A (28 nm),Mali-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plum,Plum Optimax 13,https://fdn2.gsmarena.com/vv/bigpic/plum-optimax13.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,HSPA 21.1/5.76 Mbps,"2018, December","Available. Released 2019, January",250.8 x 158.8 x 10.2 mm (9.87 x 6.25 x 0.40 in),510 g (1.12 lb),"Dual SIM (Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~74.3% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",microSDHC,,,5 MP,LED flash,720p@30fps,2 MP,480p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,,,,"Li-Ion 4700 mAh, non-removable",Up to 72 h,Up to 3 h 30 min,,"Black, White, Gold",,,,,8GB 1GB RAM,,,,,,Android 8.0 Oreo (Go edition),Quad-core 1.3 GHz Cortex-A7,,,,Spreadtrum SC7731,Mali-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plum,Plum Flipper 2,https://fdn2.gsmarena.com/vv/bigpic/plum-flipper-2.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2018, December","Available. Released 2018, December",99.9 x 52 x 14.9 mm (3.93 x 2.05 x 0.59 in),76 g (2.68 oz),Dual SIM,"TFT, 65K colors","2.4 inches, 17.8 cm2 (~34.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,Yes,Yes,1.3 MP,,Yes,,,Yes,No,No,2.0,No,FM radio,microUSB 2.0,,SMS,,No,No,Flashlight,"Li-Ion 750 mAh, removable",Up to 150 h,Up to 4 h,,"Black, Red, Blue",,Yes,No,No,"32MB ROM, 32MB RAM",,MP3/WAV/AAC player Photo/video editor Document viewer,,,,,,,,,Mediatek MT6261D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plum,Plum Ram 8,https://fdn2.gsmarena.com/vv/bigpic/plum-ram8.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,HSPA 21.1/5.76 Mbps,"2018, December","Available. Released 2018, December",111.5 x 57.5 x 22 mm (4.39 x 2.26 x 0.87 in),134 g (4.73 oz),"Dual SIM (Mini-SIM, dual stand-by)","TFT, 256K colors","2.4 inches, 17.8 cm2 (~27.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,Yes,Yes,5 MP,LEd flash,240p@15fps,,,Yes,Yes,No,3.0,No,FM radio; built-in antenna,microUSB 2.0,,"SMS, MMS",,No,Yes,IP68 dust/water resistant (up to 1.5m for 30 mins) Flashlight,"Li-Ion 1200 mAh, removable",Up to 120 h (3G),Up to 8 h (3G),,"Black, Black/Orange",,,,,128MB 64MB RAM,,MP4/H.264 player MP3 player Photo editor,,,,,,,,,Mediatek MT6276A,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plum,Plum Gator 5,https://fdn2.gsmarena.com/vv/bigpic/plum-gator-5.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,HSPA 21.1/5.76 Mbps,"2018, October","Available. Released 2018, November",148 x 76.3 x 12 mm (5.83 x 3.00 x 0.47 in),210 g (7.41 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~66.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",microSDXC,,,"13 MP, AF",LED flash,720p@30fps,5 MP,480p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,IP68 dust/water resistant (up to 1.2m for 30 mins) Drop-to-concrete resistance (up to 1.8m),"Li-Ion 3700 mAh, non-removable",Up to 528 h (3G),Up to 46 h (3G),,"Black, Orange",,,,,16GB 2GB RAM,,,Panda Glass,,,Android 8.1 (Oreo),Quad-core 1.3 GHz Cortex-A7,,,,Mediatek MT6580 (28 nm),Mali-400MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plum,Plum Tag 3G,https://fdn2.gsmarena.com/vv/bigpic/plum-tag-3g.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900,"Yes, 384 kbps","2018, March","Available. Released 2018, March",126.5 x 55 x 15 mm (4.98 x 2.17 x 0.59 in),82 g (2.89 oz),Dual SIM,"TFT, 256K colors","2.4 inches, 17.8 cm2 (~25.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,Yes,Yes,1.3 MP,,Yes,,,Yes,Yes,No,"2.1, EDR",No,FM radio,microUSB 2.0,,SMS,,No,No,Flashlight,"Li-Ion 800 mAh, removable",Up to 120 h,Up to 4 h,,"Black, Gold",,,,No,"128MB ROM, 64MB RAM",,Audio player Document viewer,,,,,,,,,Spreadtrum 7701B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plum,Plum Optimax 11,https://fdn2.gsmarena.com/vv/bigpic/plum-z811.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,HSPA 21.1/11 Mbps,"2018, March","Available. Released 2018, April",208 x 123 x 10 mm (8.19 x 4.84 x 0.39 in),330 g (11.64 oz),"Dual SIM (Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~72.5% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",microSDHC,,,5 MP,LED flash,720p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",2.1,"Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,,,,Li-Ion 3500 mAh battery,Up to 800 h,Up to 40 h,,"Black, White, Gray, Gold, Rose Gold",,,,,16GB 1GB RAM,,,,,,Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A7,,,,Spreadtrum SC7731G,Mali-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plum,Plum Optimax 12,https://fdn2.gsmarena.com/vv/bigpic/plum-z712.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,HSPA 21.1/5.76 Mbps,"2018, March","Available. Released 2018, April",188 x 107.5 x 10.3 mm (7.40 x 4.23 x 0.41 in),272 g (9.59 oz),"Dual SIM (Mini-SIM, dual stand-by)","TN TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~68.2% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",microSDHC,,,5 MP,LED flash,720p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,,,,Li-Ion 2400 mAh battery,Up to 132 h,Up to 3 h,,"Black, Silver, Rose Gold",,,,,8GB 1GB RAM,,,,,,Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A7,,,,Mediatek MT8321 (28 nm),Mali-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plum,Plum Optimax 2,https://fdn2.gsmarena.com/vv/bigpic/plum-z702n.jpg,No cellular connectivity,N/A,,,"2018, March","Available. Released 2018, April",192 x 109.7 x 11.5 mm (7.56 x 4.32 x 0.45 in),270 g (9.52 oz),No,"TN TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~65.5% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",microSDHC,,,5 MP,,720p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",2.1,No,FM radio,microUSB 2.0,Accelerometer,,,,,,Li-Ion 2400 mAh battery,Up to 170 h,Up to 12 h,,"Black, Silver, Pink, Gold, Rose Gold",,No,No,,8GB 1GB RAM,,,,,,Android 6.0 (Marshmallow),Quad-core 1.2 GHz Cortex-A7,,,,,Mali-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
