Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM,Keyboard,Languages
posh,Posh Memo Pro LTE L600,https://fdn2.gsmarena.com/vv/bigpic/posh-l600.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700 / 2100 - L600A,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, August","Available. Released 2016, December",161.5 x 85.6 x 7.9 mm (6.36 x 3.37 x 0.31 in),187.6 g (6.63 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~71.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",microSDXC,,,"8 MP, AF",LED flash,1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,,,HSDPA 900 / 1900 / 2100 - L600B,Li-Po 2700 mAh battery,Up to 180 h (3G),Up to 5 h 30 min (3G),,"Black, White",,,,"1, 3, 7, 8, 20 - L600B",16GB 1GB RAM,,,,,,Android 5.1 (Lollipop),Quad-core 1.0 GHz Cortex-A53,,,"2, 4, 5, 7, 17 - L600A",Mediatek MT6735 (28 nm),Mali-T720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posh,Posh Equal Plus X700,https://fdn2.gsmarena.com/vv/bigpic/posh-x700.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,HSPA,"2016, September","Available. Released 2017, January",192.1 x 107.9 x 9.9 mm (7.56 x 4.25 x 0.39 in),275 g (9.70 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~66.5% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",microSDXC,,,5 MP,LED flash,Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,,,,Li-Po 2650 mAh battery,Up to 176 h (3G),Up to 5 h (3G),,"Black, Silver, Rose Gold",,,,,16GB 1GB RAM,,,,,,Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A7,,,,Mediatek MT8321 (28 nm),Mali-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posh,Posh Ultra Max LTE L550,https://fdn2.gsmarena.com/vv/bigpic/posh-um-l550.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, August","Available. Released 2016, December",152.1 x 76.8 x 7.3 mm (5.99 x 3.02 x 0.29 in),177 g (6.24 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDXC,,,"8 MP, AF",LED flash,1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,eMMC 5.0,Li-Po 2700 mAh battery,Up to 180 h (3G),Up to 5 h 30 min (3G),,"Black, Gold, White",,,,,16GB 1GB RAM,,,,,,Android 6.0 (Marshmallow),Quad-core 1.25 GHz Cortex-A53,,,"2, 3, 4, 7, 17, 12, 20",Mediatek MT6737 (28 nm),Mali-T720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posh,Posh Kick Pro LTE L520,https://fdn2.gsmarena.com/vv/bigpic/posh-Kick_Pro_LTE_L520.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, November","Available. Released 2016, April",142.5 x 71.5 x 8.6 mm (5.61 x 2.81 x 0.34 in),130 g (4.59 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,,,"8 MP, AF","LED flash, HDR, panorama",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity",,,,,,"Li-Ion 2000 mAh, removable",,,,"White, Gold, Gray",,,,,8GB 1GB RAM,,,,,,Android 6.0 (Marshmallow),Quad-core 1.0 GHz Cortex-A53,,,"2, 4, 7, 17",Mediatek MT6735P (28 nm),Mali-T720MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posh,Posh Optima LTE L530,https://fdn2.gsmarena.com/vv/bigpic/posh-Optima_LTE_L530.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, February","Available. Released 2016, April",143.5 x 69.4 x 8 mm (5.65 x 2.73 x 0.31 in),133 g (4.69 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~69.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,,,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF","Dual-LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.2, 1/3"", AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",No,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",,,,,,"Li-Po 3000 mAh, non-removable",Up to 400 h (2G) / Up to 300 h (3G),Up to 10 h (2G) / Up to 8 h (3G),,"Black, Gold",,,,,16GB 2GB RAM,,,,,,Android 5.1 (Lollipop),Octa-core 1.3 GHz Cortex-A53,,,"2, 4, 7, 17",Mediatek MT6753 (28 nm),Mali-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posh,Posh Icon HD X551,https://fdn2.gsmarena.com/vv/bigpic/posh-Icon_HD_X551.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,HSPA 21.1/5.76 Mbps,"2015, November","Available. Released 2016, January",153.2 x 79 x 8.2 mm (6.03 x 3.11 x 0.32 in),115 g (4.06 oz),"Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~68.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDHC,,,"8 MP, AF","LED flash, HDR, panorama",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,"Li-Po 2100 mAh, removable",Up to 700 h (2G) / Up to 250 h (3G),Up to 22 h (2G) / Up to 12 h (3G),,"Dark Grey, White, Gold, Rose Gold, Silver",,,,,16GB 1GB RAM,,,,,,Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A7,,,,Mediatek MT6580A (28 nm),Mali-400MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posh,Posh Volt LTE L540,https://fdn2.gsmarena.com/vv/bigpic/posh-Volt_LTE_L540.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, March","Available. Released 2016, May",143.8 x 72 x 10 mm (5.66 x 2.83 x 0.39 in),167.5 g (5.93 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,,,"8 MP, f/2.4, 1/4.0"", 1.12µm, AF","LED flash, panorama, HDR",1080p@30fps,"5 MP, f/2.2, 1/5"", 1.12µm",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,,"Li-Po 4000 mAh, non-removable",Up to 600 h (2G) / Up to 300 h (3G),Up to 16 h (2G) / Up to 12 h (3G),,"Grey, Gold, Rose Gold",,,,,16GB 3GB RAM,,,,,,Android 5.1 (Lollipop),Quad-core 1.0 GHz Cortex-A53,,,"2, 3, 4, 7, 17",Mediatek MT6735P (28 nm),Mali-T720MP2,,,Charging 10W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posh,Posh Volt Max LTE L640,https://fdn2.gsmarena.com/vv/bigpic/posh-Volt_Max_LTE_L640.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, March","Available. Released 2016, June",176 x 89.3 x 8.1 mm (6.93 x 3.52 x 0.32 in),230 g (8.11 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.44 inches, 123.5 cm2 (~78.6% screen-to-body ratio)","1280 x 1920 pixels, 3:2 ratio (~358 ppi density)",No,,,"13 MP, f/2.4, 1/3.1"", 1.12µm, AF","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.2, 1/4"", 1.12µm",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",No,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",,,,,,"Li-Po 6000 mAh, non-removable",Up to 600 h (2G) / Up to 400 h (3G),Up to 16 h (2G) / Up to 8 h (3G),,"Grey, Gold, Rose Gold",,,,,"32GB 3GB RAM, 64GB 3GB RAM",,,,,,Android 5.1 (Lollipop),Octa-core 1.3 GHz Cortex-A53,,,"2, 3, 4, 7, 17",Mediatek MT6753 (28 nm),Mali-T760MP2,,,Charging 10W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posh,Posh Equal Pro LTE L700,https://fdn2.gsmarena.com/vv/bigpic/posh-Equal_Pro_LTE_L700.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2016, February","Available. Released 2016, March",192 x 101.6 x 8.4 mm (7.56 x 4.0 x 0.33 in),248 g (5.22 oz),"Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.95 inches, 133.2 cm2 (~68.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~211 ppi density)",microSDHC,,,"5 MP, AF","LED flash, HDR, panorama",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, compass",,,,,,"Li-Po 2800 mAh, non-removable",Up to 900 h (2G) / Up to 800 h (3G),Up to 24 h (2G) / Up to 15 h (3G),,"Black, White, Blue",,,,,16GB 1GB RAM,,,,,,Android 5.1 (Lollipop),Quad-core 1.0 GHz Cortex-A53,,,"2, 4, 7, 17",Mediatek MT8735P,Mali-T720MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posh,Posh Primo Plus C353,https://fdn2.gsmarena.com/vv/bigpic/posh-plus-c353.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 - C353A,HSPA 21.1/5.76 Mbps,"2015, May. Released 2015, August",Discontinued,116 x 63 x 10.4 mm (4.57 x 2.48 x 0.41 in),96.1 g (3.39 oz),"Dual SIM (Mini-SIM, dual stand-by)",Touchscreen,"3.5 inches, 36.5 cm2 (~49.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC,,,VGA,,Yes,VGA,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, EDR",No,FM radio,microUSB 2.0,Accelerometer,,,,,HSDPA 850 / 2100 - C353B,Li-Po 1300 mAh battery,Up to 260 h (2G) / Up to 220 h (3G),Up to 5 h 30 min (2G) / Up to 5 h (3G),,"Black, White, Blue, Pink, Yellow",,,,,512MB 256MB RAM,,,,,,Android 4.4.2 (KitKat),1.0 GHz,,,,Spreadtrum SC7715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
