Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM,Keyboard,Languages
prestigio,Prestigio MultiPhone 5508 Duo,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5508-duo.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,2014. Released 2014,Discontinued,142.5 x 70.8 x 8.3 mm (5.61 x 2.79 x 0.33 in),129 g (4.55 oz),"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",No,,,"13 MP, AF",Dual-LED flash,Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,,,,,"Li-Ion 2300 mAh, non-removable",Up to 545 h,Up to 34 h,Up to 77 h,Black/metal,,,,,16GB 1GB RAM,,,Asahi Dragontrail Glass,,,Android 4.4.2 (KitKat),Octa-core 1.7 GHz Cortex-A7,,,,Mediatek MT6592 (28 nm),Mali-450MP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prestigio,Prestigio MultiPhone 5504 Duo,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5504-duo.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,2014. Released 2014,Discontinued,147.1 x 72.5 x 8.5 mm (5.79 x 2.85 x 0.33 in),160 g (5.64 oz),"Dual SIM (Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.6% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",microSDHC,,,"8 MP, AF",LED flash,Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,,"Li-Ion 1950 mAh, removable",Up to 696 h,Up to 27 h,Up to 78 h,"Black, metal, white",,,,,8GB 1GB RAM,,,,,,Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,,,,Mediatek MT6582M (28 nm),Mali-400MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prestigio,Prestigio MultiPhone 5503 Duo,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5503-duo.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,2014. Released 2014,Discontinued,144 x 73.3 x 10.9 mm (5.67 x 2.89 x 0.43 in),170 g (6.00 oz),"Dual SIM (Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",microSDHC,,,8 MP,LED flash,Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",3.0,"Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,,,,"Li-Ion 4000 mAh, removable",Up to 1300 h,Up to 47 h,Up to 146 h,Black,,,,,4GB 1GB RAM,,,,,,Android 4.2 (Jelly Bean),Quad-core 1.3 GHz Cortex-A7,,,,Mediatek MT6582 (28 nm),Mali-400MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prestigio,Prestigio MultiPhone 8500 Duo,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-8500-duo.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,"2014, July. Released 2014, August",Discontinued,8.5 mm thickness,-,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,,,"8 MP, AF","LED flash, panorama",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,eMMC 4.5,"Li-Ion 2000 mAh, removable",Up to 984 h,Up to 57 h,Up to 176 h,"Black, White",About 170 EUR,,,,8GB 1GB RAM,,,Corning Gorilla Glass,,,Microsoft Windows Phone 8.1,Quad-core 1.2 GHz Cortex-A7,,,,Qualcomm MSM8212 Snapdragon 200 (28 nm),Adreno 302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prestigio,Prestigio MultiPhone 8400 Duo,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-8400-duo.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,"2014, July. Released 2014, August",Discontinued,11 mm thickness,-,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,,,"8 MP, AF","LED flash, panorama",Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity",,,,,eMMC 4.5,"Li-Ion 2000 mAh, removable",Up to 456 h,Up to 29 h,Up to 75 h,"Black, White",About 90 EUR,,,,4GB 512MB RAM,,,,,,Microsoft Windows Phone 8.1,Quad-core 1.2 GHz Cortex-A7,,,,Qualcomm MSM8212 Snapdragon 200 (28 nm),Adreno 302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prestigio,Prestigio MultiPad 4 Quantum 10.1 3G,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quantum-101.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,HSPA 7.2/5.76 Mbps,"2014, Q1. Released 2014, Q1",Discontinued,260 x 170 x 9.5 mm (10.24 x 6.69 x 0.37 in),612 g (1.35 lb),Micro-SIM,IPS LCD capacitive touchscreen,"10.1 inches, 295.8 cm2 (~66.9% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",microSDHC (dedicated slot),,,2 MP,,Yes,VGA,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot",3.0,No,FM radio,"microUSB 2.0, USB On-The-Go",Accelerometer,,,,,HDMI port,"Li-Po 7000 mAh, non-removable",Up to 336 h,Up to 8 h 30 min,Up to 32 h,Black/Deep Blue,About 220 EUR,,,,16GB 1GB RAM,,,,,,Android 4.2 (Jelly Bean),Quad-core 1.6 GHz Cortex-A9,,,,Rockchip RK3188,Mali-400MP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prestigio,Prestigio MultiPad 4 Quantum 9.7 Colombia,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quantum-97.jpg,No cellular connectivity,N/A,,,"2014, Q1. Released 2014, Q1",Discontinued,241.5 x 185 x 9.2 mm (9.51 x 7.28 x 0.36 in),621 g (1.37 lb),No,IPS LCD capacitive touchscreen,"9.7 inches, 291.4 cm2 (~65.2% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",microSDHC (dedicated slot),,,5 MP,,Yes,2 MP,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",No,No,"microUSB 2.0, USB On-The-Go",Accelerometer,,,,,HDMI port,"Li-Po 8000 mAh, non-removable",,,,Black/Deep Blue,About 200 EUR,No,No,,16GB 2GB RAM,,,,,,Android 4.2 (Jelly Bean),Quad-core 1.6 GHz Cortex-A9,,,,Rockchip RK3188,Mali-400MP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prestigio,Prestigio MultiPad 4 Ultra Quad 8.0 3G,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quad-80-3g.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,HSPA 21.1/11.5 Mbps,"2014, Q1. Released 2014, Q1",Discontinued,204.3 x 157.2 x 9.8 mm (8.04 x 6.19 x 0.39 in),450 g (0.99 lb),Micro-SIM,IPS LCD capacitive touchscreen,"8.0 inches, 198.2 cm2 (~61.7% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~160 ppi density)",microSDHC (dedicated slot),,,5 MP,,Yes,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, LE","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,,,,"Li-Po 4600 mAh, non-removable",Up to 510 h,Up to 6 h,Up to 10 h,"Black, White",About 190 EUR,,,,16GB 1GB RAM,,,,,,Android 4.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,,,,Mediatek MT8389,PowerVR SGX544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prestigio,Prestigio MultiPhone 7600 Duo,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-7600-duo.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,HSPA,"2014, Q1. Released 2014, Q1",Discontinued,166.5 x 84.4 x 8.4 mm (6.56 x 3.32 x 0.33 in),191 g (6.74 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~70.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",microSDHC,,,"13 MP, AF",LED flash,Yes,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,,,,,"Li-Po 2600 mAh, removable",Up to 414 h,Up to 14 h,Up to 33 h,Black,About 270 EUR,,,,4GB 1GB RAM,,,,,,Android 4.2 (Jelly Bean),Quad-core 1.5 GHz,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
prestigio,Prestigio MultiPhone 7500,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-7500.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 900 / 2100,HSPA,"2014, Q1. Released 2014, Q1",Discontinued,144 x 70.5 x 9.9 mm (5.67 x 2.78 x 0.39 in),146 g (5.15 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDHC (dedicated slot),,,"13 MP, AF",LED flash,Yes,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,,,,,"Li-Po 2300 mAh, non-removable",,,,"Black, White",About 280 EUR,,,,"16GB 1GB RAM, 32GB 2GB RAM",,,,,,Android 4.2 (Jelly Bean),Quad-core 1.5 GHz Cortex-A7,,,,Mediatek MT6589T (28 nm),PowerVR SGX544MP2,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
