Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM,Keyboard,Languages
qmobile,QMobile Noir A1,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_A1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2017, June","Available. Released 2017, July",154.5 x 76.5 x 8.3 mm (6.08 x 3.01 x 0.33 in),182 g (6.42 oz),"Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDXC (uses shared SIM slot),,,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF","LED flash, panorama, HDR",1080p@30fps,"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,,,,eMMC 5.1,"Li-Ion 4010 mAh, non-removable",,,,"Black, Gray, Gold",About 27500 INR,,,,64GB 4GB RAM,,,Corning Gorilla Glass (unspecified version),,,"Android 7 (Nougat), Amigo OS 4",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,"1, 3, 5, 40, 41",Mediatek MT6755 Helio P10 (28 nm),Mali-T860MP2,,,Charging 10W,,Noir A1,,,,,,,,,,,,,,,,,,,,,,,,,,
qmobile,QMobile Noir E2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_E2-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 2100,"HSPA 42.2/5.76 Mbps, LTE","2017, June","Available. Released 2017, June",148.7 x 72.4 x 9.1 mm (5.85 x 2.85 x 0.36 in),-,Hybrid Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~69.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",microSDXC (uses shared SIM slot),,,"13 MP, f/2.2, AF","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.2",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity, compass",,,,,eMMC 5.1,"Li-Po 4000 mAh, removable",,,,Gold,About 15500 INR,,,,16GB 3GB RAM,,,,,,Android 7.0 (Nougat),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,"3, 5",Mediatek MT6755 Helio P10 (28 nm),Mali-T860MP2,,,,,E2 Noir,,,,,,,,,,,,,,,,,,,,,,,,,,
qmobile,QMobile J7 Pro,https://fdn2.gsmarena.com/vv/bigpic/QMobile_J7_Pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2017, May","Available. Released 2017, May",154 x 76.6 x 9.2 mm (6.06 x 3.02 x 0.36 in),175 g (6.17 oz),"Hybrid Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDXC (uses shared SIM slot),,,"13 MP, PDAF","LED flash, HDR, panorama",1080p@30fps,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",,,,,eMMC 5.0,"Li-Po 3150 mAh, non-removable",,,,"Gold, Blue",About 18000 INR,,,,32GB 3GB RAM,,,Corning Gorilla Glass 3,,,Android 6.0 (Marshmallow),Quad-core 1.4 GHz Cortex-A53,,,"3, 5, 40, 41",Mediatek MT6737T (28 nm),Mali-T720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmobile,QMobile M6,https://fdn2.gsmarena.com/vv/bigpic/QMobile_M6.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2017, March","Available. Released 2017, March",152.3 x 75.3 x 8.2 mm (6.00 x 2.96 x 0.32 in),180 g (6.35 oz),"Dual SIM (Micro-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~72.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDXC (dedicated slot),,,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.2, 1/4"", 1.12µm",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS","FM radio, recording","microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,,,,eMMC 5.1,"Li-Po 5000 mAh, non-removable",,,,"Gold, Coffee",About 29500 INR,,,,64GB 4GB RAM,,,,Yes,,"Android 6.0 (Marshmallow), Amigo 3.5",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,"3, 5, 40",Mediatek MT6755 Helio P10 (28 nm),Mali-T860MP2,,,Charging 10W Reverse charging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmobile,QMobile M6 Lite,https://fdn2.gsmarena.com/vv/bigpic/QMobile_M6_Lite.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE","2017, March","Available. Released 2017, March",144 x 71 x 10 mm (5.67 x 2.80 x 0.39 in),184 g (6.49 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),,,"13 MP, f/2.2, AF","LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.2",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,eMMC 5.0,"Li-Po 4000 mAh, removable",,,,Gold,About 16500 INR,,,,16GB 3GB RAM,,,,,,Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A53,,,"3, 5, 40",Mediatek MT6737 (28 nm),Mali-T720MP2,,,,,M6 Lite,,,,,,,,,,,,,,,,,,,,,,,,,,
qmobile,QMobile King Kong Max,https://fdn2.gsmarena.com/vv/bigpic/QMobile_KING_KONG_MAX.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE","2017, January","Available. Released 2017, January",149 x 73.2 x 8.2 mm (5.87 x 2.88 x 0.32 in),162 g (5.71 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.3 inches, 77.4 cm2 (~71.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~277 ppi density)",microSDXC,,,"13 MP, AF","LED flash, HDR, panorama",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,,,,eMMC 5.1,"Li-Po 4000 mAh, non-removable",,,,Gold,About 18500 INR,,,,32GB 3GB RAM,,,,,,Android 6.0 (Marshmallow),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,"1, 3, 5, 7, 20, 38, 39, 40, 41",Mediatek MT6750 (28 nm),Mali-T860MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmobile,QMobile M350 Pro,https://fdn2.gsmarena.com/vv/bigpic/QMobile_M350_Pro.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 2100,HSPA 21.1/5.76 Mbps,"2017, February","Available. Released 2017, February",145.5 x 71 x 9.4 mm (5.73 x 2.80 x 0.37 in),179 g (6.31 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),,,"8 MP, f/2.2, 1/4.0"", AF","LED flash, panorama, HDR",1080p@30fps,"5 MP, f/2.4",,Yes,Yes,"Wi-Fi 802.11 b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity",,,,,,"Li-Ion 5000 mAh, non-removable",,,,"Black, Gold, White",,,,,16GB 2GB RAM,,,,,,"Android 6 (Marshmallow), Amigo 3",Quad-core 1.3 GHz Cortex-7,,,,Mediatek MT6580M (28 nm),Mali-400MP2,,,,,"M350, M350 Pro",,,,,,,,,,,,,,,,,,,,,,,,,,
qmobile,QMobile Energy X2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Energy_X2.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 2100,HSPA,"2017, February","Available. Released 2017, February",143 x 73 x 9.9 mm (5.63 x 2.87 x 0.39 in),184 g (6.49 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),,,"8 MP, f/2.0, AF","LED flash, HDR, panorama",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,,,,,"Li-Ion 5000 mAh, non-removable",,,,"Gold, Silver, Gray",,,,,16GB 2GB RAM,,,,,,Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-7,,,,Mediatek MT6580M (28 nm),Mali-400MP2,,,,,ENERGY X2,,,,,,,,,,,,,,,,,,,,,,,,,,
qmobile,QMobile E1,https://fdn2.gsmarena.com/vv/bigpic/QMobile_E1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2017, January","Available. Released 2017, January",143.8 x 72 x 8.9 mm (5.66 x 2.83 x 0.35 in),-,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,,,"8 MP, f/2.2, AF",LED flash,1080p@30fps,"5 MP, f/2.4",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,"Li-Po 4000 mAh, removable",,,,"Black, Gold",,,,,16GB 3GB RAM,,,,,,Android 6.0 (Marshmallow),Quad-core 1.0 GHz Cortex-A53,,,"3, 5",Mediatek MT6735P (28 nm),Mali-T720MP2,,,,,E1,,,,,,,,,,,,,,,,,,,,,,,,,,
qmobile,QMobile Noir S6 Plus,https://fdn2.gsmarena.com/vv/bigpic/QMobile_S6_Plus.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,"2016, June","Available. Released 2016, June",144.4 x 72.5 x 8.7 mm (5.69 x 2.85 x 0.34 in),150 g (5.29 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~79.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDXC,,,"8 MP, f/2.0, 1/4.0"", AF","LED flash, panorama, HDR",1080p@30fps,"5 MP, f/2.0",,Yes,Yes,"Wi-Fi 802.11 b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,,,,,"Li-Po 2500 mAh, removable",,,,Gold,,,,,16GB 2GB RAM,,,,,,Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A7,,,,Mediatek MT6580 (28 nm),Mali-400MP2,,,,,"S6, S6S, S6 PLUS",,,,,,,,,,,,,,,,,,,,,,,,,,
