Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM,Keyboard,Languages
qtek,Qtek 9600,https://fdn2.gsmarena.com/vv/bigpic/qtek-9600.gif,GSM / UMTS,GSM 850 / 900 / 1800 / 1900,UMTS 850 / 1900 / 2100,"Yes, 384 kbps","2006, June",Discontinued,113 x 58 x 22 mm (4.45 x 2.28 x 0.87 in),176 g (6.21 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~37.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSD (dedicated slot),,,2 MP,LED flash,Yes,QCIF videocall camera,,Yes,No,Wi-Fi 802.11b/g,2.0,No,No,1.1,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Handwriting recognition,Removable Li-Po 1350 mAh battery,Up to 300 h,Up to 5 h,,Silver,,,,Pocket Office  Voice memo MP3/AAC player,"64MB RAM, 128MB ROM","Vibration; Downloadable polyphonic, MP3 ringtones",,,Yes,,Microsoft Windows Mobile 5.0 PocketPC,400 MHz Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
qtek,Qtek 8600,https://fdn2.gsmarena.com/vv/bigpic/qtek-8600.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps","2006, June",Discontinued,112.4 x 46 x 14.8 mm (4.43 x 1.81 x 0.58 in),120 g (4.23 oz),Mini-SIM,"TFT, 65K colors","2.2 inches, 34 x 45 mm, 15.0 cm2 (~29.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",microSD (dedicated slot),,,1.3 MP,,Yes,Yes,,Yes,No,No,Yes,No,No,Proprietary,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,5-way navigation button,Removable Li-Po 1190 mAh battery,,,,,,,,MP3/AAC player Predictive text input Organizer,"64MB RAM, 128MB ROM","Vibration; Downloadable polyphonic, MP3 ringtones, composer",,,Yes,,Microsoft Windows Mobile 5.0 Smartphone,Samsung 2442 300 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qtek,Qtek A9100,https://fdn2.gsmarena.com/vv/bigpic/qtek-a9100.jpg,GSM,GSM 850 / 900 / 1800 / 1900,,,"2006, March",Discontinued,108 x 58 x 23.7 mm (4.25 x 2.28 x 0.93 in),168 g (5.93 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~38.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",miniSD,,,1.3 MP,LED flash,No,,,Yes,No,Wi-Fi 802.11 b/i,1.2,No,No,miniUSB,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,5-way navigation button,Removable Li-Po 1250 mAh battery,,,,Gray,,Class 10,Class 10,No,"64MB RAM, 128MB ROM",,MP3/AAC player Predictive text input Organizer Voice memo,,Yes,,Microsoft Windows Mobile 5.0 PocketPC,200 MHz ARM926EJ-S,,,,TI OMAP 850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
qtek,Qtek 8500,https://fdn2.gsmarena.com/vv/bigpic/qtek-8500.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2006, February",Discontinued,98.5 x 51.4 x 15.8 mm (3.88 x 2.02 x 0.62 in),99 g (3.49 oz),Mini-SIM,"TFT, 65K colors","2.2 inches, 34 x 45 mm, 15.0 cm2 (~29.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",microSD (dedicated slot),,,1.3 MP,,Yes,,,Yes,No,No,1.2,No,No,1.1,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,"Second external 1.2-inch TFT display, 65K colors (128 x 128 pixels)",Removable Li-Ion 750 mAh battery,,,,Stylish black,About 190 EUR,Class 10,Class 10,No,"64MB RAM, 64MB ROM","Vibration; Downloadable polyphonic, MP3 ringtones",Pocket Office  Voice memo MP3/AAC player Predictive text input,,,,Microsoft Windows Mobile 5.0 Smartphone,200 MHz ARM926EJ-S,,,,TI OMAP 850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qtek,Qtek S200,https://fdn2.gsmarena.com/vv/bigpic/qtek-s200.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2005, Q4",Discontinued,108.8 x 59.3 x 18.4 mm (4.28 x 2.33 x 0.72 in),150 g (5.29 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~37.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",SD/MMC,,,2 MP,,CIF,,,Yes,No,Wi-Fi 802.11b,2.0,No,No,miniUSB,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Handwriting recognition,Removable Li-Ion 1200 mAh battery,Up to 200 h,Up to 5 h,,Stylish black,About 250 EUR,Class 10,Class 10,No,"64MB RAM, 128MB ROM",Vibration; Downloadable polyphonic ringtones,Pocket Office  Voice memo MP3/AAC player,,Yes,,Microsoft Windows Mobile 5.0 PocketPC,200 MHz ARM926EJ-S,,,,TI OMAP 850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qtek,Qtek 9000,https://fdn2.gsmarena.com/vv/bigpic/qtek-9000.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps","2005, August",Discontinued,131 x 79 x 21 mm (5.16 x 3.11 x 0.83 in),285 g (10.05 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","3.6 inches, 73 x 55 mm, 40.1 cm2 (~38.8% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~222 ppi density)",SDIO/MMC,,,1.3 MP,,Yes,VGA videocall camera,,"Yes, with stereo speakers",No,Wi-Fi 802.11b,Yes,No,No,Proprietary,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Handwriting recognition,Removable Li-Po 1620 mAh battery,Up to 260 h,Up to 8 h,,Stylish black,About 560 EUR,,,Dual speakers,64MB RAM,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",Pocket Office  Voice memo MP3/AAC player Predictive text input,,Yes,,Microsoft Windows Mobile 5.0 PocketPC,Intel XScale 520 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
qtek,Qtek 8310,https://fdn2.gsmarena.com/vv/bigpic/qtek-8310.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2005, August",Discontinued,107.5 x 46 x 17.5 mm (4.23 x 1.81 x 0.69 in),106 g (3.74 oz),Mini-SIM,"TFT, 65K colors","2.2 inches, 34 x 45 mm, 15.0 cm2 (~30.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",MiniSD,,,1.3 MP,,Yes,,,Yes,No,Wi-Fi 802.11b,Yes,No,No,Proprietary,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,5-way navigation button,Removable Li-Ion 1150 mAh battery,Up to 250 h,Up to 5 h,,,,Class 10,Class 10,No,"64MB RAM, 64/128MB ROM","Vibration; Downloadable polyphonic, MP3 ringtones, composer",MP3/AAC player Predictive text input Organizer,,Yes,,Microsoft Windows Mobile 5.0 Smartphone,200 MHz ARM926EJ-S,,,,TI OMAP 850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qtek,Qtek 8300,https://fdn2.gsmarena.com/vv/bigpic/qtek-8300.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2005, August",Discontinued,107.5 x 46 x 17.5 mm (4.23 x 1.81 x 0.69 in),106 g (3.74 oz),Mini-SIM,"TFT, 65K colors","2.2 inches, 34 x 45 mm, 15.0 cm2 (~30.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",MiniSD,,,1.3 MP,,QCIF,,,Yes,No,Wi-Fi 802.11b,Yes,No,No,Proprietary,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,5-way navigation button,Removable Li-Ion 1150 mAh battery,Up to 250 h,Up to 5 h,,,,Class 10,Class 10,No,"32MB RAM, 64MB ROM","Vibration; Downloadable polyphonic, MP3 ringtones",MP3/AAC player Predictive text input Organizer,,Yes,,Microsoft Windows Mobile 5.0 Smartphone,200 MHz ARM926EJ-S,,,,TI OMAP 850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qtek,Qtek 9100,https://fdn2.gsmarena.com/vv/bigpic/qtek-9100.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2005, Q3",Discontinued,109 x 58 x 23 mm (4.29 x 2.28 x 0.91 in),160 g (5.64 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~38.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",miniSD,,,1.3 MP,LED flash,Yes,,,Yes,No,Wi-Fi 802.11b/g,2.0,No,No,Proprietary,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,No,Removable Li-Po 1250 mAh battery,Up to 200 h,Up to 4 h,,Stylish black,,Class 10,Class 10,Microsoft ActiveSync Pocket Office  MP3/AAC player Predictive text input,"64MB RAM, 128MB ROM","Vibration; Downloadable polyphonic, MP3 ringtones",,,Yes,,Microsoft Windows Mobile 5.0 PocketPC,200 MHz ARM926EJ-S,,,,TI OMAP 850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
qtek,Qtek 8100,https://fdn2.gsmarena.com/vv/bigpic/qtek-8100.gif,GSM,GSM 900 / 1800 / 1900,,,"2005, Q1",Discontinued,107 x 47 x 19 mm (4.21 x 1.85 x 0.75 in),106 g (3.74 oz),Mini-SIM,"TFT, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm2 (~30.3% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),MiniSD,,,VGA,,Yes,,,Yes,No,No,Yes,No,No,Proprietary,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,5-way navigation button 3-color LED indicator Downloadable logos,Removable Li-Ion 1050 mAh battery,Up to 140 h,Up to 4 h 30 min,,Stylish black and silver,,Class 10,No,No,32MB RAM,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",MP3/AAC player Predictive text input Organizer,,Yes,,Microsoft Smartphone 2003 SE,200 MHz ARM926EJ-S,,,,TI OMAP 730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
