Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Type_1,Colors,5G bands,Build,_1_1,Protection,Triple,Features_1,NFC,Charging,Models,SAR EU,Price,128GB 6GB RAM,256GB 8GB RAM,Quad,SAR,128GB 8GB RAM,Performance,Camera,Loudspeaker_1,Battery life,Display,128GB 12GB RAM,512GB 12GB RAM,256GB 12GB RAM,512GB 8GB RAM,8GB 1GB RAM,Dual,32GB 3GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 4GB RAM,64GB 6GB RAM,128GB 4GB RAM,512GB 16GB RAM,Audio quality,16GB 2GB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,Triple_1,32GB 4GB RAM,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,16GB 3GB RAM,Infrared port,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Alert types,Clock,Alarm,Languages
samsung,Samsung Galaxy Tab Active3,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-active3.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 28","Available. Released 2020, September 28",127.8 x 213.8 x 9.9 mm (5.03 x 8.42 x 0.39 in),426 g (Wi-Fi) / 429 g (LTE) (15.03 oz),Nano-SIM,Stylus IP68 dust/water resistant (up to 1.5m for 30 mins) MIL-STD-810H compliant,"PLS TFT capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~67.9% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~283 ppi density)",Android 10,Exynos 9810 (10 nm),Octa-core (4x2.7 GHz Mongoose M3 & 4x1.7 GHz Cortex-A55),Mali-G72 MP18,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","13 MP, AF","LED flash, HDR, panorama",1080p@30fps,5 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",No,USB Type-C 3.1; magnetic connector,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Samsung DeX (desktop experience support),"Li-Ion 5050 mAh, removable",Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samsung,Samsung Galaxy S20 FE 5G,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s20-fe-5g.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat19 1800/200 Mbps, 5G","2020, September 23","Coming soon. Exp. release 2020, October 02",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),190 g (6.70 oz),"Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 / 1900 & TD-SCDMA,"Super AMOLED capacitive touchscreen, 16M colors","6.5 inches, 101.0 cm2 (~84.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~407 ppi density)","Android 10, One UI 2.5",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","32 MP, f/2.0, 26mm (wide), 1/2.74"", 0.8µm","LED flash, auto-HDR, panorama","4K, 1080p, gyro-EIS",,"4K, 1080p","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO",Unspecified,"USB Type-C, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer",CDMA2000 1xEV-DO,"Li-Po 4500 mAh, non-removable","Cloud Lavender, Cloud Mint, Cloud Navy, Cloud White, Cloud Red, Cloud Orange",SA/NSA/Sub6,"Glass front (Gorilla Glass 3), plastic back, aluminum frame",Bixby natural language commands and dictation,Corning Gorilla Glass 3,"12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS 8 MP, f/2.0, 73mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 123˚, 13mm (ultrawide), 1/3.0"", 1.12µm",HDR,Yes,Fast charging 25W Fast wireless charging 15W Reverse wireless charging 4.5W USB Power Delivery 3.0,SM-G781B,0.50 W/kg (head)     1.35 W/kg (body),€ 701.00,€ 730.00,€ 701.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samsung,Samsung Galaxy S20 FE,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s20-fe-4g.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat19 1800/200 Mbps","2020, September 23","Coming soon. Exp. release 2020, October 02",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),190 g (6.70 oz),"Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 / 1900 & TD-SCDMA,"Super AMOLED capacitive touchscreen, 16M colors","6.5 inches, 101.0 cm2 (~84.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~407 ppi density)","Android 10, One UI 2.5",Exynos 990 (7 nm+),Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),Mali-G77 MP11,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","32 MP, f/2.0, 26mm (wide), 1/2.74"", 0.8µm","LED flash, auto-HDR, panorama","4K, 1080p, gyro-EIS",,"4K, 1080p","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO",No,"USB Type-C, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer",CDMA2000 1xEV-DO,"Li-Po 4500 mAh, non-removable","Cloud Lavender, Cloud Mint, Cloud Navy, Cloud White, Cloud Red, Cloud Orange",,"Glass front (Gorilla Glass 3), plastic back, aluminum frame",Bixby natural language commands and dictation,Corning Gorilla Glass 3,"12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS 8 MP, f/2.0, 73mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 123˚, 13mm (ultrawide), 1/3.0"", 1.12µm",HDR,Yes,Fast charging 25W Fast wireless charging 15W Reverse wireless charging 4.5W USB Power Delivery 3.0,SM-G780F,0.24 W/kg (head)     1.45 W/kg (body),€ 633.00,€ 633.00,€ 701.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samsung,Samsung Galaxy A42 5G,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a42-5g.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, September 02","Coming soon. Exp. release 2020, November",-,-,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",UFS,"Super AMOLED capacitive touchscreen, 16M colors","6.6 inches, 105.2 cm2","1080 x 2400 pixels, 20:9 ratio (~399 ppi density)","Android 10, One UI 2.5",,,,microSDXC,128GB,"20 MP, (wide)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS",,1080p@30fps,Yes,Unspecified,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Unspecified,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,"Li-Po 5000 mAh, non-removable","Black, White, Grey",SA/NSA,,,,,HDR,Yes,Fast charging,,,About 370 EUR,,,"48 MP, (wide), 1/2.0"", 0.8µm, PDAF 8 MP, (ultrawide) 5 MP, (macro) 5 MP, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samsung,Samsung Galaxy Tab A7 10.4 (2020),https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a7-104-2020.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/50 Mbps","2020, September 02","Available. Released 2020, September 11",247.6 x 157.4 x 7 mm (9.75 x 6.20 x 0.28 in),"476 g (Wi-Fi), 477 g (LTE) (1.05 lb)",Nano-SIM,,"IPS LCD capacitive touchscreen, 16M colors","10.4 inches, 307.9 cm2 (~79.0% screen-to-body ratio)","1200 x 2000 pixels, 5:3 ratio (~224 ppi density)","Android 10, One UI 2.1",Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC,"32GB 3GB RAM, 64GB 3GB RAM","8 MP, AF",,1080p@30fps,5 MP,1080p@30fps,"Yes, with stereo speakers (4 speakers)",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",No,USB Type-C 2.0,"Accelerometer, gyro, proximity, compass",,"Li-Po 7040 mAh, non-removable","Dark Gray, Silver, Gold",,,,,,,,Fast charging,"SM-T500, SM-T505",,About 240 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samsung,Samsung Galaxy M51,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m51.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 400/50 Mbps","2020, August 31","Available. Released 2020, September 11",163.9 x 76.3 x 9.5 mm (6.45 x 3.00 x 0.37 in),213 g (7.51 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"Super AMOLED Plus capacitive touchscreen, 16M colors","6.7 inches, 108.4 cm2 (~86.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 10, One UI 2.1",Qualcomm SDM730 Snapdragon 730G (8 nm),Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),Adreno 618,microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm","LED flash, panorama, HDR","4K@30fps, 1080p@30fps",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",FM radio,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,"Li-Po 7000 mAh, non-removable","Celestial Black, Electric Blue",,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,Corning Gorilla Glass 3,,HDR,Yes,"Fast charging 25W, 100% in 115 min (advertised) Reverse charging","SM-M515F, SM-M515F/DSN",0.61 W/kg (head)     1.45 W/kg (body),"€ 379.00 / $ 409.29 / ₹ 24,999",€ 379.00,,"64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF 12 MP, f/2.2, 123˚ (ultrawide) 5 MP, f/2.4, (macro) 5 MP, f/2.4, (depth)",1.38 W/kg (head),$ 409.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samsung,Samsung Galaxy A51 5G UW,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a51-5g-uw.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"2, 4, 5, 13, 66","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, August 14","Available. Released 2020, August 14",158.8 x 73.4 x 8.6 mm (6.25 x 2.89 x 0.34 in),188.8 g (6.67 oz),Pre-installed Nano-SIM,UFS 2.1,"Super AMOLED capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~87.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Android 10, One UI 2",Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,microSDXC (uses shared SIM slot),128GB 6GB RAM,"32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm","LED flash, panorama, HDR","4K@30fps, 1080p@30/120fps; gyro-EIS",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS","FM radio, RDS, recording","USB Type-C 2.0, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",ANT+,"Li-Po 4500 mAh, non-removable",Prism Bricks Blue,"260, 261 mmWave","Glass front (Gorilla Glass 3), plastic back, aluminum frame",,Corning Gorilla Glass 3,,HDR,Yes,Fast charging 15W,SM-A516V,0.59 W/kg (head)     1.32 W/kg (body),About 550 USD,,,"48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF 12 MP, f/2.2, 123˚ (ultrawide) 5 MP, f/2.4, (macro) 5 MP, f/2.2, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samsung,Samsung Galaxy Z Fold2 5G,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-fold2-5g.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/200 Mbps, 5G","2020, August 05","Available. Released 2020, September 18",Unfolded: 159.2 x 128.2 x 6.9 mm Folded: 159.2 x 68 x 16.8 mm,282 g (9.95 oz),Nano-SIM and/or eSIM,"Samsung Pay (Visa, MasterCard certified)","Foldable Dynamic AMOLED 2X capacitive touchscreen, 16M colors","7.6 inches, 180.8 cm2 (~88.6% screen-to-body ratio)",1768 x 2208 pixels (~373 ppi density),"Android 10, One UI 2.5",Qualcomm SM8250 Snapdragon 865+ (7 nm+),Octa-core (1x3.09 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,No,"256GB 12GB RAM, 512GB 12GB RAM","10 MP, f/2.2, 26mm (wide), 1.22µm Cover camera: 10 MP, f/2.2, 26mm (wide), 1.22µm","LED flash, HDR, panorama","4K@60fps, 1080p@60/240fps (gyro-EIS), 720p@960fps (gyro-EIS), HDR10+",,"4K@30fps, 1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO, BDS",No,USB Type-C 3.1,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","HDR10+ 120Hz refresh rate Cover display: 6.23"", Super AMOLED, 816 x 2260 pixels (25:9)","Li-Po 4500 mAh, non-removable","Mystic Bronze, Mystic Black, Thom Browne Edition",SA/NSA/Sub6/mmWave,"Glass front (folded), plastic front (unfolded), glass back, aluminum frame",ANT+ Bixby natural language commands and dictation Samsung DeX (desktop experience support),,"12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.2, 123˚, 12mm (ultrawide), 1.12µm",HDR,Yes,Fast charging 25W Fast wireless charging 11W Reverse wireless charging 4.5W,SM-F916B,0.86 W/kg (head)     1.45 W/kg (body),About 2000 EUR,,,,,,"AnTuTu: 564907 (v8) GeekBench: 12607 (v4.4), 2715 (v5.1) GFXBench: 33fps (ES 3.1 onscreen)",Photo / Video,-25.2 LUFS (Very good),Endurance rating 81h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samsung,Samsung Galaxy Note20 Ultra 5G,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note20-ultra-.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 46, 48, 66, 71 - SM-N986U","HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/200 Mbps, 5G","2020, August 05","Available. Released 2020, August 21",164.8 x 77.2 x 8.1 mm (6.49 x 3.04 x 0.32 in),208 g (7.34 oz),"Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 / 1900,"Dynamic AMOLED 2X capacitive touchscreen, 16M colors","6.9 inches, 116.7 cm2 (~91.7% screen-to-body ratio)",1440 x 3088 pixels (~496 ppi density),"Android 10, One UI 2.5",Exynos 990 (7 nm+) - GlobalQualcomm SM8250 Snapdragon 865+ (7 nm+) - USA,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - GlobalOcta-core (1x3.0 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585) - USA,Mali-G77 MP11 - GlobalAdreno 650 - USA,microSDXC (uses shared SIM slot),"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS",,"4K@30/60fps, 1080p@30fps","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS, GALILEO",FM radio (Snapdragon model only; market/operator dependent),"USB Type-C 3.2, USB On-The-Go","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer",CDMA2000 1xEV-DO,"Li-Ion 4500 mAh, non-removable","Mystic Bronze, Mystic Black, Mystic White","2, 5, 41, 66, 71, 260, 261 SA/NSA/Sub6/mmWave - SM-N986U","Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), stainless steel frame",Samsung Wireless DeX (desktop experience support) ANT+ Bixby natural language commands and dictation,Corning Gorilla Glass Victus,"108 MP, f/1.8, 26mm (wide), 1/1.33"", 0.8µm, PDAF, Laser AF, OIS 12 MP, f/3.0, 120mm (periscope telephoto), 1.0µm, PDAF, OIS, 5x optical zoom, 50x hybrid zoom 12 MP, f/2.2, 120˚, 13mm (ultrawide), 1/2.55"", 1.4µm","Dual video call, Auto-HDR",Yes,Fast charging 25W USB Power Delivery 3.0 Fast Qi/PMA wireless charging 15W Reverse wireless charging 4.5W,"SM-N986B, SM-N986B/DS, SM-N986U, SM-N986U1, SM-N986W",0.34 W/kg (head)     1.47 W/kg (body),"€ 1,129.00 / $ 1,099.00 / £ 999.99 / ₹ 104,999",,,,0.71 W/kg (head)     1.18 W/kg (body),,AnTuTu: 508760 (v8) GeekBench: 2603 (v5.1) GFXBench: 42fps (ES 3.1 onscreen),Photo / Video,-27.8 LUFS (Good),Endurance rating 88h,Contrast ratio: Infinite (nominal),"$ 1,099.00","€ 1,363.73","€ 1,129.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samsung,Samsung Galaxy Note20 Ultra,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note20-ultra-.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/200 Mbps","2020, August 05","Available. Released 2020, August 21",164.8 x 77.2 x 8.1 mm (6.49 x 3.04 x 0.32 in),208 g (7.34 oz),"Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 / 1900,"Dynamic AMOLED 2X capacitive touchscreen, 16M colors","6.9 inches, 116.7 cm2 (~91.7% screen-to-body ratio)",1440 x 3088 pixels (~496 ppi density),"Android 10, One UI 2.5",Exynos 990 (7 nm+) - GlobalQualcomm SM8250 Snapdragon 865+ (7 nm+) - USA,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - GlobalOcta-core (1x3.0 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585) - USA,Mali-G77 MP11 - GlobalAdreno 650 - USA,microSDXC (uses shared SIM slot),"256GB 8GB RAM, 512GB 8GB RAM","10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS",,"4K@30/60fps, 1080p@30fps","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS, GALILEO",FM radio (Snapdragon model only; market/operator dependent),"USB Type-C 3.2, USB On-The-Go","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer",CDMA2000 1xEV-DO,"Li-Ion 4500 mAh, non-removable","Mystic Bronze, Mystic Black, Mystic White",,"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), stainless steel frame",Samsung Wireless DeX (desktop experience support) ANT+ Bixby natural language commands and dictation,Corning Gorilla Glass Victus,"108 MP, f/1.8, 26mm (wide), 1/1.33"", 0.8µm, PDAF, Laser AF, OIS 12 MP, f/3.0, 120mm (periscope telephoto), 1.0µm, PDAF, OIS, 5x optical zoom, 50x hybrid zoom 12 MP, f/2.2, 120˚, 13mm (ultrawide), 1/2.55"", 1.4µm","Dual video call, Auto-HDR",Yes,Fast charging 25W USB Power Delivery 3.0 Fast Qi/PMA wireless charging 15W Reverse wireless charging 4.5W,"SM-N985F, SM-N985F/DS",0.32 W/kg (head)     1.47 W/kg (body),"$ 1,079.95 / £ 1,068.90",,"£ 1,068.90",,0.57 W/kg (head)     1.02 W/kg (body),,,,,,,,,,"£ 1,476.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
