Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Type_1,Stand-by,Talk time,Colors,SAR EU,Features,Single_1,Video_1,Music play,3G bands,Speed,Price,Keyboard,Phonebook,Call records,Messaging,Games,Java,SAR,_1_1,Browser,Protection,Camera,Loudspeaker_1,Audio quality,Display,Battery life,Models,Infrared port,Alert types,Clock,Alarm,4G bands,5G bands,Build,Triple,Features_1,NFC,Charging,Performance,Quad,256GB 8GB RAM,128GB 4GB RAM,64GB 3GB RAM,128GB 6GB RAM,64GB 6GB RAM,Dual,64GB 4GB RAM,32GB 3GB RAM,Languages
sewon,Sewon SRS-3300,https://fdn2.gsmarena.com/vv/bigpic/swsrs3300.gif,GSM,GSM 900 / 1800,Yes,No,"2005, Q1",Discontinued,72 x 39 x 26.5 mm (2.83 x 1.54 x 1.04 in),90 g (3.17 oz),Mini-SIM,"TFT, 256K colors",,128 x 160 pixels,,,,,No,,VGA,Yes,"Downloadable logos, wallpapers",No,No,No,No,No,No,,,No,Removable Li-Ion 720 mAh battery,,,,,,,,,,,,,200,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,No,,Predictive text input Organizer World time Memo,WAP 1.2.1,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,"English, Chinese"
sewon,Sewon SRD-3000,https://fdn2.gsmarena.com/vv/bigpic/swsrd3000.gif,GSM,GSM 900 / 1800,Yes,No,"2004, Q2",Discontinued,91 x 48 x 18 mm (3.58 x 1.89 x 0.71 in),90 g (3.17 oz),Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,,,,,No,,VGA,No,"Downloadable logos, wallpapers",No,No,No,No,No,No,,,No,Removable Li-Ion 1050 mAh battery,,,,,,,,,,,,,300,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,No,,Predictive text input Organizer World time Memo,WAP 1.2.1,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,"English, Chinese"
sewon,Sewon SRD-200,https://fdn2.gsmarena.com/vv/bigpic/swsrd200.gif,GSM,GSM 900 / 1800,Yes,No,"2004, Q2",Discontinued,87.5 x 47.5 x 21.7 mm (3.44 x 1.87 x 0.85 in),95 g (3.35 oz),Mini-SIM,"STN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,VGA,No,"Second external display Downloadable logos, wallpapers",No,No,No,No,No,No,,,No,Removable Li-Ion 900 mAh battery,,,,,,,,,,,,,500,"10 dialed, 10 received, 10 missed calls","SMS, EMS",Yes,No,,Predictive text input Organizer World time Memo,WAP 1.2.1,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,"English, Chinese"
sewon,Sewon SGD-1050,https://fdn2.gsmarena.com/vv/bigpic/swsgd1050.gif,GSM,GSM 900 / 1800,No,No,"2004, Q2",Discontinued,82 x 44 x 21 mm (3.23 x 1.73 x 0.83 in),90 g (3.17 oz),Mini-SIM,"STN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,VGA,No,Second external display Downloadable logos,No,No,No,No,No,No,,,No,Removable Li-Ion 900 mAh battery,,,,,,,,,,,,,200,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,Predictive text input Stopwatch Calculator World time Memo,WAP,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,"English, Chinese"
sewon,Sewon SGD-1030,https://fdn2.gsmarena.com/vv/bigpic/swsgd1030.gif,GSM,GSM 900 / 1800,No,No,"2004, Q2",Discontinued,82 x 44 x 22 mm (3.23 x 1.73 x 0.87 in),90 g (3.17 oz),Mini-SIM,"STN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,VGA,No,Second external display 7 colors LED indicator Downloadable logos,No,No,No,No,No,No,,,No,Removable Li-Ion 900 mAh battery,,,,,,,,,,,,,200,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,Predictive text input Stopwatch Calculator World time Memo,WAP,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,"English, Chinese"
sewon,Sewon SGD-1020,https://fdn2.gsmarena.com/vv/bigpic/swsgd1020.gif,GSM,GSM 900 / 1800,No,No,"2004, Q2",Discontinued,82 x 42.4 x 21 mm (3.23 x 1.67 x 0.83 in),90 g (3.17 oz),Mini-SIM,"STN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,VGA,No,Second external display 7 colors LED indicator Downloadable logos,No,No,No,No,No,No,,,No,Removable Li-Ion 900 mAh battery,,,,,,,,,,,,,200,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,Predictive text input Stopwatch Calculator Memo,WAP,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,"English, Chinese"
sewon,Sewon SGD-1010,https://fdn2.gsmarena.com/vv/bigpic/swsgd1010.gif,GSM,GSM 900 / 1800,No,No,"2004, Q1",Discontinued,82 x 44 x 21 mm (3.23 x 1.73 x 0.83 in),90 g (3.17 oz),Mini-SIM,"STN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,VGA,No,Second external display 4-way navi key,No,No,No,No,No,No,,,No,Removable Li-Ion 600 mAh battery,,,,,,,,,,,,,200,"10 dialed, 10 received, 10 missed calls",SMS,,No,,Predictive text input Stopwatch Calculator Memo,,,,,,,,,,Vibration; Polyphonic(64) ringtones,,,,,,,,,,,,,,,,,,,,"English, Chinese"
sewon,Sewon SGD-1000,https://fdn2.gsmarena.com/vv/bigpic/swsgd1000.gif,GSM,GSM 900 / 1800,No,No,"2004, Q1",Discontinued,82 x 42 x 21 mm (3.23 x 1.65 x 0.83 in),90 g (3.17 oz),Mini-SIM,"STN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,VGA,No,Second external display 4-way navi key,No,No,No,No,No,No,,,No,Removable Li-Ion 900 mAh battery,,,,,,,,,,,,,200,"10 dialed, 10 received, 10 missed calls",SMS,,No,,Predictive text input Calculator Memo,,,,,,,,,,Vibration; Polyphonic(64) ringtones,,,,,,,,,,,,,,,,,,,,"English, Chinese"
sewon,Sewon SGD-106,https://fdn2.gsmarena.com/vv/bigpic/swsgd106.gif,GSM,GSM 900 / 1800,No,No,"2004, Q1",Discontinued,72 x 40 x 23 mm (2.83 x 1.57 x 0.91 in),80 g (2.82 oz),Mini-SIM,"CSTN, 256 colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,Second external mono LCD display 4-way navi key,No,No,No,No,No,No,,,No,Removable Li-Ion 550 mAh battery,Up to 110 h,Up to 3 h,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,,No,,Predictive text input Calculator Memo,,,,,,,,,,Vibration; Polyphonic(16) ringtones,,,,,,,,,,,,,,,,,,,,"English, Chinese"
sewon,Sewon SGD-105,https://fdn2.gsmarena.com/vv/bigpic/swsgd105.gif,GSM,GSM 900 / 1800,No,No,"2004, Q1",Discontinued,72 x 40 x 23 mm (2.83 x 1.57 x 0.91 in),80 g (2.82 oz),Mini-SIM,"CSTN, 256 colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,Second external mono LCD display 4-way navi key,No,No,No,No,No,No,,,No,Removable Li-Ion 550 mAh battery,Up to 110 h,Up to 3 h,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,,No,,Predictive text input Calculator Memo,,,,,,,,,,Vibration; Polyphonic(16) ringtones,,,,,,,,,,,,,,,,,,,,"English, Chinese"
