Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Type_1,Stand-by,Talk time,Colors,SAR EU,Features,Single_1,Video_1,Music play,3G bands,Speed,Price,Keyboard,Phonebook,Call records,Messaging,Games,Java,SAR,_1_1,Browser,Protection,Camera,Loudspeaker_1,Audio quality,Display,Battery life,Models,Infrared port,Alert types,Clock,Alarm,4G bands,5G bands,Build,Triple,Features_1,NFC,Charging,Performance,Quad,256GB 8GB RAM,128GB 4GB RAM,64GB 3GB RAM,128GB 6GB RAM,64GB 6GB RAM,Dual,64GB 4GB RAM,32GB 3GB RAM,Languages
sharp,Sharp Aquos Zero 2,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-zero2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2020, May 22","Available. Released 2020, May 22",158 x 74 x 8.8 mm (6.22 x 2.91 x 0.35 in),141 g (4.97 oz),Nano-SIM,"OLED capacitive touchscreen, 1B colors","6.4 inches, 100.5 cm2 (~86.0% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",Android 10,Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,256GB 8GB RAM,"8 MP, f/2.2, 23mm (wide)","4K@30fps, 1080p@30fps, gyro-EIS",IP68 dust/water resistant (up to 1.5m for 30 mins),"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD, aptX Adaptive","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",HDR10 Dolby Vision 240Hz refresh rate,"Li-Ion 3130 mAh, non-removable",,,Blue,,"LED flash, HDR, panorama",,"1080p@30fps, gyro-EIS",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A",About 670 EUR,,,,,,,,24-bit/192kHz audio,,Corning Gorilla Glass 6,,,,,,,,,,,"1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 17, 18, 19, 20, 28, 38, 39, 41 - Taiwan",,,,HDR,Yes,Fast charging USB Power Delivery 2.0,,,,,,,,"12.2 MP, f/1.7, (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 20 MP, f/2.4, 125˚ (ultrawide), AF",,,
sharp,Sharp Aquos V,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2019, November","Available. Released 2019, November",157 x 76 x 9 mm (6.18 x 2.99 x 0.35 in),173 g (6.10 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.9 inches, 89.8 cm2 (~75.3% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~409 ppi density)",Android 9.0 (Pie),Qualcomm MSM8998 Snapdragon 835 (10 nm),Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo),Adreno 540,microSDXC (uses shared SIM slot),64GB 4GB RAM,"8 MP, f/2.0","4K@30fps, 1080p@30fps (gyro-EIS)",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity, compass",,"Li-Ion 3090 mAh, non-removable",,,Black,,"LED flash, HDR, panorama",,1080p@30fps (gyro-EIS),,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat9 450/50 Mbps",About 210 EUR,,,,,,,,,,Corning Gorilla Glass 5,,,,,,,,,,,"1, 3, 5, 7, 8, 13, 20, 38, 40",,,,HDR,,,,,,,,,,"13 MP, f/2.0, PDAF, OIS 13 MP B/W",,,
sharp,Sharp Aquos Zero,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-zero.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2019, January","Available. Released 2019, January",154 x 73 x 8.8 mm (6.06 x 2.87 x 0.35 in),146 g (5.15 oz),Nano-SIM,"OLED capacitive touchscreen, 16M colors","6.2 inches, 96.9 cm2 (~86.2% screen-to-body ratio)","1440 x 2992 pixels, 18.7:9 ratio (~536 ppi density)",Android 9.0 (Pie),Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.6 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,No,128GB 6GB RAM,"22.6 MP, f/1.9, 22 mm, PDAF, OIS","4K@30fps, 1080p@30fps (gyro-EIS)",IP68 dust/water resistant (up to 1.5m for 30 mins),"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",HDR10 Dolby Vision,"Li-Ion 3130 mAh, non-removable",,,Meteorite Black,,"LED flash, HDR, panorama","8 MP, f/2.2, 23 mm",1080p@30fps,,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat15 1024/50 Mbps",About 600 EUR,,,,,,,,24-bit/192kHz audio,,Corning Gorilla Glass 5,,,,,,,,,,,"1, 3, 7, 8, 28, 38",,"Glass front (Gorilla Glass 5), aluminum frame",,HDR,Yes,Fast charging 18W USB Power Delivery 2.0,,,,,,,,,,,
sharp,Sharp Aquos R2 compact,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r2-compact-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2018, November","Available. Released 2019, January",131 x 64 x 9.3 mm (5.16 x 2.52 x 0.37 in),135 g (4.76 oz),Nano-SIM,"IGZO IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 67.5 cm2 (~80.5% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~485 ppi density)",Android 9.0 (Pie),Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.6 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,microSDXC (dedicated slot),64GB 4GB RAM,"22.6 MP, f/1.9, 22 mm, PDAF, OIS","4K@30fps, 1080p@30fps (gyro-EIS)",IP68 dust/water resistant (up to 1.5m for 30 mins),Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",HDR10 120Hz refresh rate,"Li-Ion 2500 mAh, non-removable",,,"Smokey Green, Deep White, Pure Black",,"LED flash, HDR, panorama","8 MP, f/2.2, 23 mm",1080p@30fps,,HSDPA 800 / 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE",,,,,,,,,24-bit/192kHz audio,,Corning Gorilla Glass 3,,,,,,,,,,,"1, 3, 5, 8, 11, 12, 17, 19, 26, 28, 41, 42",,"Glass front (Gorilla Glass 3), plastic back, aluminum frame",,,Yes,Fast charging 18W USB Power Delivery 2.0,,,,,,,,,,,
sharp,Sharp Aquos D10,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-d10-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2018, August","Available. Released 2018, October",148.2 x 74.2 x 8 mm (5.83 x 2.92 x 0.31 in),165 g (5.82 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.99 inches, 92.6 cm2 (~84.2% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~403 ppi density)","Android 8.0 (Oreo), Sharp UI",Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core (4x2.6 GHz Cortex-A53 & 4x1.8 GHz Cortex A53),Adreno 508,microSDXC (uses shared SIM slot),64GB 4GB RAM,"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm","4K@30fps, 1080p@30fps",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,"Li-Ion 2900 mAh, non-removable",,,Black,,"Dual-LED dual-tone flash, panorama, HDR",,1080p@30fps,,HSDPA 850 / 900 / 1900 / 2100,"HSPA 14.4/5.76 Mbps, LTE Cat4 150/50 Mbps",About 400 EUR,,,,,,,,,,Corning Gorilla Glass 3,,,,,,,,,,,"1, 3, 5, 7, 8, 20",,,,,Yes,,,,,,,,,"12 MP, f/1.8, 1/2.55"", 1.4µm, PDAF 13 MP, 1/3.4"", 1.0µm",,,
sharp,Sharp Aquos B10,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquous-b10-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2018, July","Available. Released 2018, July",153.5 x 71.9 x 8.8 mm (6.04 x 2.83 x 0.35 in),175 g (6.17 oz),"Hybrid Dual SIM (Nano-SIM/Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~76.0% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)","Android 7.0 (Nougat), Sharp UI",Mediatek MT6750T (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Mali-T860MP2,microSDXC (uses shared SIM slot),32GB 3GB RAM,"13 MP, f/2.2",1080p@30fps,eMMC 5.1,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS","Stereo FM radio, RDS","microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity",,"Li-Ion 4000 mAh, non-removable",,,Black,0.47 W/kg (head),"LED flash, panorama, HDR",,1080p@30fps,,HSDPA 850 / 900 / 1900 / 2100,"HSPA 14.4/5.76 Mbps, LTE Cat4 150/50 Mbps",About 300 EUR,,,,,,,,,,Corning Gorilla Glass (unspecified version),,,,,,,,,,,"1, 3, 5, 7, 8, 20",,,,,Yes,,,,,,,,,"13 MP, f/2.0, AF 8 MP",,,
sharp,Sharp Aquos C10,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquous-c10-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2018, July","Available. Released 2018, July",141.8 x 72 x 7.9 mm (5.58 x 2.83 x 0.31 in),140 g (4.94 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 80.7 cm2 (~79.0% screen-to-body ratio)","1080 x 2040 pixels, 17:9 ratio (~420 ppi density)","Android 8.0 (Oreo), Sharp UI",Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.8 GHz Cortex A53),Adreno 508,microSDXC (uses shared SIM slot),64GB 4GB RAM,"8 MP, f/2.0, 1/3.2"", 1.4µm",1080p@30fps,,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,"Li-Ion 2700 mAh, non-removable",,,Black,0.35 W/kg (head),"Dual-LED dual-tone flash, panorama, HDR",,1080p@30fps,,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",About 400 EUR,,,,,,,,,,Corning Gorilla Glass (unspecified version),,,,,,,,,,,"1, 3, 7, 8, 20",,"Glass front (Gorilla Glass), glass back, aluminum frame",,1080p@30fps,Yes,Fast charging 18W Huawei SuperCharge,,,,,,,,"12 MP, f/1.8, 1/2.55"", 1.4µm, PDAF 8 MP, f/2.0, 1/3.2"", 1.4µm",,,
sharp,Sharp Aquos S3 High,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-s3-1.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2018, June","Available. Released 2018, July",148.2 x 74.2 x 8 mm (5.83 x 2.92 x 0.31 in),167.4 g (5.93 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IGZO IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~84.5% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Android 8.0 (Oreo),Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,microSDXC (uses shared SIM slot),64GB 8GB RAM,"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm",1080p@30fps,CDMA 800 & TD-SCDMA,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",eMMC 5.1,"Li-Ion 3200 mAh, non-removable",,,"Black, Gold",,"Dual-LED dual-tone flash, HDR, panorama",,1080p@30fps,,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",About 400 EUR,,,,,,,,,,,,,,,,,,,,,"1, 3, 4, 5, 7, 8, 12, 17, 28, 34, 38, 39, 40, 41",,,,,Yes,Fast charging 18W Quick Charge 3.0 Qi wireless charging 7.5W,,,,,,,,"12 MP, f/1.8, 1/2.55"", 1.4µm, dual pixel PDAF 13 MP, 2x optical zoom",,,
sharp,Sharp Aquos R2,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r2.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2018, May","Available. Released 2018, May",156 x 74 x 9 mm (6.14 x 2.91 x 0.35 in),181 g (6.38 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IGZO IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 89.9 cm2 (~77.8% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~561 ppi density)",Android 8.0 (Oreo),Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.6 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,microSDXC (uses shared SIM slot),64GB 4GB RAM,16.3 MP,4K@30fps (dedicated video camera),CDMA 800 & TD-SCDMA,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",IPX5/IPX8/IP6X,"Li-Ion 3130 mAh, non-removable",,,"Black, White",,"LED flash, HDR, panorama",,,,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE",About 350 EUR,,,,,,,,,,,,,,,,706SH,,,,,"1, 3, 5, 8, 11, 12, 17, 19, 26, 28, 41, 42",,,,,,Charging 10W,,,,,,,,"22.6 MP, PDAF 16.3 MP, PDAF (for video recording only)",,,
sharp,Sharp Aquos S3,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-s3-1.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2018, March","Available. Released 2018, April",148.2 x 74.2 x 8 mm (5.83 x 2.92 x 0.31 in),165.4 g (5.82 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IGZO IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~84.5% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Android 8.0 (Oreo),Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,Adreno 508,microSDXC (uses shared SIM slot),64GB 6GB RAM,"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm",1080p@30fps,CDMA 800 & TD-SCDMA,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,"Li-Ion 3200 mAh, non-removable",,,"Black,Blue, Gold",,"Dual-LED dual-tone flash, HDR, panorama",,1080p@30fps,,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",About 400 EUR,,,,,,,,,,,,,,,,FS8032,,,,,"1, 3, 4, 5, 7, 8, 12, 17, 28, 34, 38, 39, 40, 41",,,,,Yes,Fast charging 18W Quick Charge 3.0,,,,,,,,"12 MP, f/1.8, 1/2.55"", 1.4µm, dual pixel PDAF 13 MP, 2x optical zoom",,,
