Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Type_1,Stand-by,Talk time,Colors,SAR EU,Features,Single_1,Video_1,Music play,3G bands,Speed,Price,Keyboard,Phonebook,Call records,Messaging,Games,Java,SAR,_1_1,Browser,Protection,Camera,Loudspeaker_1,Audio quality,Display,Battery life,Models,Infrared port,Alert types,Clock,Alarm,4G bands,5G bands,Build,Triple,Features_1,NFC,Charging,Performance,Quad,256GB 8GB RAM,128GB 4GB RAM,64GB 3GB RAM,128GB 6GB RAM,64GB 6GB RAM,Dual,64GB 4GB RAM,32GB 3GB RAM,Languages
siemens,Siemens AL21,https://fdn2.gsmarena.com/vv/bigpic/siemens-al21.gif,GSM,GSM 900 / 1800 / 1900,Class 8,No,"2005, November",Discontinued,86.8 x 45.8 x 19.2 mm (3.42 x 1.80 x 0.76 in),78 g (2.75 oz),Mini-SIM,"TFT, 65K colors",,"130 x 130 pixels, 1:1 ratio",,,,,No,1.5MB,,,GSM 850 / 1800 / 1900 - US version,Yes,No,No,No,No,No,Proprietary,,No,Removable Li-Ion 600 mAh battery,Up to 220 h,Up to 5 h,"Red Temptation, Black Magic",,,,,,,,,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes + downloadable,"Yes, MIDP 1.0",,Predictive text input Organizer,WAP 1.2.1,,,,,,,,,Vibration; Polyphonic(32) ringtones,,,,,,,,,,,,,,,,,,,,
siemens,Siemens A31,https://fdn2.gsmarena.com/vv/bigpic/siemens-a31.gif,GSM,GSM 900 / 1800,Class 8,No,"2005, November",Discontinued,"102 x 46 x 17.6 mm, 75 cc (4.02 x 1.81 x 0.69 in)",85 g (3.00 oz),Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,1.5MB,,,GSM 850 / 1900 - US version,Yes,No,No,No,No,No,No,,No,Removable Li-Ion 820 mAh battery,Up to 270 h,Up to 5 h,"Anthracite, Ruby Red",,,,,,,,,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes + downloadable,"Yes, MIDP 1.0",,Predictive text input Organizer,WAP 1.2.1,,,,,,,,,Vibration; Polyphonic(32) ringtones,,,,,,,,,,,,,,,,,,,,
siemens,Siemens AF51,https://fdn2.gsmarena.com/vv/bigpic/siemens-af51.gif,GSM,GSM 900 / 1800 / 1900,Class 8,No,"2005, November",Discontinued,79 x 41 x 19.6 mm (3.11 x 1.61 x 0.77 in),80 g (2.82 oz),Mini-SIM,"CSTN, 65K colors",,"130 x 130 pixels, 1:1 ratio",,,,,No,,,,"Second external 65K colors display, CSTN (96 x 64 pixels)",Yes,No,No,No,No,No,,,No,Removable Li-Ion 620 mAh battery,Up to 220 h,Up to 5 h,"Panther Black, Dolphin Grey",,,,,,,,,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, MMS",Yes + downloadable,"Yes, MIDP 1.0",,Predictive text input Organizer Voice dial,WAP 1.2.1,,,,,,,,,Vibration; Polyphonic(32) ringtones,,,,,,,,,,,,,,,,,,,,
siemens,Siemens ME75,https://fdn2.gsmarena.com/vv/bigpic/siemens-me75.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, October",Discontinued,105 x 46 x 18 mm (4.13 x 1.81 x 0.71 in),95 g (3.35 oz),Mini-SIM,"TFT, 65K colors",,"132 x 176 pixels, 4:3 ratio",,,,,No,10MB,VGA,Yes,"Dust, shock and splash resistant",Yes,No,No,No,No,No,Proprietary,,No,Removable Li-Ion 1000 mAh battery,Up to 450 h,Up to 8 h,"Amazon Green, Atlas Grey",,,,,,,,,,"1000 x 20 fields, Photo call","100 dialed, 100 received, 100 missed calls","SMS, MMS, Email, Instant Messaging",Yes + downloadable,Yes,,Organizer SyncML Voice memo Predictive text input,WAP 2.0/xHTML,,,,,,,,Yes,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
siemens,Siemens AP75,https://fdn2.gsmarena.com/vv/bigpic/siemens-ap75.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, October",Discontinued,102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in),86 g (3.03 oz),Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,CIF,No,5-way navigation key,Yes,No,No,Yes,No,No,Proprietary,,500 KB free memory,Removable Li-Ion 860 mAh battery,Up to 161 h,Up to 5 h 40 min,Cosmic Grey,,,,,,,,,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,No,,Predictive text input Organizer,WAP 2.0/xHTML,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
siemens,Siemens AX72,https://fdn2.gsmarena.com/vv/bigpic/siemens-ax72.gif,GSM,GSM 900 / 1800 / 1900,Class 8,No,"2005, October",Discontinued,105.6 x 46.8 x 17.5 mm (4.16 x 1.84 x 0.69 in),79 g (2.79 oz),Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,5-way navigation key,Yes,No,No,No,No,No,Proprietary,,1.5 MB free memory,Removable Li-Ion 600 mAh battery,Up to 220 h,Up to 5 h,Basalt Black,,,,,,,,,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 1.0",,Predictive text input Organizer,WAP 1.2.1,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
siemens,Siemens SG75,https://fdn2.gsmarena.com/vv/bigpic/siemens-sg75.gif,GSM / UMTS,GSM 900 / 1800 / 1900,,,"2005, Sep",Cancelled,"98 x 49.5 x 23 mm, 104 cc (3.86 x 1.95 x 0.91 in)",123 g (4.34 oz),Mini-SIM,"TFD, 256K colors","2.0 inches, 30 x 40 mm, 12.6 cm2 (~26.0% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,RS-MMC,70MB,1.3 MP,Yes,CIF videocall camera,No,No,No,Yes,No,No,Proprietary,,Video telephony MP3 player Predictive text input Organizer,Removable Li-Po 920 mAh battery,Up to 325 h,Up to 3 h 20 min,Metallic White,,,,,,UMTS 2100,"Yes, 384 kbps",,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, MMS, EMail, Instant Messaging",Yes + downloadable,"Yes, MIDP 2.0",,,WAP 2.0/xHTML,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,
siemens,Siemens SFG75,https://fdn2.gsmarena.com/vv/bigpic/siemens-sfg75.gif,GSM / UMTS,GSM 900 / 1800,,,"2005, Sep",Discontinued,"90 x 45 x 24 mm, 97 cc (3.54 x 1.77 x 0.94 in)",110 g (3.88 oz),Mini-SIM,"TFT, 256K colors","2.0 inches, 30 x 40 mm, 12.6 cm2 (~31.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,miniSD,32MB,1.3 MP,Yes,"Second CSTN display (96 x 96 pixels), 65K colors Wallpapers Downloadable pictures",No,No,No,Yes,No,No,Proprietary,,CIF videocall camera,Removable Li-Ion 840 mAh battery,Up to 250 h,Up to 3 h,Silver Black,,LED flash,,,,UMTS 2100,"Yes, 384 kbps",,,"Yes, Photo call","10 dialed, 10 received, 10 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,Video telephony MP3/MP4 player Predictive text input Organizer,WAP 2.0/xHTML,,,,,,,,Yes,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,
siemens,Siemens CC75,https://fdn2.gsmarena.com/vv/bigpic/siemens-cc75.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, August",Cancelled,"111 x 44 x 12.6 mm, 65 cc (4.37 x 1.73 x 0.50 in)",80 g (2.82 oz),Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,,,,,No,3MB,,,5-way navigation key,No,No,No,No,No,No,Proprietary,,No,Removable Li-Ion 800 mAh battery (EBA-720),Up to 270 h,Up to 3 h 30 min,Aluminium Silver,,,,,,,,,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, MMS",Yes + downloadable,No,,Predictive text input Organizer Birthday reminder Voice memo,WAP 2.0/xHTML,,,,,,,,Yes,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
siemens,Siemens CF110,https://fdn2.gsmarena.com/vv/bigpic/siemens-cf110.gif,GSM,GSM 900 / 1800 / 1900,Class 8,No,"2005, August",Discontinued,"83 x 45 x 18 mm, 68 cc (3.27 x 1.77 x 0.71 in)",76.5 g (2.68 oz),Mini-SIM,"TFT, 65K colors",,"130 x 130 pixels, 1:1 ratio",,,,,No,1.5MB,,,No,Yes,No,No,No,No,No,Proprietary,,Predictive text input Organizer,Removable Li-Ion 600 mAh battery (EBA-160),Up to 220 h,Up to 5 h,"Moonlight Silver, Midnight Blue",,,,,,,,,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes + downloadable,"Yes, MIDP 1.0",,,WAP 2.0/xHTML,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
