Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Type_1,Stand-by,Talk time,Colors,SAR EU,Features,Single_1,Video_1,Music play,3G bands,Speed,Price,Keyboard,Phonebook,Call records,Messaging,Games,Java,SAR,_1_1,Browser,Protection,Camera,Loudspeaker_1,Audio quality,Display,Battery life,Models,Infrared port,Alert types,Clock,Alarm,4G bands,5G bands,Build,Triple,Features_1,NFC,Charging,Performance,Quad,256GB 8GB RAM,128GB 4GB RAM,64GB 3GB RAM,128GB 6GB RAM,64GB 6GB RAM,Dual,64GB 4GB RAM,32GB 3GB RAM
sonim,Sonim XP8,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp8.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2018, April","Available. Released 2018, May",152 x 79.5 x 18 mm (5.98 x 3.13 x 0.71 in),335 g (11.82 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~57.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Android 7.0 (Nougat),Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,Adreno 508,microSDXC,64GB 4GB RAM,"12 MP, PDAF",1080p@30fps,CDMA 800 / 1900,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, EDR, LE","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector; magnetic connector","Accelerometer, gyro, proximity, compass, barometer",CDMA2000 1xEV-DO,"Li-Ion 4900 mAh, removable",Up to 720 h,Up to 30 h,Black,,"LED flash, HDR, panorama",8 MP,1080p@30fps,Up to 70 h,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/150 Mbps",About 700 EUR,,,,,,,,IP69 dust proof and water resistant over 1 meter and 30 minutes MIL-STD-810G,,Corning Gorilla Glass 3,,,,,,XP8800,,,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 20, 25, 26, 28, 29, 30, 38, 40, 41, 66",,,,,Yes,Fast charging 18W Quick Charge 4,,,,,,,,,,
sonim,Sonim XP7,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp7.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2014, November. Released 2015, April",Discontinued,137 x 72.1 x 20.8 mm (5.39 x 2.84 x 0.82 in),290 g (10.23 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~46.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,No,16GB 1GB RAM,"8 MP, AF",1080p@30fps,HSDPA 850 / 1900 / 2100 - Telus,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity","1, 2, 3, 4, 5, 7, 17 - Telus","Li-Ion 4800 mAh, non-removable",Up to 1000 h,Up to 40 h,"Black, Yellow",,LED flash,1 MP,,,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",About 700 EUR,,,,,,,,eMMC 4.5,,Corning Gorilla Glass 2,,,,,,,,,,,"1, 2, 4, 5, 7, 8, 12, 17",,,,,Yes,,,,,,,,,,,
sonim,Sonim XP6,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp6.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2014, November. Released 2014, December",Discontinued,137 x 64.5 x 20.5 mm (5.39 x 2.54 x 0.81 in),270 g (9.52 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","2.63 inches, 21.3 cm2 (~24.2% screen-to-body ratio)","320 x 432 pixels, 4:3 ratio (~204 ppi density)",Android 4.4.2 (KitKat),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,No,8GB 1GB RAM,5 MP,720p@30fps,MIL-STD-810G compliant IP68/IP69 dust/water resistant (up to 1.8m for 30 min) Drop-to-concrete resistance from up to 2m Operational range -20°C to +55°C Flashlight,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity",eMMC 4.5,"Li-Ion 4800 mAh, non-removable",Up to 1080 h,Up to 40 h,Black,,,,,,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",About 490 EUR,,,,,,,,No,,Yes,,,,,,,,,,,"1, 2, 4, 5, 7, 8, 12, 17",,,,,,,,,,,,,,,,
sonim,Sonim XP3400 Armor,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3400-armor.jpg,CDMA / EVDO,CDMA 800 / 1900,,,"2011, Q3. Released 2012, Q1",Discontinued,126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in),185 g (6.53 oz),Mini-SIM,"TFT, 65K colors","2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,Qualcomm QSC6085,,,microSDHC (dedicated slot),,2 MP,Yes,MIL-STD-810G compliant IP68 dust/water resistant (up to 2m for 1 hour) Drop-to-concrete resistance from up to 2m Operational range -20°C to +55°C Flashlight,Yes,Yes,No,"2.1, A2DP, EDR","Yes, with A-GPS",FM radio,2.0,,No,Removable Li-Ion 1750 mAh battery,Up to 850 h,Up to 9 h 30 min,"Black, Black/Yellow",,LED flash,,,,CDMA2000 1xEV-DO,EV-DO Rev.A 3.1 Mbps,,,Yes,Yes,"SMS, MMS, Email",Yes,No,,Organizer MP3/WAV/AAC player MP4/H.263 player Voice memo Stopwatch Count-down timer File manager,,Corning Gorilla Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonim,Sonim XP5300 Force 3G,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp5300-force-3g.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,,"2011, August",Discontinued,126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in),185 g (6.53 oz),Mini-SIM,"TFT, 65K colors","2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,,microSDHC (dedicated slot),,2 MP,Yes,MIL-STD-810G compliant IP68 dust/water resistant (up to 2m for 1 hour) Drop-to-concrete resistance from up to 2m Operational range -20°C to +55°C Flashlight,Yes,Yes,No,"2.1, A2DP, EDR","Yes, with A-GPS",FM radio,2.0,Accelerometer,No,Removable Li-Ion 1950 mAh battery,Up to 1500 h,Up to 22 h (2G) / Up to 12 h (3G),"Black, Black/Yellow",,LED flash,,,,HSDPA 900 / 1700 / 2100,"Yes, 384 kbps",,,Yes,Yes,"SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,Organizer MP3/WAV/AAC player MP4/H.263 player Voice memo Stopwatch Count-down timer File manager,,Corning Gorilla Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonim,Sonim XP3340 Sentinel,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3340-sentinel.jpg,GSM,GSM 850 / 900 / 1800 / 1900,Class 12,Class 12,"2011, August",Discontinued,126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in),185 g (6.53 oz),Mini-SIM,"TFT, 65K colors","2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",MediaTek MT6235 platform,,,,microSDHC (dedicated slot),,2 MP,Yes,MIL-STD-810G compliant IP68 dust/water resistant (up to 2m for 1 hour) Drop-to-concrete resistance from up to 2m Operational range -20°C to +55°C Flashlight,Yes,Yes,No,"2.1, A2DP","Yes, with A-GPS",FM radio,2.0,Accelerometer,No,Removable Li-Ion 1750 mAh battery,Up to 800 h,Up to 24 h,"Black, Black/Yellow",,LED flash,,,,,,,,,,,,,,Organizer MP3/WAV/AAC player MP4/H.263 player Voice memo Stopwatch Count-down timer File manager,,Corning Gorilla Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonim,Sonim XP3300 Force,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3300-force.jpg,GSM,GSM 850 / 900 / 1800 / 1900,Class 12,Class 12,"2011, February. Released 2011, March",Discontinued,126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in),185 g (6.53 oz),Mini-SIM,"TFT, 65K colors","2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",MediaTek MT6235 platform,,,,microSDHC (dedicated slot),,2 MP,No,MIL-STD-810G compliant IP68 dust/water resistant (up to 2m for 1 hour) Drop-to-concrete resistance from up to 2m Operational range -20°C to +55°C Flashlight,Yes,Yes,No,"2.1, A2DP","Yes, with A-GPS",FM radio,2.0,,No,Removable Li-Ion 1750 mAh battery,Up to 800 h,Up to 18 h,"Black, Black/Yellow",,LED flash,,,,,,About 370 EUR,,,,,,,,Organizer MP3/WAV/AAC player MP4/H.263 player Voice memo Stopwatch Count-down timer File manager,WAP 2.0/xHTML,Corning Gorilla Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonim,Sonim XP1300 Core,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp1300-core.jpg,GSM,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2010, October. Released 2010, November",Discontinued,126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in),185 g (6.53 oz),Mini-SIM,"TFT, 65K colors","2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",MediaTek MT6235 platform,,,,microSDHC (dedicated slot),,,,MIL-STD-810F compliant IP68 dust/water resistant (up to 1.5m for 30 mins) Drop-to-concrete resistance from up to 2m Operational range -20°C to +55°C Flashlight,Yes,Yes,No,"2.1, A2DP",No,FM radio,2.0,,No,Removable Li-Ion 1750 mAh battery,Up to 800 h,Up to 18 h,"Black, Black/Yellow",,,,,,,,About 290 EUR,,,,,,,,Organizer MP3/WAV/AAC player MP4/H.263 player Voice memo Stopwatch Count-down timer File manager,WAP 2.0/xHTML (Opera Mini),Corning Gorilla Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonim,Sonim XP3 Sentinel,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3-sentinel.jpg,GSM,GSM 900 / 1800 / 1900,Class 10,Class 10,"2010, July. Released 2010, July",Discontinued,119 x 56 x 25 mm (4.69 x 2.20 x 0.98 in),170 g (6.00 oz),Mini-SIM,"TFT, 65K colors",,176 x 220 pixels,,Philips Nexperia 5210,264 MHz ARM 9,,microSD (dedicated slot),,2 MP,Yes,GSM 850 / 1800 / 1900,Yes,No,No,2.0,"Yes, with A-GPS; SIRF InstantFix",Stereo FM radio,miniUSB 2.0,Accelerometer,IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant Drop-to-concrete resistance from up to 2m Operational range -20°C to +55°C Flashlight Dedicated red risk side button for emergency GPS alerts,Removable Li-Ion 1850 mAh battery,Up to 1500 h,Up to 18 h,Black,,LED flash,,,,,,,,"Yes, up to 1000 entries",Yes,SMS(1000),Yes,"Yes, MIDP 2.0",,Lone worker app with GPS tracking Accelerometer-based Man-Down sensor Organizer Voice memo Stopwatch Count-down timer File manager,WAP 2.0/xHTML,Corning Gorilla Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonim,Sonim XP2.10 Spirit,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp2.10-spirit-new.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,,,"2010, February. Released 2010, March",Discontinued,130.7 x 59.7 x 21.7 mm (5.15 x 2.35 x 0.85 in),180 g (6.35 oz),Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2 (~15.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,,microSDHC (dedicated slot),40MB,3.15 MP,Yes,GSM 850 / 1800 / 1900,Yes,No,No,"1.2, A2DP",No,Stereo FM radio,microUSB 2.0,,IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810D compliant Drop-to-concrete resistance from up to 2m Operational range -20°C to +55°C Flashlight,Removable Li-Ion 1300 mAh battery,Up to 428 h,Up to 8 h,Black,,LED flash,,,,HSDPA 2100,HSPA 7.2/0.384 Mbps,,,"Yes, up to 1000 entries",Yes,"SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,Organizer MP3/WAV/eAAC+ player MP4/H.264 player Nimbuzz IM Voice memo Stopwatch Predictive text input,"WAP 2.0/xHTML, HTML (Opera Mini)",Corning Gorilla Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,
