Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Type_1,Stand-by,Talk time,Colors,SAR EU,Features,Single_1,Video_1,Music play,3G bands,Speed,Price,Keyboard,Phonebook,Call records,Messaging,Games,Java,SAR,_1_1,Browser,Protection,Camera,Loudspeaker_1,Audio quality,Display,Battery life,Models,Infrared port,Alert types,Clock,Alarm,4G bands,5G bands,Build,Triple,Features_1,NFC,Charging,Performance,Quad,256GB 8GB RAM,128GB 4GB RAM,64GB 3GB RAM,128GB 6GB RAM,64GB 6GB RAM,Dual,64GB 4GB RAM,32GB 3GB RAM
sony,Sony Xperia 5 II,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-ii-5g-r.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"2020, September 17","Coming soon. Exp. release 2020, October 12",158 x 68 x 8 mm (6.22 x 2.68 x 0.31 in),163 g (5.75 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.1 inches, 86.9 cm2 (~80.9% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~449 ppi density)","Android 10, planned upgrade to Android 11",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),Adreno 650,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm","4K@24/30/60/120fps HDR, 1080p, 5-axis gyro-EIS, OIS",IP65/IP68 dust/water resistant (up to 1.5m for 30 mins),"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA, hotspot","5.1, A2DP, aptX HD, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS",No,"3.1, Type-C 1.0 reversible connector; USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass, color spectrum",HDR BT.2020 Triluminos display X-Reality Engine 120Hz refresh rate,"Li-Ion 4000 mAh, non-removable",,,"Black, Grey, Blue, Pink",,"Zeiss optics, LED flash, panorama, HDR, eye tracking",,"1080p@30fps, 5-axis gyro-EIS",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (CA) Cat18 1200/150 Mbps, 5G",About 900 EUR,,,,,,,,24-bit/192kHz audio Dynamic vibration system,,Corning Gorilla Glass 6,Photo / Video,-28.3 LUFS (Average),,Contrast ratio: Infinite (nominal),Endurance rating 102h,SO-52A,,,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 46, 48, 66","1, 3, 8, 28, 77, 78 SA/NSA","Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame","12 MP, f/1.7, 24mm (wide), 1/1.7"", 1.8µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 70mm (telephoto), 1/3.4"", 1.0µm, PDAF, 3x optical zoom, OIS 12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.55"", Dual Pixel PDAF",HDR,Yes,"Fast charging 21W, 50% in 30 min (advertised, with the incl. 18W charger) USB Power Delivery 3.0",AnTuTu: 532655 (v8) GeekBench: 3301 (v5.1) GFXBench: 41fps (ES 3.1 onscreen),,,,,,,,,
sony,Sony Xperia 1 II,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-II-o.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, February 24","Available. Released 2020, May 22",165.1 x 71.1 x 7.6 mm (6.5 x 2.80 x 0.30 in),181.4 g (6.38 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 1B colors","6.5 inches, 98.6 cm2 (~84.0% screen-to-body ratio)","1644 x 3840 pixels, 21:9 ratio (~643 ppi density)",Android 10,Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,microSDXC (uses shared SIM slot),256GB 8GB RAM,"8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm","4K@24/25/30/60fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS",IP65/IP68 dust/water resistant (up to 1.5m for 30 mins),"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA, hotspot","5.1, A2DP, aptX HD, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO",No,"3.1, Type-C 1.0 reversible connector; USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass, color spectrum",HDR BT.2020,"Li-Po 4000 mAh, non-removable",,,"Black, Purple",,"Zeiss optics, LED flash, panorama, HDR, eye tracking",,1080p@30fps (5-axis gyro-EIS),,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat19 1600/150 Mbps, 5G (2+ Gbps DL)","€ 1,153.18 / $ 1,129.00 / £ 989.00",,,,,,,,24-bit/192kHz audio Dynamic vibration system,,Corning Gorilla Glass 6,Photo / Video,-27.3 LUFS (Good),,Contrast ratio: Infinite (nominal),Endurance rating 83h,XQ-AT51,,,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 46, 66","1, 3, 28, 77, 78 NSA/Sub6","Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame",,HDR,Yes,Fast charging 21W Fast wireless charging 11W USB Power Delivery,AnTuTu: 534701 (v8) GeekBench: 3295 (v5.1) GFXBench: 39fps (ES 3.1 onscreen),"12 MP, f/1.7, 24mm (wide), 1/1.7"", 1.8µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 70mm (telephoto), 1/3.4"", 1.0µm, PDAF, 3x optical zoom, OIS 12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.55"", Dual Pixel PDAF 0.3 MP, TOF 3D, (depth)","€ 1,153.18",,,,,,,
sony,Sony Xperia 10 II,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-II-o.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"2020, February 24","Available. Released 2020, May 05",157 x 69 x 8.2 mm (6.18 x 2.72 x 0.32 in),151 g (5.33 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.0 inches, 84.1 cm2 (~77.6% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~457 ppi density)",Android 10,Qualcomm SDM665 Snapdragon 665 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (uses shared SIM slot),128GB 4GB RAM,"8 MP, f/2.0, 24mm (wide), 1/4.0""","4K@30fps, 1080p@30fps",IP65/IP68 dust/water resistant (up to 1.5m for 30 mins),Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS",No,"2.0, Type-C 1.0 reversible connector; USB On-The-Go","Fingerprint (side-mounted), accelerometer, proximity, compass",24-bit/192kHz audio,"Li-Po 3600 mAh, non-removable",,,"Black, White, Mint Green, Berry Blue",,"LED flash, HDR, panorama",,1080p@30fps,,HSDPA 850 / 900 / 1700(AWS) / 2100,"HSPA 42.2/5.76 Mbps, LTE-A Cat11 600/75 Mbps",€ 344.99 / $ 351.59 / £ 319.00,,,,,,,,,,Corning Gorilla Glass 6,Photo / Video,-28.8 LUFS (Average),,Contrast ratio: Infinite (nominal),Endurance rating 92h,,,,,,"1, 3, 4, 5, 7, 8, 12, 20, 28, 38, 39, 40, 41",,"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), plastic frame","12 MP, f/2.0, 26mm (wide), 1/2.8"", PDAF 8 MP, f/2.4, 52mm (telephoto), 1/4.0"", PDAF, 2x optical zoom 8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0""",HDR,Yes,Fast charging 18W Quick Charge 3.0 USB Power Delivery,"AnTuTu: 196545 (v8) GeekBench: 5679 (v4.4), 1413 (v5.1) GFXBench: 5.6fps (ES 3.1 onscreen)",,,€ 344.99,,,,,,
sony,Sony Xperia L4,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-l4.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"2020, February 20","Available. Released 2020, April 28",159 x 71 x 8.7 mm (6.26 x 2.80 x 0.34 in),178 g (6.28 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 89.8 cm2 (~79.5% screen-to-body ratio)","720 x 1680 pixels, 21:9 ratio (~295 ppi density)",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),64GB 3GB RAM,"8 MP, f/2.0, 27mm (wide), 1/4"", 1.12µm",1080p@30fps,eMMC 5.1,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, proximity, compass",,"Li-Ion 3580 mAh, non-removable",,,"Black, Blue",,"LED flash, HDR, panorama",,1080p@30fps,,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",€ 171.37 / £ 144.99,,,,,,,,,,,,,,,,,,,,,"1, 2, 3, 5, 7, 8, 20, 40",,"Glass front, plastic back, plastic frame","13 MP, f/2.0, 26mm (wide), 1/3.0"", PDAF 5 MP, f/2.2, 17mm (ultrawide), 1/5.0"", 1.12µm 2 MP, f/2.4, (depth)",,Yes,Fast charging USB Power Delivery,,,,,€ 171.37,,,,,
sony,Sony Xperia 5,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"2019, September 05","Available. Released 2019, October 05",158 x 68 x 8.2 mm (6.22 x 2.68 x 0.32 in),164 g (5.78 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.1 inches, 86.9 cm2 (~80.9% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~449 ppi density)","Android 9.0 (Pie), upgradable to Android 10",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,microSDXC (uses shared SIM slot),128GB 6GB RAM,"8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm","4K@24/30fps HDR, 1080p@60fps, 1080p@30fps (5-axis gyro-EIS)",IP65/IP68 dust/water resistant (up to 1.5m for 30 mins),"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, aptX HD, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO",No,"3.1, Type-C 1.0 reversible connector; USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass, color spectrum",HDR BT.2020 Triluminos display X-Reality Engine,"Li-Ion 3140 mAh, non-removable",,,"Blue, Red, Black, Grey",,"LED flash, panorama, HDR, eye tracking",,1080p@30fps (5-axis gyro-EIS),,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A Cat19 1600/150 Mbps",€ 555.76 / $ 598.00 / £ 565.00,,,,,,,,24-bit/192kHz audio Dynamic vibration system,,Corning Gorilla Glass 6,,-27.1 LUFS (Good),Noise -93.0dB / Crosstalk -89.4dB,Contrast ratio: Infinite (nominal),Endurance rating 96h,"J8210, J8270, J9210",,,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 46, 66",,"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame","12 MP, f/1.6, 26mm (wide), 1/2.55"", 1.4µm, predictive Dual Pixel PDAF, 5-axis OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.4"", 1.0µm, predictive PDAF, 2x optical zoom, 5-axis OIS 12 MP, f/2.4, 16mm (ultrawide), 1/3.4"", 1.0µm",HDR,Yes,Fast charging 18W USB Power Delivery 2.0,"AnTuTu: 334809 (v7), 416601 (v8) GeekBench: 10941 (v4.4), 2825 (v5.1) GFXBench: 33fps (ES 3.1 onscreen)",,,,,€ 555.76,,,,
sony,Sony Xperia 1,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"2019, February 25","Available. Released 2019, May 30",167 x 72 x 8.2 mm (6.57 x 2.83 x 0.32 in),178 g (6.28 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.5 inches, 98.6 cm2 (~82.0% screen-to-body ratio)","1644 x 3840 pixels, 21:9 ratio (~643 ppi density)","Android 9.0 (Pie), upgradable to Android 10",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,microSDXC (uses shared SIM slot) - dual SIM model only,"64GB 6GB RAM, 128GB 6GB RAM","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm","4K@24/30fps HDR, 1080p@60fps, 1080p@30fps (5-axis gyro-EIS), 1080p@960fps",IP65/IP68 dust/water resistant (up to 1.5m for 30 mins),"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, aptX HD, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO",No,"3.1, Type-C 1.0 reversible connector; USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass, color spectrum",HDR BT.2020 Triluminos display X-Reality Engine,"Li-Ion 3330 mAh, non-removable",,,"Black, Gray, Purple, White",,"LED flash, panorama, HDR, eye tracking",,1080p@30fps (5-axis gyro-EIS),,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A Cat19 1600/150 Mbps",€ 469.99 / $ 639.90 / £ 499.00,,,,,,,,24-bit/192kHz audio Dynamic vibration system,,Corning Gorilla Glass 6,Photo / Video,-26.7 LUFS (Good),Noise -93.6dB / Crosstalk -85.2dB,Contrast ratio: Infinite (nominal),Endurance rating 79h,"J8110, J8170, J9110, J9150, SOV40",,,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 29, 32, 38, 39, 40, 41, 46, 66",,"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame","12 MP, f/1.6, 26mm (wide), 1/2.55"", 1.4µm, predictive Dual Pixel PDAF, 5-axis OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.4"", 1.0µm, predictive PDAF, 2x optical zoom, 5-axis OIS 12 MP, f/2.4, 16mm (ultrawide), 1/3.4"", 1.0µm",HDR,Yes,Fast charging 18W USB Power Delivery 2.0,"AnTuTu: 356734 (v7), 418206 (v8) GeekBench: 10985 (v4.4), 2753 (v5.1) GFXBench: 33fps (ES 3.1 onscreen)",,,,,€ 699.00,€ 469.99,,,
sony,Sony Xperia 10 Plus,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-plus-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"2019, February 25","Available. Released 2019, February 27",167 x 73 x 8.3 mm (6.57 x 2.87 x 0.33 in),180 g (6.35 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 98.7 cm2 (~81.0% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~422 ppi density)",Android 9.0 (Pie),Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Adreno 509,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 64GB 6GB RAM","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm","4K@30fps, 1080p@30fps",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - I3223,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector; USB On-The-Go","Fingerprint (side-mounted), accelerometer, proximity, compass","1, 2, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41 - I4293","Li-Ion 3000 mAh, non-removable",,,"Black, Navy, Silver, Gold",,"LED flash, HDR, panorama",,1080p@30fps,,"HSDPA 850 / 900 / 1900 / 2100 - I3213, I4213, I4293","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/50 Mbps",€ 563.79 / $ 699.99,,,,,,,,24-bit/192kHz audio,,Corning Gorilla Glass 5,Photo / Video,-28.8 LUFS (Average),Noise -92.4dB / Crosstalk -96.7dB,Contrast ratio: 1530:1 (nominal),Endurance rating 78h,"I3213, I4213, I4293, I3223",,,,,"1, 2, 3, 5, 7, 8, 20, 28, 32, 38 - I3213, I4213",,"Glass front (Gorilla Glass 5), plastic back, plastic frame",,HDR,Yes,Fast charging 18W Quick Charge 3.0 USB Power Delivery,"AnTuTu: 120573 (v7), 147163 (v8) GeekBench: 4780 (v4.4), 1238 (v5.1) GFXBench: 5fps (ES 3.1 onscreen)",,,,,,$ 699.99,"12 MP, f/1.8, 27mm (wide), 1/2.8"", 1.25µm, PDAF 8 MP, f/2.4, 53mm (telephoto), 1/4.0"", 1.12µm, PDAF, 2x optical zoom",€ 563.79,
sony,Sony Xperia 10,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"2019, February 25","Available. Released 2019, February 27",156 x 68 x 8.4 mm (6.14 x 2.68 x 0.33 in),162 g (5.71 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 84.1 cm2 (~79.3% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~457 ppi density)",Android 9.0 (Pie),Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,Adreno 508,microSDXC (uses shared SIM slot),"64GB 3GB RAM, 64GB 4GB RAM","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm","4K@30fps, 1080p@30fps",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - I3123,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector; USB On-The-Go","Fingerprint (side-mounted), accelerometer, proximity, compass","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 28, 29, 66 - I3123","Li-Ion 2870 mAh, non-removable",,,"Black, Navy, Silver, Pink",,"LED flash, HDR, panorama",,1080p@30fps,,"HSDPA 850 / 900 / 1900 / 2100 - I3113, I4113, I4193","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/50 Mbps",€ 299.90 / £ 214.99,,,,,,,,24-bit/192kHz audio,,Corning Gorilla Glass 5,Photo / Video,-30.2 LUFS (Below average),Noise -92.2dB / Crosstalk -97.1dB,Contrast ratio: 1517:1 (nominal),Endurance rating 65h,"I3113, I4113, I4193, I3123",,,,,"1, 2, 3, 5, 7, 8, 20, 28, 32, 38 - I3113, I4113",,"Glass front (Gorilla Glass 5), plastic back, plastic frame",,,Yes,Fast charging 18W Quick Charge 3.0 USB Power Delivery,"AnTuTu: 89697 (v7), 112198 (v8) GeekBench: 3985 (v4.4), 990 (v5.1) GFXBench: 4.3fps (ES 3.1 onscreen)",,,,€ 299.90,,,"13 MP, f/2.0, 27mm (wide), 1/3.1"", 1.12µm, PDAF 5 MP, f/2.4, (depth)",,
sony,Sony Xperia L3,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-l3.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"2019, February","Available. Released 2019, February",154 x 72 x 8.9 mm (6.06 x 2.83 x 0.35 in),156 g (5.50 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 8.0 (Oreo),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),32GB 3GB RAM,"8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm",1080p@30fps,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - I3322,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, proximity, compass","1, 2, 3, 5, 7, 8, 28, 38, 39, 40, 41 - I4332","Li-Ion 3300 mAh, non-removable",,,"Black, Gold, Silver",,"LED flash, HDR, panorama",,1080p@30fps,,"HSDPA 850 / 900 / 1900 / 2100 - I3312, I4312, I4332","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",€ 351.14 / £ 139.99,,,,,,,,eMMC 5.1,,Corning Gorilla Glass 5,Photo / Video,Voice 70dB / Noise 73dB / Ring 81dB,Noise -91.9dB / Crosstalk -89.3dB,Contrast ratio: 1818:1 (nominal),Endurance rating 80h,"I3312, I4312, I4332, I3322",,,,,"1, 2, 3, 5, 7, 8, 20, 38 - I3312, I4312",,"Glass front (Gorilla Glass 5), plastic back, plastic frame",,,Yes,Fast charging USB Power Delivery,AnTuTu: 78894 (v7) GFXBench: 5fps (ES 3.1 onscreen),,,,,,,"13 MP, f/2.2, 26mm (wide), 1/3.0"", PDAF 2 MP, f/2.4, (depth)",,€ 351.14
sony,Sony Xperia XA2 Plus,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa2-plus-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"2018, July","Available. Released 2018, September",157 x 75 x 9.6 mm (6.18 x 2.95 x 0.38 in),205 g (7.23 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~78.9% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Android 8.0 (Oreo),Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,Adreno 508,microSDXC (uses shared SIM slot),"32GB 4GB RAM, 64GB 6GB RAM","23 MP, f/2.0, 24mm (wide), 1/2.3"", PDAF","4K@30fps, 1080p@30fps, stereo sound rec., HDR","1, 2, 3, 5, 7, 8, 28, 38, 39, 40, 41 - H4493",Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, aptX HD, LE","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector; USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",24-bit/192kHz audio,"Li-Ion 3580 mAh, non-removable",,,"Silver, Black, Gold, Green",,"LED flash, HDR, panorama","8 MP, f/2.4, 1/4""",1080p@30fps,,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/150 Mbps",About 240 EUR,,,,,,,,,,Corning Gorilla Glass 5,Photo / Video,Voice 66dB / Noise 73dB / Ring 79dB,Noise -93.6dB / Crosstalk -93.1dB,"Contrast ratio: 1522:1 (nominal), 3.445 (sunlight)",Endurance rating 104h,"H4413, H4493, H3413",,,,,"1, 2, 3, 5, 7, 8, 20, 38 - H3413, H4413",,"Glass front (Gorilla Glass 5), plastic back, aluminum frame",,,Yes,Fast charging 18W Quick Charge 3.0,"AnTuTu: 86374 (v7), 107537 (v8)GeekBench: 4144 (v4.4), 1018 (v5.1)GFXBench: 5.1fps (ES 3.1 onscreen)",,,,,,,,,
