Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Type_1,Stand-by,Talk time,Colors,SAR EU,Features,Single_1,Video_1,Music play,3G bands,Speed,Price,Keyboard,Phonebook,Call records,Messaging,Games,Java,SAR,_1_1,Browser,Protection,Camera,Loudspeaker_1,Audio quality,Display,Battery life,Models,Infrared port,Alert types,Clock,Alarm
sony_ericsson,Sony Ericsson Xperia Arc S,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-xperia-arc-s.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,,"2011, August. Released 2011, September",Discontinued,125 x 63 x 8.7 mm (4.92 x 2.48 x 0.34 in),117 g (4.13 oz),Mini-SIM,"LED-backlit LCD, capacitive touchscreen, 16M colors","4.2 inches, 48.6 cm2 (~61.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~233 ppi density)","Android 2.3.4 (Gingerbread), 4.0.4 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean)",Qualcomm MSM8255T Snapdragon S2,1.4 GHz Scorpion,Adreno 205,"microSDHC (dedicated slot), 8 GB included","1GB (320MB user available), 512MB RAM","8 MP, AF",720p@30fps,HSDPA 850 / 1900 / 2100 / 800  - LT18a,Yes,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","2.1, A2DP, EDR","Yes, with A-GPS; GLONASS","Stereo FM radio, RDS","microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",No,Removable Li-Po 1500 mAh battery,Up to 460 h (2G) / Up to 460 h (3G),Up to 7 h 25 min (2G) / Up to 7 h 35 min (3G),"Pure White, Midnight Blue, Misty Silver, Gloss Black, Sakura Pink",0.66 W/kg (head),"LED flash, panorama",,,Up to 37 h,HSDPA 900 / 2100  - LT18i,HSPA 14.4/5.76 Mbps,About 210 EUR,,,,,,,,ANT+ HDMI port MP4/H.264/WMV player MP3/eAAC+/WMA/WAV player TrackID music recognition NeoReader barcode scanner Document viewer Voice memo/dial/commands Predictive text input,,Scratch-resistant glass,Photo / Video,Voice 67dB / Noise 65dB / Ring 76dB,Noise -89.3dB / Crosstalk -90.2dB,,,,,,,
sony_ericsson,Sony Ericsson Xperia neo V,https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-xperia-neo-v.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,,"2011, August. Released 2011, October",Discontinued,116 x 57 x 13 mm (4.57 x 2.24 x 0.51 in),126 g (4.44 oz),Mini-SIM,"LED-backlit LCD, capacitive touchscreen, 16M colors","3.7 inches, 37.7 cm2 (~57.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~265 ppi density)","Android 2.3.4 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Qualcomm MSM8255 Snapdragon S2,1.0 GHz Scorpion,Adreno 205,"microSDHC (dedicated slot), 2 GB included","1GB (320MB user available), 512MB RAM","5 MP, AF",720p@30fps,HSDPA 850 / 1900 / 2100 - MT11a,Yes,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","2.1, A2DP, EDR","Yes, with A-GPS","Stereo FM radio, RDS","microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",ANT+ HDMI port MP4/H.264/WMV player MP3/WMA/WAV/eAAC+ player TrackID music recognition Organizer Document viewer Voice memo/dial/commands Predictive text input (T9 Trace),Removable Li-Po 1500 mAh battery,Up to 430 h (2G) / Up to 400 h (3G),Up to 6 h 55 min (2G) / Up to 7 h (3G),"White, Blue Gradient, Silver",1.10 W/kg (head),"LED flash, panorama",VGA,,Up to 31 h,HSDPA 900 / 2100 - MT11i,HSPA 7.2/5.76 Mbps,About 150 EUR,,,,,,,,,,Scratch-resistant glass,Photo / Video,Voice 68dB / Noise 65dB / Ring 71dB,Noise -89.6dB / Crosstalk -80.9dB,Contrast ratio: 1578:1 (nominal),Endurance rating 42h,,,,,
sony_ericsson,Sony Ericsson Live with Walkman,https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-live-with-walkman.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,,"2011, August. Released 2011, October",Discontinued,106 x 56.5 x 14.2 mm (4.17 x 2.22 x 0.56 in),115 g (4.06 oz),Mini-SIM,"TFT capacitive touchscreen, 16M colors","3.2 inches, 30.5 cm2 (~50.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)","Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Qualcomm MSM8255 Snapdragon S2,1.0 GHz Scorpion,Adreno 205,"microSDHC (dedicated slot), 2 GB included",320MB 512MB RAM,"5 MP, AF",720p,HSDPA 850 / 1900 / 2100 - WT19a,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","2.1, A2DP, EDR","Yes, with A-GPS","Stereo FM radio, RDS","microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",ANT+ MP4/H.264/WMV player MP3/eAAC+/WMA/WAV player TrackID music recognition Document editor Voice memo Predictive text input,Removable Li-Ion 1200 mAh battery,Up to 350 h (2G) / Up to 400 h (3G),Up to 14 h 15 min (2G) / Up to 6 h 42 min (3G),"Black, White",1.00 W/kg (head),LED flash,VGA,,Up to 17 h 30 min,HSDPA 900 / 2100 - WT19i,HSPA 7.2/5.76 Mbps,About 120 EUR,,,,,,,,,,Scratch-resistant glass,Photo / Video,Voice 75dB / Noise 68dB / Ring 78dB,Noise -88.1dB / Crosstalk -87.9dB,,,,,,,
sony_ericsson,Sony Ericsson Xperia ray,https://fdn2.gsmarena.com/vv/bigpic/se-xperia-ray-ofic.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,,"2011, June. Released 2011, August",Discontinued,111 x 53 x 9.4 mm (4.37 x 2.09 x 0.37 in),100 g (3.53 oz),Mini-SIM,"LED-backlit LCD, capacitive touchscreen, 16M colors","3.3 inches, 30.0 cm2 (~51.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~297 ppi density)","Android 2.3 (Gingerbread), upgradable to 4.0.4 (Ice Cream Sandwich)",Qualcomm MSM8255 Snapdragon S2,1.0 GHz Scorpion,Adreno 205,"microSDHC (dedicated slot), 4 GB included","1GB (300MB user available), 512MB RAM","8 MP, AF",720p,HSDPA 850 / 1900 / 2100 - ST18a,Yes,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","2.1, A2DP, EDR","Yes, with A-GPS","Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",Touch sensitive controls,Removable Li-Ion 1500 mAh battery,Up to 430 h (2G) / Up to 440 h (3G),Up to 6 h 50 min (2G) / Up to 7 h (3G),"Black, Gold, White, Pink",0.96 W/kg (head),LED flash,VGA,,Up to 36 h,HSDPA 900 / 2100 - ST18i,HSPA 7.2/5.76 Mbps,About 170 EUR,,,,,,,,ANT+ MP4/H.264 player MP3/WAV player TrackID music recognition SensMe Document viewer Voice memo Predictive text input,"HTML, Adobe Flash",Scratch-resistant glass,Photo / Video,Voice 64dB / Noise 61dB / Ring 66dB,Noise -89.4dB / Crosstalk -91.3dB,Contrast ratio: 1.955:1 (sunlight),,,,,,
sony_ericsson,Sony Ericsson Xperia active,https://fdn2.gsmarena.com/vv/bigpic/Sony-Ericsson-Xperia-active1.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,,"2011, June. Released 2011, October",Discontinued,92 x 55 x 16.5 mm (3.62 x 2.17 x 0.65 in),110.8 g (3.88 oz),Mini-SIM,"LED-backlit LCD, capacitive touchscreen, 16M colors","3.0 inches, 26.8 cm2 (~53.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~192 ppi density)","Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Qualcomm MSM8255 Snapdragon S2,1.0 GHz Scorpion,Adreno 205,"microSDHC (dedicated slot), 2 GB included","1GB (320MB user available), 512MB RAM","5 MP, AF",720p,HSDPA 1900 / 2100 / 800,Yes,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","2.1, A2DP, EDR","Yes, with A-GPS","Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",IP67 dust/water resistant (up to 1m for 30 mins) Flashlight,Removable Li-Ion 1200 mAh battery,Up to 351 h (2G) / Up to 335 h (3G),Up to 4 h 53 min (2G) / Up to 5 h 31 min (3G),"Orange/Black, White/Black",,LED flash,,,Up to 25 h,HSDPA 900 / 2100,HSPA 7.2/5.76 Mbps,About 170 EUR,,,,,,,1.12 W/kg (head)     1.07 W/kg (body),ANT+ MP4/H.264 player MP3/eAAC+/WAV player TrackID music recognition Document viewer Voice memo Predictive text input,"HTML, Adobe Flash",Scratch-resistant glass,Photo / Video,Voice 70dB / Noise 64dB / Ring 68dB,Noise -89.5dB / Crosstalk -91.4dB,,,,,,,
sony_ericsson,Sony Ericsson txt,https://fdn2.gsmarena.com/vv/bigpic/se-txt-ofic.jpg,GSM,GSM 850 / 900 / 1800 / 1900,Up to 60 kbps,Up to 177 kbps,"2011, June. Released 2011, October",Discontinued,106 x 60 x 14.5 mm (4.17 x 2.36 x 0.57 in),95 g (3.35 oz),Mini-SIM,"TFT,  256K colors","2.55 inches, 20.1 cm2 (~31.7% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~157 ppi density)",,,,,microSDHC (dedicated slot),"120MB (100MB user available), 64MB RAM",3.15 MP,Yes,No,Yes,Yes,Wi-Fi 802.11 b/g,"2.1, A2DP, EDR",No,"Stereo FM radio, RDS",microUSB 2.0,,SNS integration with native Facebook and Twitter clients MP4/H.264 player MP3/eAAC+/WAV player TrackID music recognition Voice memo Predictive text input,Removable Li-Ion 1000 mAh battery,Up to 416 h,Up to 3 h 12 min,"Black, Blue, White, Pink",0.92 W/kg (head),fixed-focus,,,Up to 23 h,,,About 60 EUR,QWERTY,"Yes, Photocall",Yes,"SMS(threaded view), MMS, Email, Push email, IM",Yes,"Yes, MIDP 2.1",,,HTML,Scratch-resistant glass,,,,,,,,,,
sony_ericsson,Sony Ericsson Mix Walkman,https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-mix-walkman.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - WT13i,Up to 115 kbps,Up to 200 kbps,"2011, June. Released 2011, August",Discontinued,95.8 x 52.8 x 14.3 mm (3.77 x 2.08 x 0.56 in),88 g (3.10 oz),Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.0 inches, 25.6 cm2 (~50.6% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",,,,,microSDHC (dedicated slot),256MB (100MB user available),3.15 MP,320p,No,Yes,Yes,Wi-Fi 802.11 b/g,"2.1, A2DP",No,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity",SNS integration Walkman player (MP3/eAAC+/WMA/MP4/H.263) SensMe TrackID music recognition Document viewer Voice memo Predictive text input,Removable Li-Ion 1000 mAh battery,Up to 465 h,Up to 9 h 40 min,"Black with pink cloud band, Black with pink band, Black with green bird band, Black with green band",0.91 W/kg (head),,,,Up to 13 h,,,About 70 EUR,,"Yes, Photocall",Yes,"SMS(threaded view), MMS, Email, IM",Yes,Yes,,,"WAP 2.0/xHTML, HTML",Scratch-resistant glass,Photo,Voice 70dB / Noise 72dB / Ring 75dB,,Contrast ratio: 751:1 (nominal),,,,,,
sony_ericsson,Sony Ericsson txt pro,https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-txt-pro.jpg,GSM,GSM 850 / 900 / 1800 / 1900,Up to 85.6 kbps,Up to 236.8 kbps,"2011, June. Released 2011, July",Discontinued,93 x 52 x 18 mm (3.66 x 2.05 x 0.71 in),100 g (3.53 oz),Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.0 inches, 25.6 cm2 (~53.0% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",,,PNX-4910,,microSDHC (dedicated slot),100MB 64MB RAM,3.15 MP,320p,No,Yes,Yes,Wi-Fi 802.11 b/g,"2.1, A2DP",No,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity",SNS integration MP4/H.263 player MP3/eAAC+/WAV/WMA player TrackID music recognition Document viewer Voice memo Predictive text input,Removable Li-Ion 1000 mAh battery,Up to 400 h,Up to 5 h 10 min,"Black, White, Pink",0.80 W/kg (head),,,,,,,About 80 EUR,QWERTY,"Yes, Photocall",Yes,"SMS(threaded view), MMS, Email, IM",Yes,Yes,,,"WAP 2.0/xHTML, HTML",Scratch-resistant glass,,,,,,,,,,
sony_ericsson,Sony Ericsson Xperia mini,https://fdn2.gsmarena.com/vv/bigpic/se-xperia-mini-ofic.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,,"2011, May. Released 2011, August",Discontinued,88 x 52 x 16 mm (3.46 x 2.05 x 0.63 in),99 g (3.49 oz),Mini-SIM,"LED-backlit LCD, capacitive touchscreen, 16M colors","3.0 inches, 26.8 cm2 (~58.6% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~192 ppi density)","Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Qualcomm MSM8255 Snapdragon S2,1.0 GHz Scorpion,Adreno 205,"microSDHC (dedicated slot), 2 GB included","512MB RAM, 320MB","5 MP, AF",720p,HSDPA 850 / 1900 / 2100,Yes,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","2.1, A2DP","Yes, with A-GPS","Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",No,Removable Li-Ion 1200 mAh battery,Up to 340 h (2G) / Up to 320 h (3G),Up to 4 h 30 min (2G) / Up to 4 h 30 min (3G),"Black, White, Blue, Dark pink",0.78 W/kg (head),LED flash,,,Up to 25 h,HSDPA 900 / 2100,HSPA 7.2/5.76 Mbps,About 120 EUR,,,,,,,,ANT+ MP4/H.264/WMV player MP3/eAAC+/WMA/WAV player TrackID music recognition Document viewer Voice memo Predictive text input,"HTML, Adobe Flash",Scratch-resistant glass,Photo / Video,Voice 71dB / Noise 65dB / Ring 66dB,Noise -88.7dB / Crosstalk -90.6dB,,,ST15i,,,,
sony_ericsson,Sony Ericsson Xperia mini pro,https://fdn2.gsmarena.com/vv/bigpic/se-xperia-mini-pro-ofic.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,,"2011, May. Released 2011, August",Discontinued,92 x 53 x 18 mm (3.62 x 2.09 x 0.71 in),136 g (4.80 oz),Mini-SIM,"LED-backlit LCD, capacitive touchscreen, 16M colors","3.0 inches, 26.8 cm2 (~55.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~192 ppi density)","Android 2.3 (Gingerbread), 4.0 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean)",Qualcomm MSM8255 Snapdragon S2,1.0 GHz Scorpion,Adreno 205,"microSDHC (dedicated slot), 2 GB included","512MB RAM, 400MB","5 MP, AF",720p,HSDPA 850 / 1900 / 2100,Yes,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","2.1, A2DP","Yes, with A-GPS","Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",ANT+ MP4/H.264/WMV player MP3/eAAC+/WMA/WAV player TrackID music recognition Document viewer Voice memo Predictive text input,Removable Li-Ion 1200 mAh battery,Up to 331 h (2G) / Up to 340 h (3G),Up to 5 h 40 min (2G) / Up to 5 h 25 min (3G),"Black, White, Pink, Turquoise",0.46 W/kg (head),LED flash,VGA,,Up to 29 h,HSDPA 900 / 2100,HSPA 7.2/5.76 Mbps,About 140 EUR,QWERTY,,,,,,,,"HTML, Adobe Flash",Scratch-resistant glass,Photo / Video,Voice 70dB / Noise 62dB / Ring 70dB,Noise -89.7dB / Crosstalk -91.0dB,Contrast ratio: 714:1 (nominal),,,,,,
