Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Type_1,Stand-by,Talk time,Colors,SAR EU,Features,Single_1,Video_1,Music play,3G bands,Speed,Price,Keyboard,Phonebook,Call records,Messaging,Games,Java,SAR,_1_1,Browser
spice,Spice Smart Pulse (M-9010),https://fdn2.gsmarena.com/vv/bigpic/spice-9010.jpg,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2014, July. Released 2014, July",Discontinued,53.7 x 41.7 x 13.6 mm (2.11 x 1.64 x 0.54 in),52.5 g (1.83 oz),Dual SIM (Mini-SIM/ Micro-SIM),"TFT capacitive touchscreen, 256K colors","1.6 inches, 7.9 cm2 (~35.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~250 ppi density)",Wearable platform,Mediatek MT6260,360 MHz,No,microSDHC (dedicated slot),64MB 64MB,VGA,144p@7fps,No,Yes,No,No,"2.0, A2DP",No,FM radio,No,No,MP3 player,"Li-Ion 420 mAh, non-removable",Up to 24 h (mixed usage) (2G) / Up to 50 h (3G),Up to 3 h (3G),Black,0.54 W/kg (head),,,,,,,,,,,,,,,,
spice,Spice Fire One (Mi-FX-1),https://fdn2.gsmarena.com/vv/bigpic/spice-firefox.jpg,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2014, August. Released 2014, August",Discontinued,115.6 x 62 x 11.2 mm (4.55 x 2.44 x 0.44 in),65 g (2.29 oz),Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~50.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Firefox OS,Spreadtrum 6821,1.0 GHz,,microSDHC (dedicated slot),256MB 128MB RAM,1.3 MP,Yes,MP4/H.263 player MP3/AAC player,"Yes, dual speakers",Yes,Wi-Fi 802.11 b/g/n,"2.1, A2DP",No,FM radio,microUSB 2.0,Accelerometer,,Li-Ion 1400 mAh battery,Up to 120 h,Up to 8 h,"White, Black, Orange",0.74 W/kg (head),LED flash,VGA,,Up to 20 h,,,,,,,,,,,,
spice,Spice N-300,https://fdn2.gsmarena.com/vv/bigpic/N300.jpg,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2014, August. Released 2014, August",Discontinued,150.4 x 74.8 x 9.8 mm (5.92 x 2.94 x 0.39 in),180 g (6.35 oz),Dual SIM (Mini-SIM/ Micro-SIM),"IPS LCD capacitive touchscreen, 256K colors","5.0 inches, 68.9 cm2 (~61.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6571 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDHC,4GB 512MB RAM,"8 MP, AF",720p@30fps,,"Yes, dual speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Li-Ion 2000 mAh battery,Up to 200 h,Up to 5 h,Blue,0.82 W/kg (head),"LED flash, panorama",2 MP,,Up to 30 h,,,,,,,,,,,,
spice,Spice Smart Flo 508 (Mi-508),https://fdn2.gsmarena.com/vv/bigpic/spice-508.jpg,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2014, August. Released 2014, August",Discontinued,150.4 x 74.8 x 9.8 mm (5.92 x 2.94 x 0.39 in),180 g (6.35 oz),Dual SIM (Mini-SIM/ Micro-SIM),"IPS LCD capacitive touchscreen, 256K colors","5.0 inches, 68.9 cm2 (~61.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6571 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDHC,4GB 512MB RAM,"8 MP, AF",720p@30fps,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Li-Ion 2000 mAh battery,Up to 200 h,Up to 5 h,Blue,0.82 W/kg (head),"LED flash, panorama",2 MP,,Up to 30 h,,,,,,,,,,,,
spice,Spice Smart Flo 503 (Mi-503),https://fdn2.gsmarena.com/vv/bigpic/spice-503.jpg,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2014, August. Released 2014, August",Discontinued,150.4 x 74.8 x 9.8 mm (5.92 x 2.94 x 0.39 in),180 g (6.35 oz),Dual SIM (Mini-SIM/ Micro-SIM),"IPS LCD capacitive touchscreen, 256K colors","5.0 inches, 68.9 cm2 (~61.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6571 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDHC,4GB 512MB RAM,"8 MP, AF",720p@30fps,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Li-Ion 2000 mAh battery,Up to 200 h,Up to 5 h,"White, Gray",0.82 W/kg (head),"LED flash, panorama",2 MP,,Up to 30 h,,,,,,,,,,,,
spice,Spice Smart Flo 359 (Mi-359),https://fdn2.gsmarena.com/vv/bigpic/spice-359.jpg,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2014, August. Released 2014, August",Discontinued,117.5 x 62.9 x 12 mm (4.63 x 2.48 x 0.47 in),130 g (4.59 oz),Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~49.4% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6571 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDHC,512MB 256MB RAM,2 MP,720p@25fps,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,Li-Ion 1400 mAh battery,Up to 280 h,Up to 6 h,"Titanium Grey, Silver",0.51 W/kg (head),LED flash,1.3 MP,,Up to 20 h,,,,,,,,,,,,
spice,Spice Smart Flo 358 (Mi-358),https://fdn2.gsmarena.com/vv/bigpic/spice-358.jpg,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2014, October. Released 2014, October",Discontinued,118 x 60.4 x 10.8 mm (4.65 x 2.38 x 0.43 in),130 g (4.59 oz),Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~51.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6571 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDHC,512MB 256MB RAM,2 MP,720p@25fps,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP, EDR",A-GPS,FM radio,microUSB 2.0,Accelerometer,,Li-Ion 1450 mAh battery,Up to 300 h,Up to 6 h 30 min,"White, Gray",0.57 W/kg (head),LED flash,1.3 MP,,Up to 20 h,,,,,,,,,,,,
spice,Spice Stellar 439 (Mi-439),https://fdn2.gsmarena.com/vv/bigpic/spice-439.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,,"2014, August. Released 2014, August",Discontinued,125 x 63 x 10 mm (4.92 x 2.48 x 0.39 in),113.8 g (4.02 oz),Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~57.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572M (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDHC,4GB 512MB RAM,3.15 MP,720p@25fps,,"Yes, dual speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP",A-GPS,FM radio,microUSB 2.0,Accelerometer,,Li-Ion 1400 mAh battery,Up to 58 h,Up to 5 h 30 min,"Brown, Silver",0.85 W/kg (head),,1.3 MP,,Up to 15 h,HSDPA 2100,HSPA 21.1/5.76 Mbps,,,,,,,,,,
spice,Spice Stellar 361 (Mi-361),https://fdn2.gsmarena.com/vv/bigpic/spice-361.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,,"2014, July. Released 2014, July",Discontinued,115.3 x 60.6 x 11.9 mm (4.54 x 2.39 x 0.47 in),102 g (3.60 oz),Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~52.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 4.2.2 (Jelly Bean),Mediatek MT6572M (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDHC,512MB 256MB RAM,2 MP,480p@25fps,,"Yes, dual speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,Li-Ion 1400 mAh battery,Up to 72 h,Up to 8 h,"Black, White",0.81 W/kg (head),LED flash,1.3 MP,,Up to 15 h,HSDPA 2100,HSPA 21.1/5.76 Mbps,,,,,,,,,,
spice,Spice Stellar 507 (Mi-507),https://fdn2.gsmarena.com/vv/bigpic/spice-507.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,,"2014, August. Released 2014, August",Discontinued,145.2 x 72.7 x 10.7 mm (5.72 x 2.86 x 0.42 in),184 g (6.49 oz),Dual SIM (Mini-SIM/ Micro-SIM),"TFT capacitive touchscreen, 256K colors","5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDHC,4GB 512MB RAM,"8 MP, AF",720p@30fps,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Li-Ion 1800 mAh battery,Up to 200 h,Up to 8 h,"Red/Black, Blue/Black",0.94 W/kg (head),"LED flash, panorama",1.3 MP,,Up to 28 h,HSDPA 2100,HSPA 21.1/5.76 Mbps,,,,,,,,,,
