Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages,Clock,Alarm
t_mobile,T-Mobile Revvlry+,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvlry-plus-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,IP54 splash proof,HSDPA 850 / 1700(AWS) / 1900,"1, 2, 3, 4, 5, 7, 12, 13, 20, 66, 71",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/50 Mbps","2019, July","Available. Released 2019, July",158.5 x 75.2 x 8.6 mm (6.24 x 2.96 x 0.34 in),-,,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","6.24 inches, 97.5 cm2 (~81.8% screen-to-body ratio)","1080 x 2270 pixels, 19:9 ratio (~403 ppi density)",eMMC 5.1,Android 9.0 (Pie),Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Adreno 509,microSDXC (dedicated slot),64GB 4GB RAM,,"Dual-LED dual-tone flash, panorama, HDR","4K@30fps, 1080p@30/60/120fps, gyro-EIS","12 MP, (wide), 1/2.8"", 1.25µm",HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO",,FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3000 mAh, non-removable",Fast charging 27W,Black,,About 350 USD,,,,,,,,,,,,"16 MP, f/1.7, 1.22µm, PDAF, OIS 5 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_mobile,T-Mobile Revvlry,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvlry-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Splash resistant,HSDPA 850 / 1700(AWS) / 1900,"2, 4, 5, 7, 12, 38, 66, 71",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2019, July","Available. Released 2019, July",148.6 x 71.4 x 8.1 mm (5.85 x 2.81 x 0.32 in),-,,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 81.1 cm2 (~76.4% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",eMMC 5.1,Android 9.0 (Pie),Qualcomm SDM632 Snapdragon 632 (14 nm),Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),Adreno 506,microSDXC (dedicated slot),32GB 3GB RAM,,"LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF",LED flash,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",,FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3000 mAh, non-removable",Charging 10W,Black,,About 200 USD,,,,,,,,,,,,,"8 MP, f/2.2, 1/4"", 1.12µm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_mobile,T-Mobile Revvl,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvl.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900,,HSDPA 1700 (AWS)/ 1900,"2, 4, 5, 12, 66",,"HSPA 42.2/5.76 Mbps, LTE","2017, August","Available. Released 2017, August",151.9 x 77 x 8.4 mm (5.98 x 3.03 x 0.33 in),157.9 g (5.64 oz),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Android 7.0 (Nougat),Mediatek MT6738,Quad-core 1.5 GHz Cortex-A53,Mali-T860MP2,microSDXC (dedicated slot),32GB 2GB RAM,,"LED flash, HDR",1080p@30fps,"13 MP, AF",LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 3000 mAh, non-removable",,Black,,About 125 USD,,,,,,,,,,,,,5 MP,,,,Up to 288 h (3G),,Up to 12 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_mobile,T-Mobile Prism II,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-prism-ii.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,No,HSDPA 850 / 1700 / 1900 / 2100,,,HSPA,"2013, June. Released 2013, June",Discontinued,117 x 62 x 12.4 mm (4.61 x 2.44 x 0.49 in),100 g (3.53 oz),,Mini-SIM,TFT capacitive touchscreen,"3.5 inches, 36.5 cm2 (~50.3% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Android 4.1 (Jelly Bean),,1.0 GHz Cortex-A5,,microSDHC (dedicated slot),4GB 512MB RAM,,,Yes,3.15 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,Accelerometer,"Li-Ion 1750 mAh, removable",,Black,,About 90 EUR,,,,,,,,,,,,,,,,,Up to 260 h,,Up to 8 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_mobile,T-Mobile Concord,https://fdn2.gsmarena.com/vv/bigpic/zte-t-mobile-concord.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,No,HSDPA 850 / 1700 / 1900 / 2100,,,HSPA 7.2/5.76 Mbps,"2012, August. Released 2012, August",Discontinued,117 x 62 x 11.4 mm (4.61 x 2.44 x 0.45 in),100 g (3.53 oz),,Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~50.3% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",MP4/WMV/H.264 player MP3/WAV/WMA/eAAC+ player Organizer Document viewer Voice memo/dial Predictive text input,Android 2.3.5 (Gingerbread),BCM21553,832 MHz,,"microSDHC (dedicated slot), 2 GB included",512MB 512MB RAM,,,480p,2 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1500 mAh battery,,Black,,About 80 EUR,,,,,,,,,,,,,,,,,Up to 300 h,,Up to 8 h 30 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_mobile,T-Mobile myTouch Q 2,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-q-2.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,T-Mobile TV MP4/WMV/H.264 player MP3/WAV/WMA/eAAC+ player Organizer Document viewer Voice memo/dial/commands Predictive text input (Swype),HSDPA 1700 / 2100,,,HSPA,"2012, August. Released 2012, August",Discontinued,124.8 x 63.9 x 14.3 mm (4.91 x 2.52 x 0.56 in),185 g (6.53 oz),,Mini-SIM,"Capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~57.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 2.3 (Gingerbread),Qualcomm MSM8255T Snapdragon S2,1.4 GHz Scorpion,Adreno 205,microSDHC (dedicated slot),4GB 1GB RAM,,LED flash,720p@30fps,"5 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Yes,"Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1500 mAh battery,,"Black, White",,About 290 EUR,,,,,,,,,,,,,VGA,,,,Up to 185 h,,Up to 6 h,,,,,,QWERTY,,,,,,,,,,,,,,,,,,,,,,
t_mobile,T-Mobile myTouch 2,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-2.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,T-Mobile TV MP4/WMV/H.264 player MP3/WAV/WMA/eAAC+ player Organizer Document viewer Voice memo/dial/commands Predictive text input (Swype),HSDPA 1700 / 2100,,,HSPA,"2012, August. Released 2012, August",Discontinued,114 x 62 x 10 mm (4.49 x 2.44 x 0.39 in),140 g (4.94 oz),,Mini-SIM,"Capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~64.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 2.3 (Gingerbread),Qualcomm MSM8255T Snapdragon S2,1.4 GHz Scorpion,Adreno 205,microSDHC (dedicated slot),4GB 1GB RAM,,LED flash,720p@30fps,"5 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Yes,"Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1500 mAh battery,,"Black, Dark red",,About 290 EUR,,,,,,,,,,,,,VGA,,,,Up to 186 h,,Up to 6 h 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_mobile,T-Mobile Prism,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-prism.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,No,HSDPA 850 / 1700 / 1900 / 2100,,,HSPA,"2012, May. Released 2012, May",Discontinued,116.3 x 60.2 x 12.2 mm (4.58 x 2.37 x 0.48 in),125 g (4.41 oz),,Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~52.1% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer Voice memo/dial Predictive text input (Swype),Android 2.3.5 (Gingerbread),,600 MHz,,microSDHC (dedicated slot),512MB,,,Yes,3.15 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g, hotspot","2.1, A2DP, EDR","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1400 mAh battery,,Black,,About 170 EUR,,,,,,,,,,,,,,,,,Up to 400 h,,Up to 6 h 30 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_mobile,T-Mobile Move Balance,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-move-balance.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,HSDPA 850 / 1900,,,HSPA 7.2/0.384 Mbps,"2011, December. Released 2011, December",Discontinued,118.5 x 59.5 x 10.5 mm (4.67 x 2.34 x 0.41 in),142 g (5.01 oz),,Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.7 inches, 39.0 cm2 (~55.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)",No,Android 2.3.5 (Gingerbread),,800 MHz,,"microSDHC (dedicated slot), 4 GB included",4GB 512MB RAM,,LED flash,Yes,"5 MP, AF",,,Yes,Yes,MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer Voice memo/dial Predictive text input,Wi-Fi 802.11 b/g/n,"2.1, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 2000 mAh battery,,Black,,About 100 EUR,,,,,,,,,,,,,,,,,Up to 770 h,,Up to 11 h,,,,,0.54 W/kg (head),,,,,,,,,,,,,,,,,,,,,,,
t_mobile,T-Mobile Arizona,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-arizona.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,No,HSDPA,,,HSPA 3.6/0.384 Mbps,"2011, Q4. Released 2011, December",Discontinued,104 x 55 x 12.9 mm (4.09 x 2.17 x 0.51 in),100 g (3.53 oz),,Mini-SIM,"TFT touchscreen, 256K colors","2.8 inches, 24.3 cm2 (~42.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",MP4/H.264 player MP3/WAV/eAAC+ player Organizer Document viewer Voice memo/dial Predictive text input,Android OS,,,,"microSDHC (dedicated slot), 2 GB included",100MB,,,Yes,2 MP,,,Yes,Yes,,Wi-Fi 802.11 b/g,"2.1, A2DP, EDR","Yes, with A-GPS",,,microUSB 2.0,Accelerometer,Removable Li-Ion 1100 mAh battery,,Black,,,,,,,,,,,,,,,,,,,Up to 200 h,,Up to 4 h,,,Class 12,Class 12,1.10 W/kg (head),,,,,,,,,,,,,,,,,,,,,,,
