Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages,Clock,Alarm
tecno,TECNO Spark 6,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark6.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,480 nits typ. brightness (advertised),HSDPA 850 / 900 / 2100,LTE,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, September 25","Available. Released 2020, September 25",170.8 x 77.3 x 9.2 mm (6.72 x 3.04 x 0.36 in),-,,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.8 inches, 109.8 cm2 (~83.2% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),eMMC 5.1,"Android 10, HIOS 7.0",Mediatek Helio G70 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 2EEMC2,microSDXC (dedicated slot),64GB 4GB RAM,"16 MP, PDAF 2 MP, (macro) 2 MP, (depth) QVGA","Quad-LED flash, panorama, HDR",1440p@30fps,8 MP,"Dual-LED flash, HDR",1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 5000 mAh, non-removable",Fast charging 18W,"Ocean Blue, Comet Black, Dynamic Orabge, Misty Violet",,About 110 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tecno,TECNO Camon 16 Premier,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-16-premier.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HDR10+ 90Hz refresh rate,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 04","Available. Released 2020, September 04",170.6 x 77.2 x 9.1 mm (6.72 x 3.04 x 0.36 in),-,,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.9 inches, 116.9 cm2 (~88.7% screen-to-body ratio)","1080 x 2460 pixels, 19.5:9 ratio (~374 ppi density)",,"Android 10, HIOS 6.0",Mediatek MT6785 Helio G90T (12 nm),Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G76 MC4,microSDXC (dedicated slot),128GB 8GB RAM,"64 MP, f/1.9, 26mm (wide), 1/1.73"", 0.8µm, PDAF 8 MP, f/2.3, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (dedicated video camera) 2 MP, f/2.4, (depth)","Penta-LED flash, panorama, HDR","4K@30fps, 1080p@30fps, 720p@960fps, gyro-EIS",,"Dual-LED flash, HDR",1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 4500 mAh, non-removable","Fast charging 33W, 70% in 30 min (advertised)",Glacial Silver,,About 230 EUR,,,"AnTuTu: 283847 (v8) GeekBench: 6692 (v4.4), 1672 (v5.1) GFXBench: 15fps (ES 3.1 onscreen)",Contrast ratio: 1896:1 (nominal),Photo / Video,-28.1 LUFS (Average),Endurance rating 118h,,,,,"48 MP, f/2.2, 23mm (wide), 1/2.0"", 0.8µm 8 MP, f/2.2, 105˚ (ultrawide), 1/4.0"", 1.12µm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tecno,TECNO Pouvoir 4 Pro,https://fdn2.gsmarena.com/vv/bigpic/tecno-pouvoir-4-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,480 nits brightness (advertised),HSDPA 850 / 900 / 2100,"1, 3, 7, 8, 20, 28",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, July 07","Available. Released 2020, July 23",174.9 x 79.6 x 9.2 mm (6.89 x 3.13 x 0.36 in),-,"Glass front, plastic back, plastic frame",Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 116.4 cm2 (~83.6% screen-to-body ratio)",720 x 1640 pixels (~256 ppi density),,"Android 10, HIOS 6.0",Mediatek MT6762 Helio P22 (12 nm),Octa-core (4x2.0 GHz & 4x1.5 GHz),PowerVR GE8320,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM","16 MP, f/1.9, (wide), AF 5 MP, f/2.2, (macro) 2 MP, f/2.4, (depth) QVGA",Quad-LED flash,1080p@30fps,"16 MP, f/2.0, 27mm (wide)",Dual-LED flash,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","5.0, A2DP, LE","Yes, with A-GPS",,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 6000 mAh, non-removable",Fast charging 18W,"Ice Jadeite, Misty Grey, Fascinating Purple",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tecno,TECNO Pouvoir 4,https://fdn2.gsmarena.com/vv/bigpic/tecno-pouvoir-4.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,480 nits brightness (advertised),HSDPA 850 / 900 / 2100,"1, 3, 7, 8, 20, 28",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, July 07","Available. Released 2020, July 23",174.9 x 79.6 x 9.2 mm (6.89 x 3.13 x 0.36 in),-,"Glass front, plastic back, plastic frame",Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 116.4 cm2 (~83.6% screen-to-body ratio)",720 x 1640 pixels (~256 ppi density),eMMC 5.1,"Android 10, HIOS 6.0",Mediatek MT6761 Helio A22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, f/1.8, (wide), AF 2 MP, f/2.4, (macro) 2 MP, f/2.8, (depth) QVGA",Quad-LED flash,1080p@30fps,"8 MP, f/2.0, 26mm (wide)",Dual-LED flash,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","5.0, A2DP, LE","Yes, with A-GPS",,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 6000 mAh, non-removable",,"Cosmic Shine, Ice Jadeite, Fascinating Purple",LC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tecno,TECNO Spark Power 2,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-power2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,480 nits brightness (advertised),HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 38, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, June 17","Available. Released 2020, June 23",174.9 x 79.6 x 9.2 mm (6.89 x 3.13 x 0.36 in),220 g (7.76 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 116.4 cm2 (~83.6% screen-to-body ratio)",720 x 1640 pixels (~256 ppi density),eMMC 5.1,"Android 10, HIOS 6.1",Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),64GB 4GB RAM,"16 MP, f/1.8, 27mm (wide), AF 5 MP, 115˚ (ultrawide) 2 MP, (macro) QVGA, (depth)","Quad-LED flash, panorama, HDR",1080p@30fps,"16 MP, f/2.0, 27mm (wide)","Dual-LED flash, HDR",1080p@30fps,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 b/g/n/ac, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 6000 mAh, non-removable","Fast charging 18W, 50% in 60 min","Ice Jadeite, Misty Grey, Fascinating Purple",LC8,About 120 EUR,,,,,,,,,,,,,,,,,,0.85 W/kg (head)     0.80 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tecno,TECNO Spark 5 Air,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-5-air.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 2100,LTE,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, May 05","Available. Released 2020, July",174.6 x 79.3 x 9.1 mm (6.87 x 3.12 x 0.36 in),-,,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 116.4 cm2 (~84.0% screen-to-body ratio)",720 x 1640 pixels (~256 ppi density),,"Android 10 (Go edition), HIOS 6.0",Mediatek,Quad-core,,microSDXC (dedicated slot),32GB 2GB RAM,,"Quad-LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.0, (wide)","Dual-LED flash, HDR",1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 5000 mAh, non-removable",,"Ice Jadeite, Spark Orange, Vacation Blue, Misty Green",,,,,,,,,,,,,,"13 MP, f/1.8, PDAF QVGA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tecno,TECNO Spark 5 pro,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-5.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 2100,LTE,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, July 13","Available. Released 2020, July 13",164.7 x 76.3 x 8.8 mm (6.48 x 3.00 x 0.35 in),-,,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches, 105.2 cm2 (~83.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",,"Android 10, HIOS 6.1",MediaTek Helio A25 (12 nm),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),64GB 4GB RAM,"16 MP, f/1.8, PDAF 2 MP, (macro) 2 MP, (depth) QVGA","Quad-LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.0, (wide)","Dual-LED flash, HDR",1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 5000 mAh, non-removable",,"Ice Jadeite, Spark Orange, Seabed Blue, Cloud White",,"₹ 10,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₹ 10,460",,,,,,,,,,,,,,
tecno,TECNO Spark 5,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-5.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 2100,LTE,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, May 04","Available. Released 2020, May 26",164.7 x 76.3 x 8.8 mm (6.48 x 3.00 x 0.35 in),-,,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches, 105.2 cm2 (~83.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",,"Android 10, HIOS 6.1",Mediatek MT6761 Helio A22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),32GB 2GB RAM,"13 MP, f/1.8, PDAF 2 MP, (macro) 2 MP, (depth) QVGA","Quad-LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.0, (wide)","Dual-LED flash, HDR",1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 5000 mAh, non-removable",,"Ice Jadeite, Spark Orange, Vacation Blue, Misty Grey",,"₹ 7,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₹ 7,990",,,,,,,,,,
tecno,TECNO Camon 15 Premier,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-15-premier.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 28",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, April 13","Available. Released 2020, April 13",163.3 x 77.7 x 9.1 mm (6.43 x 3.06 x 0.36 in),203 g (7.16 oz),"Glass front (Gorilla Glass 3), plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches, 106.9 cm2 (~84.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)",,"Android 10, HIOS 6.0",Mediatek MT6765V/W Helio P35 (12nm),Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),128GB 6GB RAM,"64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF 5 MP, f/2.2, 14mm (ultrawide) 2 MP, f/2.8, (depth) QVGA","Quad-LED flash, panorama, HDR",1080p@30fps,Motorized pop-up 32 MP,,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE","Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 4000 mAh, non-removable",,"Ice Jadeite, Opal White",CD8j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tecno,TECNO Camon 15 Air,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon15-air-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 28",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, April 13","Available. Released 2020, April 13",164.5 x 76.5 x 9 mm (6.48 x 3.01 x 0.35 in),-,"Glass front (Gorilla Glass 3), plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches, 105.2 cm2 (~83.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",,"Android 10, HIOS 6.0",Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),64GB 3GB RAM,"48 MP, f/1.8, PDAF 2 MP, (macro) 2 MP, (depth) QVGA","Quad-LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.0, (wide)","Dual-LED flash, HDR",1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE","Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 5000 mAh, non-removable",,"Malachite Blue, Ice lake Blue, Misty Gray",CD6,,Corning Gorilla Glass 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
