Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages,Clock,Alarm
telit,Telit t800,https://fdn2.gsmarena.com/vv/bigpic/telit-t800.gif,GSM,GSM 900 / 1800 / 1900,"Second CSTN display, 65K colors, 96 x 96 pixels",,,,,"2006, Q1",Cancelled,95 x 49 x 16.7 mm (3.74 x 1.93 x 0.66 in),91 g (3.21 oz),,Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,No,,,,,microSD,64MB,,LED flash,Yes,2 MP,,,No,No,MP3/AAC/3GP player eZi text input Organizer,No,Yes,No,,No,Proprietary,,Removable Li-Ion 860 mAh battery,,Red,,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,"1000 entries, Photocall","10 received, dialed and missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,,
telit,Telit t250,https://fdn2.gsmarena.com/vv/bigpic/telit-t250.gif,GSM,GSM 900 / 1800 / 1900,"Second CSTN display, 65K colors, 96 x 96 pixels",,,,,"2006, Q1",Cancelled,96.5 x 49.5 x 15.4 mm (3.80 x 1.95 x 0.61 in),76 g (2.68 oz),,Mini-SIM,"TFT, 256K colors",,128 x 160 pixels,No,,,,,No,7MB,,,No,VGA,,,No,No,eZi text input Organizer,No,No,No,,No,Proprietary,,Removable Li-Ion 800 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,"1000 entries, Photocall","10 received, dialed and missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, Midi, WAV, AMR ringtones",,,
telit,Telit t650,https://fdn2.gsmarena.com/vv/bigpic/telit-t650.gif,GSM,GSM 900 / 1800,"Second CSTN display, 65K colors, 96 x 96 pixels",,,,,"2006, Q1",Cancelled,90 x 44 x 17 mm (3.54 x 1.73 x 0.67 in),90 g (3.17 oz),,Mini-SIM,"TFT, 256K colors",,128 x 160 pixels,No,,,,,microSD,64MB,,LED flash,No,"VGA, rotating lens",,,No,No,MP3 player Predictive text input Organizer,No,No,No,,No,Proprietary,,Removable Li-Ion 800 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,,Yes,Class 10,No,,,"500 entries, Photocall","10 received, dialed and missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,
telit,Telit t200,https://fdn2.gsmarena.com/vv/bigpic/telit-t200.gif,GSM,GSM 900 / 1800 / 1900,No,,,,,"2006, Q1",Discontinued,96.5 x 49.5 x 15.4 mm (3.80 x 1.95 x 0.61 in),76 g (2.68 oz),,Mini-SIM,"TFT, 256K colors",,128 x 160 pixels,eZi text input Organizer Voice memo,,,,,No,7MB,,,No,VGA,,,No,No,,No,No,No,,No,Proprietary,,Removable Li-Ion 730 mAh battery,,Red,,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,"1000 entries, Photocall","10 received, dialed and missed calls","SMS, EMS, MMS",Yes + downloadable,"Yes, MIDP 2.0",WAP 2.0,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, Midi, WAV, AMR ringtones",,,
telit,Telit GU1100,https://fdn2.gsmarena.com/vv/bigpic/telit-gu1100.gif,GSM / UMTS,GSM 900 / 1800,MP3 player Predictive text input Voice memo Organizer,UMTS 2100,,,"Yes, 384 kbps","2005, Q3",Discontinued,112 x 46.5 x 19.5 mm (4.41 x 1.83 x 0.77 in),103 g (3.63 oz),,Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,,,,,,microSD (dedicated slot),,,,Yes,VGA,,,Yes,No,,No,Yes,No,,No,1.1,,Removable Li-Ion battery,,Silver,,,,,,,,,,,,,,,Yes,,,,Up to 280 h,,Up to 4 h,,,,,,,"500 entries, Photocall",Yes,"SMS, EMS, MMS, Email",Yes,"Yes, MIDP 1.0",WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic ringtones, composer",,,
telit,Telit SP600,https://fdn2.gsmarena.com/vv/bigpic/telit-sp600.gif,GSM,GSM 900 / 1800 / 1900,No,,,,,"2005, Q2",Discontinued,109 x 47.7 x 17.7 mm (4.29 x 1.88 x 0.70 in),99 g (3.49 oz),,Mini-SIM,"TFT, 65K colors",,176 x 220 pixels,MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Predictive text input Voice memo Organizer,Microsoft Windows Mobile 2003 SE Smartphone,,,,miniSD,32MB,,,Yes,1.3 MP,,,No,No,,No,Yes,No,,No,1.1,,Removable Li-Ion 1000 mAh battery,,Silver,,,,,,,,,,,,,,,,,,,Up to 130 h,,Up to 5 h,,Yes,Class 8,No,,,,,,,,WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,
telit,Telit t550,https://fdn2.gsmarena.com/vv/bigpic/telit-t550.gif,GSM,GSM 900 / 1800 / 1900,Downloadable animation,,,,,"2005, Q1",Discontinued,105 x 49.6 x 15.8 mm (4.13 x 1.95 x 0.62 in),98 g (3.46 oz),,Mini-SIM,"TFT, 256K colors",,128 x 160 pixels,No,,,,,No,,,LED flash,Yes,1.3 MP,,,"Yes, with stereo speakers",No,MP3 player Video player Photo editor Predictive text input Organizer,No,Yes,No,,No,Proprietary,,Removable Li-Ion 860 mAh battery,,Black,,,,,,,,,,,,,,,,,,,Up to 168 h,,Up to 9 h,,,Class 10,No,,,"1000 entries, Photocall","10 received, dialed and missed calls","SMS, EMS, MMS",Yes,Yes,WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",,,
telit,Telit t420,https://fdn2.gsmarena.com/vv/bigpic/telit-t420.gif,GSM,GSM 900 / 1800,"Second OLED display, 256 colors, 96 x 64 pixels Downloadable animation",,,,,"2005, Q1",Discontinued,62 x 64 x 23 mm (2.44 x 2.52 x 0.91 in),82 g (2.89 oz),,Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,No,,,,,No,,,,Yes,VGA,,,No,No,Video player Photo editor Predictive text input Organizer,No,No,No,,No,No,,Removable Li-Ion 650 mAh battery,,Black,,,,,,,,,,,,,,,,,,,Up to 100 h,,Up to 2 h,,,Class 8,No,,,"300 entries, Photocall","10 received, dialed and missed calls","SMS, EMS, MMS",Yes,No,WAP 1.2.1,,,,,,,,,,,,,"Vibration; Downloadable polyphonic ringtones, composer",,,
telit,Telit t180,https://fdn2.gsmarena.com/vv/bigpic/telit-t180.gif,GSM,GSM 900 / 1800,No,,,,,"2006, Q2",Discontinued,100 x 45 x 18 mm (3.94 x 1.77 x 0.71 in),76 g (2.68 oz),,Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",Voice memo eZi text input Unit Converter World Clock,,,,,No,2MB,,,No,VGA,,,No,No,,No,No,No,,No,No,,Removable Li-Ion 650 mAh battery,,"Navy Blue, Lacquered White",,,,,,,,,,,,,,,,,,,Up to 250 h,,Up to 5 h,,,Class 10,No,,,300 entries,"10 received, dialed and missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 1.0",WAP 1.2.1,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MIDI ringtones",,,
telit,Telit t410,https://fdn2.gsmarena.com/vv/bigpic/telit-t410.gif,GSM,GSM 900 / 1800,"Second OLED display, 256 colors, 96 x 64 pixels Downloadable animation",,,,,"2005, Q1",Discontinued,52 x 57 x 23 mm (2.05 x 2.24 x 0.91 in),76 g (2.68 oz),,Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,No,,,,,No,,,,Yes,VGA,,,No,No,Video player Photo editor Predictive text input Organizer,No,No,No,,No,No,,Removable Li-Ion 650 mAh battery,,Black,,,,,,,,,,,,,,,,,,,Up to 100 h,,Up to 2 h,,,Class 8,No,,,"300 entries, Photocall","10 received, dialed and missed calls","SMS, EMS, MMS",Yes,No,WAP 1.2.1,,,,,,,,,,,,,"Vibration; Downloadable polyphonic ringtones, composer",,,
